compound_id,target_id,target_class,target_family,strain,isomeric_smiles,label_pkd,glidesp_pr,pignet2_pr,ligunity_pr,boltz2_pr,balm_pr,mammal_pr,label_source,round_id
1004316-88-4,pa_h3n2,PA,pa,H3N2,CC(C)c1nc(CN(C)C(=O)N[C@@H](CCN2CCOCC2)C(=O)N[C@H](CC[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)Cc2ccccc2)cs1,3.549,0.605,0.7508,0.6904,0.7406,0.3106,0.7089,synthetic,round_0
100643-71-8,pa_h3n2,PA,pa,H3N2,Clc1ccc2c(c1)CCc1cccnc1C2=C1CC[NH2+]CC1,3.687,0.9537,0.9623,0.9956,0.9702,0.969,0.77,synthetic,round_0
101-26-8,pa_h3n2,PA,pa,H3N2,CN(C)C(=O)Oc1ccc[n+](C)c1,3.208,0.0381,0.0629,0.6844,0.9001,0.6583,0.0893,synthetic,round_0
101477-54-7,pa_h3n2,PA,pa,H3N2,COc1ccc(C[NH+]2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)c(OC)c1OC,4.309,0.9893,0.9353,0.9942,0.9651,0.0224,0.3805,synthetic,round_0
101827-46-7,pa_h3n2,PA,pa,H3N2,C[N@@H+](Cc1ccc(C(C)(C)C)cc1)Cc1cccc2ccccc12,3.943,0.5632,0.2789,0.3175,0.1029,0.0031,0.1074,synthetic,round_0
103-16-2,pa_h3n2,PA,pa,H3N2,Oc1ccc(OCc2ccccc2)cc1,5.466,0.9394,0.9867,0.9777,0.9973,0.4234,0.858,synthetic,round_0
103177-37-3,pa_h3n2,PA,pa,H3N2,O=C(Nc1cccc2c(=O)cc(-c3nnn[n-]3)oc12)c1ccc(OCCCCc2ccccc2)cc1,5.105,0.6277,0.6064,0.0925,0.0536,0.6244,0.6368,synthetic,round_0
10405-02-4,pa_h3n2,PA,pa,H3N2,O=C(O[C@H]1C[C@H]2CC[C@@H](C1)[N+]21CCCC1)C(O)(c1ccccc1)c1ccccc1,4.089,0.1067,0.2939,0.9397,0.5691,0.1105,0.3972,synthetic,round_0
1041434-82-5,pa_h3n2,PA,pa,H3N2,CCC(CC)[C@H](NC(C)=O)[C@@H]1[C@H](O)[C@@H](C(=O)[O-])C[C@H]1NC(N)=[NH2+],4.498,0.9825,0.8816,0.9593,0.8285,0.7448,0.7171,synthetic,round_0
104227-87-4,pa_h3n2,PA,pa,H3N2,CC(=O)OCC(CCn1cnc2cnc(N)nc21)COC(C)=O,4.987,0.4815,0.43,0.5744,0.1552,0.7829,0.2105,synthetic,round_0
104632-26-0,pa_h3n2,PA,pa,H3N2,CCC[NH2+][C@H]1CCc2nc(N)sc2C1,3.762,0.0968,0.1576,0.9644,0.9827,0.3429,0.0227,synthetic,round_0
105462-24-6,pa_h3n2,PA,pa,H3N2,O=P([O-])(O)C(O)(Cc1cccnc1)P(=O)([O-])O,5.116,0.3141,0.2378,0.9124,0.8608,0.53,0.9767,synthetic,round_0
105816-04-4,pa_h3n2,PA,pa,H3N2,CC(C)[C@H]1CC[C@H](C(=O)N[C@H](Cc2ccccc2)C(=O)[O-])CC1,4.743,0.786,0.7308,0.9489,0.9472,0.629,0.4122,synthetic,round_0
106266-06-2,pa_h3n2,PA,pa,H3N2,Cc1nc2n(c(=O)c1CC[N@H+]1CC[C@H](c3noc4cc(F)ccc43)CC1)CCCC2,4.954,0.894,0.8029,0.7342,0.4452,0.3318,0.4421,synthetic,round_0
106308-44-5,pa_h3n2,PA,pa,H3N2,NC(=O)c1cn(Cc2c(F)cccc2F)nn1,4.732,0.3022,0.7101,0.1736,0.6501,0.5388,0.9776,synthetic,round_0
106685-40-9,pa_h3n2,PA,pa,H3N2,COc1ccc(-c2ccc3cc(C(=O)[O-])ccc3c2)cc1C12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3,4.145,0.8946,0.6174,0.9932,0.979,0.9281,0.4891,synthetic,round_0
1069-66-5,pa_h3n2,PA,pa,H3N2,CCCC(CCC)C(=O)[O-],5.131,0.999,0.999,0.9207,0.7071,0.2938,0.9598,synthetic,round_0
107-35-7,pa_h3n2,PA,pa,H3N2,[NH3+]CCS(=O)(=O)[O-],4.564,0.8574,0.908,0.8041,0.7625,0.99,0.1494,synthetic,round_0
1070-11-7,pa_h3n2,PA,pa,H3N2,CC[C@H](CO)[NH2+]CC[NH2+][C@H](CC)CO,4.124,0.7239,0.3587,0.3044,0.4361,0.2354,0.1675,synthetic,round_0
107133-36-8,pa_h3n2,PA,pa,H3N2,CCC[C@H]([NH2+][C@@H](C)C(=O)N1[C@H](C(=O)[O-])C[C@@H]2CCCC[C@@H]21)C(=O)OCC,4.983,0.9581,0.7122,0.7232,0.2921,0.3204,0.8378,synthetic,round_0
107724-20-9,pa_h3n2,PA,pa,H3N2,COC(=O)[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@@]23O[C@@H]2C[C@@]2(C)[C@@H](CC[C@@]24CCC(=O)O4)[C@H]13,4.081,0.2276,0.6397,0.5501,0.601,0.8056,0.4805,synthetic,round_0
108341-18-0,pa_h3n2,PA,pa,H3N2,[NH3+]C[C@@H](O)c1ccc(O)c(O)c1,4.51,0.2833,0.3908,0.2262,0.6192,0.073,0.4409,synthetic,round_0
1104-22-9,pa_h3n2,PA,pa,H3N2,Cc1cccc(CN2CC[NH+]([C@@H](c3ccccc3)c3ccc(Cl)cc3)CC2)c1,3.456,0.3063,0.283,0.1597,0.2594,0.0888,0.1061,synthetic,round_0
111406-87-2,pa_h3n2,PA,pa,H3N2,C[C@@H](c1cc2ccccc2s1)N(O)C(N)=O,3.544,0.1613,0.2323,0.5907,0.5853,0.2598,0.1909,synthetic,round_0
1115-70-4,pa_h3n2,PA,pa,H3N2,CN(C)C(=[NH2+])N=C(N)N,3.675,0.2071,0.4978,0.4591,0.1566,0.0051,0.069,synthetic,round_0
111974-72-2,pa_h3n2,PA,pa,H3N2,OCCOCC[NH+]1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,4.663,0.0479,0.0718,0.2116,0.0178,0.2157,0.5034,synthetic,round_0
112529-15-4,pa_h3n2,PA,pa,H3N2,CCc1ccc(CCOc2ccc(C[C@@H]3SC(=O)NC3=O)cc2)nc1,6.45,0.7783,0.9842,0.9028,0.9904,0.3274,0.2179,synthetic,round_0
112809-51-5,pa_h3n2,PA,pa,H3N2,N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1,3.818,0.9784,0.899,0.8786,0.7101,0.3789,0.0633,synthetic,round_0
112885-42-4,pa_h3n2,PA,pa,H3N2,CCOc1cc(N)c(Cl)cc1C(=O)NC[C@H]1C[N@@H+](Cc2ccc(F)cc2)CCO1,5.1,0.973,0.8779,0.4391,0.0485,0.4387,0.0449,synthetic,round_0
113-59-7,pa_h3n2,PA,pa,H3N2,C[NH+](C)CC/C=C1/c2ccccc2Sc2ccc(Cl)cc21,3.887,0.2832,0.3799,0.4143,0.32,0.3013,0.961,synthetic,round_0
113-92-8,pa_h3n2,PA,pa,H3N2,C[NH+](C)CC[C@@H](c1ccc(Cl)cc1)c1ccccn1,4.156,0.514,0.7106,0.9787,0.9453,0.0056,0.3034,synthetic,round_0
