compound_id,target_id,target_class,strain,isomeric_smiles,label_pkd,glidesp_pr,pignet2_pr,ligunity_pr,boltz2_pr,balm_pr,mammal_pr,label_source,round_id
68-19-9,furin,Furin,,CC1=C2N[C@@](C)([C@@H]3N=C(/C(C)=C4\N=C(/C=C5\N=C1[C@@](C)(CC(N)=O)[C@@H]5CCC(N)=O)C(C)(C)[C@@H]4CCC(N)=O)[C@](C)(CCC(=O)NC[C@@H](C)OP(=O)([O-])O[C@H]1[C@@H](O)[C@@H](n4cnc5cc(C)c(C)cc54)O[C@@H]1CO)[C@H]3CC(N)=O)[C@@](C)(CC(N)=O)[C@@H]2CCC(N)=O,3.474,0.9808,0.4331,0.4856,0.7037,0.3137,0.138,synthetic,round_0
70476-82-3,furin,Furin,,O=C1c2c(O)ccc(O)c2C(=O)c2c(NCC[NH2+]CCO)ccc(NCC[NH2+]CCO)c21,4.426,0.9962,0.5944,0.0923,0.658,0.3928,0.0954,synthetic,round_0
1405-89-6,furin,Furin,,CC[C@@H](C)[C@@H](N)C1=NC[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](CCC(=O)[O-])C(=O)N[C@H](C(=O)N[C@H]2CCCCNC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](CC(=O)[O-])NC(=O)[C@H](Cc3cnc[nH]3)NC(=O)[C@@H](Cc3ccccc3)NC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@@H](CCC[NH3+])NC2=O)[C@@H](C)CC)S1,4.207,0.8585,0.999,0.8388,0.8528,0.4483,0.6799,synthetic,round_0
179463-17-3,furin,Furin,,CC[C@@H](C)C[C@H](C)CCCCCCCCC(=O)N[C@H]1C[C@@H](O)[C@@H](NCC[NH3+])NC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@H](O)CC[NH3+])NC(=O)[C@H]([C@@H](O)[C@H](O)c2ccc(O)cc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,3.884,0.8593,0.9955,0.485,0.6588,0.071,0.2543,synthetic,round_0
83-88-5,furin,Furin,,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@@H](O)[C@H](O)CO)c2cc1C,5.094,0.9184,0.9867,0.897,0.7576,0.312,0.8712,synthetic,round_0
152520-56-4,furin,Furin,,O[C@@H](C[NH2+]C[C@H](O)[C@@H]1CCc2cc(F)ccc2O1)[C@@H]1CCc2cc(F)ccc2O1,3.88,0.7725,0.8053,0.2017,0.4516,0.0533,0.0251,synthetic,round_0
1264-72-8,furin,Furin,,CC[C@@H](C)CCCC(=O)N[C@@H](CC[NH3+])C(=O)N[C@H](C(=O)N[C@@H](CC[NH3+])C(=O)N[C@H]1CCNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CC[NH3+])NC(=O)[C@H](CC[NH3+])NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CC[NH3+])NC1=O)[C@@H](C)O,3.551,0.6401,0.3442,0.8088,0.5383,0.0319,0.005,synthetic,round_0
99592-39-9,furin,Furin,,Clc1ccc([C@@H](Cn2cc[nH+]c2)OCc2csc3c(Cl)cccc23)c(Cl)c1,4.141,0.8713,0.7321,0.5998,0.3775,0.2483,0.6414,synthetic,round_0
79307-93-0,furin,Furin,,C[N@H+]1CCC[C@H](n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1,4.594,0.7322,0.9425,0.8476,0.565,0.6957,0.3875,synthetic,round_0
402957-28-2,furin,Furin,,CCC[C@H](NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)c1cnccn1)C1CCCCC1)C(C)(C)C)C(=O)C(=O)NC1CC1,4.339,0.9755,0.8893,0.8788,0.8482,0.6699,0.9067,synthetic,round_0
22916-47-8,furin,Furin,,Clc1ccc(CO[C@@H](Cn2cc[nH+]c2)c2ccc(Cl)cc2Cl)c(Cl)c1,5.721,0.5277,0.8233,0.7397,0.7789,0.1393,0.498,synthetic,round_0
83915-83-7,furin,Furin,,[NH3+]CCCC[C@H]([NH2+][C@@H](CCc1ccccc1)C(=O)[O-])C(=O)N1CCC[C@H]1C(=O)[O-],4.203,0.9277,0.9084,0.2035,0.8518,0.108,0.1947,synthetic,round_0
14028-44-5,furin,Furin,,Clc1ccc2c(c1)C(N1CC[NH2+]CC1)=Nc1ccccc1O2,4.337,0.508,0.9279,0.7087,0.602,0.6471,0.4756,synthetic,round_0
439081-18-2,furin,Furin,,C[NH+](C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,5.802,0.8466,0.8666,0.8719,0.7318,0.8912,0.9837,synthetic,round_0
548-73-2,furin,Furin,,O=C(CCC[N@@H+]1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,4.762,0.7863,0.3717,0.4146,0.6421,0.5044,0.2803,synthetic,round_0
849217-68-1,furin,Furin,,COc1cc2[nH+]ccc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3)c2cc1OC,4.524,0.0161,0.0863,0.6163,0.674,0.1155,0.2463,synthetic,round_0
753498-25-8,furin,Furin,,CCc1cc2c(cc1CC)CC([NH2+]C[C@H](O)c1ccc(O)c3[nH]c(=O)ccc13)C2,4.778,0.9833,0.9984,0.8765,0.9704,0.206,0.4037,synthetic,round_0
56390-09-1,furin,Furin,,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H]([NH3+])[C@@H](O)[C@H](C)O1,6.008,0.9713,0.993,0.968,0.8865,0.6336,0.6195,synthetic,round_0
5370-01-4,furin,Furin,,Cc1cccc(C)c1OC[C@@H](C)[NH3+],7.048,0.9973,0.999,0.999,0.9889,0.7912,0.8755,synthetic,round_0
90357-06-5,furin,Furin,,C[C@](O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,4.369,0.7768,0.7644,0.6969,0.6267,0.4873,0.2987,synthetic,round_0
107007-99-8,furin,Furin,,Cn1nc(C(=O)N[C@H]2C[C@H]3CCC[C@@H](C2)[N@@H+]3C)c2ccccc21,6.025,0.9291,0.5963,0.5085,0.7278,0.8365,0.9655,synthetic,round_0
64872-77-1,furin,Furin,,Clc1ccc(CC[C@H](Cn2cc[nH+]c2)Sc2c(Cl)cccc2Cl)cc1,4.284,0.8933,0.966,0.999,0.9829,0.596,0.4192,synthetic,round_0
5786-21-0,furin,Furin,,C[NH+]1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,4.981,0.8151,0.562,0.5091,0.572,0.9524,0.1704,synthetic,round_0
101827-46-7,furin,Furin,,C[N@H+](Cc1ccc(C(C)(C)C)cc1)Cc1cccc2ccccc12,4.513,0.1096,0.0734,0.4407,0.1847,0.5113,0.5338,synthetic,round_0
99614-01-4,furin,Furin,,Cc1[nH+]ccn1C[C@H]1CCc2c(c3ccccc3n2C)C1=O,4.873,0.9914,0.8701,0.7762,0.8351,0.0678,0.6358,synthetic,round_0
113-59-7,furin,Furin,,C[NH+](C)CC/C=C1/c2ccccc2Sc2ccc(Cl)cc21,4.566,0.8527,0.6802,0.1084,0.0802,0.4012,0.0334,synthetic,round_0
56296-78-7,furin,Furin,,C[NH2+]CC[C@@H](Oc1ccc(C(F)(F)F)cc1)c1ccccc1,4.706,0.0707,0.5449,0.2158,0.469,0.8255,0.8721,synthetic,round_0
50357-45-4,furin,Furin,,NC(=[NH2+])c1ccc(OCCCCCOc2ccc(C(N)=[NH2+])cc2)cc1,5.356,0.7468,0.9224,0.9414,0.8524,0.8968,0.5685,synthetic,round_0
122883-93-6,furin,Furin,,O=C1Cc2cc(CC[NH+]3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1,4.621,0.4761,0.2868,0.5028,0.8996,0.1551,0.3896,synthetic,round_0
668270-12-0,furin,Furin,,CC#CCn1c(N2CCC[C@@H]([NH3+])C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,4.299,0.879,0.9173,0.7454,0.7654,0.8932,0.3619,synthetic,round_0
34183-22-7,furin,Furin,,CCC[NH2+]C[C@@H](O)COc1ccccc1C(=O)CCc1ccccc1,5.181,0.999,0.9933,0.9453,0.9191,0.2044,0.1195,synthetic,round_0
32986-56-4,furin,Furin,,[NH3+]C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H]([NH3+])[C@H]3O)[C@H]([NH3+])C[C@@H]2[NH3+])[C@H]([NH3+])C[C@@H]1O,5.184,0.1438,0.677,0.912,0.6334,0.0076,0.011,synthetic,round_0
179324-69-7,furin,Furin,,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,4.381,0.9398,0.8487,0.6,0.7617,0.1186,0.0795,synthetic,round_0
2030-63-9,furin,Furin,,CC(C)/[NH+]=c1\cc2n(-c3ccc(Cl)cc3)c3ccccc3nc-2cc1Nc1ccc(Cl)cc1,4.729,0.5661,0.5676,0.5984,0.7629,0.1494,0.5275,synthetic,round_0
155213-67-5,furin,Furin,,CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,4.97,0.3866,0.6623,0.6106,0.8133,0.9504,0.3238,synthetic,round_0
163222-33-1,furin,Furin,,O=C1[C@H](CC[C@H](O)c2ccc(F)cc2)[C@@H](c2ccc(O)cc2)N1c1ccc(F)cc1,5.896,0.9722,0.9482,0.9964,0.9949,0.3123,0.4931,synthetic,round_0
132539-06-1,furin,Furin,,Cc1cc2c(s1)Nc1ccccc1N=C2N1CC[NH+](C)CC1,4.002,0.8609,0.7583,0.0569,0.0241,0.3721,0.1271,synthetic,round_0
32672-69-8,furin,Furin,,C[N@H+]1CCCC[C@@H]1CCN1c2ccccc2Sc2ccc([S@@](C)=O)cc21,4.339,0.6791,0.7578,0.7635,0.712,0.6388,0.0863,synthetic,round_0
229975-97-7,furin,Furin,,COC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C,4.095,0.91,0.8014,0.9447,0.863,0.4281,0.2896,synthetic,round_0
79559-97-0,furin,Furin,,C[NH2+][C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,4.058,0.7826,0.8445,0.682,0.8572,0.5153,0.8826,synthetic,round_0
274693-27-5,furin,Furin,,CCCSc1nc(N[C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H](OCCO)[C@@H](O)[C@H]3O)c2n1,4.108,0.7896,0.7461,0.1733,0.1487,0.4733,0.8426,synthetic,round_0
65277-42-1,furin,Furin,,CC(=O)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4cc[nH+]c4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,4.227,0.992,0.7328,0.5922,0.5254,0.7514,0.7083,synthetic,round_0
65473-14-5,furin,Furin,,C[N@@H+](CC=Cc1ccccc1)Cc1cccc2ccccc12,4.27,0.1937,0.6441,0.7002,0.2167,0.8487,0.7165,synthetic,round_0
175865-59-5,furin,Furin,,CC(C)[C@H]([NH3+])C(=O)OC[C@@H](CO)OCn1cnc2c(=O)[nH]c(N)nc21,4.405,0.9479,0.909,0.5306,0.3603,0.5429,0.1229,synthetic,round_0
148849-67-6,furin,Furin,,COc1cc2c(cc1OC)CC(=O)N(CCC[N@@H+](C)C[C@H]1Cc3cc(OC)c(OC)cc31)CC2,4.592,0.99,0.9807,0.9123,0.9355,0.2417,0.1385,synthetic,round_0
192725-17-0,furin,Furin,,Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)N1CCCNC1=O,4.343,0.8117,0.1138,0.5797,0.6347,0.4375,0.3424,synthetic,round_0
63-45-6,furin,Furin,,COc1cc(N[C@@H](C)CCC[NH3+])c2ncccc2c1,4.407,0.9042,0.8437,0.7303,0.8513,0.8986,0.5036,synthetic,round_0
443913-73-3,furin,Furin,,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OC[C@H]1CC[N@H+](C)CC1,4.286,0.302,0.7606,0.6984,0.353,0.6018,0.5278,synthetic,round_0
61-76-7,furin,Furin,,C[NH2+]C[C@@H](O)c1cccc(O)c1,4.654,0.6653,0.6959,0.0711,0.3155,0.2399,0.2793,synthetic,round_0
440-17-5,furin,Furin,,CN1CC[NH+](CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,4.663,0.7409,0.2394,0.2387,0.2363,0.438,0.2239,synthetic,round_0
184475-35-2,furin,Furin,,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCC[NH+]1CCOCC1,4.143,0.9783,0.9155,0.6607,0.9556,0.3534,0.8868,synthetic,round_0
23256-50-0,furin,Furin,,NC(=[NH2+])N/N=C/c1c(Cl)cccc1Cl,3.677,0.1332,0.1782,0.3484,0.1545,0.846,0.9647,synthetic,round_0
58-27-5,furin,Furin,,CC1=CC(=O)c2ccccc2C1=O,3.43,0.6889,0.9507,0.7449,0.8855,0.8687,0.281,synthetic,round_0
183320-51-6,furin,Furin,,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCO)cc23)c1,4.372,0.2891,0.1133,0.0386,0.1862,0.5656,0.9623,synthetic,round_0
53716-49-7,furin,Furin,,C[C@@H](C(=O)[O-])c1ccc2c(c1)[nH]c1ccc(Cl)cc12,3.795,0.8512,0.6699,0.4474,0.1108,0.3493,0.0746,synthetic,round_0
54527-84-3,furin,Furin,,COC(=O)C1=C(C)NC(C)=C(C(=O)OCC[N@H+](C)Cc2ccccc2)[C@@H]1c1cccc([N+](=O)[O-])c1,4.239,0.4815,0.6695,0.1179,0.322,0.5928,0.1292,synthetic,round_0
298-81-7,furin,Furin,,COc1c2occc2cc2ccc(=O)oc12,5.142,0.1862,0.7184,0.288,0.4085,0.2402,0.1805,synthetic,round_0
51-30-9,furin,Furin,,CC(C)[NH2+]C[C@H](O)c1ccc(O)c(O)c1,5.897,0.9887,0.8688,0.7301,0.8264,0.5018,0.0876,synthetic,round_0
34381-68-5,furin,Furin,,CCCC(=O)Nc1ccc(OC[C@H](O)C[NH2+]C(C)C)c(C(C)=O)c1,3.658,0.1028,0.2799,0.0579,0.0678,0.0355,0.3309,synthetic,round_0
51022-70-9,furin,Furin,,CC(C)(C)[NH2+]C[C@@H](O)c1ccc(O)c(CO)c1,5.853,0.9953,0.8579,0.6288,0.9047,0.3802,0.4424,synthetic,round_0
13492-01-8,furin,Furin,,[NH3+][C@@H]1C[C@H]1c1ccccc1,3.961,0.6102,0.1463,0.2711,0.2658,0.3995,0.8232,synthetic,round_0
536-33-4,furin,Furin,,CCc1cc(C(N)=S)ccn1,7.306,0.4106,0.6409,0.9783,0.9924,0.1566,0.2776,synthetic,round_0
25332-39-2,furin,Furin,,O=c1n(CCC[NH+]2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12,5.174,0.4197,0.0653,0.6616,0.2033,0.7498,0.829,synthetic,round_0
496775-61-2,furin,Furin,,CC1=NN(c2ccc(C)c(C)c2)C(=O)/C1=N\Nc1cccc(-c2cccc(C(=O)[O-])c2)c1O,4.29,0.9917,0.9184,0.2759,0.3146,0.034,0.0264,synthetic,round_0
100643-71-8,furin,Furin,,Clc1ccc2c(c1)CCc1cccnc1C2=C1CC[NH2+]CC1,3.914,0.0735,0.033,0.7879,0.6602,0.3827,0.4236,synthetic,round_0
123318-82-1,furin,Furin,,Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1F,4.878,0.7,0.3177,0.6576,0.6399,0.4622,0.1728,synthetic,round_0
36791-04-5,furin,Furin,,NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1,4.968,0.1566,0.0062,0.3733,0.1993,0.0106,0.2571,synthetic,round_0
198480-56-7,furin,Furin,,Cc1c(-c2ccc(O)cc2)n(Cc2ccc(OCC[NH+]3CCCCCC3)cc2)c2ccc(O)cc12,4.184,0.8533,0.907,0.2847,0.4572,0.6403,0.7569,synthetic,round_0
