compound_id,target_id,isomeric_smiles,label_pkd,glidesp_pr,pignet2_pr,ligunity_pr,boltz2_pr,balm_pr,mammal_pr,branch_sequence_pr,branch_pose_pr,branch_structure_pr,consensus_123_pr,disagreement_sd_pr,disagreement_range_pr,disagreement_branch_sd_pr,structure_minus_pose_pr,sequence_minus_structure_pr,exact_mol_wt,logp,tpsa,hbd,hba,formal_charge,rotatable_bonds,ring_count,aromatic_ring_count,heavy_atom_count,fraction_csp3,structural_alert_count,qed
68-19-9,furin,CC1=C2N[C@@](C)([C@@H]3N=C(/C(C)=C4\N=C(/C=C5\N=C1[C@@](C)(CC(N)=O)[C@@H]5CCC(N)=O)C(C)(C)[C@@H]4CCC(N)=O)[C@](C)(CCC(=O)NC[C@@H](C)OP(=O)([O-])O[C@H]1[C@@H](O)[C@@H](n4cnc5cc(C)c(C)cc54)O[C@@H]1CO)[C@H]3CC(N)=O)[C@@](C)(CC(N)=O)[C@@H]2CCC(N)=O,3.474,0.9808,0.4331,0.4856,0.7037,0.3137,0.138,0.22585,0.70695,0.59465,0.5706166666666667,0.2975213118416898,0.8428,0.2516882794251651,-0.1122999999999999,-0.3688,1270.63950473791,2.531240000000007,462.85,10,19,-1,26,8,2,90,0.6290322580645161,1,0.0605113507519643
70476-82-3,furin,O=C1c2c(O)ccc(O)c2C(=O)c2c(NCC[NH2+]CCO)ccc(NCC[NH2+]CCO)c21,4.426,0.9962,0.5944,0.0923,0.658,0.3928,0.0954,0.2440999999999999,0.7953,0.37515,0.4933583333333333,0.3511792386612094,0.9039,0.287958783219636,-0.42015,-0.13105,446.21543752018,-2.1915999999999953,172.34,8,8,2,12,3,2,32,0.3636363636363636,2,0.1144220371524388
1405-89-6,furin,CC[C@@H](C)[C@@H](N)C1=NC[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](CCC(=O)[O-])C(=O)N[C@H](C(=O)N[C@H]2CCCCNC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](CC(=O)[O-])NC(=O)[C@H](Cc3cnc[nH]3)NC(=O)[C@@H](Cc3ccccc3)NC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@@H](CCC[NH3+])NC2=O)[C@@H](C)CC)S1,4.207,0.8585,0.999,0.8388,0.8528,0.4483,0.6799,0.5640999999999999,0.92875,0.8458,0.8264999999999999,0.1912716471409184,0.5507,0.1911392228193889,-0.0829499999999999,-0.2817,1420.7416647639095,-5.063799999999993,538.1499999999999,15,20,-1,31,4,2,100,0.6363636363636364,0,0.0335884805891634
179463-17-3,furin,CC[C@@H](C)C[C@H](C)CCCCCCCCC(=O)N[C@H]1C[C@@H](O)[C@@H](NCC[NH3+])NC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@H](O)CC[NH3+])NC(=O)[C@H]([C@@H](O)[C@H](O)c2ccc(O)cc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,3.884,0.8593,0.9955,0.485,0.6588,0.071,0.2543,0.16265,0.9274,0.5719000000000001,0.6221916666666666,0.3541139557637719,0.9245,0.3826896860817303,-0.3554999999999999,-0.40925,1094.6576150201802,-4.745500000000019,415.27,16,16,2,23,4,1,77,0.75,1,0.0457809547651863
83-88-5,furin,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@@H](O)[C@H](O)CO)c2cc1C,5.094,0.9184,0.9867,0.897,0.7576,0.312,0.8712,0.5916,0.95255,0.8273,0.8297666666666667,0.2460700096855906,0.6747000000000001,0.1832698170276091,-0.1252499999999999,-0.2357,376.13828435999994,-1.7235599999999989,161.56,5,8,0,5,3,1,27,0.4117647058823529,1,0.3284121594560428
152520-56-4,furin,O[C@@H](C[NH2+]C[C@H](O)[C@@H]1CCc2cc(F)ccc2O1)[C@@H]1CCc2cc(F)ccc2O1,3.88,0.7725,0.8053,0.2017,0.4516,0.0533,0.0251,0.0392,0.7888999999999999,0.32665,0.432825,0.3476767603200804,0.7802,0.3782311143115189,-0.4622499999999999,-0.28745,406.18244117209,1.3374000000000006,75.53000000000002,3,4,1,6,4,2,29,0.4545454545454545,0,0.6769069977920487
1264-72-8,furin,CC[C@@H](C)CCCC(=O)N[C@@H](CC[NH3+])C(=O)N[C@H](C(=O)N[C@@H](CC[NH3+])C(=O)N[C@H]1CCNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CC[NH3+])NC(=O)[C@H](CC[NH3+])NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CC[NH3+])NC1=O)[C@@H](C)O,3.551,0.6401,0.3442,0.8088,0.5383,0.0319,0.005,0.0184499999999999,0.49215,0.67355,0.5039,0.3281344566891241,0.8038,0.3382439110070325,0.1814,-0.6551,1159.78630945645,-9.415499999999948,498.75999999999976,18,13,5,28,1,0,81,0.7884615384615384,0,0.0346736956691605
99592-39-9,furin,Clc1ccc([C@@H](Cn2cc[nH+]c2)OCc2csc3c(Cl)cccc23)c(Cl)c1,4.141,0.8713,0.7321,0.5998,0.3775,0.2483,0.6414,0.4448499999999999,0.8017,0.48865,0.5857,0.2294200863045779,0.623,0.19461957121523,-0.3130499999999999,-0.0438,437.00434359209,6.435200000000004,28.3,0,2,1,6,4,4,27,0.15,0,0.3405091888506124
79307-93-0,furin,C[N@H+]1CCC[C@H](n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1,4.594,0.7322,0.9425,0.8476,0.565,0.6957,0.3875,0.5416,0.83735,0.7062999999999999,0.7225333333333334,0.1986874673115208,0.5549999999999999,0.1481937105053158,-0.1310500000000001,-0.1646999999999999,382.16806652009,2.8804000000000016,39.33,1,2,1,3,4,3,27,0.3636363636363636,0,0.7561486361239591
402957-28-2,furin,CCC[C@H](NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)c1cnccn1)C1CCCCC1)C(C)(C)C)C(=O)C(=O)NC1CC1,4.339,0.9755,0.8893,0.8788,0.8482,0.6699,0.9067,0.7883,0.9324,0.8634999999999999,0.8739333333333333,0.1029549027487277,0.3056,0.0720729491556991,-0.0689,-0.0751999999999999,679.4057324160001,2.4459000000000035,179.56,4,8,0,13,5,1,49,0.7222222222222222,1,0.2296749085578938
22916-47-8,furin,Clc1ccc(CO[C@@H](Cn2cc[nH+]c2)c2ccc(Cl)cc2Cl)c(Cl)c1,5.721,0.5277,0.8233,0.7397,0.7789,0.1393,0.498,0.31865,0.6755,0.7593000000000001,0.657925,0.256052872795184,0.684,0.2340002795582376,0.0838000000000001,-0.4406500000000001,414.9933002400901,5.873900000000003,28.3,0,1,1,6,3,3,25,0.1666666666666666,0,0.4930387662168743
83915-83-7,furin,[NH3+]CCCC[C@H]([NH2+][C@@H](CCc1ccccc1)C(=O)[O-])C(=O)N1CCC[C@H]1C(=O)[O-],4.203,0.9277,0.9084,0.2035,0.8518,0.108,0.1947,0.15135,0.91805,0.52765,0.5950666666666667,0.4004962659001954,0.8197,0.3833716082340996,-0.3904000000000001,-0.3762999999999999,405.226371092,-3.177199999999994,144.82,2,5,0,12,2,1,29,0.5714285714285714,1,0.352332132035191
14028-44-5,furin,Clc1ccc2c(c1)C(N1CC[NH2+]CC1)=Nc1ccccc1O2,4.337,0.508,0.9279,0.7087,0.602,0.6471,0.4756,0.56135,0.71795,0.65535,0.66055,0.1633455162123119,0.4522999999999999,0.0788229239075367,-0.0625999999999999,-0.0939999999999999,314.10546626409,2.4030000000000005,41.44,1,3,1,0,4,2,22,0.2352941176470588,0,0.8110775890658081
439081-18-2,furin,C[NH+](C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,5.802,0.8466,0.8666,0.8719,0.7318,0.8912,0.9837,0.93745,0.8566,0.80185,0.8427000000000001,0.0811252858238416,0.2519,0.0682173548299844,-0.05475,0.1356,486.17027201209,2.9728000000000003,89.81,3,6,1,8,4,3,34,0.2916666666666667,1,0.4241302751360584
548-73-2,furin,O=C(CCC[N@@H+]1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,4.762,0.7863,0.3717,0.4146,0.6421,0.5044,0.2803,0.39235,0.579,0.52835,0.5225666666666667,0.1866555865759179,0.506,0.0965225750796154,-0.0506499999999999,-0.136,380.1768816160901,2.2613000000000003,59.3,2,2,1,6,4,3,28,0.2727272727272727,1,0.6447658529130625
849217-68-1,furin,COc1cc2[nH+]ccc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3)c2cc1OC,4.524,0.0161,0.0863,0.6163,0.674,0.1155,0.2463,0.1809,0.0512,0.64515,0.3697916666666667,0.2838194807737246,0.6579,0.3122837264945667,0.59395,-0.46425,502.17727554009,4.959900000000004,100.03000000000002,2,5,1,8,5,4,37,0.1785714285714285,1,0.3319292272180311
753498-25-8,furin,CCc1cc2c(cc1CC)CC([NH2+]C[C@H](O)c1ccc(O)c3[nH]c(=O)ccc13)C2,4.778,0.9833,0.9984,0.8765,0.9704,0.206,0.4037,0.30485,0.99085,0.92345,0.8428166666666668,0.3452347225680908,0.7924,0.3781103718933577,-0.0674,-0.6186,393.21726920809,2.122699999999999,89.93,4,3,1,6,4,3,29,0.375,0,0.5171431157408912
