compound_id,target_id,target_class,strain,isomeric_smiles,label_pkd,glidesp_pr,pignet2_pr,ligunity_pr,boltz2_pr,balm_pr,mammal_pr,label_source,round_id
1004316-88-4,pa_h5n1,PA,H5N1,CC(C)c1nc(CN(C)C(=O)N[C@@H](CCN2CCOCC2)C(=O)N[C@H](CC[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)Cc2ccccc2)cs1,4.089,0.1242,0.3533,0.8802,0.9512,0.3664,0.6128,synthetic,round_0
100643-71-8,pa_h5n1,PA,H5N1,Clc1ccc2c(c1)CCc1cccnc1C2=C1CC[NH2+]CC1,4.022,0.8526,0.7586,0.9871,0.8326,0.8461,0.3659,synthetic,round_0
101-26-8,pa_h5n1,PA,H5N1,CN(C)C(=O)Oc1ccc[n+](C)c1,3.24,0.02,0.1184,0.4262,0.7143,0.5017,0.5342,synthetic,round_0
101477-54-7,pa_h5n1,PA,H5N1,COc1ccc(C[NH+]2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)c(OC)c1OC,4.76,0.854,0.5947,0.7336,0.6536,0.1408,0.9264,synthetic,round_0
101827-46-7,pa_h5n1,PA,H5N1,C[N@@H+](Cc1ccc(C(C)(C)C)cc1)Cc1cccc2ccccc12,4.258,0.2755,0.1208,0.5831,0.1935,0.0027,0.0261,synthetic,round_0
103-16-2,pa_h5n1,PA,H5N1,Oc1ccc(OCc2ccccc2)cc1,5.166,0.638,0.8877,0.8322,0.6825,0.4728,0.7019,synthetic,round_0
103177-37-3,pa_h5n1,PA,H5N1,O=C(Nc1cccc2c(=O)cc(-c3nnn[n-]3)oc12)c1ccc(OCCCCc2ccccc2)cc1,4.001,0.2553,0.2044,0.3028,0.011,0.4951,0.6006,synthetic,round_0
10405-02-4,pa_h5n1,PA,H5N1,O=C(O[C@H]1C[C@H]2CC[C@@H](C1)[N+]21CCCC1)C(O)(c1ccccc1)c1ccccc1,4.137,0.0029,0.1626,0.5433,0.1721,0.1854,0.2584,synthetic,round_0
1041434-82-5,pa_h5n1,PA,H5N1,CCC(CC)[C@H](NC(C)=O)[C@@H]1[C@H](O)[C@@H](C(=O)[O-])C[C@H]1NC(N)=[NH2+],4.342,0.841,0.9353,0.6417,0.1392,0.8331,0.8233,synthetic,round_0
104227-87-4,pa_h5n1,PA,H5N1,CC(=O)OCC(CCn1cnc2cnc(N)nc21)COC(C)=O,4.564,0.6039,0.7041,0.3492,0.0526,0.7849,0.5509,synthetic,round_0
104632-26-0,pa_h5n1,PA,H5N1,CCC[NH2+][C@H]1CCc2nc(N)sc2C1,3.943,0.5595,0.8816,0.8641,0.8975,0.0991,0.0036,synthetic,round_0
105462-24-6,pa_h5n1,PA,H5N1,O=P([O-])(O)C(O)(Cc1cccnc1)P(=O)([O-])O,4.892,0.7666,0.6848,0.7769,0.9446,0.5845,0.935,synthetic,round_0
105816-04-4,pa_h5n1,PA,H5N1,CC(C)[C@H]1CC[C@H](C(=O)N[C@H](Cc2ccccc2)C(=O)[O-])CC1,5.747,0.8837,0.9128,0.965,0.9667,0.3254,0.2027,synthetic,round_0
106266-06-2,pa_h5n1,PA,H5N1,Cc1nc2n(c(=O)c1CC[N@H+]1CC[C@H](c3noc4cc(F)ccc43)CC1)CCCC2,4.887,0.9501,0.9618,0.9697,0.839,0.4262,0.1297,synthetic,round_0
106308-44-5,pa_h5n1,PA,H5N1,NC(=O)c1cn(Cc2c(F)cccc2F)nn1,4.9,0.9138,0.9291,0.2729,0.3337,0.4308,0.7445,synthetic,round_0
106685-40-9,pa_h5n1,PA,H5N1,COc1ccc(-c2ccc3cc(C(=O)[O-])ccc3c2)cc1C12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3,4.485,0.4076,0.1831,0.7015,0.3053,0.4162,0.5213,synthetic,round_0
1069-66-5,pa_h5n1,PA,H5N1,CCCC(CCC)C(=O)[O-],5.349,0.6086,0.9508,0.8801,0.7476,0.4238,0.7398,synthetic,round_0
107-35-7,pa_h5n1,PA,H5N1,[NH3+]CCS(=O)(=O)[O-],5.188,0.8918,0.574,0.8839,0.9218,0.9894,0.1245,synthetic,round_0
1070-11-7,pa_h5n1,PA,H5N1,CC[C@H](CO)[NH2+]CC[NH2+][C@H](CC)CO,4.311,0.9432,0.8726,0.2676,0.6347,0.0513,0.132,synthetic,round_0
107133-36-8,pa_h5n1,PA,H5N1,CCC[C@H]([NH2+][C@@H](C)C(=O)N1[C@H](C(=O)[O-])C[C@@H]2CCCC[C@@H]21)C(=O)OCC,4.996,0.9731,0.9817,0.8971,0.284,0.3757,0.866,synthetic,round_0
107724-20-9,pa_h5n1,PA,H5N1,COC(=O)[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@@]23O[C@@H]2C[C@@]2(C)[C@@H](CC[C@@]24CCC(=O)O4)[C@H]13,4.822,0.3606,0.7258,0.7432,0.6581,0.5,0.4276,synthetic,round_0
108341-18-0,pa_h5n1,PA,H5N1,[NH3+]C[C@@H](O)c1ccc(O)c(O)c1,5.01,0.2182,0.2204,0.1154,0.2785,0.4138,0.8272,synthetic,round_0
1104-22-9,pa_h5n1,PA,H5N1,Cc1cccc(CN2CC[NH+]([C@@H](c3ccccc3)c3ccc(Cl)cc3)CC2)c1,3.12,0.402,0.5374,0.0257,0.1025,0.1034,0.1787,synthetic,round_0
111025-46-8,pa_h5n1,PA,H5N1,CCc1ccc(CCOc2ccc(C[C@@H]3SC(=O)NC3=O)cc2)nc1,5.004,0.9405,0.3184,0.6305,0.9496,0.5323,0.7114,synthetic,round_0
111406-87-2,pa_h5n1,PA,H5N1,C[C@@H](c1cc2ccccc2s1)N(O)C(N)=O,4.026,0.5602,0.1611,0.2064,0.4925,0.3494,0.0552,synthetic,round_0
1115-70-4,pa_h5n1,PA,H5N1,CN(C)C(=[NH2+])N=C(N)N,3.807,0.0105,0.1092,0.1104,0.0912,0.004,0.0154,synthetic,round_0
111974-72-2,pa_h5n1,PA,H5N1,OCCOCC[NH+]1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,4.66,0.7628,0.4147,0.5432,0.5146,0.5798,0.7247,synthetic,round_0
112529-15-4,pa_h5n1,PA,H5N1,CCc1ccc(CCOc2ccc(C[C@@H]3SC(=O)NC3=O)cc2)nc1,6.327,0.5559,0.9061,0.9939,0.99,0.2933,0.5898,synthetic,round_0
112809-51-5,pa_h5n1,PA,H5N1,N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1,4.551,0.7717,0.6659,0.7207,0.7334,0.304,0.2083,synthetic,round_0
112885-42-4,pa_h5n1,PA,H5N1,CCOc1cc(N)c(Cl)cc1C(=O)NC[C@H]1C[N@@H+](Cc2ccc(F)cc2)CCO1,5.853,0.6922,0.8348,0.6718,0.3881,0.7024,0.3982,synthetic,round_0
113-59-7,pa_h5n1,PA,H5N1,C[NH+](C)CC/C=C1/c2ccccc2Sc2ccc(Cl)cc21,5.765,0.9339,0.9774,0.9903,0.9503,0.5016,0.999,synthetic,round_0
