id,smiles,source
Z2207423134,Cc1cc(NC(=O)/C=C\c2ccc(OCC#N)cc2)ccc1-c1ccncc1,Enamine
Z73447879,CC(C)c1ccc(-c2nnc(NC(=O)CCCn3cnc4c3c(=O)n(C)c(=O)n4C)s2)cc1,Enamine
Z207325678,COc1cc2c(cc1NC(=O)CSc1nc(C)c(CC(N)=O)s1)oc1ccccc12,Enamine
Z9656925315,CN(C(=O)Nc1ccc(-c2cccs2)c(F)c1)[C@H]1CC[N@H+](C2CCOCC2)CC1,Enamine
Z595004620,O=C(Nc1ccc(-n2cccn2)c(F)c1)[C@H]1CC(=O)N(c2ccc3c(c2)OCO3)C1,Enamine
Z145761410,C[C@@]1(CSc2ccccc2C(=O)Nc2ccc(-c3nc4ccccc4s3)cc2)NC([O-])=NC1=O,Enamine
Z30927380,COc1cc2c(cc1NC(=O)CSCC(=O)Nc1cc(C)on1)oc1ccccc12,Enamine
Z2094442031,Cc1n[nH]c([C@H](C)NC(=O)[C@@H]2CC(=O)N(c3ccc4c(c3)Cc3ccccc3-4)C2)n1,Enamine
Z8610359644,C=CS(=O)(=O)N(Cc1cnn(-c2ccc(OC)cc2)c1)C[C@H]1CCC[C@@H]1N1CCCS1(=O)=O,Enamine
Z1344920909,O=C(CNC(=O)c1ccc2n[n-]nc2c1)Nc1ccc(-n2cnc3ccccc32)cc1,Enamine
Z5198544519,Cc1cc(-c2cccc(Cl)c2)ccc1NC(=O)CCC(=O)N1CCN(S(=O)(=O)c2ccc(Br)s2)CC1,Enamine
Z8587625640,CNC(=O)[C@H](c1ccc(-c2cccc([N+](=O)[O-])c2)s1)N1CCC2(CC1)CS(=O)(=O)C2,Enamine
Z4445302411,O=C(Nc1ccc(-c2nc(C3CCCC3)n[nH]2)cc1)c1cccc(CN2CCS(=O)(=O)CC2)c1,Enamine
Z1625829336,Cc1nn(Cc2ccccc2)c(C)c1[C@H]1COCCN1C(=O)CCN1CCCS1(=O)=O,Enamine
