id,smiles,source
Z5292438875,[NH3+]Cc1cn(-c2cccc(CNC(=O)N3CCC(c4c[nH]c[nH+]4)CC3)c2)nn1,Enamine
Z2902642557,C[NH+](C)CCn1ncc(-c2nc(-c3cccc(C[NH+]4CCCCC4)c3)no2)c1-c1ccccc1,Enamine
Z97464814,CC[NH+](CC)c1ccc(-c2nnc(SCC(=O)N[C@H]3CC[N@@H+](CC)CC3)n2-c2ccccc2)cc1,Enamine
Z8786581067,Cc1ccc(-c2cc(C(=O)NCCCOc3cc[nH+]cc3)c3cnn(C(C)C)c3n2)cc1,Enamine
Z4493819125,O=C(NC1CN(c2cc[nH+]cn2)C1)c1nn(-c2ccc(F)cc2)ccc1=O,Enamine
Z9458177884,[NH3+][C@@H]1CCOc2ccc(-c3cccc4c3OCO4)cc21,Enamine
Z2905395678,COc1cc(-c2ccc3c(c2)[C@H]([NH3+])CCO3)ccn1,Enamine
Z2242926241,C[C@@H]1C[C@H]([NH3+])CCN1C(=O)CCOc1ccccc1-c1ccccc1,Enamine
Z1352877997,[NH3+][C@@H]1CCOc2ccc(-c3ccccc3)cc21,Enamine
Z2998223793,Cc1cc(F)ccc1-c1ccc2c(c1)[C@H]([NH3+])CCO2,Enamine
Z5293266810,[NH3+][C@@H]1CCOc2ccc(-c3ccc(Cn4ccnc4)cc3)cc21,Enamine
Z5189147455,COCc1cccc(-c2ccc3c(c2)[C@H]([NH3+])CCO3)c1,Enamine
Z9154287458,COc1ccc(-c2cccc(C3([NH3+])CC3)n2)cc1C,Enamine
Z9154287456,COc1ncc(-c2cccc(C3([NH3+])CC3)n2)cn1,Enamine
Z2607498954,[NH3+]C[C@H]1CC(C(=O)N2CCC(c3nccc(-c4cncnc4)n3)CC2)=NO1,Enamine
Z8820658361,[NH3+][C@H]1CCc2c(-c3ccc4nncn4c3)cccc21,Enamine
Z5510577410,[NH3+][C@H]1CCc2c(-c3ccn4nccc4c3)cccc21,Enamine
Z9154287887,COc1ccc(C#N)cc1-c1cc(F)cc2c1CC[C@@H]2[NH3+],Enamine
Z5092179935,[NH3+][C@H]1CCc2c(-c3cc(O)ccc3OC(F)(F)F)cccc21,Enamine
Z2723017272,[NH3+][C@H]1CCc2c(-c3ccc(CO)cc3)cccc21,Enamine
Z9092833739,COc1cccnc1-c1cccc(C2([NH3+])CC2)c1,Enamine
Z9092833741,COc1cncc(-c2cccc(C3([NH3+])CC3)c2)c1,Enamine
Z3301456180,COc1cc(-c2cc(-c3ccccn3)nc(-c3cccc[nH+]3)c2)ccc1O,Enamine
Z2756849135,Oc1ccc(-c2cc(-c3ccccn3)nc(-c3cccc[nH+]3)c2)cc1,Enamine
Z3888747310,[NH3+]Cc1ccc2c(c1)CC[C@@H]2NC(=O)c1ccc2[nH]cc(C3CC[NH2+]CC3)c2c1,Enamine
Z4646966717,Cn1ncc2cc(-c3ccc(F)c(C[NH3+])c3F)cnc21,Enamine
Z4014745164,Nc1cc(-c2cccc(C[NH3+])c2)[nH+]c(N)n1,Enamine
Z4620641470,COc1cc[nH+]c(-c2cc(C)cc(C[NH3+])c2)c1,Enamine
Z3462560029,c1cncc(-c2cncc([C@@H]3CCC[NH2+]3)n2)c1,Enamine
Z8416129935,[NH3+]Cc1ccc(NC(=O)c2cc(C3C[NH2+]C3)[nH]n2)cc1Cl,Enamine
Z5085391918,C[NH2+]Cc1cccc(-c2cccc3nn(C)cc23)n1,Enamine
Z9154287888,[NH3+][C@H]1CCc2c(-c3cccc4nsnc34)cc(F)cc21,Enamine
Z3777239145,Cn1ncc2ncc(-c3cccc(C[N@H+]4C[C@@H](O)C4)c3)cc21,Enamine
Z2998255098,Cn1ncc2ncc(-c3cccc(C[NH2+]C4CCOCC4)c3)cc21,Enamine
Z7060063108,Cn1ncc2ncc(-c3cccc(C[NH3+])c3)cc21,Enamine
Z221425422,Cc1c/c(=[NH+]/C(=O)c2nn(-c3ccccc3)c(=O)c3ccccc23)cc[nH]1,Enamine
Z3484539522,[NH3+]Cc1cc(-c2cnc3[nH]ccc3c2)ccc1F,Enamine
Z3506537312,CCc1c[nH]c2ncc(-c3cccc(C[N@H+]4CC[C@H](O)CC4)c3)cc12,Enamine
Z5798031272,CCc1c[nH]c2ncc(-c3cccc(C[N@H+]4CCC[C@@H](O)C4)c3)cc12,Enamine
Z3777239212,Cc1c[nH]c2ncc(-c3cccc(C[N@H+]4C[C@@H](O)C4)c3)cc12,Enamine
Z3776885459,CCc1c[nH]c2ncc(-c3cccc(C[NH+]4CCS(=O)(=O)CC4)c3)cc12,Enamine
Z5798016285,CCc1c[nH]c2ncc(-c3ccc(OC)c(C[NH+](C)C)c3)cc12,Enamine
Z5292485800,COC(=O)c1c[nH]c2ncc(-c3cccc(C[NH+](C)C)c3)cc12,Enamine
Z4387849826,Nc1cnn2cc(-c3cccc(C[NH+]4CCS(=O)(=O)CC4)c3)cnc12,Enamine
Z2998195945,CC(C)[NH2+]Cc1cc(-c2cnc3ccnn3c2)ccc1F,Enamine
Z4141146435,Fc1cc(C[N@H+]2C[C@H]3C[C@H](C3)C2)cc(-c2cccnc2)c1,Enamine
Z8908003525,[NH3+]Cc1cccc(-c2cnc3c(c2)OCC(=O)N3)c1,Enamine
Z4999463725,Cc1cc2c(-c3cccc(C[NH+]4CCS(=O)(=O)CC4)c3)ncnc2[nH]1,Enamine
Z5292517540,Cc1nc(-c2cccc(C[N@H+]3CCC[C@@H]3C)c2)c2cc[nH]c2n1,Enamine
Z9143590248,C[NH2+]Cc1cccc(-c2cccc(C(=O)N(C)C)c2F)n1,Enamine
Z219862166,CN(Cc1ccc([NH+]2CCCCC2)cc1)C(=O)NCc1ccc(C[NH+]2CCCC2)cc1,Enamine
Z6271720993,C[C@H]([NH3+])c1cc(-c2cnc3ccccc3c2)ccc1F,Enamine
Z3484595523,COc1ccc(-c2ccc3[nH]c(C)[nH+]c3c2)cc1C[NH+](C)C,Enamine
Z3242751340,Cc1[nH]c2ccc(-c3cccc(C[NH3+])c3)cc2[nH+]1,Enamine
Z3347739310,OCc1[nH]c2ccc(-c3cccc(C[NH+]4CCCC4)c3)cc2[nH+]1,Enamine
Z3777234701,Cn1c(CO)[nH+]c2ccc(-c3cccc(C[N@H+]4CCC[C@H](O)C4)c3)cc21,Enamine
Z3810944027,COc1ccc(-c2cn3cc(N)nc3cn2)cc1C[NH+](C)C,Enamine
Z1918371735,CSC1(C[NH2+]Cc2cccc(-c3cccnc3)c2)CC1,Enamine
Z1904763042,C[C@@H]([NH2+]Cc1cccc(-c2cccnc2)c1)c1ccc(N2CCNC2=O)cc1,Enamine
Z1757878354,O=C(NC1CC1)c1noc([C@H]2CCC[N@@H+]2Cc2cccc(-c3cccnc3)c2)n1,Enamine
Z2177234393,O=C(NC[C@@H]1CCC[N@@H+](Cc2cccc(-c3cccnc3)c2)C1)C(F)(F)F,Enamine
Z2188448014,C#C[C@H]([NH2+]Cc1cccc(-c2cccnc2)c1)c1ccc(F)cc1,Enamine
Z2385397860,O[C@@H]1C[C@H](c2nc[nH]n2)C[C@@H]1C[NH2+]Cc1cccc(-c2cccnc2)c1,Enamine
Z3686126142,O[C@@H]1C[C@@H](Cn2ccnc2)C[C@H]1[NH2+]Cc1cccc(-c2cccnc2)c1,Enamine
Z1626135329,CCNS(=O)(=O)[C@H]1CC[N@@H+](Cc2cccc(-c3cccnc3)c2)C1,Enamine
Z8989654527,O=S1(=O)C[C@H]2CC[C@@H](C1)[N@@H+]2Cc1cccc(-c2cccnc2)c1,Enamine
