id,smiles,source
Z9352686734,Cn1nc(Br)c(C[NH2+][C@H](CO)c2ccc(C(=O)[O-])cc2)n1,Enamine
Z8866082194,N[C@H]1C[C@@H](C(=O)N(Cc2ccccc2)[C@@H]2C[NH2+]C[C@H]2O)C[C@@H]1O,Enamine
Z18356072,COC(=O)c1sc(N)c(C(=O)OC)c1CSc1n[nH]c(N)n1,Enamine
Z9241054837,O=C(c1cnc(Cl)[n-]1)N1C[C@@H](O)C[C@H](NC(=O)[C@@]23CCC[N@@H+](CC2)C3)C1,Enamine
Z9402735312,C[C@@H](OC(=O)[C@@H]1CC2OC1[C@H](O)[C@H]2O)c1cccc[nH+]1,Enamine
Z2044040104,C[N@H+]1CC[C@@H](Oc2ccc(CNC(=O)NCCF)cc2)CC1,Enamine
Z7255733044,[NH3+][C@@H]1C[C@@H](O)[C@H]1CC(=O)N1CCNC[C@@H](O)C1,Enamine
Z5379185851,Cc1ccc(NS(=O)(=O)c2cccc(C(=O)N3CCC[NH2+]CC3)c2)c2[nH]cc(C#N)c12,Enamine
Z56761636,O=c1[nH]c([O-])c(C(c2c([O-])[nH]c(=O)[nH]c2=O)[C@H]2COC[C@@H](CO)[C@H](O)[C@@H](O)[C@H]2O)c(=O)[nH]1,Enamine
Z5210478367,N#Cc1cnn2c([O-])cc(CN[C@H](CCO)C3CCCCC3)nc12,Enamine
Z57461374,CCOc1cc([C@H]2C(C(=O)c3cc4ccccc4o3)=C([O-])C(=O)N2CC[NH+]2CCOCC2)ccc1O,Enamine
Z9270850654,O=C(OCc1ccc(F)c(B(O)O)c1)[C@H]1CCCC[N@H+]1CC(F)F,Enamine
Z336481792,CC[NH+](CC)CCCN1C(=O)C([O-])=C(C(=O)c2c(C)[nH]c(C(=O)OC)c2C)[C@@H]1c1cccnc1,Enamine
Z4916211724,Cc1ncc(CO)c([C@H]2[NH2+][C@@H](C(=O)[O-])Cc3[nH]cnc32)c1O,Enamine
Z6956367171,C[C@@H](O)C[N@H+]1C[C@@]2(CN(C(=O)c3cc[nH]c(=O)c3)CC(C)(C)O2)C1,Enamine
Z4587692342,CC[C@H](N)C[N@@H+](C)C[C@H](O)c1cccc(O)c1,Enamine
Z1757227902,CNC(=O)NCC(=O)N1CC[C@H](Oc2ccc[nH+]c2N(C)C)C1,Enamine
Z7255731761,[NH3+]Cc1cc(C(=O)N2CCNC[C@@H](O)C2)no1,Enamine
Z7158456691,C[C@H]1COCC[N@@H+]1CCOc1cccc(B(O)O)c1C=O,Enamine
Z4185520948,CCc1cc(C(=O)NC[C@]23CCCN(C(=O)C[NH+](C)C)[C@H]2C3)[nH]n1,Enamine
Z5373911585,Cc1ccc(C(=O)[NH+]=C(N)N)cc1Oc1cc[nH+]cc1,Enamine
Z8185367231,Nc1nc(CCNC(=O)[C@@H]2CC[C@@H]3CCCC[N@@H+]32)cc(=O)[nH]1,Enamine
Z2044042826,C#C[C@@H](NC(=O)NCc1ccc(O[C@H]2CC[N@@H+](C)CC2)cc1)C(C)C,Enamine
Z3099175868,O=C(NCCc1ccc2c(c1)CCO2)N[C@@H]1C[C@@H](C(=O)[O-])c2ccccc21,Enamine
Z7573279542,Cn1cc[nH+]c1[C@H](NC(=O)Cn1cnc2c(=O)[nH]c(N)nc21)C1CC1,Enamine
Z104475610,OC[C@H]1O[C@@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@@H](O)[C@H]2O)[C@H](O)[C@H](O)[C@H]1O,Enamine
Z9720315160,Nc1[nH]nc(C(=O)NOCC[NH3+])c1-c1ccccc1,Enamine
Z9571731138,O=C(OCc1cccc(B(O)O)c1)[C@H]1CCCC[N@H+]1CC(F)F,Enamine
Z2767968059,NC(=O)[C@@H]1CC[C@H](C(=O)NC/C=C/CO)[N@@H+]1Cc1ccccc1,Enamine
Z5084941516,O=C(NCc1cc([O-])n2nccc2n1)N[C@H]1CCOc2ccc(O)cc21,Enamine
Z7158454378,C[N@@H+]1CCC[C@@H]1C(=O)N[C@H]1C[C@H](O)CN(C(=O)c2cc([O-])nc3ccc(F)cc23)C1,Enamine
Z3686368056,C[C@@H]1COC[C@@](CO)(CNc2nc(C(F)(F)F)c3nc[n-]c3n2)[N@@H+]1C,Enamine
Z1537080948,Nc1ccc2c(N[C@H]3CCC[C@@H](O)C3)ncnc2[nH+]1,Enamine
Z9303534361,[NH3+][C@@H](Cc1ccc([O-])c(F)c1)C(=O)Nc1cccc2c1CCN2,Enamine
Z2353363048,C[C@@H](NC(=O)N[C@H]1CCN([C@H](C(=O)[O-])c2ccccc2)C1=O)c1cccc(O)c1,Enamine
Z8717028730,C=C(Nc1cc(S(N)(=O)=O)ccc1O)C1=C([O-])C=C2Oc3c(C(C)=O)c(O)c(C)c(O)c3[C@@]2(C)C1=O,Enamine
Z4327991867,COc1cc(CNC(=O)NCCCC(=O)[O-])cc(Br)c1OC,Enamine
Z8791071473,C[C@H]1C[C@@H](N(C)C(=O)c2cc3nc([O-])cc(N)n3n2)CC[N@@H+]1C,Enamine
Z1098335451,Cc1cc(B(O)O)ccc1OCC[NH+]1CCOCC1,Enamine
Z7309674980,O=Cc1cc(OCC[N@H+]2C[C@H]3CC[C@@H](C2)O3)ccc1B(O)O,Enamine
Z8308734881,Nc1[nH]c(=O)[nH]c(=O)c1C(=O)C[N@@H+]1CCC[C@H](OC2C[NH2+]C2)C1,Enamine
Z8623889308,O=S(=O)(c1cnc[nH]1)N1CC[C@@H]2C[C@]2(B(O)O)C1,Enamine
Z2798415226,C[C@@H](NC(=O)N[C@H]1C[C@H](C(=O)[O-])C1)c1cccc(OC(F)(F)F)c1,Enamine
Z8450101735,Cc1nc(CC(=O)N2C[C@H](O)C[C@H]2CNC(=O)[C@@]23C[C@@H](O)[C@@H]2C3)n[nH]1,Enamine
Z9165788169,COC(=O)c1cc(B(O)O)cc(C(=O)OC[C@@H](C)[NH+](C)C)c1,Enamine
Z1748171175,COC(=O)C(C)(C)[NH+]1CCN(C(=O)C[C@H](NC(N)=O)c2cccs2)CC1,Enamine
Z8435289732,O=C(C[C@@H](O)c1nc2ccccc2[nH]1)N[C@H]1COCc2ccc[nH+]c21,Enamine
Z9720316299,Cn1cc[nH+]c1SCC(=O)NCC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)[O-],Enamine
Z2068881552,CNS(=O)(=O)NCc1cccc(C[N@@H+]2CCC[C@@H](C(N)=O)C2)c1,Enamine
Z7158514106,CC(C)c1cccc(COc2ccc(B(O)O)c(C=O)c2)[nH+]1,Enamine
Z2382692627,CNC(=O)C[C@@]1(O)CCCN(S(=O)(=O)CC[NH+]2CCCC2)C1,Enamine
Z5027903403,Nc1nc2nc(C[N@H+]3C[C@@H](O)C[C@H]3c3ccc(Br)cc3)cc([O-])n2n1,Enamine
Z9127217645,O=C1N[C@]2(CO1)C[C@H](C(=O)N1CCc3n[nH]c(O)c3CC1)C2,Enamine
Z2306731191,Nc1nc2c(nc(Br)n2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,Enamine
Z56765873,CC1(C)N(c2ccc(S(=O)(=O)[O-])cc2[N+](=O)[O-])N(Cc2ccccc2F)C(N)=[N+]1N,Enamine
Z2721348329,Cc1[nH+]cc(S(=O)(=O)N2CCc3[nH]c4ccc(C(=O)[O-])cc4c3C2)n1C,Enamine
Z5630888006,C[NH+](C)CCOc1ccc(CCNC(=O)c2n[nH]c3c2CNC3)cc1,Enamine
Z2353345556,COc1ccc(CNC(=O)N[C@H]2CC[C@@H](C(=O)[O-])CC2)cc1C#N,Enamine
Z5435122294,C[C@@H](O)C[N@H+]1CCCN(C(=O)Cn2cnc3c(=O)[nH]c(N)nc32)CC1,Enamine
Z2792311267,Cc1cc(N/N=C2/CC[C@@H]3CNc4cccc2c43)[nH+]c(N)n1,Enamine
Z9302939744,C[N@H+]1CCC[C@H](C(=O)OCc2ccc(B(O)O)c(F)c2)C1,Enamine
Z9353829167,CC(C)(C)OC(=O)NC[C@H]1C[C@H](C(=O)[O-])CN(C(=O)C2([C@]3(O)CC[N@H+](C)CC3)CC2)C1,Enamine
Z2362297456,COc1ccc([C@@H](NC(=O)N[C@H]2CC[C@@H](C(=O)[O-])CC2)C(F)(F)F)cc1,Enamine
Z229164430,NC(=O)[C@H]1CN(c2nc(C[NH+]3CCCCC3)nc3scc(-c4ccccc4)c23)CCN1,Enamine
Z2055922436,C[N@H+]1CC[C@@H]2OCCN(C(=O)C[C@@H](NC(N)=O)c3cccs3)[C@@H]2C1,Enamine
Z4507791618,Nc1nc(C(=O)N2CC[C@@H]3COC[C@H](C2)[N@@H+]3Cc2ccccc2)n[nH]1,Enamine
Z9094583134,CO[C@@]1(C(F)(F)C(=O)Nc2cn[nH]c2C(=O)NC2CC2)CC[NH2+]C1,Enamine
Z8849664612,COc1cc([C@H](C)NC(=O)NCc2cc([O-])n3nccc3n2)cc2ccccc12,Enamine
Z8559403852,C[N@@H+](Cc1ccc(C(=O)[O-])cc1)Cc1cn(-c2cc(CO)cc([N+](=O)[O-])c2)nn1,Enamine
Z9499550576,CC[C@H](NC[C@H](O)Cn1cc(C(=O)[O-])cn1)c1ccc2c(c1)OCCO2,Enamine
Z5210478335,CC(C)[C@@H](NCc1cc([O-])n2ncc(C#N)c2n1)[C@H](O)c1ccccc1,Enamine
Z2654828003,C[C@H]1CCC[N@H+](Cc2cc([O-])n3nc(N)nc3n2)[C@H]1C(=O)OC(C)(C)C,Enamine
Z2335477707,O=C([C@H]1C[N@@H+](C2CCCCC2)C1)N1CC[C@@H](O)[C@@H](CO)C1,Enamine
Z1213744663,CCCOc1ccc(/C([O-])=C2\C(=O)C(=O)N(CCC[NH+]3CCOCC3)[C@@H]2c2ccc(O)cc2)cc1,Enamine
Z234972552,CC[C@H](NC(=O)NCc1cccc([N-]S(C)(=O)=O)c1)c1ccc(OC)cc1,Enamine
Z2936915284,C[C@](O)(C[C@@H](O)CN1CCC[C@@H](N2CC[NH2+]CC2=O)C1)C1CC1,Enamine
Z32810225,NC(=O)N[C@@H](CC(=O)N1CC[NH+](C[C@@H]2CCCO2)CC1)c1ccc(Cl)cc1,Enamine
Z6394429857,C[C@H]1C[N@@H+](C)C[C@@H](C(=O)N[C@@H]2CC[C@H](O)CN(C(=O)[C@H]([O-])C(F)(F)F)C2)O1,Enamine
Z1643252312,O=C1C[C@H]2CC[C@@H](CN1)[N@H+]2CC1(C[N@@H+]2[C@@H]3CC[C@H]2CC(=O)NC3)COC1,Enamine
Z2242164947,C[N@@H+](CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc([N-]S(C)(=O)=O)cc1,Enamine
Z56791045,Nc1n[nH]c(CCc2n[nH]c(N)n2)n1,Enamine
Z1006427784,NC(=O)N[C@H](Cc1ccccc1)C(=O)NC[C@H]1C[N@H+]2CCC[C@@H]2CO1,Enamine
Z3382891971,N[C@H](C(=O)NCc1cc(O[C@H]2CC[NH2+]C2)cc[nH+]1)c1ccc(F)c(Cl)c1,Enamine
Z9498005012,O=C(Cc1c[nH+]c2c([O-])nccn12)N[C@@H]1CN(C(=O)[C@H]2C[C@@H](n3cc[nH+]c3)C2)CC12CC2,Enamine
Z18356146,C/C(N)=C(/C#N)C(=O)CSc1n[nH]c(N)n1,Enamine
Z2736221492,Nc1nc2c(c(=O)[nH]1)CCN(C(=O)c1[nH+]cccc1[O-])C2,Enamine
Z507419456,C[NH+](C)CCOc1cccc(CNC(=O)Nc2ccc[nH+]c2)c1,Enamine
Z4767482514,Nc1nc(N)c2nc(CN3CCNC(=O)C3)cnc2[nH+]1,Enamine
Z4069711847,O=C(c1cc(B(O)O)ccc1F)N1C[C@H](O)CO1,Enamine
Z1421318506,CC[C@H](O)[C@@H]1CCCC[N@H+]1C[C@H](O)COc1cccc2[nH]ccc12,Enamine
Z6214170292,Nc1nc2c(nc(NCc3ccc[nH+]c3)n2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,Enamine
Z1213744656,CCCCOc1ccc(C(=O)C2=C([O-])C(=O)N(CC[NH+]3CCOCC3)[C@H]2c2ccc(O)cc2)cc1,Enamine
Z1762717522,CC[C@H](C(=O)N1C[C@@H](O)[C@H]([N@H+](C)CC(=O)[O-])C1)[NH+](CC)CC,Enamine
Z1762716552,C[C@H](C(=O)N1C[C@@H](O)[C@H]([N@@H+](C)CC(=O)[O-])C1)[NH+]1CCCCCC1,Enamine
Z3509430535,Cc1c[nH]c(/C=C\C(=O)NC(C)(C)/C=C/C(=O)[O-])[nH+]1,Enamine
Z2904061907,CC(=O)Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,Enamine
Z2240938943,CC(/C=N\N=C(\[NH-])N)=N/N=C(/[NH-])N,Enamine
Z5171203043,CC(C)[C@H](CC[NH3+])C(=O)N[C@@H]1C[C@@H](O)[C@@H](O)C1,Enamine
Z2363827683,C[C@H](O)[C@H](O)[C@H]1CNc2nc(N)[nH]c(=O)c2N1,Enamine
Z4414833540,Nc1nc(OCC(F)(F)F)c(-c2cccc3c2CCN3)c[nH+]1,Enamine
Z8866082508,O=C(NCC[C@H]1CCN(C(=O)[C@]23CC=CC[N@H+]2CCC3)C1)c1[nH]ccc1C1CC1,Enamine
Z8967741842,C[C@@H]1CCCC[N@@H+]1CCCNC(=O)c1cc(=O)[nH]c2c1CCCN2,Enamine
Z8289372381,NC(=O)[C@@H](c1ccc(Br)cc1F)[N@H+]1CC[C@@H]([C@@H](O)c2ncc[nH]2)CC1,Enamine
Z1439947878,O=C(NCc1cccc(OCC[NH+]2CCOCC2)c1)N[C@@H]1CCc2n[nH]cc2C1,Enamine
Z56787399,O=C1N[C@H](c2ccc(O)cc2)[C@@H](C(=O)c2cccnc2)[C@](O)(C(F)(F)F)N1,Enamine
Z9082334497,Nc1nc(OCC(F)(F)F)c(-c2ccnc3[nH]ccc23)c[nH+]1,Enamine
Z9043310038,C[N@H+](CCOc1cccc(Cl)c1)[C@@H](C(N)=O)c1ccc(-c2nnn[n-]2)cc1,Enamine
Z507062692,CC[NH+](CC)CCOc1ccc(CNC(=O)NCc2ccc(NS(C)(=O)=O)cc2)cc1,Enamine
Z3890087683,CNC(=O)Nc1cc(NC(=O)[C@H]2[NH2+]CC[C@H]2C)ccc1F,Enamine
Z2867534401,C[N@H+]1CC[C@H](Cc2nc(-c3cccc(B(O)O)c3)no2)CC1,Enamine
