compound_id,target_id,isomeric_smiles,glidesp_pr,pignet2_pr,ligunity_pr,boltz2_pr,balm_pr,mammal_pr,exact_mol_wt,logp,tpsa,hbd,hba,rotatable_bonds,ring_count,aromatic_ring_count,heavy_atom_count,fraction_csp3,qed
68-19-9,furin,CC1=C2N[C@@](C)([C@@H]3N=C(/C(C)=C4\N=C(/C=C5\N=C1[C@@](C)(CC(N)=O)[C@@H]5CCC(N)=O)C(C)(C)[C@@H]4CCC(N)=O)[C@](C)(CCC(=O)NC[C@@H](C)OP(=O)([O-])O[C@H]1[C@@H](O)[C@@H](n4cnc5cc(C)c(C)cc54)O[C@@H]1CO)[C@H]3CC(N)=O)[C@@](C)(CC(N)=O)[C@@H]2CCC(N)=O,0.9808,0.4331,0.4856,0.7037,0.3137,0.138,1270.63950473791,2.531240000000007,462.85,10,20,26,8,2,90,0.6290322580645161,0.0605113507519643
70476-82-3,furin,O=C1c2c(O)ccc(O)c2C(=O)c2c(NCC[NH2+]CCO)ccc(NCC[NH2+]CCO)c21,0.9962,0.5944,0.0923,0.658,0.3928,0.0954,446.21543752018,-2.1915999999999953,172.34,8,8,12,3,2,32,0.3636363636363636,0.1144220371524388
1405-89-6,furin,CC[C@@H](C)[C@@H](N)C1=NC[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](CCC(=O)[O-])C(=O)N[C@H](C(=O)N[C@H]2CCCCNC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](CC(=O)[O-])NC(=O)[C@H](Cc3cnc[nH]3)NC(=O)[C@@H](Cc3ccccc3)NC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@@H](CCC[NH3+])NC2=O)[C@@H](C)CC)S1,0.8585,0.999,0.8388,0.8528,0.4483,0.6799,1420.7416647639095,-5.063799999999993,538.1499999999999,15,20,31,4,2,100,0.6363636363636364,0.0335884805891634
179463-17-3,furin,CC[C@@H](C)C[C@H](C)CCCCCCCCC(=O)N[C@H]1C[C@@H](O)[C@@H](NCC[NH3+])NC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@H](O)CC[NH3+])NC(=O)[C@H]([C@@H](O)[C@H](O)c2ccc(O)cc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,0.8593,0.9955,0.485,0.6588,0.071,0.2543,1094.6576150201802,-4.745500000000019,415.27,16,16,23,4,1,77,0.75,0.0457809547651863
83-88-5,furin,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@@H](O)[C@H](O)CO)c2cc1C,0.9184,0.9867,0.897,0.7576,0.312,0.8712,376.13828435999994,-1.7235599999999989,161.56,5,9,5,3,1,27,0.4117647058823529,0.3284121594560428
152520-56-4,furin,O[C@@H](C[NH2+]C[C@H](O)[C@@H]1CCc2cc(F)ccc2O1)[C@@H]1CCc2cc(F)ccc2O1,0.7725,0.8053,0.2017,0.4516,0.0533,0.0251,406.18244117209,1.3374000000000006,75.53000000000002,3,4,6,4,2,29,0.4545454545454545,0.6769069977920487
1264-72-8,furin,CC[C@@H](C)CCCC(=O)N[C@@H](CC[NH3+])C(=O)N[C@H](C(=O)N[C@@H](CC[NH3+])C(=O)N[C@H]1CCNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CC[NH3+])NC(=O)[C@H](CC[NH3+])NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CC[NH3+])NC1=O)[C@@H](C)O,0.6401,0.3442,0.8088,0.5383,0.0319,0.005,1159.78630945645,-9.415499999999948,498.75999999999976,18,13,28,1,0,81,0.7884615384615384,0.0346736956691605
99592-39-9,furin,Clc1ccc([C@@H](Cn2cc[nH+]c2)OCc2csc3c(Cl)cccc23)c(Cl)c1,0.8713,0.7321,0.5998,0.3775,0.2483,0.6414,437.00434359209,6.435200000000004,28.3,0,3,6,4,4,27,0.15,0.3405091888506124
79307-93-0,furin,C[N@H+]1CCC[C@H](n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1,0.7322,0.9425,0.8476,0.565,0.6957,0.3875,382.16806652009,2.8804000000000016,39.33,1,3,3,4,3,27,0.3636363636363636,0.7561486361239591
402957-28-2,furin,CCC[C@H](NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)c1cnccn1)C1CCCCC1)C(C)(C)C)C(=O)C(=O)NC1CC1,0.9755,0.8893,0.8788,0.8482,0.6699,0.9067,679.4057324160001,2.4459000000000035,179.56,4,8,13,5,1,49,0.7222222222222222,0.2296749085578938
