compound_id,target_id,branch_sequence,branch_pose,branch_structure,consensus_123,disagreement_sd,disagreement_range,disagreement_branch_sd,structure_minus_pose,sequence_minus_structure
68-19-9,furin,0.22585,0.70695,0.59465,0.5706166666666667,0.2975213118416898,0.8428,0.2516882794251651,-0.11229999999999996,-0.3688
70476-82-3,furin,0.24409999999999998,0.7953,0.37515,0.49335833333333334,0.3511792386612094,0.9038999999999999,0.287958783219636,-0.42015,-0.13105
1405-89-6,furin,0.5640999999999999,0.92875,0.8458,0.8264999999999999,0.19127164714091843,0.5507,0.19113922281938892,-0.08294999999999997,-0.28170000000000006
179463-17-3,furin,0.16265000000000002,0.9274,0.5719000000000001,0.6221916666666666,0.35411395576377197,0.9245000000000001,0.3826896860817303,-0.3554999999999999,-0.40925000000000006
83-88-5,furin,0.5916,0.95255,0.8273,0.8297666666666667,0.24607000968559065,0.6747000000000001,0.18326981702760914,-0.12524999999999997,-0.23570000000000002
152520-56-4,furin,0.0392,0.7888999999999999,0.32665,0.432825,0.34767676032008044,0.7802,0.37823111431151896,-0.46224999999999994,-0.28745
1264-72-8,furin,0.018449999999999998,0.49215,0.67355,0.5039,0.3281344566891241,0.8038,0.3382439110070325,0.1814,-0.6551
99592-39-9,furin,0.44484999999999997,0.8017,0.48865000000000003,0.5857,0.22942008630457794,0.623,0.19461957121523002,-0.31304999999999994,-0.04380000000000006
79307-93-0,furin,0.5416,0.83735,0.7062999999999999,0.7225333333333334,0.19868746731152087,0.5549999999999999,0.1481937105053158,-0.1310500000000001,-0.16469999999999996
402957-28-2,furin,0.7883,0.9324,0.8634999999999999,0.8739333333333333,0.10295490274872779,0.3056,0.07207294915569919,-0.06890000000000007,-0.07519999999999993
22916-47-8,furin,0.31865,0.6755,0.7593000000000001,0.657925,0.256052872795184,0.684,0.2340002795582376,0.0838000000000001,-0.4406500000000001
83915-83-7,furin,0.15135,0.91805,0.52765,0.5950666666666667,0.4004962659001954,0.8197,0.38337160823409966,-0.3904000000000001,-0.37629999999999997
14028-44-5,furin,0.56135,0.71795,0.65535,0.66055,0.16334551621231191,0.4522999999999999,0.07882292390753676,-0.06259999999999999,-0.09399999999999997
439081-18-2,furin,0.93745,0.8566,0.80185,0.8427000000000001,0.08112528582384164,0.2519,0.06821735482998446,-0.054750000000000076,0.13560000000000005
548-73-2,furin,0.39235,0.579,0.52835,0.5225666666666667,0.18665558657591794,0.506,0.09652257507961544,-0.05064999999999997,-0.136
