compound_id,exact_mol_wt,logp,tpsa,hbd,hba,formal_charge,rotatable_bonds,ring_count,aromatic_ring_count,heavy_atom_count,fraction_csp3,structural_alert_count,qed
68-19-9,1270.6395047379099,2.531240000000007,462.84999999999997,10,19,-1,26,8,2,90,0.6290322580645161,1,0.06051135075196437
70476-82-3,446.21543752018,-2.1915999999999953,172.34,8,8,2,12,3,2,32,0.36363636363636365,2,0.11442203715243884
1405-89-6,1420.7416647639095,-5.063799999999993,538.1499999999999,15,20,-1,31,4,2,100,0.6363636363636364,0,0.03358848058916341
179463-17-3,1094.6576150201802,-4.745500000000019,415.27,16,16,2,23,4,1,77,0.75,1,0.04578095476518636
83-88-5,376.13828435999994,-1.7235599999999989,161.56,5,8,0,5,3,1,27,0.4117647058823529,1,0.3284121594560428
152520-56-4,406.18244117208997,1.3374000000000006,75.53000000000002,3,4,1,6,4,2,29,0.45454545454545453,0,0.6769069977920487
1264-72-8,1159.78630945645,-9.415499999999948,498.75999999999976,18,13,5,28,1,0,81,0.7884615384615384,0,0.03467369566916052
99592-39-9,437.00434359209,6.435200000000004,28.3,0,2,1,6,4,4,27,0.15,0,0.3405091888506124
79307-93-0,382.16806652009,2.8804000000000016,39.33,1,2,1,3,4,3,27,0.36363636363636365,0,0.7561486361239591
402957-28-2,679.4057324160001,2.4459000000000035,179.56,4,8,0,13,5,1,49,0.7222222222222222,1,0.2296749085578938
22916-47-8,414.99330024009004,5.873900000000003,28.3,0,1,1,6,3,3,25,0.16666666666666666,0,0.4930387662168743
83915-83-7,405.22637109199997,-3.177199999999994,144.82,2,5,0,12,2,1,29,0.5714285714285714,1,0.352332132035191
14028-44-5,314.10546626409,2.4030000000000005,41.44,1,3,1,0,4,2,22,0.23529411764705882,0,0.8110775890658081
439081-18-2,486.17027201209,2.9728000000000003,89.81,3,6,1,8,4,3,34,0.2916666666666667,1,0.42413027513605844
548-73-2,380.17688161609004,2.2613000000000003,59.300000000000004,2,2,1,6,4,3,28,0.2727272727272727,1,0.6447658529130625
849217-68-1,502.17727554009,4.959900000000004,100.03000000000002,2,5,1,8,5,4,37,0.17857142857142858,1,0.3319292272180311
753498-25-8,393.21726920809,2.122699999999999,89.93,4,3,1,6,4,3,29,0.375,0,0.5171431157408912
56390-09-1,544.18133720009,-0.7154999999999982,207.69,6,11,1,5,5,2,39,0.4444444444444444,1,0.22100247806577933
5370-01-4,180.13829061609,1.3126399999999998,36.870000000000005,1,1,1,3,1,1,13,0.45454545454545453,0,0.7478639675821351
90357-06-5,430.06104080800003,2.8795800000000007,107.25999999999999,2,5,0,5,2,2,29,0.2222222222222222,2,0.5604120760868545
107007-99-8,313.20228784009,0.9013000000000007,51.36,2,2,1,2,4,2,23,0.5555555555555556,0,0.8654813653793025
64872-77-1,411.02507903609,6.056100000000003,19.07,0,1,1,7,3,3,25,0.21052631578947367,1,0.43177415234328587
