compound_id,target_id,is_h3n2,is_h5n1,glidesp_pr_x_h3n2,pignet2_pr_x_h3n2,ligunity_pr_x_h3n2,boltz2_pr_x_h3n2,balm_pr_x_h3n2,mammal_pr_x_h3n2,glidesp_pr_x_h5n1,pignet2_pr_x_h5n1,ligunity_pr_x_h5n1,boltz2_pr_x_h5n1,balm_pr_x_h5n1,mammal_pr_x_h5n1
1004316-88-4,pa_h3n2,1,0,0.605,0.7508,0.6904,0.7406,0.3106,0.7089,0.0,0.0,0.0,0.0,0.0,0.0
100643-71-8,pa_h3n2,1,0,0.9537,0.9623,0.9956,0.9702,0.969,0.77,0.0,0.0,0.0,0.0,0.0,0.0
101-26-8,pa_h3n2,1,0,0.0381,0.0629,0.6844,0.9001,0.6583,0.0893,0.0,0.0,0.0,0.0,0.0,0.0
101477-54-7,pa_h3n2,1,0,0.9893,0.9353,0.9942,0.9651,0.0224,0.3805,0.0,0.0,0.0,0.0,0.0,0.0
101827-46-7,pa_h3n2,1,0,0.5632,0.2789,0.3175,0.1029,0.0031,0.1074,0.0,0.0,0.0,0.0,0.0,0.0
103-16-2,pa_h3n2,1,0,0.9394,0.9867,0.9777,0.9973,0.4234,0.858,0.0,0.0,0.0,0.0,0.0,0.0
103177-37-3,pa_h3n2,1,0,0.6277,0.6064,0.0925,0.0536,0.6244,0.6368,0.0,0.0,0.0,0.0,0.0,0.0
10405-02-4,pa_h3n2,1,0,0.1067,0.2939,0.9397,0.5691,0.1105,0.3972,0.0,0.0,0.0,0.0,0.0,0.0
1041434-82-5,pa_h3n2,1,0,0.9825,0.8816,0.9593,0.8285,0.7448,0.7171,0.0,0.0,0.0,0.0,0.0,0.0
104227-87-4,pa_h3n2,1,0,0.4815,0.43,0.5744,0.1552,0.7829,0.2105,0.0,0.0,0.0,0.0,0.0,0.0
104632-26-0,pa_h3n2,1,0,0.0968,0.1576,0.9644,0.9827,0.3429,0.0227,0.0,0.0,0.0,0.0,0.0,0.0
105462-24-6,pa_h3n2,1,0,0.3141,0.2378,0.9124,0.8608,0.53,0.9767,0.0,0.0,0.0,0.0,0.0,0.0
105816-04-4,pa_h3n2,1,0,0.786,0.7308,0.9489,0.9472,0.629,0.4122,0.0,0.0,0.0,0.0,0.0,0.0
