compound_id,target_id,branch_sequence,branch_pose,branch_structure,consensus_123,disagreement_sd,disagreement_range,disagreement_branch_sd,structure_minus_pose,sequence_minus_structure
1004316-88-4,pa_h5n1,0.48960000000000004,0.23875000000000002,0.9157,0.6190333333333333,0.324844334515267,0.8270000000000001,0.3422348694001435,0.6769499999999999,-0.4260999999999999
100643-71-8,pa_h5n1,0.606,0.8056000000000001,0.90985,0.8244583333333333,0.21307487338179193,0.6212,0.15439831875164103,0.10424999999999995,-0.30385000000000006
101-26-8,pa_h5n1,0.51795,0.0692,0.57025,0.3945166666666666,0.26469309775662836,0.6943,0.2754278353761653,0.50105,-0.05230000000000001
101477-54-7,pa_h5n1,0.5336,0.72435,0.6936,0.6771833333333332,0.2783364900020597,0.7856,0.1024134797442863,-0.030750000000000055,-0.16000000000000003
101827-46-7,pa_h5n1,0.014400000000000001,0.19815000000000002,0.3883,0.2626,0.21351757226670282,0.5803999999999999,0.1869591287777447,0.19014999999999996,-0.37389999999999995
103-16-2,pa_h5n1,0.58735,0.76285,0.75735,0.7308499999999999,0.14727106187797612,0.41490000000000005,0.09977516391033055,-0.00550000000000006,-0.16999999999999993
103177-37-3,pa_h5n1,0.54785,0.22985,0.1569,0.246375,0.21085186901392805,0.5896,0.2078812180869963,-0.07294999999999999,0.3909499999999999
10405-02-4,pa_h5n1,0.22190000000000001,0.08274999999999999,0.3577,0.24341666666666664,0.1788365221834362,0.5404,0.13747840133393077,0.27495,-0.1358
1041434-82-5,pa_h5n1,0.8282,0.88815,0.39045,0.6293083333333334,0.291900768527023,0.7961,0.27169969788966153,-0.4977,0.43775000000000003
104227-87-4,pa_h5n1,0.6678999999999999,0.6539999999999999,0.2009,0.42976666666666663,0.2678699983200806,0.7323000000000001,0.2657009032728342,-0.45309999999999995,0.46699999999999997
104632-26-0,pa_h5n1,0.05135,0.72055,0.8808,0.6891416666666667,0.4077555100792631,0.8938999999999999,0.4399803035364197,0.16025,-0.82945
105462-24-6,pa_h5n1,0.75975,0.7257,0.86075,0.7989,0.14040298667288623,0.3601,0.07023639251366298,0.13505,-0.10099999999999998
