compound_id,exact_mol_wt,logp,tpsa,hbd,hba,formal_charge,rotatable_bonds,ring_count,aromatic_ring_count,heavy_atom_count,fraction_csp3,structural_alert_count,qed
1004316-88-4,775.354959796,6.000700000000006,138.02,3,10,0,19,5,4,54,0.475,0,0.10557201660303792
100643-71-8,311.13095274009,2.9927,29.5,1,1,1,0,4,2,22,0.3157894736842105,0,0.7961111285945959
101-26-8,181.09715407609,0.5714999999999999,33.42,0,2,1,1,1,1,13,0.3333333333333333,1,0.5934152756520555
101477-54-7,469.22972571209,3.4807000000000023,35.370000000000005,1,4,1,8,4,3,34,0.3333333333333333,0,0.5481209592239867
101827-46-7,318.22162631609,4.352200000000004,4.44,1,0,1,4,3,3,24,0.30434782608695654,0,0.7291742768719393
103-16-2,200.083729624,2.9712000000000014,29.46,1,2,0,3,2,2,15,0.07692307692307693,0,0.8248951292816564
103177-37-3,480.16772776390997,4.256200000000003,121.31,1,7,-1,9,5,5,36,0.14814814814814814,1,0.31076823177196433
10405-02-4,392.22202024009,3.769700000000003,46.53,1,3,1,4,5,2,29,0.48,2,0.6364424954881173
1041434-82-5,328.21105537600005,-3.2937999999999956,153.1,5,4,0,7,1,0,23,0.8,2,0.2437291823447372
104227-87-4,321.143704088,0.5409999999999998,122.22,1,9,0,7,2,2,23,0.5,1,0.733115342152729
104632-26-0,212.12159499608998,0.5559999999999997,55.519999999999996,2,3,1,3,2,1,14,0.7,0,0.768823068251017
105462-24-6,280.98652204782,-1.6384000000000003,153.84,3,6,-2,4,1,1,17,0.2857142857142857,1,0.55502384083489
105816-04-4,316.19181727191,1.9261999999999995,69.23,1,3,-1,6,2,1,23,0.5789473684210527,0,0.8715900836005785
106266-06-2,411.21908077609,2.1733199999999995,65.36,1,5,1,4,5,3,30,0.5217391304347826,0,0.7147719188223012
106308-44-5,238.066617316,0.7035000000000001,73.80000000000001,1,4,0,3,2,2,17,0.1,0,0.8549954528788274
106685-40-9,411.19656830391006,5.346700000000005,49.36,0,3,-1,4,7,3,31,0.39285714285714285,0,0.5816891229939615
1069-66-5,143.10775329991,0.9526999999999999,40.129999999999995,0,2,-1,5,0,0,10,0.875,0,0.574585486305641
107-35-7,125.014664084,-2.226499999999999,84.84,1,3,0,2,0,0,7,1.0,1,0.423819451722316
1070-11-7,206.19833091217998,-2.3449999999999958,73.68,4,2,2,9,0,0,14,1.0,1,0.3191108215768834
107133-36-8,368.23112212399997,-0.4202999999999959,103.35000000000001,1,5,0,8,2,0,26,0.8421052631578947,1,0.5862362295041313
107724-20-9,414.20423867999995,3.124500000000002,82.2,0,6,0,1,6,0,30,0.7916666666666666,2,0.4843337144772066
108341-18-0,170.08116966409,-0.6268999999999996,88.33000000000001,4,3,1,2,1,1,12,0.25,1,0.44560256429670625
1104-22-9,391.19355299609,4.138520000000003,7.680000000000001,1,1,1,5,4,3,28,0.28,0,0.686435756384251
111025-46-8,356.1194635,3.159600000000001,68.28999999999999,1,5,0,7,3,2,25,0.3157894736842105,0,0.8252539098127764
111406-87-2,236.061948624,2.7321999999999997,66.56,2,3,0,2,2,2,16,0.18181818181818182,2,0.621567647628534
1115-70-4,130.10872180408998,-3.0634999999999986,93.22999999999999,3,0,1,0,0,0,9,0.5,2,0.2398790210468143
111974-72-2,384.17402449209,1.4389000000000007,49.5,2,5,1,5,4,2,27,0.38095238095238093,1,0.7662836675576759
112529-15-4,356.1194635,3.159600000000001,68.28999999999999,1,5,0,7,3,2,25,0.3157894736842105,0,0.8252539098127764
