compound_id,target_id,is_h3n2,is_h5n1,glidesp_pr_x_h3n2,pignet2_pr_x_h3n2,ligunity_pr_x_h3n2,boltz2_pr_x_h3n2,balm_pr_x_h3n2,mammal_pr_x_h3n2,glidesp_pr_x_h5n1,pignet2_pr_x_h5n1,ligunity_pr_x_h5n1,boltz2_pr_x_h5n1,balm_pr_x_h5n1,mammal_pr_x_h5n1
1004316-88-4,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1242,0.3533,0.8802,0.9512,0.3664,0.6128
100643-71-8,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.8526,0.7586,0.9871,0.8326,0.8461,0.3659
101-26-8,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.1184,0.4262,0.7143,0.5017,0.5342
101477-54-7,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.854,0.5947,0.7336,0.6536,0.1408,0.9264
101827-46-7,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.2755,0.1208,0.5831,0.1935,0.0027,0.0261
103-16-2,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.638,0.8877,0.8322,0.6825,0.4728,0.7019
103177-37-3,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.2553,0.2044,0.3028,0.011,0.4951,0.6006
10405-02-4,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0029,0.1626,0.5433,0.1721,0.1854,0.2584
1041434-82-5,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.841,0.9353,0.6417,0.1392,0.8331,0.8233
104227-87-4,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.6039,0.7041,0.3492,0.0526,0.7849,0.5509
104632-26-0,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5595,0.8816,0.8641,0.8975,0.0991,0.0036
105462-24-6,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.7666,0.6848,0.7769,0.9446,0.5845,0.935
105816-04-4,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.8837,0.9128,0.965,0.9667,0.3254,0.2027
106266-06-2,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.9501,0.9618,0.9697,0.839,0.4262,0.1297
106308-44-5,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.9138,0.9291,0.2729,0.3337,0.4308,0.7445
106685-40-9,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.4076,0.1831,0.7015,0.3053,0.4162,0.5213
1069-66-5,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.6086,0.9508,0.8801,0.7476,0.4238,0.7398
107-35-7,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.8918,0.574,0.8839,0.9218,0.9894,0.1245
1070-11-7,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.9432,0.8726,0.2676,0.6347,0.0513,0.132
107133-36-8,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.9731,0.9817,0.8971,0.284,0.3757,0.866
107724-20-9,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.3606,0.7258,0.7432,0.6581,0.5,0.4276
108341-18-0,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.2182,0.2204,0.1154,0.2785,0.4138,0.8272
1104-22-9,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.402,0.5374,0.0257,0.1025,0.1034,0.1787
111025-46-8,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.9405,0.3184,0.6305,0.9496,0.5323,0.7114
111406-87-2,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5602,0.1611,0.2064,0.4925,0.3494,0.0552
1115-70-4,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0105,0.1092,0.1104,0.0912,0.004,0.0154
111974-72-2,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.7628,0.4147,0.5432,0.5146,0.5798,0.7247
112529-15-4,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5559,0.9061,0.9939,0.99,0.2933,0.5898
112809-51-5,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.7717,0.6659,0.7207,0.7334,0.304,0.2083
112885-42-4,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.6922,0.8348,0.6718,0.3881,0.7024,0.3982
113-59-7,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.9339,0.9774,0.9903,0.9503,0.5016,0.999
113-92-8,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0021,0.051,0.8283,0.7353,0.0076,0.2684
113852-37-2,pa_h5n1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.9306,0.8464,0.1991,0.4921,0.0044,0.0127
