compound_id,target_id,isomeric_smiles,glidesp_pr,pignet2_pr,ligunity_pr,boltz2_pr,balm_pr,mammal_pr
1004316-88-4,pa_ph1n1,CC(C)c1nc(CN(C)C(=O)N[C@@H](CCN2CCOCC2)C(=O)N[C@H](CC[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)Cc2ccccc2)cs1,0.3652,0.2557,0.0747,0.1678,0.1934,0.5381
100643-71-8,pa_ph1n1,Clc1ccc2c(c1)CCc1cccnc1C2=C1CC[NH2+]CC1,0.5391,0.4642,0.8943,0.4659,0.9183,0.8232
101-26-8,pa_ph1n1,CN(C)C(=O)Oc1ccc[n+](C)c1,0.0952,0.1544,0.5035,0.3167,0.6824,0.3985
101477-54-7,pa_ph1n1,COc1ccc(C[NH+]2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)c(OC)c1OC,0.8167,0.5384,0.6485,0.5496,0.1712,0.915
101827-46-7,pa_ph1n1,C[N@@H+](Cc1ccc(C(C)(C)C)cc1)Cc1cccc2ccccc12,0.9765,0.974,0.3338,0.6463,0.001,0.0065
103-16-2,pa_ph1n1,Oc1ccc(OCc2ccccc2)cc1,0.9853,0.9852,0.8666,0.8991,0.5858,0.6969
103177-37-3,pa_ph1n1,O=C(Nc1cccc2c(=O)cc(-c3nnn[n-]3)oc12)c1ccc(OCCCCc2ccccc2)cc1,0.884,0.5779,0.4503,0.259,0.3702,0.3171
10405-02-4,pa_ph1n1,O=C(O[C@H]1C[C@H]2CC[C@@H](C1)[N+]21CCCC1)C(O)(c1ccccc1)c1ccccc1,0.5685,0.7508,0.7798,0.4578,0.2373,0.7501
1041434-82-5,pa_ph1n1,CCC(CC)[C@H](NC(C)=O)[C@@H]1[C@H](O)[C@@H](C(=O)[O-])C[C@H]1NC(N)=[NH2+],0.7475,0.5724,0.8258,0.2659,0.3405,0.3984
104227-87-4,pa_ph1n1,CC(=O)OCC(CCn1cnc2cnc(N)nc21)COC(C)=O,0.409,0.9053,0.4112,0.1814,0.9457,0.7029
104632-26-0,pa_ph1n1,CCC[NH2+][C@H]1CCc2nc(N)sc2C1,0.2104,0.7227,0.4781,0.4056,0.263,0.1258
105462-24-6,pa_ph1n1,O=P([O-])(O)C(O)(Cc1cccnc1)P(=O)([O-])O,0.4128,0.2735,0.2985,0.6409,0.7367,0.9567
105816-04-4,pa_ph1n1,CC(C)[C@H]1CC[C@H](C(=O)N[C@H](Cc2ccccc2)C(=O)[O-])CC1,0.8539,0.9918,0.9949,0.999,0.537,0.6442
106266-06-2,pa_ph1n1,Cc1nc2n(c(=O)c1CC[N@H+]1CC[C@H](c3noc4cc(F)ccc43)CC1)CCCC2,0.9225,0.9447,0.9454,0.8932,0.6485,0.245
106308-44-5,pa_ph1n1,NC(=O)c1cn(Cc2c(F)cccc2F)nn1,0.9956,0.9959,0.9125,0.8437,0.6282,0.9481
106685-40-9,pa_ph1n1,COc1ccc(-c2ccc3cc(C(=O)[O-])ccc3c2)cc1C12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3,0.3291,0.147,0.4824,0.8204,0.5307,0.2367
1069-66-5,pa_ph1n1,CCCC(CCC)C(=O)[O-],0.5897,0.9345,0.3264,0.4442,0.5143,0.6901
107-35-7,pa_ph1n1,[NH3+]CCS(=O)(=O)[O-],0.8163,0.9504,0.8485,0.8086,0.9649,0.1998
1070-11-7,pa_ph1n1,CC[C@H](CO)[NH2+]CC[NH2+][C@H](CC)CO,0.9648,0.8935,0.152,0.6207,0.3456,0.0674
107133-36-8,pa_ph1n1,CCC[C@H]([NH2+][C@@H](C)C(=O)N1[C@H](C(=O)[O-])C[C@@H]2CCCC[C@@H]21)C(=O)OCC,0.5989,0.9188,0.5483,0.1572,0.1348,0.8436
107724-20-9,pa_ph1n1,COC(=O)[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@@]23O[C@@H]2C[C@@]2(C)[C@@H](CC[C@@]24CCC(=O)O4)[C@H]13,0.3447,0.8121,0.377,0.6865,0.6728,0.7762
108341-18-0,pa_ph1n1,[NH3+]C[C@@H](O)c1ccc(O)c(O)c1,0.0635,0.1554,0.7537,0.6253,0.0789,0.6454
1104-22-9,pa_ph1n1,Cc1cccc(CN2CC[NH+]([C@@H](c3ccccc3)c3ccc(Cl)cc3)CC2)c1,0.6235,0.3908,0.0356,0.216,0.0435,0.371
111406-87-2,pa_ph1n1,C[C@@H](c1cc2ccccc2s1)N(O)C(N)=O,0.9084,0.2629,0.9658,0.9821,0.6024,0.3578
1115-70-4,pa_ph1n1,CN(C)C(=[NH2+])N=C(N)N,0.3021,0.1774,0.0725,0.0414,0.0047,0.0331
111974-72-2,pa_ph1n1,OCCOCC[NH+]1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,0.35,0.3564,0.6966,0.4097,0.3549,0.6304
112529-15-4,pa_ph1n1,CCc1ccc(CCOc2ccc(C[C@@H]3SC(=O)NC3=O)cc2)nc1,0.7444,0.9832,0.9907,0.999,0.1685,0.6163
112809-51-5,pa_ph1n1,N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1,0.8931,0.8845,0.6143,0.8532,0.2764,0.0789
112885-42-4,pa_ph1n1,CCOc1cc(N)c(Cl)cc1C(=O)NC[C@H]1C[N@@H+](Cc2ccc(F)cc2)CCO1,0.8807,0.8295,0.2374,0.1372,0.4126,0.0748
