compound_id,target_id,branch_sequence_pr,branch_pose_pr,branch_structure_pr,consensus_123_pr,disagreement_sd_pr,disagreement_range_pr,disagreement_branch_sd_pr,structure_minus_pose_pr,sequence_minus_structure_pr
1004316-88-4,pa_ph1n1,0.36575,0.31045,0.12125,0.22506666666666666,0.16461751324408552,0.46340000000000003,0.12821530069899356,-0.1892,0.24450000000000002
100643-71-8,pa_ph1n1,0.87075,0.50165,0.6800999999999999,0.6523916666666668,0.21696760741333407,0.4541,0.18458360120371833,0.1784499999999999,0.1906500000000001
101-26-8,pa_ph1n1,0.54045,0.12480000000000001,0.41009999999999996,0.336725,0.21921091897987197,0.5871999999999999,0.21258415392498095,0.28529999999999994,0.13035000000000002
101477-54-7,pa_ph1n1,0.5431,0.67755,0.59905,0.6158916666666666,0.26018515458547337,0.7438,0.06753943909548946,-0.07850000000000001,-0.055949999999999944
101827-46-7,pa_ph1n1,0.00375,0.97525,0.49005,0.5707333333333334,0.4455690806897026,0.9755,0.4857501037913768,-0.48519999999999996,-0.4863
103-16-2,pa_ph1n1,0.64135,0.98525,0.88285,0.8767333333333333,0.16212128073348872,0.39949999999999997,0.17657633854322988,-0.10239999999999994,-0.24150000000000005
103177-37-3,pa_ph1n1,0.34365,0.73095,0.35465,0.47825,0.228490222256154,0.625,0.22050093726180242,-0.37629999999999997,-0.01100000000000001
10405-02-4,pa_ph1n1,0.4937,0.6596500000000001,0.6188,0.6115666666666667,0.2144042855604026,0.5425,0.08646592296005019,-0.04085000000000005,-0.1251
1041434-82-5,pa_ph1n1,0.36945,0.65995,0.54585,0.5544833333333333,0.2277868426109521,0.5599,0.14635915869303615,-0.11410000000000009,-0.17639999999999995
104227-87-4,pa_ph1n1,0.8243,0.65715,0.2963,0.5045833333333333,0.3067009450045217,0.7643,0.2698567042586368,-0.36085,0.528
104632-26-0,pa_ph1n1,0.19440000000000002,0.46655,0.44185,0.4088416666666667,0.21627320684726528,0.5969,0.15050316441855965,-0.0247,-0.24745
105462-24-6,pa_ph1n1,0.8467,0.34315,0.4697,0.49035,0.27092143818211706,0.6832,0.26194990138065205,0.12655,0.377
105816-04-4,pa_ph1n1,0.5906,0.92285,0.99695,0.904525,0.201294142984837,0.46199999999999997,0.2164105646681788,0.07410000000000005,-0.40635
106266-06-2,pa_ph1n1,0.44675,0.9336,0.9193,0.8453083333333332,0.2792975384782329,0.7004,0.27704720265687577,-0.01429999999999998,-0.47255
106308-44-5,pa_ph1n1,0.78815,0.99575,0.8781,0.9023249999999999,0.1392036589557425,0.3677,0.10410754455529787,-0.11765000000000003,-0.08994999999999997
106685-40-9,pa_ph1n1,0.3837,0.23804999999999998,0.6514,0.4689999999999999,0.24196852205745,0.6734,0.2096566379424542,0.41335,-0.2677
1069-66-5,pa_ph1n1,0.6022000000000001,0.7621,0.3853,0.5470499999999999,0.21208300261925755,0.6081,0.18911718589276863,-0.3768,0.2169000000000001
107-35-7,pa_ph1n1,0.58235,0.8833500000000001,0.82855,0.8057833333333333,0.2847064224776112,0.7651,0.16032180138708524,-0.05480000000000007,-0.24619999999999997
1070-11-7,pa_ph1n1,0.20650000000000002,0.9291499999999999,0.38635,0.5373083333333333,0.3787382297401025,0.8974,0.3762093577163297,-0.5428,-0.17985
107133-36-8,pa_ph1n1,0.4892,0.75885,0.35275,0.5108583333333333,0.3315652635605847,0.7839999999999999,0.2066587101963041,-0.4061,0.13645000000000002
107724-20-9,pa_ph1n1,0.7244999999999999,0.5784,0.53175,0.579425,0.20145551121773758,0.46740000000000004,0.10056009397370308,-0.04665000000000008,0.19274999999999998
108341-18-0,pa_ph1n1,0.36214999999999997,0.10945,0.6895,0.4415916666666666,0.3197632728545708,0.6902,0.29082449317987874,0.58005,-0.32735000000000003
1104-22-9,pa_ph1n1,0.20725,0.50715,0.1258,0.2664916666666666,0.2272925310402141,0.5879000000000001,0.20083240732843224,-0.38134999999999997,0.08145
111406-87-2,pa_ph1n1,0.4801,0.58565,0.97395,0.7622083333333332,0.31903591020447836,0.7192,0.26006586185041664,0.3883,-0.49384999999999996
1115-70-4,pa_ph1n1,0.0189,0.23975,0.05695,0.11154166666666665,0.11350844902473119,0.2974,0.11806662314134339,-0.1828,-0.03805
111974-72-2,pa_ph1n1,0.49265,0.35319999999999996,0.55315,0.47641666666666665,0.15568179940720966,0.3466,0.10253987435789719,0.19995000000000007,-0.060500000000000054
112529-15-4,pa_ph1n1,0.39239999999999997,0.8637999999999999,0.99485,0.8507583333333333,0.325689513187023,0.8305,0.3168433011758336,0.1310500000000001,-0.60245
112809-51-5,pa_ph1n1,0.17764999999999997,0.8888,0.7337499999999999,0.6927500000000001,0.34854690741228317,0.8142,0.3739478651273909,-0.15505000000000013,-0.5560999999999999
112885-42-4,pa_ph1n1,0.24370000000000003,0.8551,0.1873,0.4193,0.34986197278355363,0.8059000000000001,0.37034843053535405,-0.6678,0.05640000000000003
113-59-7,pa_ph1n1,0.6238,0.52615,0.47945000000000004,0.519075,0.28300194110052795,0.7117,0.07365837245916673,-0.046699999999999964,0.14434999999999998
113-92-8,pa_ph1n1,0.50875,0.33725,0.4085,0.4014583333333334,0.32435910757471675,0.8133,0.08615768006006973,0.07124999999999998,0.10025000000000006
113852-37-2,pa_ph1n1,0.05505,0.5947,0.7548,0.5848083333333333,0.3883924119581466,0.8891,0.3666297394283957,0.16010000000000002,-0.69975
115256-11-6,pa_ph1n1,0.6428,0.38885000000000003,0.4414,0.45744999999999997,0.18812538815020868,0.4134,0.13404853909436437,0.052549999999999986,0.20140000000000002
1156-19-0,pa_ph1n1,0.9662,0.52225,0.41054999999999997,0.5403916666666667,0.27948713029404415,0.6384,0.29391478782123226,-0.11170000000000002,0.55565
117-37-3,pa_ph1n1,0.24285,0.7328,0.8225,0.6959916666666667,0.29845178114172255,0.7832,0.3120072688790012,0.0897,-0.57965
118072-93-8,pa_ph1n1,0.25029999999999997,0.5850500000000001,0.5662,0.5198333333333334,0.2381913971298432,0.6275999999999999,0.18806279757924838,-0.018850000000000033,-0.31590000000000007
119413-54-6,pa_ph1n1,0.52025,0.75235,0.6422,0.6585916666666667,0.1809692312705855,0.47919999999999996,0.11609998205569771,-0.11014999999999997,-0.12195
1195765-45-7,pa_ph1n1,0.43695000000000006,0.6662,0.09955,0.3446666666666667,0.2800020142784691,0.7286,0.2850399226424256,-0.56665,0.33740000000000003
120-97-8,pa_ph1n1,0.05835,0.01485,0.34914999999999996,0.18925,0.20514952026916042,0.5315,0.18175687974140986,0.3343,-0.29079999999999995
120011-70-3,pa_ph1n1,0.93255,0.35045000000000004,0.7312000000000001,0.6378416666666668,0.2762686590983494,0.7184,0.2956216035745696,0.38075000000000003,0.20134999999999992
120202-66-6,pa_ph1n1,0.96065,0.9009,0.85565,0.8882333333333333,0.0499738998544907,0.12729999999999997,0.05266660073835535,-0.04525000000000001,0.10499999999999998
120511-73-1,pa_ph1n1,0.1278,0.992,0.76275,0.7333416666666667,0.40304063525489175,0.9406,0.4476901281392447,-0.22924999999999995,-0.63495
122111-03-9,pa_ph1n1,0.7201500000000001,0.8593500000000001,0.93715,0.8750500000000002,0.11690744059582635,0.2853,0.10993822507814709,0.07779999999999998,-0.21699999999999997
122320-73-4,pa_ph1n1,0.32495,0.7980499999999999,0.51445,0.5774,0.24933836781904758,0.6313,0.23810460586333335,-0.28359999999999996,-0.18949999999999995
122647-32-9,pa_ph1n1,0.3544,0.34140000000000004,0.62525,0.48549166666666665,0.21395712420950136,0.5644,0.16025996848870275,0.28384999999999994,-0.27085
122883-93-6,pa_ph1n1,0.9603999999999999,0.9835,0.8331,0.9044500000000001,0.07673939448983595,0.17659999999999998,0.08099285976759518,-0.1504000000000001,0.12729999999999997
1247-42-3,pa_ph1n1,0.9705,0.84655,0.9554,0.9216333333333334,0.07699547389295035,0.20729999999999993,0.067626344718608,0.10885,0.015100000000000002
124750-99-8,pa_ph1n1,0.387,0.5466,0.3097,0.4015499999999999,0.14983721389116483,0.4494,0.1208091194129538,-0.2369,0.07730000000000004
124937-52-6,pa_ph1n1,0.5839000000000001,0.5218,0.5590999999999999,0.5508000000000001,0.11139821662246961,0.28179999999999994,0.03125897204537178,0.03729999999999989,0.024800000000000155
125-84-8,pa_ph1n1,0.35324999999999995,0.45840000000000003,0.97145,0.6974,0.33400762067154494,0.8512000000000001,0.33076881780683826,0.51305,-0.6182000000000001
1263-89-4,pa_ph1n1,0.2007,0.4467,0.8847,0.6247000000000001,0.374368294597713,0.8644000000000001,0.3464621191414727,0.43800000000000006,-0.684
1264-62-6,pa_ph1n1,0.08585,0.5961,0.49465,0.4603333333333333,0.25148177667576627,0.6656,0.27011250896617134,-0.10144999999999998,-0.4088
127-07-1,pa_ph1n1,0.4084,0.40185,0.2404,0.32221666666666665,0.20550354173752497,0.5236,0.09516039529832424,-0.16144999999999998,0.16799999999999998
127-56-0,pa_ph1n1,0.69695,0.9128000000000001,0.86485,0.8528500000000001,0.21402017350396357,0.5769000000000001,0.11334375074671449,-0.04795000000000005,-0.16790000000000005
127-79-7,pa_ph1n1,0.61035,0.41685,0.43245,0.45690000000000003,0.29419232314933036,0.7902,0.10749730229173192,0.015600000000000003,0.17789999999999995
128794-94-5,pa_ph1n1,0.18725,0.6314,0.4837,0.48352500000000004,0.24981383802076831,0.653,0.22618838571715685,-0.14769999999999994,-0.29645
129101-54-8,pa_ph1n1,0.8551500000000001,0.75125,0.8492500000000001,0.8175666666666667,0.11824399773350021,0.33220000000000005,0.05835811854403813,0.09800000000000009,0.005900000000000016
129497-78-5,pa_ph1n1,0.54205,0.2053,0.2366,0.277075,0.3051080163920094,0.8356,0.186046568991028,0.031299999999999994,0.30545
129722-12-9,pa_ph1n1,0.47845000000000004,0.6745,0.8713,0.7402250000000001,0.22236888946073372,0.5159,0.196425119320315,0.19679999999999997,-0.3928499999999999
130-61-0,pa_ph1n1,0.0668,0.43300000000000005,0.1082,0.2095666666666667,0.20197580713210847,0.5461,0.20054568889241509,-0.32480000000000003,-0.041400000000000006
13010-47-4,pa_ph1n1,0.8032,0.70895,0.72395,0.7321583333333334,0.12172847927525697,0.34440000000000004,0.050643566554236054,0.015000000000000013,0.07925000000000004
132-17-2,pa_ph1n1,0.4841,0.76905,0.3788,0.5264333333333334,0.23954887114463025,0.6201,0.20189917244340883,-0.39025,0.10529999999999995
132-18-3,pa_ph1n1,0.65635,0.48960000000000004,0.04035,0.2927666666666667,0.30099015044792854,0.6514,0.3186134347973,-0.44925000000000004,0.616
132539-06-1,pa_ph1n1,0.48075,0.94205,0.5703,0.6792916666666667,0.3273134379561381,0.8605999999999999,0.24461362560849578,-0.37175,-0.08955000000000002
13292-46-1,pa_ph1n1,0.11545,0.47475,0.2072,0.2810916666666667,0.2571825032928951,0.7555000000000001,0.18668045559190174,-0.26755,-0.09175
133-67-5,pa_ph1n1,0.7377,0.9759,0.90115,0.898825,0.169510240595271,0.4526,0.12182138906338792,-0.07474999999999998,-0.16344999999999998
133099-07-7,pa_ph1n1,0.25429999999999997,0.99135,0.57445,0.6600583333333333,0.3594885978720327,0.9476,0.36958182111678595,-0.41689999999999994,-0.32015000000000005
133454-47-4,pa_ph1n1,0.52985,0.999,0.9073,0.8749583333333333,0.30532275218201477,0.7992,0.2486560928270208,-0.0917,-0.37744999999999995
134308-13-7,pa_ph1n1,0.10715,0.17420000000000002,0.55925,0.35555,0.24894756074322155,0.6576,0.2439786927172125,0.38505,-0.45210000000000006
134523-03-8,pa_ph1n1,0.8654,0.61995,0.9567,0.8292333333333333,0.1848046797748008,0.5005999999999999,0.1741560387506943,0.33675,-0.09130000000000005
135729-62-3,pa_ph1n1,0.70715,0.66595,0.41845000000000004,0.5490666666666667,0.30188339084266735,0.8141999999999999,0.15615237216684646,-0.2475,0.2886999999999999
136-40-3,pa_ph1n1,0.7447,0.66885,0.5697,0.6319166666666667,0.17604221558099828,0.41030000000000005,0.0877581382740845,-0.09914999999999996,0.17500000000000004
136572-09-3,pa_ph1n1,0.1136,0.35285,0.36675,0.31992499999999996,0.16535868488430436,0.4384,0.14231344220885578,0.013900000000000023,-0.25315
137-58-6,pa_ph1n1,0.42165,0.9717,0.8982,0.8432749999999999,0.34607748120904946,0.8981,0.2986238310985913,-0.07350000000000001,-0.47655
137071-32-0,pa_ph1n1,0.10695,0.4319,0.06675,0.19516666666666668,0.18163262555682738,0.43260000000000004,0.20022614922465382,-0.36515,0.0402
138402-11-6,pa_ph1n1,0.45755,0.8042499999999999,0.54525,0.6169666666666667,0.33232778246785205,0.8059,0.1802651657974995,-0.2589999999999999,-0.0877
138530-94-6,pa_ph1n1,0.2948,0.96955,0.89615,0.8203916666666666,0.33463148487054634,0.7415,0.3702019595211961,-0.07340000000000002,-0.60135
138926-19-9,pa_ph1n1,0.737,0.9542,0.7556499999999999,0.818725,0.13819281336837552,0.35950000000000004,0.12037840683998666,-0.19855000000000012,-0.018649999999999944
139110-80-8,pa_ph1n1,0.6153500000000001,0.45235000000000003,0.03875,0.27271666666666666,0.3612388983299925,0.8557,0.297237705100368,-0.4136,0.5766000000000001
140462-76-6,pa_ph1n1,0.5011,0.99855,0.7416,0.7871666666666667,0.3477356203592992,0.9193,0.24877032747764222,-0.25695,-0.24050000000000005
141-90-2,pa_ph1n1,0.3039,0.9331,0.39115,0.5572583333333333,0.3205590330448772,0.8237,0.34088487915032745,-0.54195,-0.08725
141505-33-1,pa_ph1n1,0.91815,0.9508000000000001,0.8584,0.8991583333333334,0.07114057679458796,0.1915,0.0468576656837847,-0.09240000000000004,0.05974999999999997
141625-93-6,pa_ph1n1,0.47004999999999997,0.9,0.54495,0.6508166666666667,0.24960256943121933,0.5667,0.2296836647072084,-0.35505,-0.07490000000000008
142340-99-6,pa_ph1n1,0.15990000000000001,0.66075,0.10725000000000001,0.300525,0.29480922644991964,0.7416,0.3055009533536679,-0.5534999999999999,0.05265
144-82-1,pa_ph1n1,0.50905,0.5349999999999999,0.9171,0.7217249999999998,0.27531530590700304,0.6735,0.22846539307591718,0.3821000000000001,-0.40805
