outer_fold,comparison_name,model_type,p,tuning_mode,tuning_metric,tuning_score,n_train,n_test,rmse,mae,r2,spearman,ef_1pct,ef_5pct,ef_10pct,precision_at_10,precision_at_25,precision_at_50
0,method_scores,ridge,6,nested,spearman,0.8794,240,60,0.5026,0.3498,0.6855,0.8739,3.75,3.75,3.75,0.9,0.64,0.32
0,method_scores,xgboost,6,nested,spearman,0.8787,240,60,0.5498,0.3718,0.6237,0.8498,3.75,3.75,3.75,0.9,0.64,0.32
0,method_scores_plus_glide_uncertainty,ridge,7,nested,spearman,0.8715,240,60,0.5013,0.3497,0.6872,0.8743,3.75,3.75,3.75,0.9,0.64,0.32
0,method_scores_plus_glide_uncertainty,xgboost,7,nested,spearman,0.8736,240,60,0.555,0.3868,0.6165,0.8537,3.75,3.75,3.75,1.0,0.64,0.32
0,method_ranks,ridge,6,nested,spearman,0.9034,240,60,0.4792,0.3232,0.7141,0.8901,3.75,3.75,3.75,1.0,0.64,0.32
0,method_ranks,xgboost,6,nested,spearman,0.8787,240,60,0.5498,0.3718,0.6237,0.8498,3.75,3.75,3.75,0.9,0.64,0.32
0,method_scores_plus_method_ranks,ridge,12,nested,spearman,0.8975,240,60,0.4775,0.3182,0.7161,0.8933,3.75,3.75,3.75,1.0,0.64,0.32
0,method_scores_plus_method_ranks,xgboost,12,nested,spearman,0.8787,240,60,0.55,0.3724,0.6235,0.8476,3.75,3.75,3.75,0.9,0.64,0.32
0,method_scores_plus_method_ranks_plus_rank_summary,ridge,21,nested,spearman,0.8968,240,60,0.4914,0.3331,0.6994,0.8824,3.75,3.75,3.75,1.0,0.64,0.32
0,method_scores_plus_method_ranks_plus_rank_summary,xgboost,21,nested,spearman,0.9022,240,60,0.4857,0.3295,0.7064,0.8914,3.75,3.75,3.75,1.0,0.64,0.32
0,chemical_descriptors,ridge,13,nested,spearman,0.4456,240,60,0.8592,0.6134,0.0811,0.37,0.0,1.25,1.25,0.4,0.44,0.32
0,chemical_descriptors,xgboost,13,nested,spearman,0.4612,240,60,0.8144,0.5895,0.1743,0.4682,3.75,1.25,2.5,0.7,0.52,0.28
0,method_scores_plus_chemical_descriptors,ridge,19,nested,spearman,0.8616,240,60,0.5075,0.3589,0.6793,0.8693,3.75,3.75,3.75,0.9,0.6,0.32
0,method_scores_plus_chemical_descriptors,xgboost,19,nested,spearman,0.8785,240,60,0.5672,0.3991,0.5996,0.8389,3.75,3.75,3.75,1.0,0.56,0.32
0,method_scores_plus_method_ranks_plus_rank_summary_plus_glide_uncertainty_plus_chemical_descriptors,ridge,35,nested,spearman,0.8898,240,60,0.4851,0.332,0.7071,0.8804,3.75,3.75,3.75,1.0,0.64,0.32
0,method_scores_plus_method_ranks_plus_rank_summary_plus_glide_uncertainty_plus_chemical_descriptors,xgboost,35,nested,spearman,0.9049,240,60,0.5269,0.3466,0.6544,0.8935,3.75,3.75,3.75,1.0,0.64,0.32
1,method_scores,ridge,6,nested,spearman,0.8529,240,60,0.3827,0.2827,0.7865,0.9128,4.0,4.0,4.0,0.8,0.56,0.3
1,method_scores,xgboost,6,nested,spearman,0.8545,240,60,0.3759,0.2938,0.794,0.9074,4.0,4.0,4.0,0.8,0.6,0.3
1,method_scores_plus_glide_uncertainty,ridge,7,nested,spearman,0.8545,240,60,0.3798,0.2826,0.7897,0.9111,4.0,4.0,4.0,0.8,0.56,0.3
1,method_scores_plus_glide_uncertainty,xgboost,7,nested,spearman,0.8565,240,60,0.367,0.2853,0.8037,0.905,4.0,4.0,4.0,0.8,0.6,0.3
1,method_ranks,ridge,6,nested,spearman,0.8794,240,60,0.3677,0.2888,0.8029,0.9294,4.0,4.0,3.3333,0.9,0.56,0.3
1,method_ranks,xgboost,6,nested,spearman,0.8545,240,60,0.3759,0.2938,0.794,0.9074,4.0,4.0,4.0,0.8,0.6,0.3
1,method_scores_plus_method_ranks,ridge,12,nested,spearman,0.8799,240,60,0.3663,0.2864,0.8044,0.9344,4.0,4.0,3.3333,0.8,0.6,0.3
