outer_fold,comparison_name,model_type,p,tuning_mode,tuning_metric,tuning_score,n_train,n_test,rmse,mae,r2,spearman,ef_1pct,ef_5pct,ef_10pct,precision_at_10,precision_at_25,precision_at_50
0,method_scores,ridge,6,nested,spearman,0.1006,240,60,0.8057,0.5998,-0.1027,-0.2108,0.0,0.0,0.6667,0.1,0.2,0.24
0,method_scores,xgboost,6,nested,spearman,0.1763,240,60,0.9099,0.6842,-0.4064,-0.1103,0.0,0.0,1.3333,0.3,0.28,0.24
0,method_scores_plus_glide_uncertainty,ridge,7,nested,spearman,0.0733,240,60,0.8157,0.607,-0.1302,-0.2002,0.0,1.3333,0.6667,0.1,0.2,0.24
0,method_scores_plus_glide_uncertainty,xgboost,7,nested,spearman,0.1579,240,60,0.9683,0.7643,-0.5927,-0.1271,0.0,1.3333,0.6667,0.2,0.2,0.26
0,method_ranks,ridge,6,nested,spearman,0.125,240,60,0.824,0.61,-0.1533,-0.2081,0.0,1.3333,0.6667,0.2,0.2,0.22
0,method_ranks,xgboost,6,nested,spearman,0.1763,240,60,0.9099,0.6842,-0.4064,-0.1103,0.0,0.0,1.3333,0.3,0.28,0.24
0,method_scores_plus_method_ranks,ridge,12,nested,spearman,0.1147,240,60,0.8202,0.6081,-0.1428,-0.2076,0.0,1.3333,0.6667,0.1,0.16,0.24
0,method_scores_plus_method_ranks,xgboost,12,nested,spearman,0.1569,240,60,0.9069,0.6449,-0.397,-0.0792,4.0,1.3333,0.6667,0.2,0.28,0.22
0,method_scores_plus_method_ranks_plus_rank_summary,ridge,21,nested,spearman,0.1151,240,60,0.7919,0.5868,-0.0653,-0.1786,0.0,0.0,0.0,0.1,0.2,0.24
0,method_scores_plus_method_ranks_plus_rank_summary,xgboost,21,nested,spearman,0.1123,240,60,0.7759,0.5713,-0.0228,0.1009,0.0,0.0,1.3333,0.3,0.32,0.26
0,chemical_descriptors,ridge,13,nested,spearman,0.222,240,60,0.7991,0.5979,-0.0847,-0.1039,0.0,0.0,0.6667,0.1,0.28,0.26
0,chemical_descriptors,xgboost,13,nested,spearman,0.1815,240,60,0.952,0.7586,-0.5395,-0.1705,0.0,0.0,0.0,0.1,0.24,0.26
0,method_scores_plus_chemical_descriptors,ridge,19,nested,spearman,0.2451,240,60,0.8325,0.6116,-0.1773,-0.2265,0.0,0.0,0.0,0.1,0.16,0.28
0,method_scores_plus_chemical_descriptors,xgboost,19,nested,spearman,0.2146,240,60,0.8037,0.5901,-0.0972,0.051,0.0,1.3333,1.3333,0.3,0.24,0.28
0,method_scores_plus_method_ranks_plus_rank_summary_plus_glide_uncertainty_plus_chemical_descriptors,ridge,35,nested,spearman,0.2468,240,60,0.8417,0.6157,-0.2034,-0.1394,0.0,0.0,0.0,0.0,0.24,0.26
