summary,comparison_name,model_type,p,tuning_mode,tuning_metric,n_train,n_test,rmse,mae,r2,spearman,ef_1pct,ef_5pct,ef_10pct,precision_at_10,precision_at_25,precision_at_50,selected_model_params_by_outer_fold
mean_across_outer_folds,chemical_descriptors,ridge,13,nested,spearman,240.0,60.0,0.8191,0.6206,-0.0401,0.0999,0.8,1.1744,1.1872,0.24,0.272,0.24,fold_0={'alpha': 13.3} | fold_1={'alpha': 452.0} | fold_2={'alpha': 9.05} | fold_3={'alpha': 1.61} | fold_4={'alpha': 116.0}
mean_across_outer_folds,chemical_descriptors,xgboost,13,nested,spearman,240.0,60.0,0.8468,0.6556,-0.1189,0.0548,0.0,0.6,0.6872,0.18,0.264,0.232,"fold_0={'learning_rate': 0.065, 'max_depth': 8, 'n_estimators': 300, 'subsample': 0.799} | fold_1={'learning_rate': 0.00529, 'max_depth': 2, 'n_estimators': 400, 'subsample': 0.683} | fold_2={'learning_rate': 0.00139, 'max_depth': 3, 'n_estimators': 150, 'subsample': 0.933} | fold_3={'learning_rate': 0.00139, 'max_depth': 3, 'n_estimators': 150, 'subsample': 0.933} | fold_4={'learning_rate': 0.00282, 'max_depth': 3, 'n_estimators': 550, 'subsample': 0.592}"
mean_across_outer_folds,method_ranks,ridge,6,nested,spearman,240.0,60.0,0.8289,0.6268,-0.0651,-0.0411,0.0,0.7744,0.541,0.12,0.208,0.232,fold_0={'alpha': 116.0} | fold_1={'alpha': 452.0} | fold_2={'alpha': 116.0} | fold_3={'alpha': 116.0} | fold_4={'alpha': 452.0}
mean_across_outer_folds,method_ranks,xgboost,6,nested,spearman,240.0,60.0,0.8535,0.6389,-0.1321,-0.0108,0.0,0.9744,1.2077,0.26,0.208,0.24,"fold_0={'learning_rate': 0.065, 'max_depth': 8, 'n_estimators': 300, 'subsample': 0.799} | fold_1={'learning_rate': 0.00112, 'max_depth': 6, 'n_estimators': 400, 'subsample': 0.985} | fold_2={'learning_rate': 0.00139, 'max_depth': 3, 'n_estimators': 150, 'subsample': 0.933} | fold_3={'learning_rate': 0.00529, 'max_depth': 2, 'n_estimators': 400, 'subsample': 0.683} | fold_4={'learning_rate': 0.032, 'max_depth': 2, 'n_estimators': 400, 'subsample': 0.585}"
mean_across_outer_folds,method_scores,ridge,6,nested,spearman,240.0,60.0,0.8273,0.6264,-0.0592,-0.061,0.0,0.0,0.7282,0.16,0.168,0.24,fold_0={'alpha': 116.0} | fold_1={'alpha': 1.55} | fold_2={'alpha': 452.0} | fold_3={'alpha': 116.0} | fold_4={'alpha': 452.0}
mean_across_outer_folds,method_scores,xgboost,6,nested,spearman,240.0,60.0,0.8535,0.6389,-0.1321,-0.0108,0.0,0.9744,1.2077,0.26,0.208,0.24,"fold_0={'learning_rate': 0.065, 'max_depth': 8, 'n_estimators': 300, 'subsample': 0.799} | fold_1={'learning_rate': 0.00112, 'max_depth': 6, 'n_estimators': 400, 'subsample': 0.985} | fold_2={'learning_rate': 0.00139, 'max_depth': 3, 'n_estimators': 150, 'subsample': 0.933} | fold_3={'learning_rate': 0.00529, 'max_depth': 2, 'n_estimators': 400, 'subsample': 0.683} | fold_4={'learning_rate': 0.032, 'max_depth': 2, 'n_estimators': 400, 'subsample': 0.585}"
mean_across_outer_folds,method_scores_plus_chemical_descriptors,ridge,19,nested,spearman,240.0,60.0,0.826,0.6219,-0.0582,0.0368,0.6,0.9077,0.6872,0.16,0.24,0.256,fold_0={'alpha': 116.0} | fold_1={'alpha': 452.0} | fold_2={'alpha': 452.0} | fold_3={'alpha': 13.3} | fold_4={'alpha': 116.0}
mean_across_outer_folds,method_scores_plus_chemical_descriptors,xgboost,19,nested,spearman,240.0,60.0,0.8543,0.6473,-0.131,0.1045,0.0,0.4,1.1,0.28,0.312,0.244,"fold_0={'learning_rate': 0.00312, 'max_depth': 7, 'n_estimators': 350, 'subsample': 0.757} | fold_1={'learning_rate': 0.032, 'max_depth': 2, 'n_estimators': 400, 'subsample': 0.585} | fold_2={'learning_rate': 0.00139, 'max_depth': 3, 'n_estimators': 150, 'subsample': 0.933} | fold_3={'learning_rate': 0.247, 'max_depth': 8, 'n_estimators': 100, 'subsample': 0.904} | fold_4={'learning_rate': 0.0495, 'max_depth': 2, 'n_estimators': 250, 'subsample': 0.72}"
mean_across_outer_folds,method_scores_plus_glide_uncertainty,ridge,7,nested,spearman,240.0,60.0,0.8282,0.6258,-0.0609,-0.0238,0.0,0.882,1.0615,0.18,0.216,0.232,fold_0={'alpha': 116.0} | fold_1={'alpha': 13.3} | fold_2={'alpha': 452.0} | fold_3={'alpha': 452.0} | fold_4={'alpha': 452.0}
mean_across_outer_folds,method_scores_plus_glide_uncertainty,xgboost,7,nested,spearman,240.0,60.0,0.839,0.6373,-0.0833,0.0041,0.0,0.6667,0.9744,0.2,0.2,0.252,"fold_0={'learning_rate': 0.00112, 'max_depth': 6, 'n_estimators': 400, 'subsample': 0.985} | fold_1={'learning_rate': 0.032, 'max_depth': 2, 'n_estimators': 400, 'subsample': 0.585} | fold_2={'learning_rate': 0.00139, 'max_depth': 3, 'n_estimators': 150, 'subsample': 0.933} | fold_3={'learning_rate': 0.00139, 'max_depth': 3, 'n_estimators': 150, 'subsample': 0.933} | fold_4={'learning_rate': 0.0117, 'max_depth': 5, 'n_estimators': 250, 'subsample': 0.646}"
