selection_scope,outer_fold,comparison_name,model_type,p,tuning_mode,tuning_metric,trial_number,n_trials_planned,tuning_score,best_tuning_score_so_far,model_params
outer_fold_0,0,method_scores,ridge,6,nested,spearman,0,1,0.0959,0.0959,{'alpha': 0.0419}
outer_fold_0,0,method_scores,xgboost,6,nested,spearman,0,1,0.1217,0.1217,"{'learning_rate': 0.065, 'max_depth': 8, 'n_estimators': 300, 'subsample': 0.799}"
outer_fold_0,0,method_scores_plus_glide_uncertainty,ridge,7,nested,spearman,0,1,0.0673,0.0673,{'alpha': 0.0419}
outer_fold_0,0,method_scores_plus_glide_uncertainty,xgboost,7,nested,spearman,0,1,0.0652,0.0652,"{'learning_rate': 0.065, 'max_depth': 8, 'n_estimators': 300, 'subsample': 0.799}"
outer_fold_0,0,method_ranks,ridge,6,nested,spearman,0,1,0.1117,0.1117,{'alpha': 0.0419}
outer_fold_0,0,method_ranks,xgboost,6,nested,spearman,0,1,0.1217,0.1217,"{'learning_rate': 0.065, 'max_depth': 8, 'n_estimators': 300, 'subsample': 0.799}"
outer_fold_0,0,method_scores_plus_method_ranks,ridge,12,nested,spearman,0,1,0.0553,0.0553,{'alpha': 0.0419}
outer_fold_0,0,method_scores_plus_method_ranks,xgboost,12,nested,spearman,0,1,0.1225,0.1225,"{'learning_rate': 0.065, 'max_depth': 8, 'n_estimators': 300, 'subsample': 0.799}"
outer_fold_0,0,method_scores_plus_method_ranks_plus_rank_summary,ridge,21,nested,spearman,0,1,0.0351,0.0351,{'alpha': 0.0419}
outer_fold_0,0,method_scores_plus_method_ranks_plus_rank_summary,xgboost,21,nested,spearman,0,1,0.0695,0.0695,"{'learning_rate': 0.065, 'max_depth': 8, 'n_estimators': 300, 'subsample': 0.799}"
outer_fold_0,0,chemical_descriptors,ridge,13,nested,spearman,0,1,0.1927,0.1927,{'alpha': 0.0419}
outer_fold_0,0,chemical_descriptors,xgboost,13,nested,spearman,0,1,0.1485,0.1485,"{'learning_rate': 0.065, 'max_depth': 8, 'n_estimators': 300, 'subsample': 0.799}"
outer_fold_0,0,method_scores_plus_chemical_descriptors,ridge,19,nested,spearman,0,1,0.2338,0.2338,{'alpha': 0.0419}
outer_fold_0,0,method_scores_plus_chemical_descriptors,xgboost,19,nested,spearman,0,1,0.1831,0.1831,"{'learning_rate': 0.065, 'max_depth': 8, 'n_estimators': 300, 'subsample': 0.799}"
outer_fold_0,0,method_scores_plus_method_ranks_plus_rank_summary_plus_glide_uncertainty_plus_chemical_descriptors,ridge,35,nested,spearman,0,1,0.2179,0.2179,{'alpha': 0.0419}
outer_fold_0,0,method_scores_plus_method_ranks_plus_rank_summary_plus_glide_uncertainty_plus_chemical_descriptors,xgboost,35,nested,spearman,0,1,0.1681,0.1681,"{'learning_rate': 0.065, 'max_depth': 8, 'n_estimators': 300, 'subsample': 0.799}"
