outer_fold,comparison_name,model_type,p,tuning_mode,tuning_metric,tuning_score,n_train,n_test,rmse,mae,r2,spearman,ef_1pct,ef_5pct,ef_10pct,precision_at_10,precision_at_25,precision_at_50
0,method_scores,ridge,6,nested,spearman,0.8857,988,248,0.3926,0.297,0.7659,0.9034,4.2759,4.2759,4.1048,1.0,0.96,0.86
0,method_scores,xgboost,6,nested,spearman,0.8984,988,248,0.313,0.2489,0.8512,0.9124,4.2759,4.2759,4.2759,1.0,1.0,0.88
0,method_scores_plus_target_context,ridge,20,nested,spearman,0.8866,988,248,0.4045,0.3033,0.7515,0.9033,4.2759,4.2759,4.1048,1.0,0.96,0.84
0,method_scores_plus_target_context,xgboost,20,nested,spearman,0.8981,988,248,0.31,0.2435,0.8541,0.9135,4.2759,4.2759,4.2759,1.0,1.0,0.88
0,method_scores_plus_glide_uncertainty_plus_target_context,ridge,21,nested,spearman,0.886,988,248,0.4082,0.3055,0.747,0.9007,4.2759,4.2759,4.1048,1.0,0.96,0.82
0,method_scores_plus_glide_uncertainty_plus_target_context,xgboost,21,nested,spearman,0.8976,988,248,0.3154,0.2516,0.8489,0.9116,4.2759,4.2759,4.2759,1.0,1.0,0.84
0,method_scores_plus_method_ranks_plus_rank_summary_plus_target_context,ridge,35,nested,spearman,0.9064,988,248,0.2975,0.2399,0.8656,0.9264,4.2759,4.2759,4.2759,1.0,1.0,0.86
0,method_scores_plus_method_ranks_plus_rank_summary_plus_target_context,xgboost,35,nested,spearman,0.9075,988,248,0.3639,0.286,0.799,0.9227,4.2759,4.2759,4.2759,1.0,1.0,0.88
0,chemical_descriptors,ridge,13,nested,spearman,0.5317,988,248,0.6955,0.5474,0.2656,0.525,4.2759,2.9602,2.5655,0.7,0.6,0.52
0,chemical_descriptors,xgboost,13,nested,spearman,0.613,988,248,0.6526,0.5148,0.3534,0.6212,4.2759,3.9469,3.2497,0.9,0.76,0.66
0,method_scores_plus_chemical_descriptors_plus_target_context,ridge,33,nested,spearman,0.8853,988,248,0.4037,0.307,0.7525,0.8961,4.2759,4.2759,4.1048,1.0,0.96,0.84
0,method_scores_plus_chemical_descriptors_plus_target_context,xgboost,33,nested,spearman,0.8995,988,248,0.3213,0.2553,0.8433,0.9089,4.2759,4.2759,4.1048,1.0,0.96,0.86
0,method_scores_plus_method_ranks_plus_rank_summary_plus_glide_uncertainty_plus_chemical_descriptors_plus_target_context,ridge,49,nested,spearman,0.9051,988,248,0.3056,0.2488,0.8582,0.925,4.2759,4.2759,4.2759,1.0,1.0,0.86
0,method_scores_plus_method_ranks_plus_rank_summary_plus_glide_uncertainty_plus_chemical_descriptors_plus_target_context,xgboost,49,nested,spearman,0.9068,988,248,0.3653,0.2869,0.7974,0.923,4.2759,4.2759,4.2759,1.0,1.0,0.88
1,method_scores,ridge,6,nested,spearman,0.8944,989,247,0.4158,0.3017,0.7084,0.8735,4.75,4.75,4.18,1.0,0.88,0.74
1,method_scores,xgboost,6,nested,spearman,0.8984,989,247,0.3241,0.2514,0.8228,0.8968,4.75,4.3846,4.18,1.0,0.88,0.8
1,method_scores_plus_target_context,ridge,20,nested,spearman,0.8957,989,247,0.3947,0.2985,0.7373,0.8789,4.75,4.75,4.37,1.0,0.92,0.74
1,method_scores_plus_target_context,xgboost,20,nested,spearman,0.8978,989,247,0.3224,0.2483,0.8246,0.9009,4.75,4.3846,4.18,1.0,0.88,0.8
1,method_scores_plus_glide_uncertainty_plus_target_context,ridge,21,nested,spearman,0.8951,989,247,0.394,0.298,0.7381,0.8801,4.75,4.75,4.37,1.0,0.92,0.74
1,method_scores_plus_glide_uncertainty_plus_target_context,xgboost,21,nested,spearman,0.8977,989,247,0.32,0.2475,0.8273,0.902,4.75,4.3846,4.37,1.0,0.92,0.8
1,method_scores_plus_method_ranks_plus_rank_summary_plus_target_context,ridge,35,nested,spearman,0.9123,989,247,0.3192,0.2522,0.8281,0.9038,4.75,4.75,4.56,1.0,0.96,0.8
1,method_scores_plus_method_ranks_plus_rank_summary_plus_target_context,xgboost,35,nested,spearman,0.9105,989,247,0.3428,0.2725,0.8018,0.9075,4.75,4.75,4.37,1.0,0.92,0.82
1,chemical_descriptors,ridge,13,nested,spearman,0.5287,989,247,0.6411,0.5001,0.3067,0.5743,4.75,3.6538,3.04,0.7,0.64,0.56
1,chemical_descriptors,xgboost,13,nested,spearman,0.6246,989,247,0.6058,0.474,0.381,0.644,4.75,3.6538,3.8,0.9,0.8,0.62
1,method_scores_plus_chemical_descriptors_plus_target_context,ridge,33,nested,spearman,0.8926,989,247,0.4015,0.3012,0.728,0.8718,4.75,4.75,4.37,1.0,0.92,0.74
1,method_scores_plus_chemical_descriptors_plus_target_context,xgboost,33,nested,spearman,0.8981,989,247,0.3279,0.2552,0.8186,0.8966,4.75,4.3846,4.37,0.9,0.92,0.8
1,method_scores_plus_method_ranks_plus_rank_summary_plus_glide_uncertainty_plus_chemical_descriptors_plus_target_context,ridge,49,nested,spearman,0.9113,989,247,0.3159,0.2519,0.8316,0.9034,4.75,4.3846,4.37,1.0,0.92,0.8
1,method_scores_plus_method_ranks_plus_rank_summary_plus_glide_uncertainty_plus_chemical_descriptors_plus_target_context,xgboost,49,nested,spearman,0.9107,989,247,0.3436,0.2732,0.8009,0.9067,4.75,4.75,4.37,1.0,0.92,0.82
2,method_scores,ridge,6,nested,spearman,0.8844,989,247,0.3705,0.291,0.7616,0.8848,4.2586,4.2586,4.2586,1.0,1.0,0.8
2,method_scores,xgboost,6,nested,spearman,0.898,989,247,0.3149,0.2505,0.8278,0.8958,4.2586,3.931,4.0883,1.0,0.96,0.88
2,method_scores_plus_target_context,ridge,20,nested,spearman,0.8864,989,247,0.3768,0.2937,0.7534,0.8819,4.2586,4.2586,4.2586,1.0,1.0,0.76
2,method_scores_plus_target_context,xgboost,20,nested,spearman,0.8985,989,247,0.3127,0.2495,0.8302,0.9009,4.2586,4.2586,3.9179,1.0,0.92,0.88
2,method_scores_plus_glide_uncertainty_plus_target_context,ridge,21,nested,spearman,0.8848,989,247,0.3761,0.293,0.7544,0.8825,4.2586,4.2586,4.2586,1.0,1.0,0.78
2,method_scores_plus_glide_uncertainty_plus_target_context,xgboost,21,nested,spearman,0.901,989,247,0.3072,0.2467,0.8361,0.9011,4.2586,4.2586,4.0883,1.0,0.96,0.88
2,method_scores_plus_method_ranks_plus_rank_summary_plus_target_context,ridge,35,nested,spearman,0.911,989,247,0.3161,0.2528,0.8265,0.9032,4.2586,4.2586,4.2586,1.0,1.0,0.86
2,method_scores_plus_method_ranks_plus_rank_summary_plus_target_context,xgboost,35,nested,spearman,0.9099,989,247,0.3584,0.2888,0.7769,0.9002,4.2586,4.2586,4.2586,1.0,1.0,0.84
2,chemical_descriptors,ridge,13,nested,spearman,0.5297,989,247,0.639,0.5047,0.291,0.5448,2.8391,2.9483,2.8959,0.7,0.68,0.6
2,chemical_descriptors,xgboost,13,nested,spearman,0.6186,989,247,0.6194,0.4883,0.3338,0.6252,4.2586,2.6207,2.7255,0.6,0.64,0.66
2,method_scores_plus_chemical_descriptors_plus_target_context,ridge,33,nested,spearman,0.8801,989,247,0.3757,0.2921,0.7549,0.8831,4.2586,4.2586,4.2586,1.0,1.0,0.82
2,method_scores_plus_chemical_descriptors_plus_target_context,xgboost,33,nested,spearman,0.8999,989,247,0.3154,0.2491,0.8273,0.8979,4.2586,4.2586,3.9179,1.0,0.92,0.88
2,method_scores_plus_method_ranks_plus_rank_summary_plus_glide_uncertainty_plus_chemical_descriptors_plus_target_context,ridge,49,nested,spearman,0.9083,989,247,0.31,0.2453,0.8331,0.902,4.2586,4.2586,4.2586,1.0,1.0,0.86
2,method_scores_plus_method_ranks_plus_rank_summary_plus_glide_uncertainty_plus_chemical_descriptors_plus_target_context,xgboost,49,nested,spearman,0.9088,989,247,0.3594,0.2894,0.7757,0.9,4.2586,4.2586,4.0883,1.0,0.96,0.84
3,method_scores,ridge,6,nested,spearman,0.8917,989,247,0.3811,0.2829,0.739,0.8745,4.75,4.3846,4.37,0.9,0.92,0.76
3,method_scores,xgboost,6,nested,spearman,0.9055,989,247,0.3244,0.2611,0.8109,0.8787,4.75,4.75,4.56,1.0,0.96,0.76
3,method_scores_plus_target_context,ridge,20,nested,spearman,0.8943,989,247,0.3634,0.2828,0.7627,0.8764,4.75,4.3846,4.56,0.9,0.96,0.76
3,method_scores_plus_target_context,xgboost,20,nested,spearman,0.9065,989,247,0.3187,0.2568,0.8174,0.8806,4.75,4.75,4.56,1.0,0.96,0.8
3,method_scores_plus_glide_uncertainty_plus_target_context,ridge,21,nested,spearman,0.8943,989,247,0.3632,0.2827,0.763,0.8758,4.75,4.3846,4.56,0.9,0.96,0.76
3,method_scores_plus_glide_uncertainty_plus_target_context,xgboost,21,nested,spearman,0.9067,989,247,0.319,0.2587,0.8171,0.8788,4.75,4.75,4.56,1.0,0.96,0.82
3,method_scores_plus_method_ranks_plus_rank_summary_plus_target_context,ridge,35,nested,spearman,0.9162,989,247,0.3109,0.2477,0.8262,0.8884,4.75,4.75,4.56,1.0,0.96,0.84
3,method_scores_plus_method_ranks_plus_rank_summary_plus_target_context,xgboost,35,nested,spearman,0.915,989,247,0.3153,0.2479,0.8213,0.8804,4.75,4.75,4.75,1.0,1.0,0.84
3,chemical_descriptors,ridge,13,nested,spearman,0.5389,989,247,0.5974,0.4697,0.3586,0.5398,4.75,4.0192,3.8,0.9,0.8,0.52
3,chemical_descriptors,xgboost,13,nested,spearman,0.6183,989,247,0.5688,0.4477,0.4184,0.6079,4.75,4.3846,3.61,1.0,0.76,0.62
3,method_scores_plus_chemical_descriptors_plus_target_context,ridge,33,nested,spearman,0.8914,989,247,0.3608,0.2829,0.7661,0.8765,4.75,4.3846,4.56,0.9,0.96,0.76
3,method_scores_plus_chemical_descriptors_plus_target_context,xgboost,33,nested,spearman,0.9041,989,247,0.323,0.2631,0.8125,0.8783,4.75,4.75,4.37,1.0,0.92,0.8
3,method_scores_plus_method_ranks_plus_rank_summary_plus_glide_uncertainty_plus_chemical_descriptors_plus_target_context,ridge,49,nested,spearman,0.9152,989,247,0.3118,0.2492,0.8253,0.888,4.75,4.75,4.56,1.0,0.96,0.84
3,method_scores_plus_method_ranks_plus_rank_summary_plus_glide_uncertainty_plus_chemical_descriptors_plus_target_context,xgboost,49,nested,spearman,0.9146,989,247,0.3135,0.2474,0.8234,0.8785,4.75,4.75,4.75,1.0,1.0,0.84
4,method_scores,ridge,6,nested,spearman,0.8789,989,247,0.369,0.277,0.7697,0.8993,4.1864,3.5424,3.8515,1.0,0.92,0.84
4,method_scores,xgboost,6,nested,spearman,0.8975,989,247,0.3096,0.2402,0.8378,0.9181,4.1864,4.1864,4.019,1.0,0.96,0.82
4,method_scores_plus_target_context,ridge,20,nested,spearman,0.8799,989,247,0.362,0.275,0.7783,0.9025,4.1864,4.1864,3.6841,1.0,0.88,0.84
4,method_scores_plus_target_context,xgboost,20,nested,spearman,0.8987,989,247,0.3076,0.2373,0.84,0.9208,4.1864,4.1864,4.019,1.0,0.96,0.82
4,method_scores_plus_glide_uncertainty_plus_target_context,ridge,21,nested,spearman,0.8794,989,247,0.3627,0.2754,0.7775,0.9013,4.1864,4.1864,3.6841,1.0,0.88,0.82
4,method_scores_plus_glide_uncertainty_plus_target_context,xgboost,21,nested,spearman,0.8971,989,247,0.3078,0.2364,0.8397,0.9201,4.1864,4.1864,4.1864,1.0,1.0,0.84
4,method_scores_plus_method_ranks_plus_rank_summary_plus_target_context,ridge,35,nested,spearman,0.9064,989,247,0.2995,0.2307,0.8483,0.928,4.1864,4.1864,4.1864,1.0,1.0,0.9
4,method_scores_plus_method_ranks_plus_rank_summary_plus_target_context,xgboost,35,nested,spearman,0.9045,989,247,0.3385,0.2523,0.8061,0.9321,4.1864,4.1864,4.1864,1.0,1.0,0.86
4,chemical_descriptors,ridge,13,nested,spearman,0.5504,989,247,0.688,0.5244,0.1995,0.5528,2.791,3.2203,2.6793,0.8,0.64,0.54
4,chemical_descriptors,xgboost,13,nested,spearman,0.6093,989,247,0.5904,0.4657,0.4105,0.6674,4.1864,3.5424,3.5166,1.0,0.84,0.64
4,method_scores_plus_chemical_descriptors_plus_target_context,ridge,33,nested,spearman,0.8753,989,247,0.3586,0.2715,0.7825,0.9032,4.1864,4.1864,3.6841,1.0,0.88,0.82
4,method_scores_plus_chemical_descriptors_plus_target_context,xgboost,33,nested,spearman,0.8956,989,247,0.3149,0.242,0.8323,0.9166,4.1864,4.1864,4.019,1.0,0.96,0.84
4,method_scores_plus_method_ranks_plus_rank_summary_plus_glide_uncertainty_plus_chemical_descriptors_plus_target_context,ridge,49,nested,spearman,0.9049,989,247,0.2998,0.2327,0.848,0.9271,4.1864,4.1864,4.1864,1.0,1.0,0.88
4,method_scores_plus_method_ranks_plus_rank_summary_plus_glide_uncertainty_plus_chemical_descriptors_plus_target_context,xgboost,49,nested,spearman,0.9037,989,247,0.3401,0.2542,0.8043,0.9304,4.1864,4.1864,4.1864,1.0,1.0,0.86
