summary,comparison_name,model_type,p,tuning_mode,tuning_metric,n_train,n_test,rmse,mae,r2,spearman,ef_1pct,ef_5pct,ef_10pct,precision_at_10,precision_at_25,precision_at_50,selected_model_params_by_outer_fold
mean_across_outer_folds,chemical_descriptors,ridge,13,nested,spearman,988.8,247.2,0.6522,0.5093,0.2843,0.5473,3.8812,3.3604,2.9961,0.76,0.672,0.548,fold_0={'alpha': 13.3} | fold_1={'alpha': 13.3} | fold_2={'alpha': 1.55} | fold_3={'alpha': 13.3} | fold_4={'alpha': 13.3}
mean_across_outer_folds,chemical_descriptors,xgboost,13,nested,spearman,988.8,247.2,0.6074,0.4781,0.3794,0.6331,4.4442,3.6297,3.3804,0.88,0.76,0.64,"fold_0={'learning_rate': 0.00312, 'max_depth': 7, 'n_estimators': 350, 'subsample': 0.757} | fold_1={'learning_rate': 0.00312, 'max_depth': 7, 'n_estimators': 350, 'subsample': 0.757} | fold_2={'learning_rate': 0.00312, 'max_depth': 7, 'n_estimators': 350, 'subsample': 0.757} | fold_3={'learning_rate': 0.00312, 'max_depth': 7, 'n_estimators': 350, 'subsample': 0.757} | fold_4={'learning_rate': 0.00312, 'max_depth': 7, 'n_estimators': 350, 'subsample': 0.757}"
mean_across_outer_folds,method_scores,ridge,6,nested,spearman,988.8,247.2,0.3858,0.2899,0.7489,0.8871,4.4442,4.2423,4.153,0.98,0.936,0.8,fold_0={'alpha': 13.3} | fold_1={'alpha': 13.3} | fold_2={'alpha': 116.0} | fold_3={'alpha': 9.05} | fold_4={'alpha': 116.0}
mean_across_outer_folds,method_scores,xgboost,6,nested,spearman,988.8,247.2,0.3172,0.2504,0.8301,0.9004,4.4442,4.3056,4.2246,1.0,0.952,0.828,"fold_0={'learning_rate': 0.032, 'max_depth': 2, 'n_estimators': 400, 'subsample': 0.585} | fold_1={'learning_rate': 0.032, 'max_depth': 2, 'n_estimators': 400, 'subsample': 0.585} | fold_2={'learning_rate': 0.032, 'max_depth': 2, 'n_estimators': 400, 'subsample': 0.585} | fold_3={'learning_rate': 0.032, 'max_depth': 2, 'n_estimators': 400, 'subsample': 0.585} | fold_4={'learning_rate': 0.032, 'max_depth': 2, 'n_estimators': 400, 'subsample': 0.585}"
mean_across_outer_folds,method_scores_plus_chemical_descriptors_plus_target_context,ridge,33,nested,spearman,988.8,247.2,0.3801,0.2909,0.7568,0.8861,4.4442,4.3711,4.1955,0.98,0.944,0.796,fold_0={'alpha': 116.0} | fold_1={'alpha': 13.3} | fold_2={'alpha': 116.0} | fold_3={'alpha': 116.0} | fold_4={'alpha': 13.3}
mean_across_outer_folds,method_scores_plus_chemical_descriptors_plus_target_context,xgboost,33,nested,spearman,988.8,247.2,0.3205,0.2529,0.8268,0.8997,4.4442,4.3711,4.1563,0.98,0.936,0.836,"fold_0={'learning_rate': 0.032, 'max_depth': 2, 'n_estimators': 400, 'subsample': 0.585} | fold_1={'learning_rate': 0.032, 'max_depth': 2, 'n_estimators': 400, 'subsample': 0.585} | fold_2={'learning_rate': 0.032, 'max_depth': 2, 'n_estimators': 400, 'subsample': 0.585} | fold_3={'learning_rate': 0.032, 'max_depth': 2, 'n_estimators': 400, 'subsample': 0.585} | fold_4={'learning_rate': 0.032, 'max_depth': 2, 'n_estimators': 400, 'subsample': 0.585}"
mean_across_outer_folds,method_scores_plus_glide_uncertainty_plus_target_context,ridge,21,nested,spearman,988.8,247.2,0.3808,0.2909,0.756,0.8881,4.4442,4.3711,4.1955,0.98,0.944,0.784,fold_0={'alpha': 116.0} | fold_1={'alpha': 116.0} | fold_2={'alpha': 116.0} | fold_3={'alpha': 116.0} | fold_4={'alpha': 116.0}
mean_across_outer_folds,method_scores_plus_glide_uncertainty_plus_target_context,xgboost,21,nested,spearman,988.8,247.2,0.3139,0.2482,0.8338,0.9027,4.4442,4.3711,4.2961,1.0,0.968,0.836,"fold_0={'learning_rate': 0.032, 'max_depth': 2, 'n_estimators': 400, 'subsample': 0.585} | fold_1={'learning_rate': 0.032, 'max_depth': 2, 'n_estimators': 400, 'subsample': 0.585} | fold_2={'learning_rate': 0.0495, 'max_depth': 2, 'n_estimators': 250, 'subsample': 0.72} | fold_3={'learning_rate': 0.032, 'max_depth': 2, 'n_estimators': 400, 'subsample': 0.585} | fold_4={'learning_rate': 0.032, 'max_depth': 2, 'n_estimators': 400, 'subsample': 0.585}"
mean_across_outer_folds,method_scores_plus_method_ranks_plus_rank_summary_plus_glide_uncertainty_plus_chemical_descriptors_plus_target_context,ridge,49,nested,spearman,988.8,247.2,0.3086,0.2456,0.8392,0.9091,4.4442,4.3711,4.3302,1.0,0.976,0.848,fold_0={'alpha': 116.0} | fold_1={'alpha': 116.0} | fold_2={'alpha': 116.0} | fold_3={'alpha': 116.0} | fold_4={'alpha': 9.05}
mean_across_outer_folds,method_scores_plus_method_ranks_plus_rank_summary_plus_glide_uncertainty_plus_chemical_descriptors_plus_target_context,xgboost,49,nested,spearman,988.8,247.2,0.3444,0.2702,0.8003,0.9077,4.4442,4.4442,4.3341,1.0,0.976,0.848,"fold_0={'learning_rate': 0.00282, 'max_depth': 3, 'n_estimators': 550, 'subsample': 0.592} | fold_1={'learning_rate': 0.00282, 'max_depth': 3, 'n_estimators': 550, 'subsample': 0.592} | fold_2={'learning_rate': 0.00282, 'max_depth': 3, 'n_estimators': 550, 'subsample': 0.592} | fold_3={'learning_rate': 0.0117, 'max_depth': 5, 'n_estimators': 250, 'subsample': 0.646} | fold_4={'learning_rate': 0.00282, 'max_depth': 3, 'n_estimators': 550, 'subsample': 0.592}"
