selection_scope,outer_fold,comparison_name,model_type,p,tuning_mode,tuning_metric,trial_number,n_trials_planned,tuning_score,best_tuning_score_so_far,model_params
outer_fold_0,0,method_scores,ridge,6,nested,spearman,0,100,0.8855,0.8855,{'alpha': 0.0419}
outer_fold_0,0,method_scores,ridge,6,nested,spearman,1,100,0.8814,0.8855,{'alpha': 452.0}
outer_fold_0,0,method_scores,ridge,6,nested,spearman,2,100,0.8857,0.8857,{'alpha': 13.3}
outer_fold_0,0,method_scores,ridge,6,nested,spearman,3,100,0.8855,0.8857,{'alpha': 1.55}
outer_fold_0,0,method_scores,ridge,6,nested,spearman,4,100,0.8855,0.8857,{'alpha': 0.00124}
outer_fold_0,0,method_scores,ridge,6,nested,spearman,5,100,0.8855,0.8857,{'alpha': 0.00124}
outer_fold_0,0,method_scores,ridge,6,nested,spearman,6,100,0.8855,0.8857,{'alpha': 0.000255}
outer_fold_0,0,method_scores,ridge,6,nested,spearman,7,100,0.8852,0.8857,{'alpha': 116.0}
outer_fold_0,0,method_scores,ridge,6,nested,spearman,8,100,0.8855,0.8857,{'alpha': 1.61}
outer_fold_0,0,method_scores,ridge,6,nested,spearman,9,100,0.8856,0.8857,{'alpha': 9.05}
outer_fold_0,0,method_scores,ridge,6,nested,spearman,10,100,0.8855,0.8857,{'alpha': 0.0378}
outer_fold_0,0,method_scores,ridge,6,nested,spearman,11,100,0.8858,0.8858,{'alpha': 16.8}
outer_fold_0,0,method_scores,ridge,6,nested,spearman,12,100,0.8856,0.8858,{'alpha': 7.46}
outer_fold_0,0,method_scores,ridge,6,nested,spearman,13,100,0.8858,0.8858,{'alpha': 35.2}
outer_fold_0,0,method_scores,ridge,6,nested,spearman,14,100,0.8853,0.8858,{'alpha': 101.0}
outer_fold_0,0,method_scores,ridge,6,nested,spearman,15,100,0.8855,0.8858,{'alpha': 0.0594}
outer_fold_0,0,method_scores,ridge,6,nested,spearman,16,100,0.8785,0.8858,{'alpha': 665.0}
outer_fold_0,0,method_scores,ridge,6,nested,spearman,17,100,0.8855,0.8858,{'alpha': 0.605}
outer_fold_0,0,method_scores,ridge,6,nested,spearman,18,100,0.8857,0.8858,{'alpha': 50.7}
outer_fold_0,0,method_scores,ridge,6,nested,spearman,19,100,0.8855,0.8858,{'alpha': 0.485}
outer_fold_0,0,method_scores,ridge,6,nested,spearman,20,100,0.8858,0.8858,{'alpha': 27.0}
outer_fold_0,0,method_scores,ridge,6,nested,spearman,21,100,0.8857,0.8858,{'alpha': 29.9}
outer_fold_0,0,method_scores,ridge,6,nested,spearman,22,100,0.885,0.8858,{'alpha': 212.0}
outer_fold_0,0,method_scores,ridge,6,nested,spearman,23,100,0.8855,0.8858,{'alpha': 2.96}
outer_fold_0,0,method_scores,ridge,6,nested,spearman,24,100,0.8857,0.8858,{'alpha': 28.1}
outer_fold_0,0,method_scores,ridge,6,nested,spearman,25,100,0.8855,0.8858,{'alpha': 0.295}
outer_fold_0,0,method_scores,ridge,6,nested,spearman,26,100,0.8856,0.8858,{'alpha': 6.75}
outer_fold_0,0,method_scores,ridge,6,nested,spearman,27,100,0.8753,0.8858,{'alpha': 964.0}
outer_fold_0,0,method_scores,ridge,6,nested,spearman,28,100,0.8853,0.8858,{'alpha': 178.0}
outer_fold_0,0,method_scores,ridge,6,nested,spearman,29,100,0.8855,0.8858,{'alpha': 0.0986}
outer_fold_0,0,method_scores,ridge,6,nested,spearman,30,100,0.8857,0.8858,{'alpha': 44.2}
outer_fold_0,0,method_scores,ridge,6,nested,spearman,31,100,0.8858,0.8858,{'alpha': 49.4}
outer_fold_0,0,method_scores,ridge,6,nested,spearman,32,100,0.8842,0.8858,{'alpha': 288.0}
outer_fold_0,0,method_scores,ridge,6,nested,spearman,33,100,0.8857,0.8858,{'alpha': 17.7}
outer_fold_0,0,method_scores,ridge,6,nested,spearman,34,100,0.8855,0.8858,{'alpha': 3.55}
outer_fold_0,0,method_scores,ridge,6,nested,spearman,35,100,0.8857,0.8858,{'alpha': 50.9}
outer_fold_0,0,method_scores,ridge,6,nested,spearman,36,100,0.8858,0.8858,{'alpha': 12.9}
outer_fold_0,0,method_scores,ridge,6,nested,spearman,37,100,0.8855,0.8858,{'alpha': 3.26}
outer_fold_0,0,method_scores,ridge,6,nested,spearman,38,100,0.8857,0.8858,{'alpha': 14.2}
outer_fold_0,0,method_scores,ridge,6,nested,spearman,39,100,0.8855,0.8858,{'alpha': 1.02}
outer_fold_0,0,method_scores,ridge,6,nested,spearman,40,100,0.8855,0.8858,{'alpha': 0.0139}
outer_fold_0,0,method_scores,ridge,6,nested,spearman,41,100,0.8857,0.8858,{'alpha': 66.7}
outer_fold_0,0,method_scores,ridge,6,nested,spearman,42,100,0.8858,0.8858,{'alpha': 17.5}
outer_fold_0,0,method_scores,ridge,6,nested,spearman,43,100,0.8855,0.8858,{'alpha': 4.92}
outer_fold_0,0,method_scores,ridge,6,nested,spearman,44,100,0.8853,0.8858,{'alpha': 131.0}
outer_fold_0,0,method_scores,ridge,6,nested,spearman,45,100,0.8857,0.8858,{'alpha': 9.47}
outer_fold_0,0,method_scores,ridge,6,nested,spearman,46,100,0.8819,0.8858,{'alpha': 421.0}
outer_fold_0,0,method_scores,ridge,6,nested,spearman,47,100,0.8855,0.8858,{'alpha': 1.86}
outer_fold_0,0,method_scores,ridge,6,nested,spearman,48,100,0.8854,0.8858,{'alpha': 98.7}
outer_fold_0,0,method_scores,ridge,6,nested,spearman,49,100,0.8858,0.8858,{'alpha': 20.9}
outer_fold_0,0,method_scores,ridge,6,nested,spearman,50,100,0.8858,0.8858,{'alpha': 22.4}
outer_fold_0,0,method_scores,ridge,6,nested,spearman,51,100,0.8858,0.8858,{'alpha': 24.4}
outer_fold_0,0,method_scores,ridge,6,nested,spearman,52,100,0.8858,0.8858,{'alpha': 15.4}
outer_fold_0,0,method_scores,ridge,6,nested,spearman,53,100,0.8856,0.8858,{'alpha': 7.44}
