outer_fold,comparison_name,model_type,p,tuning_mode,tuning_metric,tuning_score,n_train,n_test,rmse,mae,r2,spearman,ef_1pct,ef_5pct,ef_10pct,precision_at_10,precision_at_25,precision_at_50
0,method_scores,ridge,6,nested,spearman,0.0684,986,247,0.7876,0.6222,-0.002,0.0941,0.0,0.9194,1.2748,0.2,0.32,0.34
0,method_scores,xgboost,6,nested,spearman,0.3215,986,247,0.7134,0.5659,0.1779,0.3787,2.6559,3.371,2.709,0.8,0.68,0.5
0,method_scores_plus_target_context,ridge,20,nested,spearman,0.0946,986,247,0.7818,0.6175,0.0127,0.1564,1.328,1.5323,1.2748,0.3,0.32,0.38
0,method_scores_plus_target_context,xgboost,20,nested,spearman,0.2295,986,247,0.7726,0.6208,0.0359,0.2299,3.9839,2.1452,2.231,0.6,0.56,0.42
0,method_scores_plus_glide_uncertainty_plus_target_context,ridge,21,nested,spearman,0.1253,986,247,0.7775,0.6144,0.0235,0.19,1.328,1.5323,1.5935,0.3,0.4,0.38
0,method_scores_plus_glide_uncertainty_plus_target_context,xgboost,21,nested,spearman,0.2694,986,247,0.7439,0.5997,0.1062,0.2993,3.9839,1.8387,1.9123,0.5,0.48,0.46
0,method_scores_plus_method_ranks_plus_rank_summary_plus_target_context,ridge,35,nested,spearman,0.1283,986,247,0.7699,0.6067,0.0425,0.2238,3.9839,1.8387,1.7529,0.6,0.44,0.38
0,method_scores_plus_method_ranks_plus_rank_summary_plus_target_context,xgboost,35,nested,spearman,0.2873,986,247,0.7077,0.5587,0.1911,0.3935,3.9839,3.6774,3.1871,0.9,0.8,0.52
0,chemical_descriptors,ridge,13,nested,spearman,0.0551,986,247,0.7753,0.6115,0.0289,0.1579,1.328,1.8387,1.2748,0.5,0.32,0.32
0,chemical_descriptors,xgboost,13,nested,spearman,0.5958,986,247,0.5057,0.3794,0.5869,0.7094,3.9839,3.9839,3.6652,1.0,0.92,0.86
0,method_scores_plus_chemical_descriptors_plus_target_context,ridge,33,nested,spearman,0.1149,986,247,0.7756,0.6097,0.0282,0.1954,1.328,1.8387,1.2748,0.4,0.32,0.4
0,method_scores_plus_chemical_descriptors_plus_target_context,xgboost,33,nested,spearman,0.5101,986,247,0.5835,0.4518,0.4499,0.6389,3.9839,3.6774,3.5058,1.0,0.88,0.8
0,method_scores_plus_method_ranks_plus_rank_summary_plus_glide_uncertainty_plus_chemical_descriptors_plus_target_context,ridge,49,nested,spearman,0.1512,986,247,0.7594,0.5977,0.0684,0.2999,2.6559,2.1452,1.7529,0.6,0.44,0.44
0,method_scores_plus_method_ranks_plus_rank_summary_plus_glide_uncertainty_plus_chemical_descriptors_plus_target_context,xgboost,49,nested,spearman,0.4988,986,247,0.5969,0.4591,0.4244,0.6253,3.9839,3.9839,3.5058,1.0,0.88,0.72
