summary,comparison_name,model_type,p,tuning_mode,tuning_metric,n_train,n_test,rmse,mae,r2,spearman,ef_1pct,ef_5pct,ef_10pct,precision_at_10,precision_at_25,precision_at_50,selected_model_params_by_outer_fold
mean_across_outer_folds,chemical_descriptors,ridge,13,nested,spearman,986.4,246.6,0.7727,0.6078,-0.0047,0.079,2.067,1.5351,1.2161,0.34,0.28,0.22,fold_0={'alpha': 13.3} | fold_1={'alpha': 9.05} | fold_2={'alpha': 0.000255} | fold_3={'alpha': 116.0} | fold_4={'alpha': 9.05}
mean_across_outer_folds,chemical_descriptors,xgboost,13,nested,spearman,986.4,246.6,0.5325,0.3957,0.522,0.688,4.5059,4.2897,4.0865,1.0,0.904,0.724,"fold_0={'learning_rate': 0.065, 'max_depth': 8, 'n_estimators': 300, 'subsample': 0.799} | fold_1={'learning_rate': 0.065, 'max_depth': 8, 'n_estimators': 300, 'subsample': 0.799} | fold_2={'learning_rate': 0.065, 'max_depth': 8, 'n_estimators': 300, 'subsample': 0.799} | fold_3={'learning_rate': 0.065, 'max_depth': 8, 'n_estimators': 300, 'subsample': 0.799} | fold_4={'learning_rate': 0.065, 'max_depth': 8, 'n_estimators': 300, 'subsample': 0.799}"
mean_across_outer_folds,method_scores,ridge,6,nested,spearman,986.4,246.6,0.7726,0.6095,-0.0041,0.0562,1.8168,0.9171,1.164,0.2,0.264,0.244,fold_0={'alpha': 9.05} | fold_1={'alpha': 452.0} | fold_2={'alpha': 1.55} | fold_3={'alpha': 13.3} | fold_4={'alpha': 0.0419}
mean_across_outer_folds,method_scores,xgboost,6,nested,spearman,986.4,246.6,0.7252,0.5763,0.1143,0.3358,3.0039,2.5159,2.1529,0.56,0.48,0.42,"fold_0={'learning_rate': 0.065, 'max_depth': 8, 'n_estimators': 300, 'subsample': 0.799} | fold_1={'learning_rate': 0.065, 'max_depth': 8, 'n_estimators': 300, 'subsample': 0.799} | fold_2={'learning_rate': 0.065, 'max_depth': 8, 'n_estimators': 300, 'subsample': 0.799} | fold_3={'learning_rate': 0.247, 'max_depth': 8, 'n_estimators': 100, 'subsample': 0.904} | fold_4={'learning_rate': 0.065, 'max_depth': 8, 'n_estimators': 300, 'subsample': 0.799}"
mean_across_outer_folds,method_scores_plus_chemical_descriptors_plus_target_context,ridge,33,nested,spearman,986.4,246.6,0.7732,0.6076,-0.006,0.125,1.4131,1.532,1.3483,0.38,0.304,0.268,fold_0={'alpha': 116.0} | fold_1={'alpha': 116.0} | fold_2={'alpha': 13.3} | fold_3={'alpha': 116.0} | fold_4={'alpha': 9.05}
mean_across_outer_folds,method_scores_plus_chemical_descriptors_plus_target_context,xgboost,33,nested,spearman,986.4,246.6,0.5932,0.4631,0.4079,0.6072,4.1712,4.2028,3.7063,0.96,0.824,0.604,"fold_0={'learning_rate': 0.065, 'max_depth': 8, 'n_estimators': 300, 'subsample': 0.799} | fold_1={'learning_rate': 0.065, 'max_depth': 8, 'n_estimators': 300, 'subsample': 0.799} | fold_2={'learning_rate': 0.065, 'max_depth': 8, 'n_estimators': 300, 'subsample': 0.799} | fold_3={'learning_rate': 0.065, 'max_depth': 8, 'n_estimators': 300, 'subsample': 0.799} | fold_4={'learning_rate': 0.065, 'max_depth': 8, 'n_estimators': 300, 'subsample': 0.799}"
mean_across_outer_folds,method_scores_plus_glide_uncertainty_plus_target_context,ridge,21,nested,spearman,986.4,246.6,0.769,0.604,0.0052,0.1323,0.5114,1.1295,1.2008,0.28,0.272,0.292,fold_0={'alpha': 452.0} | fold_1={'alpha': 452.0} | fold_2={'alpha': 452.0} | fold_3={'alpha': 452.0} | fold_4={'alpha': 452.0}
mean_across_outer_folds,method_scores_plus_glide_uncertainty_plus_target_context,xgboost,21,nested,spearman,986.4,246.6,0.7521,0.6004,0.0486,0.2738,2.6136,1.8063,1.8398,0.42,0.416,0.356,"fold_0={'learning_rate': 0.065, 'max_depth': 8, 'n_estimators': 300, 'subsample': 0.799} | fold_1={'learning_rate': 0.065, 'max_depth': 8, 'n_estimators': 300, 'subsample': 0.799} | fold_2={'learning_rate': 0.065, 'max_depth': 8, 'n_estimators': 300, 'subsample': 0.799} | fold_3={'learning_rate': 0.065, 'max_depth': 8, 'n_estimators': 300, 'subsample': 0.799} | fold_4={'learning_rate': 0.065, 'max_depth': 8, 'n_estimators': 300, 'subsample': 0.799}"
mean_across_outer_folds,method_scores_plus_method_ranks_plus_rank_summary_plus_glide_uncertainty_plus_chemical_descriptors_plus_target_context,ridge,49,nested,spearman,986.4,246.6,0.7703,0.6052,0.0013,0.1829,2.1459,1.823,1.4426,0.44,0.32,0.292,fold_0={'alpha': 116.0} | fold_1={'alpha': 13.3} | fold_2={'alpha': 9.05} | fold_3={'alpha': 1.55} | fold_4={'alpha': 1.61}
mean_across_outer_folds,method_scores_plus_method_ranks_plus_rank_summary_plus_glide_uncertainty_plus_chemical_descriptors_plus_target_context,xgboost,49,nested,spearman,986.4,246.6,0.6068,0.4761,0.3808,0.5899,4.5059,3.7067,3.3428,0.88,0.752,0.604,"fold_0={'learning_rate': 0.065, 'max_depth': 8, 'n_estimators': 300, 'subsample': 0.799} | fold_1={'learning_rate': 0.065, 'max_depth': 8, 'n_estimators': 300, 'subsample': 0.799} | fold_2={'learning_rate': 0.065, 'max_depth': 8, 'n_estimators': 300, 'subsample': 0.799} | fold_3={'learning_rate': 0.065, 'max_depth': 8, 'n_estimators': 300, 'subsample': 0.799} | fold_4={'learning_rate': 0.065, 'max_depth': 8, 'n_estimators': 300, 'subsample': 0.799}"
mean_across_outer_folds,method_scores_plus_method_ranks_plus_rank_summary_plus_target_context,ridge,35,nested,spearman,986.4,246.6,0.7706,0.6072,0.0011,0.1458,2.0332,1.7604,1.5066,0.4,0.336,0.292,fold_0={'alpha': 13.3} | fold_1={'alpha': 13.3} | fold_2={'alpha': 9.05} | fold_3={'alpha': 0.0419} | fold_4={'alpha': 0.0419}
mean_across_outer_folds,method_scores_plus_method_ranks_plus_rank_summary_plus_target_context,xgboost,35,nested,spearman,986.4,246.6,0.7138,0.5653,0.1421,0.3571,3.3068,2.7552,2.4927,0.76,0.568,0.448,"fold_0={'learning_rate': 0.065, 'max_depth': 8, 'n_estimators': 300, 'subsample': 0.799} | fold_1={'learning_rate': 0.065, 'max_depth': 8, 'n_estimators': 300, 'subsample': 0.799} | fold_2={'learning_rate': 0.065, 'max_depth': 8, 'n_estimators': 300, 'subsample': 0.799} | fold_3={'learning_rate': 0.065, 'max_depth': 8, 'n_estimators': 300, 'subsample': 0.799} | fold_4={'learning_rate': 0.065, 'max_depth': 8, 'n_estimators': 300, 'subsample': 0.799}"
mean_across_outer_folds,method_scores_plus_target_context,ridge,20,nested,spearman,986.4,246.6,0.7716,0.6078,-0.0015,0.0937,0.8461,1.3014,1.0239,0.24,0.232,0.26,fold_0={'alpha': 452.0} | fold_1={'alpha': 452.0} | fold_2={'alpha': 452.0} | fold_3={'alpha': 452.0} | fold_4={'alpha': 452.0}
mean_across_outer_folds,method_scores_plus_target_context,xgboost,20,nested,spearman,986.4,246.6,0.7726,0.6147,-0.0055,0.2091,1.342,1.9997,1.8453,0.42,0.416,0.34,"fold_0={'learning_rate': 0.247, 'max_depth': 8, 'n_estimators': 100, 'subsample': 0.904} | fold_1={'learning_rate': 0.00312, 'max_depth': 7, 'n_estimators': 350, 'subsample': 0.757} | fold_2={'learning_rate': 0.065, 'max_depth': 8, 'n_estimators': 300, 'subsample': 0.799} | fold_3={'learning_rate': 0.0117, 'max_depth': 5, 'n_estimators': 250, 'subsample': 0.646} | fold_4={'learning_rate': 0.247, 'max_depth': 8, 'n_estimators': 100, 'subsample': 0.904}"
