selection_scope,outer_fold,comparison_name,model_type,p,tuning_mode,tuning_metric,trial_number,n_trials_planned,tuning_score,best_tuning_score_so_far,model_params
outer_fold_0,0,6predictor_pr,ridge,6,nested,spearman,0,20,0.57,0.57,{'alpha': 0.0419}
outer_fold_0,0,6predictor_pr,ridge,6,nested,spearman,1,20,0.5674,0.57,{'alpha': 452.0}
outer_fold_0,0,6predictor_pr,ridge,6,nested,spearman,2,20,0.5709,0.5709,{'alpha': 13.3}
outer_fold_0,0,6predictor_pr,ridge,6,nested,spearman,3,20,0.5702,0.5709,{'alpha': 1.55}
outer_fold_0,0,6predictor_pr,ridge,6,nested,spearman,4,20,0.5701,0.5709,{'alpha': 0.00124}
outer_fold_0,0,6predictor_pr,ridge,6,nested,spearman,5,20,0.5701,0.5709,{'alpha': 0.00124}
outer_fold_0,0,6predictor_pr,ridge,6,nested,spearman,6,20,0.5701,0.5709,{'alpha': 0.000255}
outer_fold_0,0,6predictor_pr,ridge,6,nested,spearman,7,20,0.57,0.5709,{'alpha': 116.0}
outer_fold_0,0,6predictor_pr,ridge,6,nested,spearman,8,20,0.5702,0.5709,{'alpha': 1.61}
outer_fold_0,0,6predictor_pr,ridge,6,nested,spearman,9,20,0.571,0.571,{'alpha': 9.05}
outer_fold_0,0,6predictor_pr,ridge,6,nested,spearman,10,20,0.5701,0.571,{'alpha': 0.0151}
outer_fold_0,0,6predictor_pr,ridge,6,nested,spearman,11,20,0.5714,0.5714,{'alpha': 22.0}
outer_fold_0,0,6predictor_pr,ridge,6,nested,spearman,12,20,0.5711,0.5714,{'alpha': 7.46}
outer_fold_0,0,6predictor_pr,ridge,6,nested,spearman,13,20,0.5713,0.5714,{'alpha': 45.9}
outer_fold_0,0,6predictor_pr,ridge,6,nested,spearman,14,20,0.57,0.5714,{'alpha': 104.0}
outer_fold_0,0,6predictor_pr,ridge,6,nested,spearman,15,20,0.5715,0.5715,{'alpha': 73.6}
outer_fold_0,0,6predictor_pr,ridge,6,nested,spearman,16,20,0.567,0.5715,{'alpha': 715.0}
outer_fold_0,0,6predictor_pr,ridge,6,nested,spearman,17,20,0.5701,0.5715,{'alpha': 0.223}
outer_fold_0,0,6predictor_pr,ridge,6,nested,spearman,18,20,0.5702,0.5715,{'alpha': 0.986}
outer_fold_0,0,6predictor_pr,ridge,6,nested,spearman,19,20,0.5715,0.5715,{'alpha': 23.4}
outer_fold_0,0,6predictor_pr,xgboost,6,nested,spearman,0,20,0.518,0.518,"{'learning_rate': 0.065, 'max_depth': 8, 'n_estimators': 300, 'subsample': 0.799}"
outer_fold_0,0,6predictor_pr,xgboost,6,nested,spearman,1,20,0.5272,0.5272,"{'learning_rate': 0.00139, 'max_depth': 3, 'n_estimators': 150, 'subsample': 0.933}"
outer_fold_0,0,6predictor_pr,xgboost,6,nested,spearman,2,20,0.5336,0.5336,"{'learning_rate': 0.00112, 'max_depth': 6, 'n_estimators': 400, 'subsample': 0.985}"
outer_fold_0,0,6predictor_pr,xgboost,6,nested,spearman,3,20,0.5593,0.5593,"{'learning_rate': 0.00282, 'max_depth': 3, 'n_estimators': 550, 'subsample': 0.592}"
outer_fold_0,0,6predictor_pr,xgboost,6,nested,spearman,4,20,0.5579,0.5593,"{'learning_rate': 0.0117, 'max_depth': 5, 'n_estimators': 250, 'subsample': 0.646}"
outer_fold_0,0,6predictor_pr,xgboost,6,nested,spearman,5,20,0.5523,0.5593,"{'learning_rate': 0.00529, 'max_depth': 2, 'n_estimators': 400, 'subsample': 0.683}"
outer_fold_0,0,6predictor_pr,xgboost,6,nested,spearman,6,20,0.5463,0.5593,"{'learning_rate': 0.00312, 'max_depth': 7, 'n_estimators': 350, 'subsample': 0.757}"
outer_fold_0,0,6predictor_pr,xgboost,6,nested,spearman,7,20,0.5501,0.5593,"{'learning_rate': 0.032, 'max_depth': 2, 'n_estimators': 400, 'subsample': 0.585}"
outer_fold_0,0,6predictor_pr,xgboost,6,nested,spearman,8,20,0.4751,0.5593,"{'learning_rate': 0.247, 'max_depth': 8, 'n_estimators': 100, 'subsample': 0.904}"
