id,target,in_experimental_data,pred_mean,pred_err
103177-37-3,fasn,0,4.8971,1.7291
99464-64-9,fasn,0,4.7249,0.9366
23180-57-6,fasn,0,5.0112,3.002
50-27-1,fasn,1,4.5685,1.7205
2627-69-2,fasn,1,4.2186,1.7921
58186-27-9,fasn,1,4.3949,1.9296
93793-83-0,fasn,1,4.5247,1.2943
39133-31-8,fasn,0,4.5215,1.1212
34552-84-6,fasn,0,4.6081,1.4705
112885-42-4,fasn,1,4.7175,1.4597
51803-78-2,fasn,1,4.6054,1.1135
141505-33-1,fasn,1,4.5321,1.0495
183320-51-6,fasn,0,4.6475,0.8718
101477-54-7,fasn,0,4.8508,1.3967
50-02-2,fasn,0,4.6552,1.6866
96829-58-2,fasn,1,4.5486,3.1532
98-96-4,fasn,0,4.3288,1.3272
541-15-1,fasn,1,4.0043,1.3109
65277-42-1,fasn,0,4.9239,1.4416
70-00-8,fasn,0,4.3153,1.1275
39809-25-1,fasn,0,4.2408,1.5301
54-42-2,fasn,0,4.3701,0.7651
124832-27-5,fasn,0,4.3731,0.7732
5536-17-4,fasn,0,4.308,1.8086
147-94-4,fasn,0,4.2096,1.5889
99011-02-6,fasn,0,4.5054,1.4336
70288-86-7,fasn,0,6.677,4.2989
59277-89-3,fasn,0,4.3021,0.9687
82410-32-0,fasn,0,4.235,1.562
104227-87-4,fasn,0,4.3636,1.0799
50-91-9,fasn,0,4.2781,1.2516
79-57-2,fasn,0,4.6438,2.0175
6153-64-6,fasn,0,4.7008,2.109
518048-05-0,fasn,0,4.5685,1.5273
161735-79-1,fasn,0,4.4947,0.9009
13492-01-8,fasn,0,4.7358,1.4929
549-18-8,fasn,0,4.6649,1.0309
79794-75-5,fasn,0,4.7893,1.2443
79307-93-0,fasn,0,4.7685,1.2031
100299-08-9,fasn,0,4.5502,0.8463
980-71-2,fasn,0,4.6271,0.9648
122883-93-6,fasn,1,4.8473,1.3778
76824-35-6,fasn,0,4.3326,1.3577
154-69-8,fasn,0,4.4745,1.023
2192-20-3,fasn,1,4.679,0.874
132-20-7,fasn,1,4.5763,0.9141
25332-39-2,fasn,1,4.724,1.0587
1104-22-9,fasn,0,4.855,1.4144
76963-41-2,fasn,0,4.281,1.6319
521-78-8,fasn,1,4.7114,0.8147
14976-57-9,fasn,1,4.752,0.8949
10347-81-6,fasn,0,4.876,1.3193
100643-71-8,fasn,0,4.7268,1.3049
132-18-3,fasn,0,4.6219,1.0065
83881-52-1,fasn,0,4.7205,0.8428
2508-72-7,fasn,0,4.5841,1.0431
66357-59-3,fasn,0,4.3445,1.58
140462-76-6,fasn,1,4.6825,1.0544
3978-86-7,fasn,1,4.9066,1.406
113-92-8,fasn,0,4.6043,0.9646
59-33-6,fasn,0,4.5577,0.9268
190786-44-8,fasn,0,4.8731,1.1091
147-24-0,fasn,0,4.5086,1.0252
562-10-7,fasn,0,4.5083,1.2036
144598-75-4,fasn,0,4.768,1.4438
137-58-6,fasn,0,4.2982,1.0487
85650-52-8,fasn,0,4.6545,1.27
34580-14-8,fasn,0,4.8314,1.0859
132-17-2,fasn,1,4.7746,0.839
113-59-7,fasn,1,4.6621,1.2493
51481-61-9,fasn,0,4.3496,1.6143
4682-36-4,fasn,0,4.5354,1.4418
97240-79-4,fasn,0,4.337,1.9421
25451-15-4,fasn,1,4.3397,1.3237
41100-52-1,fasn,0,4.4865,2.3405
1508-76-5,fasn,0,4.5452,1.2271
68-41-7,fasn,0,4.0716,1.6475
50357-45-4,fasn,1,4.6502,1.1467
7681-93-8,fasn,0,4.78,1.9442
29342-05-0,fasn,1,4.3805,0.9294
41621-49-2,fasn,0,4.3446,0.9806
61318-91-0,fasn,1,4.8024,1.1029
171228-49-2,fasn,1,5.1748,2.1454
536-43-6,fasn,0,4.5186,1.4268
53123-88-9,fasn,0,5.125,2.3222
23593-75-1,fasn,1,4.8588,1.4599
64872-77-1,fasn,0,4.8328,1.2259
91161-71-6,fasn,0,4.5621,0.8724
65473-14-5,fasn,0,4.6953,1.2946
78628-80-5,fasn,0,4.5896,0.9102
1397-89-3,fasn,0,4.7249,3.1645
57852-57-0,fasn,0,4.8194,1.8273
179463-17-3,fasn,0,4.9592,3.4041
1070-11-7,fasn,0,3.9871,1.4196
101827-46-7,fasn,0,4.6675,1.278
137234-62-9,fasn,0,4.5799,1.1591
86386-73-4,fasn,1,4.5377,1.1209
99592-39-9,fasn,1,4.8978,1.3284
65899-73-2,fasn,0,4.6769,1.3391
24280-93-1,fasn,0,4.5248,1.0203
540737-29-9,fasn,0,4.5681,1.9322
84625-61-6,fasn,0,5.1947,2.1363
65-85-0,fasn,1,4.3771,1.3439
24169-02-6,fasn,1,4.7955,0.9966
22916-47-8,fasn,0,4.7415,1.3686
22832-87-7,fasn,0,4.8231,1.0774
17321-77-6,fasn,0,4.6451,1.0302
74011-58-8,fasn,0,4.5152,1.0562
72509-76-3,fasn,0,4.574,1.2597
173334-58-2,fasn,0,5.0457,3.2397
941678-49-5,fasn,1,4.6391,1.5266
127-79-7,fasn,0,4.4931,1.2013
13010-47-4,fasn,0,4.2627,1.7448
54527-84-3,fasn,0,4.8078,1.2936
90357-06-5,fasn,0,4.6508,1.0458
136572-09-3,fasn,0,5.2682,1.7986
1177-87-3,fasn,0,4.7378,1.4569
1264-72-8,fasn,1,4.6631,3.8689
54-85-3,fasn,0,4.4129,1.3869
23541-50-6,fasn,0,4.8205,1.8112
943319-70-8,fasn,1,4.9694,1.2679
150399-23-8,fasn,0,4.5815,1.0673
475207-59-1,fasn,0,4.9752,2.0004
1247-42-3,fasn,1,4.6761,1.6141
73963-72-1,fasn,0,4.683,1.1225
668270-12-0,fasn,0,4.8226,1.1625
154-42-7,fasn,0,4.4097,1.4909
129497-78-5,fasn,0,5.2701,1.4959
220127-57-1,fasn,1,4.9208,1.5687
184475-35-2,fasn,0,4.7308,1.0146
66085-59-4,fasn,1,4.631,1.8057
75330-75-5,fasn,0,4.63,1.5913
52-01-7,fasn,0,4.8531,1.9564
79902-63-9,fasn,0,4.6422,1.6079
78246-49-8,fasn,1,4.7195,1.0823
97682-44-5,fasn,0,5.1535,1.7812
65928-58-7,fasn,0,4.6794,1.7583
63-74-1,fasn,0,4.3924,1.1346
73590-58-6,fasn,0,4.5612,1.2394
34552-83-5,fasn,0,4.8633,1.2648
123318-82-1,fasn,1,4.4148,1.0783
129453-61-8,fasn,1,4.9539,2.133
183133-96-2,fasn,0,5.227,1.6581
302962-49-8,fasn,1,4.6519,1.6332
474-25-9,fasn,0,4.6383,2.0308
298-46-4,fasn,0,4.6975,1.5172
877399-52-5,fasn,1,4.7758,1.1478
183319-69-9,fasn,0,4.6685,0.9142
179324-69-7,fasn,0,4.4675,0.8038
130-61-0,fasn,0,4.7686,1.2434
879085-55-9,fasn,0,4.7416,1.5102
68-35-9,fasn,1,4.5095,1.2458
82640-04-8,fasn,1,4.9161,1.6552
162635-04-3,fasn,0,5.1664,2.6528
19237-84-4,fasn,1,4.6659,1.3777
50-35-1,fasn,0,4.6276,0.8366
1098-60-8,fasn,0,4.6665,1.1662
873054-44-5,fasn,0,4.6249,1.7349
50-55-5,fasn,0,5.0156,1.471
152459-95-5,fasn,0,4.8631,1.817
127-07-1,fasn,1,4.2513,1.3883
153559-49-0,fasn,1,4.6915,1.2421
1264-62-6,fasn,0,4.7414,2.5312
85622-93-1,fasn,1,4.3654,1.2499
159351-69-6,fasn,1,5.1484,2.4952
117772-70-0,fasn,0,4.6511,2.0522
84371-65-3,fasn,0,4.9502,1.4254
171599-83-0,fasn,0,4.7526,2.011
595-33-5,fasn,1,4.7752,1.6381
144-83-2,fasn,1,4.5328,1.2449
19774-82-4,fasn,0,4.8719,1.4174
83-43-2,fasn,0,4.6392,1.7141
127-56-0,fasn,0,4.4191,0.8578
83905-01-5,fasn,1,4.5934,2.0743
119413-54-6,fasn,0,4.8375,1.2866
118292-40-3,fasn,0,4.6888,0.9851
144701-48-4,fasn,0,5.0698,2.5554
163222-33-1,fasn,1,4.8449,1.1113
641571-10-0,fasn,0,4.9408,2.2681
220620-09-7,fasn,0,4.7538,1.6729
108341-18-0,fasn,0,4.2505,1.8991
21829-25-4,fasn,0,4.5898,1.3369
1069-66-5,fasn,0,4.0345,1.5757
95635-56-6,fasn,0,4.6404,1.1222
2447-57-6,fasn,0,4.4679,1.1781
84057-84-1,fasn,1,4.4742,1.7351
599-79-1,fasn,0,4.7005,1.6085
53716-49-7,fasn,0,4.6248,1.666
50-44-2,fasn,0,4.4306,1.3573
50-63-5,fasn,0,4.5292,1.6202
33069-62-4,fasn,0,5.3503,1.5123
3056-17-5,fasn,0,4.3914,0.7474
58-61-7,fasn,1,4.308,1.8086
96946-42-8,fasn,1,5.7935,2.2078
918504-65-1,fasn,0,4.884,1.4333
388082-77-7,fasn,1,5.3729,2.2701
50-01-1,fasn,0,4.2905,1.3732
64-77-7,fasn,1,4.3576,0.9423
915087-33-1,fasn,0,4.8271,1.0171
635702-64-6,fasn,0,4.7356,1.789
61825-94-3,fasn,0,4.3451,1.172
71125-38-7,fasn,0,4.6119,1.4609
53-86-1,fasn,1,4.6767,1.3306
155141-29-0,fasn,0,4.7032,1.1048
443913-73-3,fasn,0,4.7302,1.3468
147098-20-2,fasn,1,5.0171,1.9112
440-17-5,fasn,0,4.7718,1.2348
5451-09-2,fasn,1,4.0684,1.2801
320-67-2,fasn,1,4.1612,1.6927
112809-51-5,fasn,0,4.6432,1.4001
22260-51-1,fasn,0,5.2487,1.7839
141625-93-6,fasn,1,4.803,1.4882
55981-09-4,fasn,0,4.6084,1.5816
150683-30-0,fasn,0,4.8422,1.6134
231277-92-2,fasn,1,4.9411,1.6859
81103-11-9,fasn,0,4.6309,2.1205
434-13-9,fasn,0,4.6662,2.0699
59-67-6,fasn,1,4.354,1.3457
10238-21-8,fasn,0,4.6931,1.2612
81131-70-6,fasn,1,4.4815,1.7167
54965-24-1,fasn,0,4.7919,1.2545
33419-42-0,fasn,0,5.0165,1.891
127-69-5,fasn,0,4.466,1.1982
25316-40-9,fasn,0,4.7939,1.9585
106685-40-9,fasn,0,5.1416,2.4958
341031-54-7,fasn,1,4.7161,1.3754
84680-54-6,fasn,0,4.5212,1.4205
134523-03-8,fasn,1,5.6757,2.4351
144-82-1,fasn,1,4.4564,1.2864
51022-70-9,fasn,1,4.4101,2.3171
444731-52-6,fasn,0,4.7081,1.7894
75695-93-1,fasn,0,4.5747,1.124
93957-55-2,fasn,0,4.6777,0.5297
122111-03-9,fasn,0,4.3029,1.2012
118072-93-8,fasn,1,4.2816,1.1773
1476-53-5,fasn,0,4.8476,1.0095
55079-83-9,fasn,0,4.5552,1.2628
104987-11-3,fasn,0,5.0152,2.1294
302-79-4,fasn,0,4.5351,1.4165
50-78-2,fasn,0,4.4188,1.0515
56296-78-7,fasn,0,4.549,1.0792
1115-70-4,fasn,0,4.1404,1.1623
49562-28-9,fasn,0,4.6098,1.0295
1404-93-9,fasn,0,5.8983,5.3837
38194-50-2,fasn,0,4.747,1.2092
26159-34-2,fasn,1,4.485,0.5645
122320-73-4,fasn,0,4.5958,1.1748
723-46-6,fasn,0,4.4793,1.2239
302543-62-0,fasn,1,4.6232,1.1735
72-14-0,fasn,1,4.5034,1.3377
77883-43-3,fasn,0,4.8372,1.2708
107-35-7,fasn,0,3.9005,1.4349
380843-75-4,fasn,0,4.7858,1.16
755037-03-7,fasn,0,4.8017,1.4931
624-49-7,fasn,0,4.2043,1.262
95058-81-4,fasn,1,4.2737,1.2764
6493-05-6,fasn,0,4.4027,0.7054
156-57-0,fasn,0,3.884,1.3608
147526-32-7,fasn,0,5.464,2.1654
553-08-2,fasn,1,4.6923,2.437
149647-78-9,fasn,0,4.4046,1.2582
30652-11-0,fasn,1,4.2551,1.1203
101152-94-7,fasn,0,4.4444,1.0162
136434-34-9,fasn,0,4.6039,1.2814
367514-88-3,fasn,0,5.1131,1.958
82248-59-7,fasn,0,4.4978,1.0657
317-34-0,fasn,0,4.5475,2.3252
479-18-5,fasn,0,4.2831,1.0205
53885-35-1,fasn,0,4.6069,1.1128
443-48-1,fasn,0,4.2441,0.87
3366-95-8,fasn,1,4.2354,0.9068
63-45-6,fasn,0,4.469,2.0063
148-79-8,fasn,0,4.5485,1.6954
95233-18-4,fasn,0,4.8024,1.4172
55268-74-1,fasn,0,4.7045,1.3425
54029-12-8,fasn,1,4.4195,1.2948
37091-65-9,fasn,0,4.7882,1.2818
58-14-0,fasn,0,4.4425,1.5101
50-65-7,fasn,0,4.649,1.4459
71963-77-4,fasn,0,4.6451,2.2554
6119-47-7,fasn,0,4.8916,1.0922
54965-21-8,fasn,0,4.4319,1.0904
1263-89-4,fasn,0,4.3246,3.4116
24729-96-2,fasn,0,4.3985,1.6415
57808-65-8,fasn,0,4.9203,1.7538
56180-94-0,fasn,0,4.2621,2.617
115436-72-1,fasn,0,4.353,0.7199
105462-24-6,fasn,0,4.3662,1.2662
134308-13-7,fasn,0,4.6155,1.6057
130929-57-6,fasn,1,4.5159,2.0474
121268-17-5,fasn,0,4.0582,1.591
162401-32-3,fasn,1,4.6829,1.2305
