id,target,in_experimental_data,pred_mean,pred_err
103177-37-3,fasn,0,4.7135,1.3547
99464-64-9,fasn,0,4.6847,1.7851
23180-57-6,fasn,0,4.6267,1.0618
50-27-1,fasn,1,4.6014,2.0607
2627-69-2,fasn,1,4.4841,0.9273
58186-27-9,fasn,1,4.5055,1.595
93793-83-0,fasn,1,4.5714,1.0433
39133-31-8,fasn,0,4.602,0.9513
34552-84-6,fasn,0,4.6655,1.6626
112885-42-4,fasn,1,4.5549,0.6652
51803-78-2,fasn,1,4.5346,1.3589
141505-33-1,fasn,1,4.5323,1.1869
183320-51-6,fasn,0,4.6124,1.6181
101477-54-7,fasn,0,4.6531,0.9752
50-02-2,fasn,0,4.6861,1.2913
96829-58-2,fasn,1,4.527,1.9436
98-96-4,fasn,0,4.4952,0.9761
541-15-1,fasn,1,4.3712,1.1285
65277-42-1,fasn,0,4.6914,0.8796
70-00-8,fasn,0,4.4641,1.4423
39809-25-1,fasn,0,4.4965,1.3
54-42-2,fasn,0,4.4996,1.0458
124832-27-5,fasn,0,4.6007,1.0461
5536-17-4,fasn,0,4.5355,1.6002
147-94-4,fasn,0,4.4837,0.9367
99011-02-6,fasn,0,4.5139,1.2457
70288-86-7,fasn,0,4.5909,1.1063
59277-89-3,fasn,0,4.4714,1.2254
82410-32-0,fasn,0,4.4963,1.2719
104227-87-4,fasn,0,4.5739,1.2803
50-91-9,fasn,0,4.4757,1.0389
79-57-2,fasn,0,4.6335,1.0568
6153-64-6,fasn,0,4.673,0.8892
518048-05-0,fasn,0,4.7319,2.0704
161735-79-1,fasn,0,4.4971,0.8286
13492-01-8,fasn,0,4.6192,1.2376
549-18-8,fasn,0,4.5569,1.4283
79794-75-5,fasn,0,4.7288,1.2932
79307-93-0,fasn,0,4.6282,1.0625
100299-08-9,fasn,0,4.5316,1.3944
980-71-2,fasn,0,4.6611,1.3899
122883-93-6,fasn,1,4.6288,1.0327
76824-35-6,fasn,0,4.5252,1.1997
154-69-8,fasn,0,4.4525,1.1738
2192-20-3,fasn,1,4.5997,0.9206
132-20-7,fasn,1,4.5925,1.1437
25332-39-2,fasn,1,4.6173,1.3135
1104-22-9,fasn,0,4.6431,1.9182
76963-41-2,fasn,0,4.5039,1.4161
521-78-8,fasn,1,4.6256,1.1126
14976-57-9,fasn,1,4.5679,1.0212
10347-81-6,fasn,0,4.5811,1.4189
100643-71-8,fasn,0,4.581,1.3346
132-18-3,fasn,0,4.5474,1.1729
83881-52-1,fasn,0,4.598,0.6611
2508-72-7,fasn,0,4.4849,1.246
66357-59-3,fasn,0,4.5297,1.2458
140462-76-6,fasn,1,4.7755,1.2536
3978-86-7,fasn,1,4.6149,1.9448
113-92-8,fasn,0,4.702,1.5111
59-33-6,fasn,0,4.7448,1.8858
190786-44-8,fasn,0,4.7104,1.1172
147-24-0,fasn,0,4.47,1.2025
562-10-7,fasn,0,4.5946,1.0746
144598-75-4,fasn,0,4.6554,1.0522
137-58-6,fasn,0,4.4039,1.0489
85650-52-8,fasn,0,4.5089,1.2461
34580-14-8,fasn,0,4.6979,0.9668
132-17-2,fasn,1,4.6991,1.6009
113-59-7,fasn,1,4.5236,1.2219
51481-61-9,fasn,0,4.4762,1.2048
4682-36-4,fasn,0,4.5117,1.3894
97240-79-4,fasn,0,4.5274,1.5076
25451-15-4,fasn,1,4.4149,1.0275
41100-52-1,fasn,0,4.469,1.2568
1508-76-5,fasn,0,4.5812,1.3405
68-41-7,fasn,0,4.4475,1.3283
50357-45-4,fasn,1,4.6498,1.4392
7681-93-8,fasn,0,4.6116,0.9857
29342-05-0,fasn,1,4.5162,1.7153
41621-49-2,fasn,0,4.4501,1.0439
61318-91-0,fasn,1,4.601,1.485
171228-49-2,fasn,1,4.6673,0.8147
536-43-6,fasn,0,4.5307,1.1343
53123-88-9,fasn,0,4.6237,1.0932
23593-75-1,fasn,1,4.6233,0.8471
64872-77-1,fasn,0,4.6196,1.6787
91161-71-6,fasn,0,4.527,1.2595
65473-14-5,fasn,0,4.5725,1.0961
78628-80-5,fasn,0,4.5571,0.8342
1397-89-3,fasn,0,4.5874,1.0768
57852-57-0,fasn,0,4.5948,0.9964
179463-17-3,fasn,0,4.6268,1.0527
1070-11-7,fasn,0,4.3825,1.186
101827-46-7,fasn,0,4.6083,1.0897
137234-62-9,fasn,0,4.6135,1.043
86386-73-4,fasn,1,4.5035,1.9396
99592-39-9,fasn,1,4.5767,2.1106
65899-73-2,fasn,0,4.6455,1.4903
24280-93-1,fasn,0,4.5461,1.141
540737-29-9,fasn,0,4.5958,1.2027
84625-61-6,fasn,0,4.6588,1.0307
65-85-0,fasn,1,4.4938,0.7101
24169-02-6,fasn,1,4.6195,1.4757
22916-47-8,fasn,0,4.5991,1.5763
22832-87-7,fasn,0,4.5976,1.526
17321-77-6,fasn,0,4.5753,0.8784
74011-58-8,fasn,0,4.6076,1.4868
72509-76-3,fasn,0,4.72,1.3325
173334-58-2,fasn,0,4.6159,1.0088
941678-49-5,fasn,1,4.5917,1.6929
127-79-7,fasn,0,4.3777,1.0924
13010-47-4,fasn,0,4.4152,1.0912
54527-84-3,fasn,0,4.7492,1.6515
90357-06-5,fasn,0,4.6623,1.5814
136572-09-3,fasn,0,4.6279,0.8685
1177-87-3,fasn,0,4.6665,0.9617
1264-72-8,fasn,1,4.5643,0.9691
54-85-3,fasn,0,4.5216,1.2138
23541-50-6,fasn,0,4.5895,1.1207
943319-70-8,fasn,1,4.7172,1.0395
150399-23-8,fasn,0,4.7578,1.477
475207-59-1,fasn,0,4.7006,1.3302
1247-42-3,fasn,1,4.7127,0.8637
73963-72-1,fasn,0,4.6864,1.0085
668270-12-0,fasn,0,4.6596,1.13
154-42-7,fasn,0,4.5005,0.9931
129497-78-5,fasn,0,4.6452,1.2009
220127-57-1,fasn,1,4.7567,1.3047
184475-35-2,fasn,0,4.6221,0.9593
66085-59-4,fasn,1,4.5522,1.4119
75330-75-5,fasn,0,4.6917,1.4764
52-01-7,fasn,0,4.679,0.8272
79902-63-9,fasn,0,4.6547,1.0291
78246-49-8,fasn,1,4.7392,1.093
97682-44-5,fasn,0,4.6757,1.0824
65928-58-7,fasn,0,4.671,1.4368
63-74-1,fasn,0,4.4642,0.9483
73590-58-6,fasn,0,4.6483,1.3461
34552-83-5,fasn,0,4.6892,1.2033
123318-82-1,fasn,1,4.4325,1.6059
129453-61-8,fasn,1,4.7535,1.7309
183133-96-2,fasn,0,4.6259,1.189
302962-49-8,fasn,1,4.5736,1.3327
474-25-9,fasn,0,4.6826,1.7547
298-46-4,fasn,0,4.5311,0.9589
877399-52-5,fasn,1,4.6269,1.1903
183319-69-9,fasn,0,4.6599,1.7791
179324-69-7,fasn,0,4.5776,1.1813
130-61-0,fasn,0,4.6272,1.1
879085-55-9,fasn,0,4.705,1.0694
68-35-9,fasn,1,4.3872,1.2158
82640-04-8,fasn,1,4.7807,1.5717
162635-04-3,fasn,0,4.6243,1.207
19237-84-4,fasn,1,4.6392,1.2142
50-35-1,fasn,0,4.5,1.1098
1098-60-8,fasn,0,4.6278,1.0527
873054-44-5,fasn,0,4.6811,1.5887
50-55-5,fasn,0,4.6844,1.1577
152459-95-5,fasn,0,4.7197,1.5765
127-07-1,fasn,1,4.4531,1.3056
153559-49-0,fasn,1,4.7508,1.7662
1264-62-6,fasn,0,4.5273,1.2923
85622-93-1,fasn,1,4.516,0.9021
159351-69-6,fasn,1,4.5985,1.1896
117772-70-0,fasn,0,4.5226,1.3579
84371-65-3,fasn,0,4.6999,1.1629
171599-83-0,fasn,0,4.6335,1.0747
595-33-5,fasn,1,4.7478,1.1575
144-83-2,fasn,1,4.3801,1.2681
19774-82-4,fasn,0,4.6619,1.031
83-43-2,fasn,0,4.684,1.2467
127-56-0,fasn,0,4.5288,1.109
83905-01-5,fasn,1,4.4746,1.5452
119413-54-6,fasn,0,4.6025,1.0755
118292-40-3,fasn,0,4.6201,1.1846
144701-48-4,fasn,0,4.6761,1.4487
163222-33-1,fasn,1,4.7704,2.1837
641571-10-0,fasn,0,4.7263,1.5263
220620-09-7,fasn,0,4.6051,0.9885
108341-18-0,fasn,0,4.607,1.1913
21829-25-4,fasn,0,4.624,1.2346
1069-66-5,fasn,0,4.3671,1.0618
95635-56-6,fasn,0,4.573,1.246
2447-57-6,fasn,0,4.5035,1.8158
84057-84-1,fasn,1,4.3673,0.9522
599-79-1,fasn,0,4.7355,1.4971
53716-49-7,fasn,0,4.5409,1.0352
50-44-2,fasn,0,4.5156,1.1676
50-63-5,fasn,0,4.5638,0.9638
33069-62-4,fasn,0,4.6495,1.4112
3056-17-5,fasn,0,4.4439,1.2032
58-61-7,fasn,1,4.5355,1.6002
96946-42-8,fasn,1,4.6849,1.1686
918504-65-1,fasn,0,4.6824,1.6035
388082-77-7,fasn,1,4.599,1.5787
50-01-1,fasn,0,4.4626,1.204
64-77-7,fasn,1,4.3887,1.0455
915087-33-1,fasn,0,4.618,1.2789
635702-64-6,fasn,0,4.6912,1.6485
61825-94-3,fasn,0,4.5138,1.2388
71125-38-7,fasn,0,4.6785,1.5701
53-86-1,fasn,1,4.6843,0.781
155141-29-0,fasn,0,4.6625,1.854
443913-73-3,fasn,0,4.6338,1.1991
147098-20-2,fasn,1,4.6957,1.4611
440-17-5,fasn,0,4.6039,0.881
5451-09-2,fasn,1,4.4192,0.9927
320-67-2,fasn,1,4.4627,1.195
112809-51-5,fasn,0,4.5454,1.4297
22260-51-1,fasn,0,4.5719,1.18
141625-93-6,fasn,1,4.6905,1.0207
55981-09-4,fasn,0,4.5582,1.0577
150683-30-0,fasn,0,4.7106,1.5871
231277-92-2,fasn,1,4.6634,1.8143
81103-11-9,fasn,0,4.4852,1.4917
434-13-9,fasn,0,4.7389,1.9081
59-67-6,fasn,1,4.4853,0.7065
10238-21-8,fasn,0,4.5796,1.1645
81131-70-6,fasn,1,4.6566,1.1527
54965-24-1,fasn,0,4.7409,1.4842
33419-42-0,fasn,0,4.5981,1.1039
127-69-5,fasn,0,4.4042,1.0133
25316-40-9,fasn,0,4.6151,0.995
106685-40-9,fasn,0,4.6593,1.292
341031-54-7,fasn,1,4.5706,0.753
84680-54-6,fasn,0,4.6128,1.1456
134523-03-8,fasn,1,4.6922,1.1419
144-82-1,fasn,1,4.3711,1.2698
51022-70-9,fasn,1,4.5844,0.9874
444731-52-6,fasn,0,4.6929,1.6077
75695-93-1,fasn,0,4.6703,0.7192
93957-55-2,fasn,0,4.7049,2.0072
122111-03-9,fasn,0,4.448,1.339
118072-93-8,fasn,1,4.4825,1.0288
1476-53-5,fasn,0,4.6692,1.0403
55079-83-9,fasn,0,4.6435,1.4477
104987-11-3,fasn,0,4.6234,1.0448
302-79-4,fasn,0,4.64,2.3708
50-78-2,fasn,0,4.4998,1.032
56296-78-7,fasn,0,4.64,1.1771
1115-70-4,fasn,0,4.4493,1.1014
49562-28-9,fasn,0,4.6691,1.5525
1404-93-9,fasn,0,4.6148,1.2624
38194-50-2,fasn,0,4.6903,0.8225
26159-34-2,fasn,1,4.5847,1.5618
122320-73-4,fasn,0,4.7659,1.0261
723-46-6,fasn,0,4.3695,1.1734
302543-62-0,fasn,1,4.9214,2.4493
72-14-0,fasn,1,4.3627,0.9421
77883-43-3,fasn,0,4.638,0.9064
107-35-7,fasn,0,4.3882,1.2137
380843-75-4,fasn,0,4.6873,1.0679
755037-03-7,fasn,0,4.6735,1.2641
624-49-7,fasn,0,4.4782,1.1079
95058-81-4,fasn,1,4.4657,1.041
6493-05-6,fasn,0,4.4473,1.2614
156-57-0,fasn,0,4.4168,1.2135
147526-32-7,fasn,0,4.6854,1.3378
553-08-2,fasn,1,4.685,1.2096
149647-78-9,fasn,0,4.5004,1.2142
30652-11-0,fasn,1,4.4351,0.998
101152-94-7,fasn,0,4.4414,1.0688
136434-34-9,fasn,0,4.5564,1.4525
367514-88-3,fasn,0,4.692,0.7706
82248-59-7,fasn,0,4.4877,1.1418
317-34-0,fasn,0,4.6698,0.9911
479-18-5,fasn,0,4.49,1.1578
53885-35-1,fasn,0,4.4755,0.8951
443-48-1,fasn,0,4.4912,1.1218
3366-95-8,fasn,1,4.4753,0.9862
63-45-6,fasn,0,4.5822,1.0434
148-79-8,fasn,0,4.5486,1.1349
95233-18-4,fasn,0,4.7618,1.0103
55268-74-1,fasn,0,4.6036,1.3541
54029-12-8,fasn,1,4.4889,1.3306
37091-65-9,fasn,0,4.6643,0.8411
58-14-0,fasn,0,4.439,1.1011
50-65-7,fasn,0,4.587,0.9197
71963-77-4,fasn,0,4.5199,1.1597
6119-47-7,fasn,0,4.6971,1.152
54965-21-8,fasn,0,4.4506,0.9058
1263-89-4,fasn,0,4.5459,1.1491
24729-96-2,fasn,0,4.5367,1.2678
57808-65-8,fasn,0,4.7043,0.9753
56180-94-0,fasn,0,4.5475,1.1311
115436-72-1,fasn,0,4.5146,1.0454
105462-24-6,fasn,0,4.4928,1.1153
134308-13-7,fasn,0,4.5721,1.071
130929-57-6,fasn,1,4.5995,1.7432
121268-17-5,fasn,0,4.3967,1.0985
162401-32-3,fasn,1,4.9005,2.5653
36791-04-5,fasn,0,4.4605,1.1138
101-26-8,fasn,0,4.492,0.9937
129101-54-8,fasn,0,4.5987,1.4998
541-22-0,fasn,1,4.3974,1.2406
120011-70-3,fasn,0,4.6411,0.752
849217-68-1,fasn,0,4.7186,1.3735
319460-85-0,fasn,1,4.7604,1.4214
198480-56-7,fasn,0,4.7085,1.1296
97-77-8,fasn,0,4.4303,0.9568
376348-65-1,fasn,1,4.7174,0.9919
936563-96-1,fasn,1,4.68,1.519
30516-87-1,fasn,0,4.5088,1.0461
29094-61-9,fasn,0,4.5941,1.2627
23288-49-5,fasn,0,4.6911,0.981
94-20-2,fasn,0,4.4293,1.0506
637-07-0,fasn,0,4.4206,1.043
105816-04-4,fasn,0,4.6104,1.4968
89-57-6,fasn,0,4.5035,0.9853
112529-15-4,fasn,0,4.7381,1.2701
882-09-7,fasn,0,4.4283,0.9752
135062-02-1,fasn,0,4.6172,1.3551
111025-46-8,fasn,0,4.6539,0.8907
25812-30-0,fasn,0,4.4362,0.8558
1508-75-4,fasn,0,4.4929,1.6503
76-90-4,fasn,1,4.5521,1.8585
80-50-2,fasn,0,4.4579,1.177
375815-87-5,fasn,0,4.6119,1.5777
65-29-2,fasn,0,4.6189,0.9919
50700-72-6,fasn,0,4.589,1.2088
124937-52-6,fasn,0,4.5259,1.3575
15500-66-0,fasn,0,4.5777,1.2037
22254-24-6,fasn,0,4.5947,1.6101
132539-06-1,fasn,0,4.5598,1.2954
67-48-1,fasn,1,4.3714,1.3046
242478-38-2,fasn,0,4.7063,1.3138
125-33-7,fasn,1,4.4518,0.8911
865-21-4,fasn,1,4.6499,1.1081
286930-03-8,fasn,0,4.6585,1.0194
167221-71-8,fasn,0,4.5788,0.9022
5633-20-5,fasn,0,4.5982,0.7944
62-97-5,fasn,0,4.5902,1.3497
10405-02-4,fasn,0,4.6179,1.0935
590-63-6,fasn,0,4.373,1.0769
119302-91-9,fasn,0,4.6037,1.3051
53-19-0,fasn,0,4.5423,0.8957
73-24-5,fasn,0,4.4858,0.9709
60-31-1,fasn,0,4.388,1.2442
64228-81-5,fasn,0,4.6849,1.1686
320345-99-1,fasn,1,4.7129,0.759
3717-88-2,fasn,1,4.5667,1.0425
5786-21-0,fasn,1,4.5886,1.3859
61-12-1,fasn,0,4.6374,1.0244
155-41-9,fasn,0,4.6615,1.457
1508-65-2,fasn,0,4.6606,1.299
133099-07-7,fasn,0,4.6734,1.253
1744-22-5,fasn,0,4.4619,1.0624
21679-14-1,fasn,1,4.4773,1.374
2062-78-4,fasn,0,4.6778,1.4727
138890-62-7,fasn,1,4.636,0.9988
130693-82-2,fasn,1,4.6245,2.6289
133-67-5,fasn,0,4.5759,1.2878
3801-06-7,fasn,0,4.6618,0.9056
554-57-4,fasn,0,4.4743,1.0068
452-35-7,fasn,0,4.4276,1.0111
91-33-8,fasn,0,4.7787,1.4835
135-07-9,fasn,0,4.5549,1.5298
68291-97-4,fasn,1,4.4509,1.1307
532-03-6,fasn,0,4.3952,1.2389
120-97-8,fasn,0,4.4427,0.8317
170729-80-3,fasn,0,4.7043,1.0978
4291-63-8,fasn,1,4.432,1.2652
58-32-2,fasn,0,4.5989,1.4649
51-30-9,fasn,0,4.459,0.949
224785-90-4,fasn,0,4.6591,1.4373
