id,target,in_experimental_data,pred_mean,pred_err
103177-37-3,fasn,0,5.9554,0.9113
99464-64-9,fasn,0,5.2418,0.6284
23180-57-6,fasn,0,5.3304,0.679
50-27-1,fasn,1,5.8287,0.7833
2627-69-2,fasn,1,4.3206,0.8855
58186-27-9,fasn,1,4.424,1.0305
93793-83-0,fasn,1,3.7856,0.8464
39133-31-8,fasn,0,4.3771,0.3426
34552-84-6,fasn,0,5.2682,0.4382
112885-42-4,fasn,1,4.5374,0.797
51803-78-2,fasn,1,4.5242,0.9466
141505-33-1,fasn,1,4.5713,0.5842
183320-51-6,fasn,0,4.5024,1.0171
101477-54-7,fasn,0,4.8672,0.3912
50-02-2,fasn,0,5.767,0.4995
96829-58-2,fasn,1,3.7897,0.478
98-96-4,fasn,0,4.3375,0.6757
541-15-1,fasn,1,4.1952,0.8151
65277-42-1,fasn,0,5.9623,0.8151
70-00-8,fasn,0,4.2543,0.6627
39809-25-1,fasn,0,3.9538,0.7422
54-42-2,fasn,0,5.0452,0.5268
124832-27-5,fasn,0,4.1516,0.4192
5536-17-4,fasn,0,4.2649,0.5705
147-94-4,fasn,0,4.1313,0.817
99011-02-6,fasn,0,4.5504,0.9144
70288-86-7,fasn,0,4.2249,0.9796
59277-89-3,fasn,0,3.8019,0.7959
82410-32-0,fasn,0,4.1157,0.7927
104227-87-4,fasn,0,3.8646,0.6268
50-91-9,fasn,0,5.6884,0.8337
79-57-2,fasn,0,4.4265,0.8396
6153-64-6,fasn,0,4.4104,0.8321
518048-05-0,fasn,0,5.3405,0.477
161735-79-1,fasn,0,4.1622,0.5697
13492-01-8,fasn,0,4.038,0.6588
549-18-8,fasn,0,3.9379,0.3147
79794-75-5,fasn,0,4.4144,0.7371
79307-93-0,fasn,0,4.2883,0.9477
100299-08-9,fasn,0,4.754,0.6923
980-71-2,fasn,0,4.1005,0.4915
122883-93-6,fasn,1,4.795,0.438
76824-35-6,fasn,0,3.8141,0.7222
154-69-8,fasn,0,4.3938,0.6657
2192-20-3,fasn,1,3.7398,0.6528
132-20-7,fasn,1,3.9669,0.3506
25332-39-2,fasn,1,4.5683,1.0356
1104-22-9,fasn,0,4.9983,0.9289
76963-41-2,fasn,0,3.7176,1.0135
521-78-8,fasn,1,4.6891,0.558
14976-57-9,fasn,1,4.6232,0.7996
10347-81-6,fasn,0,4.1329,1.1001
100643-71-8,fasn,0,4.1185,0.7383
132-18-3,fasn,0,3.7207,0.4152
83881-52-1,fasn,0,3.8927,0.3326
2508-72-7,fasn,0,4.401,0.6322
66357-59-3,fasn,0,3.5141,0.649
140462-76-6,fasn,1,4.7017,0.3431
3978-86-7,fasn,1,3.9667,0.8065
113-92-8,fasn,0,4.0743,0.3015
59-33-6,fasn,0,3.8967,0.6465
190786-44-8,fasn,0,4.2504,0.5431
147-24-0,fasn,0,3.486,0.797
562-10-7,fasn,0,3.7841,0.361
144598-75-4,fasn,0,5.0098,0.6003
137-58-6,fasn,0,3.271,0.5632
85650-52-8,fasn,0,3.6871,1.1069
34580-14-8,fasn,0,4.3617,0.9041
132-17-2,fasn,1,4.3255,0.9125
113-59-7,fasn,1,4.4808,0.8206
51481-61-9,fasn,0,3.431,0.6136
4682-36-4,fasn,0,3.3285,0.4498
97240-79-4,fasn,0,5.2337,1.1082
25451-15-4,fasn,1,3.8786,0.4738
41100-52-1,fasn,0,4.4096,0.4533
1508-76-5,fasn,0,3.9974,0.6343
68-41-7,fasn,0,3.6128,0.7199
50357-45-4,fasn,1,4.912,0.7674
7681-93-8,fasn,0,4.4664,0.5187
29342-05-0,fasn,1,4.9033,0.7039
41621-49-2,fasn,0,4.7208,0.6173
61318-91-0,fasn,1,4.6716,0.9146
171228-49-2,fasn,1,5.5002,0.4971
536-43-6,fasn,0,3.383,0.5262
53123-88-9,fasn,0,4.951,1.0593
23593-75-1,fasn,1,4.025,0.8106
64872-77-1,fasn,0,5.1481,0.6999
91161-71-6,fasn,0,4.4028,0.4965
65473-14-5,fasn,0,4.6793,0.6022
78628-80-5,fasn,0,4.4367,0.4014
1397-89-3,fasn,0,4.5491,1.0381
