id,target,in_experimental_data,pred_mean,pred_err
103177-37-3,fasn,0,5.7696,1.6709
99464-64-9,fasn,0,5.2383,0.749
23180-57-6,fasn,0,5.2347,0.756
50-27-1,fasn,1,5.6035,0.6835
2627-69-2,fasn,1,4.499,0.7132
58186-27-9,fasn,1,4.3324,0.7663
93793-83-0,fasn,1,3.976,0.5891
39133-31-8,fasn,0,4.2853,0.4046
34552-84-6,fasn,0,5.1891,0.6759
112885-42-4,fasn,1,4.3592,0.5287
51803-78-2,fasn,1,4.3728,0.4292
141505-33-1,fasn,1,4.6481,0.6261
183320-51-6,fasn,0,4.5638,0.5395
101477-54-7,fasn,0,4.8088,0.5514
50-02-2,fasn,0,5.7092,1.587
96829-58-2,fasn,1,3.9292,0.7024
98-96-4,fasn,0,4.189,0.7179
541-15-1,fasn,1,4.0274,0.902
65277-42-1,fasn,0,6.2865,0.7653
70-00-8,fasn,0,4.0286,0.4411
39809-25-1,fasn,0,4.1421,0.7781
54-42-2,fasn,0,4.8223,0.9856
124832-27-5,fasn,0,4.2889,0.5407
5536-17-4,fasn,0,4.0691,0.4623
147-94-4,fasn,0,4.2717,0.3857
99011-02-6,fasn,0,4.6521,0.4559
70288-86-7,fasn,0,4.3125,0.8541
59277-89-3,fasn,0,3.9791,0.7069
82410-32-0,fasn,0,4.2249,0.7793
104227-87-4,fasn,0,4.1015,0.8891
50-91-9,fasn,0,5.6902,0.5659
79-57-2,fasn,0,4.3099,0.914
6153-64-6,fasn,0,4.2924,0.9642
518048-05-0,fasn,0,5.4083,1.2
161735-79-1,fasn,0,4.0492,0.5198
13492-01-8,fasn,0,4.0208,0.5013
549-18-8,fasn,0,4.0481,0.4762
79794-75-5,fasn,0,4.3414,0.9638
79307-93-0,fasn,0,4.3673,0.6777
100299-08-9,fasn,0,4.5142,0.7358
980-71-2,fasn,0,4.1798,0.5588
122883-93-6,fasn,1,4.5732,0.6712
76824-35-6,fasn,0,3.9711,0.6608
154-69-8,fasn,0,4.2881,0.8875
2192-20-3,fasn,1,3.9082,0.6387
132-20-7,fasn,1,4.096,0.7826
25332-39-2,fasn,1,4.4875,0.8223
1104-22-9,fasn,0,4.8578,1.2382
76963-41-2,fasn,0,3.7218,0.4963
521-78-8,fasn,1,4.6173,0.5152
14976-57-9,fasn,1,4.6839,0.7987
10347-81-6,fasn,0,4.1349,0.7326
100643-71-8,fasn,0,4.2721,0.9095
132-18-3,fasn,0,4.0705,0.4733
83881-52-1,fasn,0,3.9791,0.6192
2508-72-7,fasn,0,4.3029,0.5639
66357-59-3,fasn,0,3.7007,0.6856
140462-76-6,fasn,1,4.9114,0.8453
3978-86-7,fasn,1,3.8794,0.5108
113-92-8,fasn,0,4.169,0.3823
59-33-6,fasn,0,4.0243,0.6389
190786-44-8,fasn,0,4.6346,0.6688
147-24-0,fasn,0,3.7351,0.524
562-10-7,fasn,0,3.792,0.3976
144598-75-4,fasn,0,5.2193,1.0927
137-58-6,fasn,0,3.506,0.3492
85650-52-8,fasn,0,3.7395,0.3841
34580-14-8,fasn,0,4.3619,0.4761
132-17-2,fasn,1,4.5096,0.8248
113-59-7,fasn,1,4.4608,1.0353
51481-61-9,fasn,0,3.5564,0.2944
4682-36-4,fasn,0,3.7305,0.4665
97240-79-4,fasn,0,5.2006,1.3338
25451-15-4,fasn,1,3.7984,0.5539
41100-52-1,fasn,0,4.3718,0.637
1508-76-5,fasn,0,4.277,0.8838
68-41-7,fasn,0,3.6586,0.4848
50357-45-4,fasn,1,4.9573,0.9643
7681-93-8,fasn,0,4.6454,0.6695
29342-05-0,fasn,1,5.0678,0.5826
41621-49-2,fasn,0,4.6539,0.4855
61318-91-0,fasn,1,4.7564,0.6596
171228-49-2,fasn,1,5.177,0.6044
536-43-6,fasn,0,3.6831,0.4292
53123-88-9,fasn,0,4.6828,0.9201
23593-75-1,fasn,1,4.0835,0.5767
64872-77-1,fasn,0,5.1754,0.9477
91161-71-6,fasn,0,4.4807,0.7219
65473-14-5,fasn,0,4.6423,0.8255
78628-80-5,fasn,0,4.3949,0.6795
1397-89-3,fasn,0,4.407,1.3419
57852-57-0,fasn,0,4.4635,1.0534
179463-17-3,fasn,0,6.1114,0.8831
1070-11-7,fasn,0,3.5444,0.4279
101827-46-7,fasn,0,4.7896,0.7683
137234-62-9,fasn,0,5.1088,0.6456
86386-73-4,fasn,1,3.9369,0.3692
99592-39-9,fasn,1,4.2332,0.6743
65899-73-2,fasn,0,4.3689,0.5323
24280-93-1,fasn,0,6.0664,0.8641
540737-29-9,fasn,0,4.0541,0.4921
84625-61-6,fasn,0,6.3589,1.2316
65-85-0,fasn,1,4.7,1.2175
24169-02-6,fasn,1,5.0101,0.4918
22916-47-8,fasn,0,5.1563,0.8487
22832-87-7,fasn,0,4.98,0.5378
17321-77-6,fasn,0,4.0945,0.4616
74011-58-8,fasn,0,4.4364,0.5016
72509-76-3,fasn,0,4.9402,0.939
173334-58-2,fasn,0,5.3418,0.9847
941678-49-5,fasn,1,4.6539,0.8138
127-79-7,fasn,0,3.663,0.7027
13010-47-4,fasn,0,4.2644,0.4387
54527-84-3,fasn,0,5.0044,0.6065
90357-06-5,fasn,0,5.0848,0.6325
136572-09-3,fasn,0,4.4512,0.3568
1177-87-3,fasn,0,4.6515,0.6435
1264-72-8,fasn,1,4.5136,0.488
54-85-3,fasn,0,4.4904,1.2159
23541-50-6,fasn,0,4.3956,0.8039
943319-70-8,fasn,1,6.3466,0.8335
150399-23-8,fasn,0,5.2759,0.8536
475207-59-1,fasn,0,4.5591,0.6571
1247-42-3,fasn,1,5.2109,0.7401
73963-72-1,fasn,0,5.3554,1.5408
668270-12-0,fasn,0,5.2038,0.5933
154-42-7,fasn,0,4.5696,0.7585
129497-78-5,fasn,0,4.976,0.9874
220127-57-1,fasn,1,5.1594,0.6516
184475-35-2,fasn,0,4.166,0.6561
66085-59-4,fasn,1,4.162,0.3579
75330-75-5,fasn,0,5.6364,0.6647
52-01-7,fasn,0,4.9134,0.9594
79902-63-9,fasn,0,5.1856,0.661
78246-49-8,fasn,1,5.2774,0.9743
97682-44-5,fasn,0,4.4542,0.376
65928-58-7,fasn,0,6.115,1.1505
63-74-1,fasn,0,4.6309,1.0762
73590-58-6,fasn,0,4.8134,0.8245
34552-83-5,fasn,0,4.6187,0.5551
