id,target,in_experimental_data,pred_mean,pred_err
103177-37-3,fasn,0,5.6362,0.9736
99464-64-9,fasn,0,5.1631,0.5058
23180-57-6,fasn,0,5.2141,1.0109
50-27-1,fasn,1,5.9029,0.6652
2627-69-2,fasn,1,4.2693,0.4191
58186-27-9,fasn,1,4.5912,0.9015
93793-83-0,fasn,1,4.0292,0.3516
39133-31-8,fasn,0,4.3626,0.3499
34552-84-6,fasn,0,4.9843,0.4849
112885-42-4,fasn,1,4.277,0.6096
51803-78-2,fasn,1,4.4713,0.574
141505-33-1,fasn,1,4.5461,0.6117
183320-51-6,fasn,0,4.281,0.4798
101477-54-7,fasn,0,4.6989,0.6022
50-02-2,fasn,0,5.8216,0.8976
96829-58-2,fasn,1,3.8242,0.4607
98-96-4,fasn,0,4.2431,0.7611
541-15-1,fasn,1,4.14,0.6945
65277-42-1,fasn,0,5.9282,0.882
70-00-8,fasn,0,4.2424,0.355
39809-25-1,fasn,0,3.8806,0.5389
54-42-2,fasn,0,4.9033,0.4246
124832-27-5,fasn,0,4.1731,0.3549
5536-17-4,fasn,0,4.3171,0.6307
147-94-4,fasn,0,4.221,0.5842
99011-02-6,fasn,0,4.2133,0.7701
70288-86-7,fasn,0,4.4531,2.4857
59277-89-3,fasn,0,3.7364,0.3888
82410-32-0,fasn,0,3.9472,0.5581
104227-87-4,fasn,0,3.9773,0.7312
50-91-9,fasn,0,5.3973,0.6473
79-57-2,fasn,0,4.8573,0.9083
6153-64-6,fasn,0,4.834,0.9594
518048-05-0,fasn,0,5.0904,0.7006
161735-79-1,fasn,0,4.2197,0.3397
13492-01-8,fasn,0,4.0423,0.7904
549-18-8,fasn,0,3.9322,0.4479
79794-75-5,fasn,0,4.5298,0.7076
79307-93-0,fasn,0,4.3121,0.6003
100299-08-9,fasn,0,4.7447,0.7856
980-71-2,fasn,0,4.212,0.3329
122883-93-6,fasn,1,4.6677,0.4327
76824-35-6,fasn,0,3.9325,0.9786
154-69-8,fasn,0,4.3951,0.6018
2192-20-3,fasn,1,3.9586,0.4772
132-20-7,fasn,1,4.0784,0.3237
25332-39-2,fasn,1,4.5915,0.6781
1104-22-9,fasn,0,5.0739,0.6445
76963-41-2,fasn,0,3.8443,0.6507
521-78-8,fasn,1,4.8416,0.5097
14976-57-9,fasn,1,4.8228,0.6462
10347-81-6,fasn,0,4.2654,1.1986
100643-71-8,fasn,0,4.2334,0.6592
132-18-3,fasn,0,3.8862,0.4896
83881-52-1,fasn,0,4.0878,0.278
2508-72-7,fasn,0,4.4317,0.6494
66357-59-3,fasn,0,3.7765,0.3215
140462-76-6,fasn,1,4.5759,0.3416
3978-86-7,fasn,1,4.1337,0.6951
113-92-8,fasn,0,4.1436,0.2614
59-33-6,fasn,0,4.0356,0.6321
190786-44-8,fasn,0,4.1733,0.579
147-24-0,fasn,0,3.652,0.8124
562-10-7,fasn,0,3.944,0.4602
144598-75-4,fasn,0,4.9573,0.4446
137-58-6,fasn,0,3.5471,0.383
85650-52-8,fasn,0,3.9417,0.7011
34580-14-8,fasn,0,4.4964,0.7384
132-17-2,fasn,1,4.452,0.7986
113-59-7,fasn,1,4.689,0.7104
51481-61-9,fasn,0,3.6642,0.7692
4682-36-4,fasn,0,3.4163,0.7584
97240-79-4,fasn,0,5.0551,1.0006
25451-15-4,fasn,1,3.9834,0.4077
41100-52-1,fasn,0,4.486,0.5819
1508-76-5,fasn,0,4.0813,0.3274
68-41-7,fasn,0,3.4832,0.8787
50357-45-4,fasn,1,4.762,0.4764
7681-93-8,fasn,0,4.5055,0.7604
29342-05-0,fasn,1,4.8391,0.629
41621-49-2,fasn,0,4.7257,0.5342
61318-91-0,fasn,1,4.5718,0.5695
171228-49-2,fasn,1,5.1925,0.8655
536-43-6,fasn,0,3.6594,0.4869
53123-88-9,fasn,0,5.1029,0.8585
23593-75-1,fasn,1,3.849,1.4355
64872-77-1,fasn,0,5.1987,0.5784
91161-71-6,fasn,0,4.3502,0.3964
65473-14-5,fasn,0,4.6066,0.4712
78628-80-5,fasn,0,4.3901,0.4405
1397-89-3,fasn,0,4.6984,0.679
57852-57-0,fasn,0,5.0423,1.1322
179463-17-3,fasn,0,5.6738,1.3946
1070-11-7,fasn,0,2.7356,1.22
101827-46-7,fasn,0,4.4999,0.4962
137234-62-9,fasn,0,4.7298,0.4451
86386-73-4,fasn,1,4.1523,0.6659
99592-39-9,fasn,1,4.338,0.7331
65899-73-2,fasn,0,4.3464,0.4643
24280-93-1,fasn,0,6.1889,1.1776
540737-29-9,fasn,0,3.8385,0.6274
84625-61-6,fasn,0,6.2375,1.0465
65-85-0,fasn,1,5.1007,1.0515
24169-02-6,fasn,1,4.8531,0.4558
22916-47-8,fasn,0,5.0344,0.4509
22832-87-7,fasn,0,4.7103,0.4987
17321-77-6,fasn,0,4.5112,0.7
74011-58-8,fasn,0,4.5434,0.5036
72509-76-3,fasn,0,5.0436,0.6908
173334-58-2,fasn,0,5.4425,1.5867
941678-49-5,fasn,1,4.2647,0.7959
127-79-7,fasn,0,3.7715,0.4023
13010-47-4,fasn,0,4.4607,0.6741
54527-84-3,fasn,0,4.9014,0.3214
90357-06-5,fasn,0,4.8351,0.7613
136572-09-3,fasn,0,4.7286,0.9173
1177-87-3,fasn,0,5.0082,0.8798
1264-72-8,fasn,1,4.8189,1.4873
54-85-3,fasn,0,4.7914,0.8862
23541-50-6,fasn,0,4.7623,1.0136
943319-70-8,fasn,1,5.7461,0.6971
150399-23-8,fasn,0,5.135,0.6876
475207-59-1,fasn,0,4.45,0.9978
1247-42-3,fasn,1,5.1422,0.4296
73963-72-1,fasn,0,5.4118,0.6797
668270-12-0,fasn,0,5.0532,0.6686
154-42-7,fasn,0,4.6022,0.5506
129497-78-5,fasn,0,5.3026,0.9741
220127-57-1,fasn,1,5.001,0.6334
184475-35-2,fasn,0,3.9647,0.4105
66085-59-4,fasn,1,4.5445,0.7182
75330-75-5,fasn,0,5.4273,0.4202
52-01-7,fasn,0,5.0101,0.7224
79902-63-9,fasn,0,5.5158,0.6385
78246-49-8,fasn,1,5.2272,0.6213
97682-44-5,fasn,0,4.6918,0.8996
65928-58-7,fasn,0,5.9143,0.7685
63-74-1,fasn,0,4.7939,0.6832
73590-58-6,fasn,0,4.7885,0.5546
34552-83-5,fasn,0,4.4556,0.8059
123318-82-1,fasn,1,4.1714,0.399
129453-61-8,fasn,1,6.1951,0.753
183133-96-2,fasn,0,3.919,0.9275
302962-49-8,fasn,1,4.5294,0.7062
474-25-9,fasn,0,6.5792,0.9011
298-46-4,fasn,0,4.1663,0.4935
877399-52-5,fasn,1,4.1381,0.7039
183319-69-9,fasn,0,3.9936,0.4355
179324-69-7,fasn,0,5.6542,0.742
130-61-0,fasn,0,4.8377,0.5592
879085-55-9,fasn,0,4.9594,0.4326
68-35-9,fasn,1,3.9019,0.5874
82640-04-8,fasn,1,5.3321,0.7484
162635-04-3,fasn,0,5.2985,0.9831
19237-84-4,fasn,1,5.4255,1.1172
50-35-1,fasn,0,4.8359,0.8693
1098-60-8,fasn,0,4.4972,0.5283
873054-44-5,fasn,0,4.866,0.5985
50-55-5,fasn,0,4.9818,0.9022
152459-95-5,fasn,0,4.6592,0.7419
127-07-1,fasn,1,3.5938,0.7103
153559-49-0,fasn,1,5.502,0.5965
1264-62-6,fasn,0,3.7145,0.7409
85622-93-1,fasn,1,4.1755,0.6155
159351-69-6,fasn,1,5.0069,1.0489
117772-70-0,fasn,0,3.9115,0.5333
84371-65-3,fasn,0,5.4557,0.5766
171599-83-0,fasn,0,4.4298,0.8066
595-33-5,fasn,1,5.3087,0.5442
144-83-2,fasn,1,3.749,0.3189
19774-82-4,fasn,0,5.5042,0.7738
83-43-2,fasn,0,5.3809,0.4537
127-56-0,fasn,0,3.5078,0.5258
83905-01-5,fasn,1,3.9859,0.447
119413-54-6,fasn,0,5.0342,0.6506
118292-40-3,fasn,0,5.5447,0.3047
144701-48-4,fasn,0,5.4898,0.9995
163222-33-1,fasn,1,6.0961,1.0448
641571-10-0,fasn,0,4.1954,0.91
220620-09-7,fasn,0,5.386,0.5786
108341-18-0,fasn,0,4.2068,0.6046
21829-25-4,fasn,0,4.8347,0.9296
1069-66-5,fasn,0,3.5885,0.8925
95635-56-6,fasn,0,4.7171,0.6091
2447-57-6,fasn,0,4.1433,0.4613
84057-84-1,fasn,1,3.4409,0.8178
599-79-1,fasn,0,5.9727,0.8895
53716-49-7,fasn,0,5.1727,0.6087
50-44-2,fasn,0,4.8355,0.6526
50-63-5,fasn,0,4.5186,0.6865
33069-62-4,fasn,0,4.4929,1.2261
3056-17-5,fasn,0,4.1582,0.318
58-61-7,fasn,1,4.7089,0.5254
96946-42-8,fasn,1,5.7264,1.1848
918504-65-1,fasn,0,6.2499,0.8531
388082-77-7,fasn,1,4.9363,1.3072
50-01-1,fasn,0,2.6094,0.9151
64-77-7,fasn,1,3.3168,1.1428
915087-33-1,fasn,0,4.9806,0.9586
635702-64-6,fasn,0,4.311,0.7801
61825-94-3,fasn,0,4.0431,0.5253
71125-38-7,fasn,0,5.2845,0.7169
53-86-1,fasn,1,4.9697,0.4802
155141-29-0,fasn,0,5.9181,1.1759
443913-73-3,fasn,0,4.0028,0.6587
147098-20-2,fasn,1,5.0986,1.1309
440-17-5,fasn,0,4.8541,0.8041
5451-09-2,fasn,1,4.0472,0.8128
320-67-2,fasn,1,4.1489,0.5925
112809-51-5,fasn,0,4.8034,0.6413
22260-51-1,fasn,0,5.3623,0.8866
141625-93-6,fasn,1,5.0295,0.5309
55981-09-4,fasn,0,5.1737,0.5538
150683-30-0,fasn,0,5.0887,0.6712
231277-92-2,fasn,1,5.0008,1.0123
81103-11-9,fasn,0,4.3231,1.1866
434-13-9,fasn,0,6.118,0.7994
59-67-6,fasn,1,4.8577,1.0362
10238-21-8,fasn,0,5.5032,0.6469
81131-70-6,fasn,1,4.9116,0.6676
54965-24-1,fasn,0,4.5723,0.8108
33419-42-0,fasn,0,4.4703,1.1991
127-69-5,fasn,0,4.378,0.4057
25316-40-9,fasn,0,4.7547,0.926
106685-40-9,fasn,0,5.4545,1.1689
341031-54-7,fasn,1,5.3122,0.7183
84680-54-6,fasn,0,4.7105,0.7441
134523-03-8,fasn,1,4.7993,1.5123
144-82-1,fasn,1,4.0683,0.6942
51022-70-9,fasn,1,4.5555,0.859
444731-52-6,fasn,0,4.4904,0.6348
75695-93-1,fasn,0,4.2387,0.8804
93957-55-2,fasn,0,5.1168,0.5188
122111-03-9,fasn,0,4.1155,0.655
118072-93-8,fasn,1,4.1996,0.5176
1476-53-5,fasn,0,6.1787,1.4303
55079-83-9,fasn,0,5.4247,0.6869
104987-11-3,fasn,0,4.1363,1.0772
302-79-4,fasn,0,6.2568,0.5263
50-78-2,fasn,0,4.5569,0.4734
56296-78-7,fasn,0,4.8412,0.5748
1115-70-4,fasn,0,2.622,1.5144
49562-28-9,fasn,0,4.7654,0.5315
1404-93-9,fasn,0,6.2082,2.3704
38194-50-2,fasn,0,5.5737,0.5249
26159-34-2,fasn,1,5.269,0.5678
122320-73-4,fasn,0,6.0166,1.3316
723-46-6,fasn,0,4.0902,0.4797
302543-62-0,fasn,1,6.1586,1.3855
72-14-0,fasn,1,3.8964,0.4913
77883-43-3,fasn,0,5.9335,1.0601
107-35-7,fasn,0,4.444,0.6405
380843-75-4,fasn,0,4.4285,0.5082
755037-03-7,fasn,0,4.5043,0.8714
624-49-7,fasn,0,3.7871,0.7435
95058-81-4,fasn,1,4.1975,0.6287
6493-05-6,fasn,0,3.8441,0.4521
156-57-0,fasn,0,4.5027,0.7624
147526-32-7,fasn,0,4.7538,1.1353
553-08-2,fasn,1,4.9064,0.5336
149647-78-9,fasn,0,4.9753,0.9706
30652-11-0,fasn,1,4.1819,0.5579
101152-94-7,fasn,0,4.0041,0.4394
136434-34-9,fasn,0,4.2203,0.8028
367514-88-3,fasn,0,5.5327,0.7239
82248-59-7,fasn,0,4.2988,0.3763
317-34-0,fasn,0,3.944,0.8752
479-18-5,fasn,0,3.9217,0.6124
53885-35-1,fasn,0,4.1035,0.5028
443-48-1,fasn,0,3.3846,0.4317
3366-95-8,fasn,1,3.7508,0.4085
63-45-6,fasn,0,4.5123,0.8702
148-79-8,fasn,0,4.7412,0.7965
95233-18-4,fasn,0,5.8375,0.8684
55268-74-1,fasn,0,5.7798,1.2403
54029-12-8,fasn,1,4.8729,0.8152
37091-65-9,fasn,0,5.0653,0.6675
58-14-0,fasn,0,4.0435,0.6562
50-65-7,fasn,0,5.3438,0.6396
71963-77-4,fasn,0,3.8285,0.5035
6119-47-7,fasn,0,4.2326,0.7195
54965-21-8,fasn,0,4.5992,0.6204
1263-89-4,fasn,0,5.1919,1.0081
24729-96-2,fasn,0,4.6399,0.9161
57808-65-8,fasn,0,5.1759,1.0775
56180-94-0,fasn,0,5.0742,1.1579
115436-72-1,fasn,0,4.4712,0.4816
105462-24-6,fasn,0,4.4411,0.5355
134308-13-7,fasn,0,5.4184,0.6408
130929-57-6,fasn,1,5.199,0.8026
121268-17-5,fasn,0,4.4878,0.6982
162401-32-3,fasn,1,4.9864,0.6376
36791-04-5,fasn,0,4.6841,0.6302
101-26-8,fasn,0,3.747,0.7868
129101-54-8,fasn,0,4.1612,0.6235
541-22-0,fasn,1,3.7616,1.4307
120011-70-3,fasn,0,5.0156,0.5223
849217-68-1,fasn,0,4.9018,0.7419
319460-85-0,fasn,1,4.8766,0.6509
198480-56-7,fasn,0,5.1849,0.8665
97-77-8,fasn,0,4.5498,0.9124
376348-65-1,fasn,1,5.2622,0.9009
936563-96-1,fasn,1,5.16,0.7053
30516-87-1,fasn,0,4.4049,0.4931
29094-61-9,fasn,0,4.8689,0.549
23288-49-5,fasn,0,4.3113,1.045
94-20-2,fasn,0,3.7026,0.4197
637-07-0,fasn,0,3.7872,0.4427
105816-04-4,fasn,0,4.8479,0.4218
89-57-6,fasn,0,5.2796,0.6668
112529-15-4,fasn,0,5.5469,0.9982
882-09-7,fasn,0,4.543,0.7862
135062-02-1,fasn,0,4.4601,0.5636
111025-46-8,fasn,0,5.4313,0.8221
25812-30-0,fasn,0,4.6433,0.4508
1508-75-4,fasn,0,3.7695,0.3833
76-90-4,fasn,1,4.4808,1.1153
80-50-2,fasn,0,3.9187,0.617
375815-87-5,fasn,0,4.5961,0.7661
65-29-2,fasn,0,4.8082,1.1767
50700-72-6,fasn,0,5.2579,0.8135
124937-52-6,fasn,0,4.456,1.1649
15500-66-0,fasn,0,4.5202,1.7248
22254-24-6,fasn,0,5.086,0.6692
132539-06-1,fasn,0,4.4513,0.5616
67-48-1,fasn,1,3.8821,1.0695
242478-38-2,fasn,0,4.5304,0.8811
125-33-7,fasn,1,4.0838,0.6163
865-21-4,fasn,1,4.0196,1.4801
286930-03-8,fasn,0,4.3641,0.9593
167221-71-8,fasn,0,3.9629,0.6924
5633-20-5,fasn,0,4.7678,0.2934
62-97-5,fasn,0,3.9833,0.732
10405-02-4,fasn,0,4.8896,0.8618
