id,target,in_experimental_data,pred_mean,pred_err
103177-37-3,fasn,0,5.4578,1.3152
99464-64-9,fasn,0,5.5083,2.0862
23180-57-6,fasn,0,5.1945,0.8713
50-27-1,fasn,1,5.4185,1.2941
2627-69-2,fasn,1,4.5806,0.8841
58186-27-9,fasn,1,4.113,1.0624
93793-83-0,fasn,1,3.9586,0.5946
39133-31-8,fasn,0,4.485,0.7749
34552-84-6,fasn,0,5.2626,2.0239
112885-42-4,fasn,1,4.4341,0.8662
51803-78-2,fasn,1,4.3987,0.1249
141505-33-1,fasn,1,4.7992,0.9694
183320-51-6,fasn,0,4.7417,0.8744
101477-54-7,fasn,0,4.7629,0.7812
50-02-2,fasn,0,5.5947,1.961
96829-58-2,fasn,1,3.9521,1.3418
98-96-4,fasn,0,4.2141,0.7361
541-15-1,fasn,1,3.9098,0.9505
65277-42-1,fasn,0,5.7695,1.7138
70-00-8,fasn,0,4.3795,0.8313
39809-25-1,fasn,0,4.4029,0.6963
54-42-2,fasn,0,4.7983,1.2129
124832-27-5,fasn,0,4.6057,0.7187
5536-17-4,fasn,0,4.2168,0.628
147-94-4,fasn,0,4.3759,0.7342
99011-02-6,fasn,0,4.7174,0.6654
70288-86-7,fasn,0,4.4043,0.5691
59277-89-3,fasn,0,4.3164,0.557
82410-32-0,fasn,0,4.4557,0.7531
104227-87-4,fasn,0,4.2328,0.8269
50-91-9,fasn,0,5.2181,1.2704
79-57-2,fasn,0,4.3625,0.8655
6153-64-6,fasn,0,4.3627,0.8546
518048-05-0,fasn,0,5.618,1.569
161735-79-1,fasn,0,4.0744,0.5919
13492-01-8,fasn,0,4.0866,0.7845
549-18-8,fasn,0,4.2953,0.4425
79794-75-5,fasn,0,4.2794,0.8576
79307-93-0,fasn,0,4.5545,0.9042
100299-08-9,fasn,0,4.4457,0.9368
980-71-2,fasn,0,4.3407,0.4863
122883-93-6,fasn,1,4.6341,0.5441
76824-35-6,fasn,0,4.0541,0.4725
154-69-8,fasn,0,4.2079,1.0879
2192-20-3,fasn,1,4.0527,0.4461
132-20-7,fasn,1,4.3416,0.7082
25332-39-2,fasn,1,4.4643,0.3121
1104-22-9,fasn,0,4.6685,0.5969
76963-41-2,fasn,0,3.7543,0.8766
521-78-8,fasn,1,4.5787,0.9567
14976-57-9,fasn,1,4.5141,0.9503
10347-81-6,fasn,0,4.2287,0.5108
100643-71-8,fasn,0,4.3226,0.804
132-18-3,fasn,0,4.2911,0.6103
83881-52-1,fasn,0,4.0819,0.2893
2508-72-7,fasn,0,4.1981,0.6202
66357-59-3,fasn,0,3.7702,0.7665
140462-76-6,fasn,1,5.1326,1.0623
3978-86-7,fasn,1,3.8753,1.1275
113-92-8,fasn,0,4.3511,0.5629
59-33-6,fasn,0,4.295,0.749
190786-44-8,fasn,0,4.8968,0.7676
147-24-0,fasn,0,3.9716,0.4326
562-10-7,fasn,0,4.002,0.5946
144598-75-4,fasn,0,5.2302,0.9762
137-58-6,fasn,0,3.5947,0.6891
85650-52-8,fasn,0,4.0237,0.4136
34580-14-8,fasn,0,4.2768,0.4583
132-17-2,fasn,1,4.6853,0.453
113-59-7,fasn,1,4.4425,1.1353
51481-61-9,fasn,0,3.5842,0.4449
4682-36-4,fasn,0,4.0361,0.5579
97240-79-4,fasn,0,5.2031,1.3289
25451-15-4,fasn,1,4.0303,0.7441
41100-52-1,fasn,0,4.6822,1.2691
1508-76-5,fasn,0,4.581,0.6243
68-41-7,fasn,0,3.8384,0.674
50357-45-4,fasn,1,4.9766,2.2755
7681-93-8,fasn,0,4.7807,0.591
29342-05-0,fasn,1,5.0716,1.1477
41621-49-2,fasn,0,4.5637,0.8629
61318-91-0,fasn,1,4.8298,1.3734
171228-49-2,fasn,1,4.8976,0.5908
536-43-6,fasn,0,3.9721,0.2692
53123-88-9,fasn,0,4.6379,1.0481
23593-75-1,fasn,1,4.1946,0.5071
64872-77-1,fasn,0,5.1479,1.42
91161-71-6,fasn,0,4.7482,0.8653
65473-14-5,fasn,0,4.7716,1.0777
78628-80-5,fasn,0,4.5824,0.6748
1397-89-3,fasn,0,4.3618,0.7145
57852-57-0,fasn,0,4.4477,0.4704
179463-17-3,fasn,0,6.0171,0.878
1070-11-7,fasn,0,3.6566,0.4781
101827-46-7,fasn,0,4.9358,1.0209
137234-62-9,fasn,0,5.2568,1.0606
86386-73-4,fasn,1,3.9857,0.408
99592-39-9,fasn,1,4.2736,1.4435
65899-73-2,fasn,0,4.4674,0.5822
24280-93-1,fasn,0,5.6648,1.575
540737-29-9,fasn,0,4.2818,0.5258
84625-61-6,fasn,0,5.5356,1.0727
65-85-0,fasn,1,4.4982,0.4697
24169-02-6,fasn,1,4.9521,0.7304
22916-47-8,fasn,0,5.1082,1.1065
22832-87-7,fasn,0,5.133,1.3199
17321-77-6,fasn,0,4.2577,0.6157
74011-58-8,fasn,0,4.5786,0.8378
72509-76-3,fasn,0,5.104,1.4837
173334-58-2,fasn,0,5.3174,0.5881
941678-49-5,fasn,1,4.608,1.265
127-79-7,fasn,0,3.752,0.6319
13010-47-4,fasn,0,4.2173,0.8808
54527-84-3,fasn,0,5.2838,1.2386
90357-06-5,fasn,0,5.2231,0.754
136572-09-3,fasn,0,4.7049,0.6417
1177-87-3,fasn,0,4.9102,0.8951
1264-72-8,fasn,1,4.4142,0.0011
54-85-3,fasn,0,4.4372,0.3508
23541-50-6,fasn,0,4.5589,0.664
943319-70-8,fasn,1,6.0022,1.2655
150399-23-8,fasn,0,5.8694,2.3467
475207-59-1,fasn,0,4.7049,1.1024
1247-42-3,fasn,1,5.256,1.329
73963-72-1,fasn,0,5.2413,1.5779
668270-12-0,fasn,0,5.0267,0.5699
154-42-7,fasn,0,4.4462,0.7185
129497-78-5,fasn,0,4.8739,0.3012
220127-57-1,fasn,1,5.1756,1.672
184475-35-2,fasn,0,4.2571,0.5753
66085-59-4,fasn,1,4.1132,0.2947
75330-75-5,fasn,0,5.6206,1.3392
52-01-7,fasn,0,4.9834,0.9419
79902-63-9,fasn,0,5.1576,0.8999
78246-49-8,fasn,1,5.2963,0.8894
97682-44-5,fasn,0,4.7246,0.5144
65928-58-7,fasn,0,5.6267,1.0878
63-74-1,fasn,0,4.3865,0.755
73590-58-6,fasn,0,4.944,1.8893
34552-83-5,fasn,0,4.6123,0.8634
123318-82-1,fasn,1,3.7313,1.4999
129453-61-8,fasn,1,5.7886,0.9295
183133-96-2,fasn,0,4.0228,0.7379
302962-49-8,fasn,1,4.3626,1.1308
