id,target,in_experimental_data,pred_mean,pred_err
103177-37-3,fasn,0,5.8052,0.8124
99464-64-9,fasn,0,5.2397,1.1065
23180-57-6,fasn,0,5.0813,0.5769
50-27-1,fasn,1,6.0179,0.7948
2627-69-2,fasn,1,4.2832,0.5827
58186-27-9,fasn,1,4.5507,0.9549
93793-83-0,fasn,1,3.9713,0.5883
39133-31-8,fasn,0,4.433,0.6694
34552-84-6,fasn,0,5.0242,0.3766
112885-42-4,fasn,1,4.2528,0.5449
51803-78-2,fasn,1,4.4754,0.8538
141505-33-1,fasn,1,4.5006,0.5307
183320-51-6,fasn,0,4.248,0.693
101477-54-7,fasn,0,4.7622,0.3391
50-02-2,fasn,0,5.923,1.3453
96829-58-2,fasn,1,3.6633,0.819
98-96-4,fasn,0,4.2833,0.5719
541-15-1,fasn,1,4.1471,0.7996
65277-42-1,fasn,0,5.9809,0.6194
70-00-8,fasn,0,4.2357,0.404
39809-25-1,fasn,0,3.8899,0.4859
54-42-2,fasn,0,4.8903,0.352
124832-27-5,fasn,0,4.1335,0.3582
5536-17-4,fasn,0,4.3476,0.4116
147-94-4,fasn,0,4.2314,0.6205
99011-02-6,fasn,0,4.2305,0.7788
70288-86-7,fasn,0,4.0368,1.2597
59277-89-3,fasn,0,3.6917,0.4339
82410-32-0,fasn,0,3.9559,0.5109
104227-87-4,fasn,0,3.9923,0.7494
50-91-9,fasn,0,5.485,0.713
79-57-2,fasn,0,4.8882,0.8401
6153-64-6,fasn,0,4.8254,0.8133
518048-05-0,fasn,0,5.1933,0.5887
161735-79-1,fasn,0,4.177,0.4847
13492-01-8,fasn,0,4.0115,0.6768
549-18-8,fasn,0,3.9631,0.6092
79794-75-5,fasn,0,4.5608,0.9094
79307-93-0,fasn,0,4.3575,1.0435
100299-08-9,fasn,0,4.7551,0.451
980-71-2,fasn,0,4.1815,0.4246
122883-93-6,fasn,1,4.6582,0.4275
76824-35-6,fasn,0,3.911,0.568
154-69-8,fasn,0,4.4048,0.4435
2192-20-3,fasn,1,3.901,0.6837
132-20-7,fasn,1,4.0617,0.3923
25332-39-2,fasn,1,4.546,0.8812
1104-22-9,fasn,0,5.1275,0.7263
76963-41-2,fasn,0,3.7817,1.0099
521-78-8,fasn,1,4.8826,0.6008
14976-57-9,fasn,1,4.8543,0.789
10347-81-6,fasn,0,4.1474,1.013
100643-71-8,fasn,0,4.2463,0.7655
132-18-3,fasn,0,3.851,0.5135
83881-52-1,fasn,0,4.0224,0.3151
2508-72-7,fasn,0,4.4187,0.4782
66357-59-3,fasn,0,3.6932,0.6367
140462-76-6,fasn,1,4.5745,0.2665
3978-86-7,fasn,1,4.1053,0.7018
113-92-8,fasn,0,4.1252,0.3371
59-33-6,fasn,0,3.9897,0.5402
190786-44-8,fasn,0,4.1423,0.4554
147-24-0,fasn,0,3.6227,0.8634
562-10-7,fasn,0,3.9392,0.3339
144598-75-4,fasn,0,4.9767,0.6386
137-58-6,fasn,0,3.5253,0.4891
85650-52-8,fasn,0,3.8988,0.8729
34580-14-8,fasn,0,4.472,0.7524
132-17-2,fasn,1,4.4118,0.8849
113-59-7,fasn,1,4.7362,0.7174
51481-61-9,fasn,0,3.5962,0.6945
4682-36-4,fasn,0,3.4042,0.6436
97240-79-4,fasn,0,5.045,1.1252
25451-15-4,fasn,1,3.9801,0.3221
41100-52-1,fasn,0,4.4239,0.4032
1508-76-5,fasn,0,4.0389,0.4963
68-41-7,fasn,0,3.4827,0.7069
50357-45-4,fasn,1,4.7276,0.4496
7681-93-8,fasn,0,4.4811,0.4829
29342-05-0,fasn,1,4.8514,0.6202
41621-49-2,fasn,0,4.7427,0.5387
61318-91-0,fasn,1,4.5494,0.6258
171228-49-2,fasn,1,5.2215,0.5093
536-43-6,fasn,0,3.5587,0.7738
53123-88-9,fasn,0,5.0407,1.1666
23593-75-1,fasn,1,3.8642,1.1731
64872-77-1,fasn,0,5.2081,0.5537
91161-71-6,fasn,0,4.3633,0.3948
65473-14-5,fasn,0,4.6534,0.3911
78628-80-5,fasn,0,4.4114,0.4084
1397-89-3,fasn,0,4.8198,0.9926
57852-57-0,fasn,0,5.0643,0.8944
179463-17-3,fasn,0,5.7129,0.6417
1070-11-7,fasn,0,2.6928,1.4144
101827-46-7,fasn,0,4.5698,0.3068
137234-62-9,fasn,0,4.7754,0.505
86386-73-4,fasn,1,4.1404,0.5287
99592-39-9,fasn,1,4.3611,0.287
65899-73-2,fasn,0,4.3945,0.2401
24280-93-1,fasn,0,6.2528,1.0019
540737-29-9,fasn,0,3.8078,0.6109
84625-61-6,fasn,0,6.3279,1.3844
65-85-0,fasn,1,5.2171,1.0174
24169-02-6,fasn,1,4.8617,0.3846
22916-47-8,fasn,0,5.1571,0.5599
22832-87-7,fasn,0,4.7227,0.2643
17321-77-6,fasn,0,4.5311,0.6602
74011-58-8,fasn,0,4.5323,0.5244
72509-76-3,fasn,0,5.131,1.0094
173334-58-2,fasn,0,5.455,0.7517
941678-49-5,fasn,1,4.2246,0.893
127-79-7,fasn,0,3.7296,0.4981
13010-47-4,fasn,0,4.395,0.5724
54527-84-3,fasn,0,4.8641,0.3425
90357-06-5,fasn,0,4.8338,0.617
136572-09-3,fasn,0,4.6297,0.6831
1177-87-3,fasn,0,4.9649,0.923
1264-72-8,fasn,1,4.8426,0.6694
54-85-3,fasn,0,4.8182,0.8673
23541-50-6,fasn,0,4.7539,0.7841
943319-70-8,fasn,1,5.859,0.7142
150399-23-8,fasn,0,5.1083,0.3844
475207-59-1,fasn,0,4.5223,0.541
1247-42-3,fasn,1,5.1849,0.7866
73963-72-1,fasn,0,5.4079,0.5532
668270-12-0,fasn,0,5.0767,0.4716
154-42-7,fasn,0,4.6486,0.7166
129497-78-5,fasn,0,5.3154,0.9358
220127-57-1,fasn,1,5.0603,0.6401
184475-35-2,fasn,0,3.9142,0.5516
66085-59-4,fasn,1,4.4676,1.1085
75330-75-5,fasn,0,5.4832,0.8099
52-01-7,fasn,0,4.9882,0.7877
79902-63-9,fasn,0,5.6206,1.0414
78246-49-8,fasn,1,5.2464,0.445
97682-44-5,fasn,0,4.6566,0.6819
65928-58-7,fasn,0,5.9526,0.8152
63-74-1,fasn,0,4.8432,0.7418
