id,target,in_experimental_data,pred_mean,pred_err
103177-37-3,fasn,0,5.8026,1.5359
99464-64-9,fasn,0,5.2415,0.8932
23180-57-6,fasn,0,5.2219,0.8106
50-27-1,fasn,1,5.6352,0.5019
2627-69-2,fasn,1,4.5089,0.6405
58186-27-9,fasn,1,4.3699,0.991
93793-83-0,fasn,1,3.9675,0.4057
39133-31-8,fasn,0,4.3081,0.468
34552-84-6,fasn,0,5.1969,0.5631
112885-42-4,fasn,1,4.3483,0.4492
51803-78-2,fasn,1,4.3455,0.3573
141505-33-1,fasn,1,4.6576,0.6302
183320-51-6,fasn,0,4.5777,0.6991
101477-54-7,fasn,0,4.7942,0.6082
50-02-2,fasn,0,5.7056,1.3188
96829-58-2,fasn,1,3.9066,0.6691
98-96-4,fasn,0,4.1937,0.6846
541-15-1,fasn,1,3.954,0.7343
65277-42-1,fasn,0,6.2771,0.8173
70-00-8,fasn,0,4.0487,0.4674
39809-25-1,fasn,0,4.1567,0.7828
54-42-2,fasn,0,4.8315,0.8444
124832-27-5,fasn,0,4.3248,0.4603
5536-17-4,fasn,0,4.004,0.5789
147-94-4,fasn,0,4.2734,0.4105
99011-02-6,fasn,0,4.6564,0.5236
70288-86-7,fasn,0,4.3493,0.6931
59277-89-3,fasn,0,4.0335,0.7677
82410-32-0,fasn,0,4.2492,0.8113
104227-87-4,fasn,0,4.1568,0.9002
50-91-9,fasn,0,5.712,0.6528
79-57-2,fasn,0,4.3609,0.7553
6153-64-6,fasn,0,4.3478,0.7747
518048-05-0,fasn,0,5.3521,1.0321
161735-79-1,fasn,0,4.0215,0.5293
13492-01-8,fasn,0,4.0449,0.5552
549-18-8,fasn,0,4.0722,0.3631
79794-75-5,fasn,0,4.3877,1.0228
79307-93-0,fasn,0,4.3763,0.6746
100299-08-9,fasn,0,4.4961,0.6968
980-71-2,fasn,0,4.2137,0.546
122883-93-6,fasn,1,4.5746,0.511
76824-35-6,fasn,0,4.002,0.5717
154-69-8,fasn,0,4.2648,0.822
2192-20-3,fasn,1,3.9543,0.4946
132-20-7,fasn,1,4.1044,0.7919
25332-39-2,fasn,1,4.4872,0.7499
1104-22-9,fasn,0,4.8996,1.1893
76963-41-2,fasn,0,3.7266,0.3109
521-78-8,fasn,1,4.6448,0.4426
14976-57-9,fasn,1,4.7134,1.0827
10347-81-6,fasn,0,4.1536,0.7028
100643-71-8,fasn,0,4.3027,0.7533
132-18-3,fasn,0,4.0909,0.5417
83881-52-1,fasn,0,3.9752,0.586
2508-72-7,fasn,0,4.3111,0.656
66357-59-3,fasn,0,3.7595,0.6456
140462-76-6,fasn,1,4.8872,0.8357
3978-86-7,fasn,1,3.8961,0.5807
113-92-8,fasn,0,4.218,0.4805
59-33-6,fasn,0,4.0853,0.53
190786-44-8,fasn,0,4.6723,0.6155
147-24-0,fasn,0,3.6498,0.5883
562-10-7,fasn,0,3.8179,0.3612
144598-75-4,fasn,0,5.2264,1.0396
137-58-6,fasn,0,3.5029,0.3567
85650-52-8,fasn,0,3.7907,0.3577
34580-14-8,fasn,0,4.3648,0.335
132-17-2,fasn,1,4.5253,0.7184
113-59-7,fasn,1,4.4755,0.9186
51481-61-9,fasn,0,3.6095,0.4733
4682-36-4,fasn,0,3.7663,0.4256
97240-79-4,fasn,0,5.1848,1.2739
25451-15-4,fasn,1,3.8206,0.5314
41100-52-1,fasn,0,4.3759,0.6049
1508-76-5,fasn,0,4.3009,0.9108
68-41-7,fasn,0,3.6592,0.4852
50357-45-4,fasn,1,4.9313,0.8773
7681-93-8,fasn,0,4.6537,0.576
29342-05-0,fasn,1,5.068,0.5189
41621-49-2,fasn,0,4.7206,0.2105
61318-91-0,fasn,1,4.7717,0.6516
171228-49-2,fasn,1,5.1522,0.482
536-43-6,fasn,0,3.6319,0.3356
53123-88-9,fasn,0,4.6747,1.0829
23593-75-1,fasn,1,4.1606,0.6164
64872-77-1,fasn,0,5.186,0.9722
91161-71-6,fasn,0,4.4928,0.5322
65473-14-5,fasn,0,4.6341,0.7872
78628-80-5,fasn,0,4.38,0.6293
1397-89-3,fasn,0,4.4494,1.1126
57852-57-0,fasn,0,4.4793,0.9331
179463-17-3,fasn,0,6.0807,0.9185
1070-11-7,fasn,0,3.5061,0.4241
101827-46-7,fasn,0,4.7768,0.7888
137234-62-9,fasn,0,5.0437,0.5574
86386-73-4,fasn,1,3.9365,0.3485
99592-39-9,fasn,1,4.2425,0.5964
65899-73-2,fasn,0,4.3759,0.5691
24280-93-1,fasn,0,6.1433,1.0964
540737-29-9,fasn,0,4.0502,0.3827
84625-61-6,fasn,0,6.3564,1.2399
65-85-0,fasn,1,4.652,1.0776
24169-02-6,fasn,1,4.9967,0.5184
22916-47-8,fasn,0,5.1843,0.7874
22832-87-7,fasn,0,4.9648,0.5859
17321-77-6,fasn,0,4.1348,0.3281
74011-58-8,fasn,0,4.4461,0.5915
72509-76-3,fasn,0,5.0087,1.1037
173334-58-2,fasn,0,5.3416,0.8243
941678-49-5,fasn,1,4.6764,0.9155
127-79-7,fasn,0,3.6712,0.7165
13010-47-4,fasn,0,4.3046,0.4822
54527-84-3,fasn,0,4.9965,0.7129
90357-06-5,fasn,0,5.0603,0.6377
136572-09-3,fasn,0,4.4867,0.3881
1177-87-3,fasn,0,4.6388,0.7236
1264-72-8,fasn,1,4.5168,0.4232
54-85-3,fasn,0,4.4996,1.0884
23541-50-6,fasn,0,4.345,0.753
943319-70-8,fasn,1,6.3253,0.8337
150399-23-8,fasn,0,5.251,0.8256
475207-59-1,fasn,0,4.5619,0.6111
1247-42-3,fasn,1,5.1782,0.6683
73963-72-1,fasn,0,5.2734,1.3931
668270-12-0,fasn,0,5.2572,0.5502
154-42-7,fasn,0,4.4971,0.6425
129497-78-5,fasn,0,4.9785,0.8275
220127-57-1,fasn,1,5.1409,0.7258
184475-35-2,fasn,0,4.1723,0.5852
66085-59-4,fasn,1,4.1564,0.273
75330-75-5,fasn,0,5.6317,0.6958
52-01-7,fasn,0,4.9408,0.8266
79902-63-9,fasn,0,5.2165,0.8735
78246-49-8,fasn,1,5.2516,0.8459
97682-44-5,fasn,0,4.4929,0.3798
65928-58-7,fasn,0,6.1116,1.1044
63-74-1,fasn,0,4.6306,1.0397
73590-58-6,fasn,0,4.8521,0.7911
34552-83-5,fasn,0,4.6033,0.6047
123318-82-1,fasn,1,3.9019,0.7032
129453-61-8,fasn,1,6.0559,0.7985
183133-96-2,fasn,0,3.8812,0.747
302962-49-8,fasn,1,4.4675,0.8893
474-25-9,fasn,0,6.2856,1.638
298-46-4,fasn,0,4.2767,0.72
877399-52-5,fasn,1,4.6549,0.6112
183319-69-9,fasn,0,4.5627,0.6677
179324-69-7,fasn,0,6.1786,1.2871
130-61-0,fasn,0,4.6931,0.6379
879085-55-9,fasn,0,5.0409,0.5309
68-35-9,fasn,1,3.712,0.4726
82640-04-8,fasn,1,5.8381,0.9243
162635-04-3,fasn,0,4.4996,0.936
19237-84-4,fasn,1,5.2527,2.1771
50-35-1,fasn,0,4.7254,0.7509
