id,target,in_experimental_data,pred_mean,pred_err
103177-37-3,fasn,0,5.5247,0.7453
99464-64-9,fasn,0,5.052,0.6155
23180-57-6,fasn,0,5.0397,0.5864
50-27-1,fasn,1,5.4581,0.5355
2627-69-2,fasn,1,4.3327,0.5085
58186-27-9,fasn,1,4.4794,0.714
93793-83-0,fasn,1,4.0881,0.392
39133-31-8,fasn,0,4.5035,0.3475
34552-84-6,fasn,0,4.9978,0.6171
112885-42-4,fasn,1,4.5935,0.6458
51803-78-2,fasn,1,4.52,0.5907
141505-33-1,fasn,1,4.5377,0.4267
183320-51-6,fasn,0,4.5733,0.5676
101477-54-7,fasn,0,4.8044,0.638
50-02-2,fasn,0,5.4785,0.6729
96829-58-2,fasn,1,4.0549,0.5247
98-96-4,fasn,0,4.2789,0.7526
541-15-1,fasn,1,4.1481,0.7488
65277-42-1,fasn,0,5.5531,0.7587
70-00-8,fasn,0,4.3039,0.3993
39809-25-1,fasn,0,4.128,0.4792
54-42-2,fasn,0,4.8081,0.4089
124832-27-5,fasn,0,4.3077,0.3297
5536-17-4,fasn,0,4.311,0.6335
147-94-4,fasn,0,4.2187,0.6116
99011-02-6,fasn,0,4.5216,0.6576
70288-86-7,fasn,0,4.5494,1.2912
59277-89-3,fasn,0,4.0118,0.4402
82410-32-0,fasn,0,4.2074,0.5336
104227-87-4,fasn,0,4.1422,0.4967
50-91-9,fasn,0,5.1937,0.6992
79-57-2,fasn,0,4.5368,0.7784
6153-64-6,fasn,0,4.5226,0.7739
518048-05-0,fasn,0,5.1004,0.6697
161735-79-1,fasn,0,4.239,0.4397
13492-01-8,fasn,0,4.1446,0.6692
549-18-8,fasn,0,4.1828,0.4611
79794-75-5,fasn,0,4.5409,0.7556
79307-93-0,fasn,0,4.4983,0.5808
100299-08-9,fasn,0,4.6679,0.5889
980-71-2,fasn,0,4.2988,0.5001
122883-93-6,fasn,1,4.7081,0.537
76824-35-6,fasn,0,4.0557,0.4648
154-69-8,fasn,0,4.4143,0.6315
2192-20-3,fasn,1,4.0901,0.5838
132-20-7,fasn,1,4.1747,0.4456
25332-39-2,fasn,1,4.6131,0.5496
1104-22-9,fasn,0,4.9517,0.8593
76963-41-2,fasn,0,3.9929,0.5637
521-78-8,fasn,1,4.6948,0.5403
14976-57-9,fasn,1,4.7671,0.7019
10347-81-6,fasn,0,4.3436,0.8421
100643-71-8,fasn,0,4.3731,0.7045
132-18-3,fasn,0,4.0656,0.5697
83881-52-1,fasn,0,4.1348,0.4228
2508-72-7,fasn,0,4.4764,0.6301
66357-59-3,fasn,0,3.8708,0.395
140462-76-6,fasn,1,4.6547,0.4984
3978-86-7,fasn,1,4.261,0.6354
113-92-8,fasn,0,4.2712,0.3897
59-33-6,fasn,0,4.1278,0.4843
190786-44-8,fasn,0,4.3658,0.5412
147-24-0,fasn,0,3.8776,0.6062
562-10-7,fasn,0,4.0444,0.4843
144598-75-4,fasn,0,4.9388,0.6042
137-58-6,fasn,0,3.6768,0.4405
85650-52-8,fasn,0,4.0843,0.6512
34580-14-8,fasn,0,4.5157,0.702
132-17-2,fasn,1,4.5452,0.7402
113-59-7,fasn,1,4.6232,0.7721
51481-61-9,fasn,0,3.7962,0.3623
4682-36-4,fasn,0,3.764,0.5465
97240-79-4,fasn,0,4.9079,0.698
25451-15-4,fasn,1,4.0626,0.3894
41100-52-1,fasn,0,4.4804,0.6193
1508-76-5,fasn,0,4.2196,0.3607
68-41-7,fasn,0,3.7496,0.681
50357-45-4,fasn,1,4.8272,0.4012
7681-93-8,fasn,0,4.6065,0.5941
29342-05-0,fasn,1,4.7431,0.539
41621-49-2,fasn,0,4.6316,0.5314
61318-91-0,fasn,1,4.7062,0.5651
171228-49-2,fasn,1,5.2507,0.8079
536-43-6,fasn,0,3.8072,0.4539
53123-88-9,fasn,0,4.949,0.9016
23593-75-1,fasn,1,4.1966,0.885
64872-77-1,fasn,0,4.9991,0.4741
91161-71-6,fasn,0,4.5045,0.3809
65473-14-5,fasn,0,4.6754,0.6759
78628-80-5,fasn,0,4.5389,0.4029
1397-89-3,fasn,0,4.6642,0.9026
57852-57-0,fasn,0,4.7454,0.8576
179463-17-3,fasn,0,5.4711,1.3304
1070-11-7,fasn,0,3.407,0.6545
101827-46-7,fasn,0,4.6543,0.5749
137234-62-9,fasn,0,4.8357,0.5418
86386-73-4,fasn,1,4.2237,0.5889
99592-39-9,fasn,1,4.5044,0.4728
65899-73-2,fasn,0,4.4636,0.4998
24280-93-1,fasn,0,5.6718,0.8691
540737-29-9,fasn,0,4.1314,0.6613
84625-61-6,fasn,0,5.7635,0.9699
65-85-0,fasn,1,4.7268,1.0361
24169-02-6,fasn,1,4.8699,0.448
22916-47-8,fasn,0,5.0663,0.5615
22832-87-7,fasn,0,4.8088,0.4459
17321-77-6,fasn,0,4.4075,0.6705
74011-58-8,fasn,0,4.6164,0.5515
72509-76-3,fasn,0,4.8725,0.5441
173334-58-2,fasn,0,5.2687,1.1461
941678-49-5,fasn,1,4.4223,0.5784
127-79-7,fasn,0,3.8966,0.4605
13010-47-4,fasn,0,4.3053,0.5505
54527-84-3,fasn,0,4.8831,0.4009
90357-06-5,fasn,0,4.8442,0.5027
136572-09-3,fasn,0,4.7253,0.7902
1177-87-3,fasn,0,4.8036,0.6369
1264-72-8,fasn,1,4.7889,1.4544
54-85-3,fasn,0,4.5718,0.8536
23541-50-6,fasn,0,4.5907,0.7994
943319-70-8,fasn,1,5.6186,0.8091
150399-23-8,fasn,0,5.042,0.5313
475207-59-1,fasn,0,4.6481,0.7387
1247-42-3,fasn,1,5.1059,0.6775
73963-72-1,fasn,0,5.1823,0.6759
668270-12-0,fasn,0,5.0826,0.6469
154-42-7,fasn,0,4.4592,0.7586
129497-78-5,fasn,0,5.176,0.7856
220127-57-1,fasn,1,5.0625,0.6527
184475-35-2,fasn,0,4.2872,0.6733
66085-59-4,fasn,1,4.4546,0.6817
75330-75-5,fasn,0,5.3288,0.6501
52-01-7,fasn,0,4.894,0.4736
79902-63-9,fasn,0,5.3097,0.6937
