id,target,in_experimental_data,pred_mean,pred_err
103177-37-3,fasn,0,4.876,1.4451
99464-64-9,fasn,0,4.6808,1.3539
23180-57-6,fasn,0,4.6796,1.0306
50-27-1,fasn,1,4.7696,1.2803
2627-69-2,fasn,1,4.4909,0.9807
58186-27-9,fasn,1,4.5313,1.0614
93793-83-0,fasn,1,4.4437,1.1365
39133-31-8,fasn,0,4.5365,0.9562
34552-84-6,fasn,0,4.7012,1.4848
112885-42-4,fasn,1,4.55,1.0192
51803-78-2,fasn,1,4.5675,0.9883
141505-33-1,fasn,1,4.5598,1.0492
183320-51-6,fasn,0,4.5395,1.0047
101477-54-7,fasn,0,4.6797,1.2394
50-02-2,fasn,0,4.8034,1.6185
96829-58-2,fasn,1,4.4669,0.9889
98-96-4,fasn,0,4.4771,1.0237
541-15-1,fasn,1,4.4749,1.0244
65277-42-1,fasn,0,4.8424,1.4603
70-00-8,fasn,0,4.4843,1.0054
39809-25-1,fasn,0,4.4703,1.0195
54-42-2,fasn,0,4.6742,1.4097
124832-27-5,fasn,0,4.4851,0.9828
5536-17-4,fasn,0,4.4759,1.0105
147-94-4,fasn,0,4.4758,1.0997
99011-02-6,fasn,0,4.5564,0.97
70288-86-7,fasn,0,4.5043,1.0792
59277-89-3,fasn,0,4.4476,1.2634
82410-32-0,fasn,0,4.4827,1.1189
104227-87-4,fasn,0,4.4598,1.0274
50-91-9,fasn,0,4.7537,1.3628
79-57-2,fasn,0,4.552,1.0943
6153-64-6,fasn,0,4.5446,1.0255
518048-05-0,fasn,0,4.6786,1.0278
161735-79-1,fasn,0,4.4739,0.9899
13492-01-8,fasn,0,4.4695,1.1246
549-18-8,fasn,0,4.473,0.9999
79794-75-5,fasn,0,4.5405,0.991
79307-93-0,fasn,0,4.5092,1.0509
100299-08-9,fasn,0,4.5614,1.1116
980-71-2,fasn,0,4.4771,0.9955
122883-93-6,fasn,1,4.5569,0.9272
76824-35-6,fasn,0,4.4458,1.1298
154-69-8,fasn,0,4.5031,1.1285
2192-20-3,fasn,1,4.4578,1.0221
132-20-7,fasn,1,4.4703,1.1239
25332-39-2,fasn,1,4.5509,1.0446
1104-22-9,fasn,0,4.6762,1.272
76963-41-2,fasn,0,4.4343,1.2665
521-78-8,fasn,1,4.5597,0.9896
14976-57-9,fasn,1,4.5586,0.9826
10347-81-6,fasn,0,4.4804,0.9966
100643-71-8,fasn,0,4.4762,1.0049
132-18-3,fasn,0,4.4619,0.9909
83881-52-1,fasn,0,4.4614,1.0021
2508-72-7,fasn,0,4.5309,1.0396
66357-59-3,fasn,0,4.3889,0.9849
140462-76-6,fasn,1,4.5622,0.9036
3978-86-7,fasn,1,4.4621,1.0651
113-92-8,fasn,0,4.4817,1.0177
59-33-6,fasn,0,4.4619,1.0103
190786-44-8,fasn,0,4.4867,0.9845
147-24-0,fasn,0,4.3905,0.9734
562-10-7,fasn,0,4.4466,1.158
144598-75-4,fasn,0,4.6621,1.0604
137-58-6,fasn,0,4.3866,0.9654
85650-52-8,fasn,0,4.4468,1.1443
34580-14-8,fasn,0,4.5309,1.0
132-17-2,fasn,1,4.5405,0.9631
113-59-7,fasn,1,4.5478,0.9567
51481-61-9,fasn,0,4.3879,0.9729
4682-36-4,fasn,0,4.3924,0.9961
97240-79-4,fasn,0,4.6742,1.0942
25451-15-4,fasn,1,4.454,1.0142
41100-52-1,fasn,0,4.5533,1.0404
1508-76-5,fasn,0,4.4748,1.0457
68-41-7,fasn,0,4.3995,0.9775
50357-45-4,fasn,1,4.6216,1.0712
7681-93-8,fasn,0,4.5624,1.0211
29342-05-0,fasn,1,4.636,1.5329
41621-49-2,fasn,0,4.5568,1.0269
61318-91-0,fasn,1,4.5601,0.9972
171228-49-2,fasn,1,4.6856,1.008
536-43-6,fasn,0,4.3919,0.9743
53123-88-9,fasn,0,4.6537,1.4244
23593-75-1,fasn,1,4.4782,0.98
64872-77-1,fasn,0,4.667,1.3295
91161-71-6,fasn,0,4.5396,1.0112
65473-14-5,fasn,0,4.5595,0.9441
78628-80-5,fasn,0,4.5464,0.9854
1397-89-3,fasn,0,4.5636,1.0289
57852-57-0,fasn,0,4.5553,1.0123
179463-17-3,fasn,0,4.8602,1.2832
1070-11-7,fasn,0,4.383,0.9356
101827-46-7,fasn,0,4.5615,0.9391
137234-62-9,fasn,0,4.5732,0.9916
86386-73-4,fasn,1,4.4604,1.009
99592-39-9,fasn,1,4.5346,1.0605
65899-73-2,fasn,0,4.5391,0.9992
24280-93-1,fasn,0,4.8636,1.6248
540737-29-9,fasn,0,4.4697,1.0166
84625-61-6,fasn,0,4.8166,1.5744
65-85-0,fasn,1,4.5752,0.9837
24169-02-6,fasn,1,4.658,0.969
22916-47-8,fasn,0,4.6766,1.298
22832-87-7,fasn,0,4.6306,1.0978
17321-77-6,fasn,0,4.5058,1.0434
74011-58-8,fasn,0,4.5616,1.0041
72509-76-3,fasn,0,4.6624,1.2819
173334-58-2,fasn,0,4.6797,1.0944
941678-49-5,fasn,1,4.4862,1.009
127-79-7,fasn,0,4.3904,0.9975
13010-47-4,fasn,0,4.4781,0.9857
54527-84-3,fasn,0,4.6544,0.9015
90357-06-5,fasn,0,4.6358,1.1791
136572-09-3,fasn,0,4.5552,1.0014
1177-87-3,fasn,0,4.5621,0.9154
1264-72-8,fasn,1,4.5688,1.0418
54-85-3,fasn,0,4.5696,1.0216
23541-50-6,fasn,0,4.5511,1.0607
943319-70-8,fasn,1,4.8918,1.295
150399-23-8,fasn,0,4.6555,0.9662
475207-59-1,fasn,0,4.5498,1.0651
1247-42-3,fasn,1,4.6942,1.3901
73963-72-1,fasn,0,4.7797,0.9547
668270-12-0,fasn,0,4.6722,1.0639
154-42-7,fasn,0,4.5659,1.088
129497-78-5,fasn,0,4.6503,0.9428
220127-57-1,fasn,1,4.6619,0.9525
184475-35-2,fasn,0,4.4843,0.9822
66085-59-4,fasn,1,4.4787,0.9768
75330-75-5,fasn,0,4.8179,1.4076
52-01-7,fasn,0,4.658,1.0679
79902-63-9,fasn,0,4.8097,1.3708
78246-49-8,fasn,1,4.6979,1.3336
97682-44-5,fasn,0,4.5509,1.0123
65928-58-7,fasn,0,4.811,1.8299
63-74-1,fasn,0,4.562,1.0423
73590-58-6,fasn,0,4.6829,1.3141
34552-83-5,fasn,0,4.5506,0.9977
123318-82-1,fasn,1,4.4614,1.0822
129453-61-8,fasn,1,4.8097,1.2648
183133-96-2,fasn,0,4.4584,0.9907
302962-49-8,fasn,1,4.5532,1.0131
474-25-9,fasn,0,4.8421,1.2141
298-46-4,fasn,0,4.4793,1.1091
877399-52-5,fasn,1,4.5434,0.9471
183319-69-9,fasn,0,4.5096,1.0737
179324-69-7,fasn,0,4.8647,1.3236
130-61-0,fasn,0,4.5621,0.9388
879085-55-9,fasn,0,4.6795,1.0097
68-35-9,fasn,1,4.439,1.1458
82640-04-8,fasn,1,4.8536,1.0564
162635-04-3,fasn,0,4.6465,1.4213
19237-84-4,fasn,1,4.6806,1.1664
50-35-1,fasn,0,4.6337,1.1794
1098-60-8,fasn,0,4.5472,1.0024
873054-44-5,fasn,0,4.6716,1.4205
50-55-5,fasn,0,4.6597,0.93
152459-95-5,fasn,0,4.6216,1.0217
127-07-1,fasn,1,4.3896,0.9679
153559-49-0,fasn,1,4.8169,1.2657
1264-62-6,fasn,0,4.4279,1.2962
85622-93-1,fasn,1,4.4808,0.9576
159351-69-6,fasn,1,4.55,1.0171
117772-70-0,fasn,0,4.4256,1.3012
84371-65-3,fasn,0,4.7844,1.8382
171599-83-0,fasn,0,4.5565,1.0599
595-33-5,fasn,1,4.7537,1.4675
144-83-2,fasn,1,4.4006,0.9875
19774-82-4,fasn,0,4.8533,1.432
83-43-2,fasn,0,4.7317,1.1412
127-56-0,fasn,0,4.3833,0.9173
83905-01-5,fasn,1,4.4431,1.1468
119413-54-6,fasn,0,4.6673,1.0571
118292-40-3,fasn,0,4.8515,1.4302
144701-48-4,fasn,0,4.8144,0.9604
163222-33-1,fasn,1,4.8963,1.2419
641571-10-0,fasn,0,4.5333,1.0384
220620-09-7,fasn,0,4.7637,1.354
108341-18-0,fasn,0,4.4769,0.9845
21829-25-4,fasn,0,4.5409,0.9917
1069-66-5,fasn,0,4.398,0.963
95635-56-6,fasn,0,4.5629,1.0416
2447-57-6,fasn,0,4.4571,1.0137
84057-84-1,fasn,1,4.3833,0.9139
599-79-1,fasn,0,4.882,1.3508
53716-49-7,fasn,0,4.6657,1.3584
50-44-2,fasn,0,4.5715,1.0087
50-63-5,fasn,0,4.5464,1.1022
33069-62-4,fasn,0,4.5492,0.9953
3056-17-5,fasn,0,4.4849,0.9749
58-61-7,fasn,1,4.5782,0.938
96946-42-8,fasn,1,4.7738,1.7732
918504-65-1,fasn,0,4.8577,1.1322
388082-77-7,fasn,1,4.5458,1.0461
50-01-1,fasn,0,4.3823,0.9109
64-77-7,fasn,1,4.3995,0.9547
915087-33-1,fasn,0,4.6651,1.0211
635702-64-6,fasn,0,4.5529,1.0019
61825-94-3,fasn,0,4.4439,1.1419
71125-38-7,fasn,0,4.7761,1.2347
53-86-1,fasn,1,4.7001,1.2803
155141-29-0,fasn,0,4.8891,1.4295
443913-73-3,fasn,0,4.4728,1.0372
147098-20-2,fasn,1,4.6823,1.003
440-17-5,fasn,0,4.5513,0.9183
5451-09-2,fasn,1,4.4798,0.9803
320-67-2,fasn,1,4.482,0.9906
112809-51-5,fasn,0,4.6759,1.001
22260-51-1,fasn,0,4.6768,1.4554
141625-93-6,fasn,1,4.6912,1.3558
55981-09-4,fasn,0,4.6775,1.3792
150683-30-0,fasn,0,4.7792,1.2849
231277-92-2,fasn,1,4.552,1.0045
81103-11-9,fasn,0,4.5067,1.1028
434-13-9,fasn,0,4.8367,1.1548
59-67-6,fasn,1,4.5675,0.9922
10238-21-8,fasn,0,4.8373,1.7414
81131-70-6,fasn,1,4.677,0.997
54965-24-1,fasn,0,4.5367,1.0294
33419-42-0,fasn,0,4.5582,1.1183
127-69-5,fasn,0,4.5001,1.1035
25316-40-9,fasn,0,4.5628,0.9556
106685-40-9,fasn,0,4.7555,1.3112
341031-54-7,fasn,1,4.6481,1.0007
84680-54-6,fasn,0,4.5688,0.992
134523-03-8,fasn,1,4.6808,1.0033
144-82-1,fasn,1,4.4611,1.057
51022-70-9,fasn,1,4.548,1.0559
444731-52-6,fasn,0,4.5524,1.029
75695-93-1,fasn,0,4.4609,0.9304
93957-55-2,fasn,0,4.6878,1.0693
122111-03-9,fasn,0,4.4634,1.0527
118072-93-8,fasn,1,4.4741,0.9966
1476-53-5,fasn,0,4.7473,0.8072
55079-83-9,fasn,0,4.6763,1.411
104987-11-3,fasn,0,4.4813,0.9648
302-79-4,fasn,0,4.8363,1.7537
50-78-2,fasn,0,4.5686,0.9801
56296-78-7,fasn,0,4.6788,1.3825
1115-70-4,fasn,0,4.3816,0.9122
49562-28-9,fasn,0,4.5664,0.9728
1404-93-9,fasn,0,4.8019,1.4894
38194-50-2,fasn,0,4.878,1.4322
26159-34-2,fasn,1,4.6764,1.2757
122320-73-4,fasn,0,4.8845,1.5036
723-46-6,fasn,0,4.4554,0.9945
302543-62-0,fasn,1,4.8963,1.4226
72-14-0,fasn,1,4.4424,1.1534
77883-43-3,fasn,0,4.8386,1.8235
107-35-7,fasn,0,4.5592,1.1011
380843-75-4,fasn,0,4.5464,1.0074
755037-03-7,fasn,0,4.5626,1.0428
624-49-7,fasn,0,4.4646,1.0802
95058-81-4,fasn,1,4.4772,1.0051
6493-05-6,fasn,0,4.4019,0.9835
156-57-0,fasn,0,4.5697,1.0428
147526-32-7,fasn,0,4.6713,0.9446
553-08-2,fasn,1,4.6688,0.9865
149647-78-9,fasn,0,4.6631,1.4145
30652-11-0,fasn,1,4.4762,1.0142
101152-94-7,fasn,0,4.4602,1.0571
136434-34-9,fasn,0,4.5011,1.0337
367514-88-3,fasn,0,4.7883,0.9379
82248-59-7,fasn,0,4.5512,1.0147
317-34-0,fasn,0,4.4689,1.0574
479-18-5,fasn,0,4.4552,1.1732
53885-35-1,fasn,0,4.4634,1.0654
443-48-1,fasn,0,4.3826,0.9148
