id,target,in_experimental_data,pred_mean,pred_err
103177-37-3,fasn,0,5.9651,0.585
99464-64-9,fasn,0,5.298,0.465
23180-57-6,fasn,0,5.2721,0.4402
50-27-1,fasn,1,5.7243,0.7754
2627-69-2,fasn,1,4.2518,0.5189
58186-27-9,fasn,1,4.4358,1.0452
93793-83-0,fasn,1,3.8547,0.4266
39133-31-8,fasn,0,4.3927,0.2028
34552-84-6,fasn,0,5.3319,0.5443
112885-42-4,fasn,1,4.4787,0.7709
51803-78-2,fasn,1,4.481,0.7026
141505-33-1,fasn,1,4.5763,0.5278
183320-51-6,fasn,0,4.4045,0.9503
101477-54-7,fasn,0,4.9627,0.5338
50-02-2,fasn,0,5.7413,0.7993
96829-58-2,fasn,1,3.7021,0.4949
98-96-4,fasn,0,4.2219,0.9269
541-15-1,fasn,1,4.0394,0.9771
65277-42-1,fasn,0,5.9879,0.734
70-00-8,fasn,0,4.2565,0.4766
39809-25-1,fasn,0,3.9687,0.732
54-42-2,fasn,0,5.0245,0.4069
124832-27-5,fasn,0,4.1947,0.4065
5536-17-4,fasn,0,4.2336,0.3448
147-94-4,fasn,0,4.106,0.5751
99011-02-6,fasn,0,4.4734,0.831
70288-86-7,fasn,0,4.0542,1.4238
59277-89-3,fasn,0,3.7871,0.6248
82410-32-0,fasn,0,4.0871,0.6373
104227-87-4,fasn,0,3.9347,0.5119
50-91-9,fasn,0,5.6692,0.4939
79-57-2,fasn,0,4.4161,0.8027
6153-64-6,fasn,0,4.3908,0.764
518048-05-0,fasn,0,5.4697,0.288
161735-79-1,fasn,0,4.1208,0.362
13492-01-8,fasn,0,3.9475,0.6553
549-18-8,fasn,0,3.8781,0.2946
79794-75-5,fasn,0,4.4442,0.5908
79307-93-0,fasn,0,4.3143,0.6205
100299-08-9,fasn,0,4.7333,0.3953
980-71-2,fasn,0,4.1699,0.5393
122883-93-6,fasn,1,4.8024,0.4271
76824-35-6,fasn,0,3.8946,0.2758
154-69-8,fasn,0,4.4007,0.4474
2192-20-3,fasn,1,3.7887,0.5112
132-20-7,fasn,1,4.0065,0.3159
25332-39-2,fasn,1,4.6008,0.7287
1104-22-9,fasn,0,5.1262,0.8499
76963-41-2,fasn,0,3.7288,0.7716
521-78-8,fasn,1,4.7021,0.4616
14976-57-9,fasn,1,4.751,0.8761
10347-81-6,fasn,0,4.0079,1.187
100643-71-8,fasn,0,4.1975,0.6206
132-18-3,fasn,0,3.7954,0.424
83881-52-1,fasn,0,3.9411,0.3787
2508-72-7,fasn,0,4.4181,0.5806
66357-59-3,fasn,0,3.5847,0.357
140462-76-6,fasn,1,4.7727,0.4509
3978-86-7,fasn,1,4.0434,0.6253
113-92-8,fasn,0,4.1366,0.4313
59-33-6,fasn,0,3.9803,0.6443
190786-44-8,fasn,0,4.2693,0.3406
147-24-0,fasn,0,3.5141,0.6303
562-10-7,fasn,0,3.8794,0.477
144598-75-4,fasn,0,4.9466,0.5391
137-58-6,fasn,0,3.3689,0.3538
85650-52-8,fasn,0,3.7321,0.7279
34580-14-8,fasn,0,4.2701,1.0468
132-17-2,fasn,1,4.1841,1.0985
113-59-7,fasn,1,4.5551,0.7132
51481-61-9,fasn,0,3.513,0.3361
4682-36-4,fasn,0,3.3639,0.473
97240-79-4,fasn,0,5.3076,1.017
25451-15-4,fasn,1,3.945,0.3776
41100-52-1,fasn,0,4.5208,0.5182
1508-76-5,fasn,0,3.9935,0.6875
68-41-7,fasn,0,3.6124,0.9102
50357-45-4,fasn,1,4.9462,0.6463
7681-93-8,fasn,0,4.5051,0.491
29342-05-0,fasn,1,4.9051,0.6116
41621-49-2,fasn,0,4.7182,0.5955
61318-91-0,fasn,1,4.7133,0.7571
171228-49-2,fasn,1,5.5498,0.4431
536-43-6,fasn,0,3.4504,0.3569
53123-88-9,fasn,0,4.63,1.2597
23593-75-1,fasn,1,3.9174,1.0327
