id,target,in_experimental_data,pred_mean,pred_err
103177-37-3,fasn,0,6.2564,0.8996
99464-64-9,fasn,0,5.252,0.7272
23180-57-6,fasn,0,5.1391,0.6059
50-27-1,fasn,1,5.9284,1.5655
2627-69-2,fasn,1,4.3423,0.5263
58186-27-9,fasn,1,4.2816,0.5358
93793-83-0,fasn,1,3.8455,0.5616
39133-31-8,fasn,0,4.3589,0.3962
34552-84-6,fasn,0,5.3,0.5059
112885-42-4,fasn,1,4.3995,0.3629
51803-78-2,fasn,1,4.4608,0.2655
141505-33-1,fasn,1,4.5428,0.6148
183320-51-6,fasn,0,4.4097,0.3939
101477-54-7,fasn,0,4.9474,0.3384
50-02-2,fasn,0,6.0631,1.2726
96829-58-2,fasn,1,3.9325,0.4974
98-96-4,fasn,0,4.0829,0.341
541-15-1,fasn,1,4.0259,0.6317
65277-42-1,fasn,0,6.4103,1.0801
70-00-8,fasn,0,4.1029,0.2375
39809-25-1,fasn,0,4.0122,0.4105
54-42-2,fasn,0,4.9113,0.4363
124832-27-5,fasn,0,4.1257,0.3796
5536-17-4,fasn,0,4.0206,0.2934
147-94-4,fasn,0,4.1276,0.3681
99011-02-6,fasn,0,4.5244,0.2384
70288-86-7,fasn,0,4.1683,0.4243
59277-89-3,fasn,0,3.8539,0.4951
82410-32-0,fasn,0,4.1427,0.5018
104227-87-4,fasn,0,3.902,0.486
50-91-9,fasn,0,5.8498,0.9007
79-57-2,fasn,0,4.3808,0.4269
6153-64-6,fasn,0,4.3302,0.4981
518048-05-0,fasn,0,5.3134,0.7928
161735-79-1,fasn,0,4.0342,0.2953
13492-01-8,fasn,0,3.9995,0.3144
549-18-8,fasn,0,4.0681,0.185
79794-75-5,fasn,0,4.3133,0.3035
79307-93-0,fasn,0,4.1711,0.4585
100299-08-9,fasn,0,4.5179,0.3951
980-71-2,fasn,0,4.0471,0.3422
122883-93-6,fasn,1,4.5691,0.4233
76824-35-6,fasn,0,3.8732,0.5187
154-69-8,fasn,0,4.2108,0.5462
2192-20-3,fasn,1,3.8731,0.3538
132-20-7,fasn,1,4.0774,0.6346
25332-39-2,fasn,1,4.5944,0.5972
1104-22-9,fasn,0,5.031,0.6318
76963-41-2,fasn,0,3.8218,0.4829
521-78-8,fasn,1,4.6211,0.3878
14976-57-9,fasn,1,4.5179,0.3846
10347-81-6,fasn,0,4.1147,0.6224
100643-71-8,fasn,0,4.0005,0.4329
132-18-3,fasn,0,3.9043,0.3247
83881-52-1,fasn,0,3.9301,0.3194
2508-72-7,fasn,0,4.3795,0.5827
66357-59-3,fasn,0,3.6076,0.4103
140462-76-6,fasn,1,4.7383,0.6179
3978-86-7,fasn,1,3.9558,0.2873
113-92-8,fasn,0,4.0838,0.292
59-33-6,fasn,0,3.9721,0.3271
190786-44-8,fasn,0,4.2342,0.4849
147-24-0,fasn,0,3.5936,0.382
562-10-7,fasn,0,3.8673,0.3941
144598-75-4,fasn,0,5.0966,0.8179
137-58-6,fasn,0,3.5577,0.4522
85650-52-8,fasn,0,3.8605,0.3561
34580-14-8,fasn,0,4.3136,0.5921
132-17-2,fasn,1,4.4376,0.7082
113-59-7,fasn,1,4.426,0.3291
