id,target,in_experimental_data,pred_mean,pred_err
103177-37-3,fasn,0,5.89,0.656
99464-64-9,fasn,0,5.2384,0.4366
23180-57-6,fasn,0,5.2799,0.4061
50-27-1,fasn,1,5.7564,0.9138
2627-69-2,fasn,1,4.2821,0.6687
58186-27-9,fasn,1,4.4472,0.9027
93793-83-0,fasn,1,3.8317,0.5889
39133-31-8,fasn,0,4.3979,0.3488
34552-84-6,fasn,0,5.2274,0.3175
112885-42-4,fasn,1,4.5483,0.7055
51803-78-2,fasn,1,4.4928,0.7757
141505-33-1,fasn,1,4.5205,0.4872
183320-51-6,fasn,0,4.4997,0.8994
101477-54-7,fasn,0,4.8502,0.4081
50-02-2,fasn,0,5.7366,0.9111
96829-58-2,fasn,1,3.7581,0.3445
98-96-4,fasn,0,4.3268,0.6827
541-15-1,fasn,1,4.1452,0.6429
65277-42-1,fasn,0,5.9646,0.571
70-00-8,fasn,0,4.2527,0.5309
39809-25-1,fasn,0,3.9226,0.6691
54-42-2,fasn,0,5.0014,0.3281
124832-27-5,fasn,0,4.1662,0.3966
5536-17-4,fasn,0,4.2374,0.3418
147-94-4,fasn,0,4.1434,0.6391
99011-02-6,fasn,0,4.4689,0.916
70288-86-7,fasn,0,4.1737,1.019
59277-89-3,fasn,0,3.7855,0.6709
82410-32-0,fasn,0,4.0492,0.6799
104227-87-4,fasn,0,3.8688,0.5249
50-91-9,fasn,0,5.6454,0.5186
79-57-2,fasn,0,4.5415,0.7441
6153-64-6,fasn,0,4.5084,0.711
518048-05-0,fasn,0,5.3827,0.4432
161735-79-1,fasn,0,4.1362,0.4184
13492-01-8,fasn,0,4.005,0.6246
549-18-8,fasn,0,3.9373,0.3118
79794-75-5,fasn,0,4.4243,0.5812
79307-93-0,fasn,0,4.3483,0.7199
100299-08-9,fasn,0,4.7241,0.4541
980-71-2,fasn,0,4.1006,0.4026
122883-93-6,fasn,1,4.7878,0.3521
76824-35-6,fasn,0,3.837,0.4504
154-69-8,fasn,0,4.3674,0.4808
2192-20-3,fasn,1,3.7489,0.4758
132-20-7,fasn,1,3.9592,0.2743
25332-39-2,fasn,1,4.5918,0.818
1104-22-9,fasn,0,5.0611,0.7635
76963-41-2,fasn,0,3.7236,0.8601
521-78-8,fasn,1,4.7163,0.4261
14976-57-9,fasn,1,4.7083,0.6935
10347-81-6,fasn,0,4.1477,0.9547
100643-71-8,fasn,0,4.1375,0.5416
132-18-3,fasn,0,3.7507,0.3582
83881-52-1,fasn,0,3.8887,0.2466
2508-72-7,fasn,0,4.4091,0.5862
66357-59-3,fasn,0,3.5164,0.4469
140462-76-6,fasn,1,4.6971,0.3113
3978-86-7,fasn,1,3.9853,0.5862
113-92-8,fasn,0,4.0859,0.3105
59-33-6,fasn,0,3.9089,0.6092
190786-44-8,fasn,0,4.244,0.42
147-24-0,fasn,0,3.5218,0.6618
562-10-7,fasn,0,3.8005,0.2901
144598-75-4,fasn,0,5.0553,0.4298
137-58-6,fasn,0,3.3072,0.3653
85650-52-8,fasn,0,3.7312,0.7943
34580-14-8,fasn,0,4.3826,0.7835
132-17-2,fasn,1,4.3438,0.7338
113-59-7,fasn,1,4.5536,0.6805
51481-61-9,fasn,0,3.4376,0.5341
4682-36-4,fasn,0,3.3281,0.3614
97240-79-4,fasn,0,5.2446,1.0725
25451-15-4,fasn,1,3.888,0.3419
41100-52-1,fasn,0,4.4267,0.396
1508-76-5,fasn,0,4.05,0.5724
68-41-7,fasn,0,3.6586,0.8801
50357-45-4,fasn,1,4.8971,0.648
7681-93-8,fasn,0,4.52,0.476
29342-05-0,fasn,1,4.863,0.5363
41621-49-2,fasn,0,4.6898,0.4823
61318-91-0,fasn,1,4.6626,0.7035
171228-49-2,fasn,1,5.5162,0.4166
536-43-6,fasn,0,3.4182,0.4303
53123-88-9,fasn,0,4.8394,0.9189
23593-75-1,fasn,1,3.9761,0.8544
64872-77-1,fasn,0,5.177,0.5618
91161-71-6,fasn,0,4.4563,0.4051
65473-14-5,fasn,0,4.6755,0.4529
78628-80-5,fasn,0,4.4863,0.3572
1397-89-3,fasn,0,4.6365,0.9408
57852-57-0,fasn,0,4.7274,0.7901
179463-17-3,fasn,0,5.9313,0.6274
1070-11-7,fasn,0,3.0127,1.3098
101827-46-7,fasn,0,4.6673,0.3999
137234-62-9,fasn,0,4.9714,0.5482
86386-73-4,fasn,1,4.0347,0.6151
99592-39-9,fasn,1,4.408,0.3309
65899-73-2,fasn,0,4.3781,0.2916
24280-93-1,fasn,0,6.2344,0.7407
540737-29-9,fasn,0,3.8966,0.7915
84625-61-6,fasn,0,6.1341,1.1694
65-85-0,fasn,1,5.0584,1.196
24169-02-6,fasn,1,4.9705,0.4297
22916-47-8,fasn,0,5.2496,0.3654
22832-87-7,fasn,0,4.8533,0.3384
17321-77-6,fasn,0,4.2861,0.4809
74011-58-8,fasn,0,4.6555,0.663
72509-76-3,fasn,0,5.0235,0.4851
173334-58-2,fasn,0,5.4527,0.5485
941678-49-5,fasn,1,4.2995,0.895
127-79-7,fasn,0,3.5427,0.5892
13010-47-4,fasn,0,4.2779,0.444
54527-84-3,fasn,0,4.9716,0.4388
90357-06-5,fasn,0,4.9536,0.4316
136572-09-3,fasn,0,4.5801,0.53
1177-87-3,fasn,0,4.6147,1.1455
1264-72-8,fasn,1,4.7819,0.5808
54-85-3,fasn,0,4.789,1.052
23541-50-6,fasn,0,4.5331,0.767
943319-70-8,fasn,1,6.1161,0.4876
150399-23-8,fasn,0,5.2667,0.5019
475207-59-1,fasn,0,4.6152,0.5325
1247-42-3,fasn,1,5.2793,0.4705
73963-72-1,fasn,0,5.5601,0.4978
668270-12-0,fasn,0,5.2619,0.5069
154-42-7,fasn,0,4.5833,0.78
129497-78-5,fasn,0,5.198,0.6525
220127-57-1,fasn,1,5.193,0.672
184475-35-2,fasn,0,4.097,0.5053
66085-59-4,fasn,1,4.3048,0.9632
75330-75-5,fasn,0,5.6341,0.3848
52-01-7,fasn,0,4.9295,0.6026
79902-63-9,fasn,0,5.4595,0.7433
78246-49-8,fasn,1,5.3839,0.5893
