id,target,in_experimental_data,pred_mean,pred_err
103177-37-3,fasn,0,5.6353,1.2822
99464-64-9,fasn,0,5.1947,0.9456
23180-57-6,fasn,0,5.2042,0.6386
50-27-1,fasn,1,5.6614,0.7745
2627-69-2,fasn,1,4.5401,0.6754
58186-27-9,fasn,1,4.3878,0.9067
93793-83-0,fasn,1,3.9903,0.4373
39133-31-8,fasn,0,4.3178,0.4708
34552-84-6,fasn,0,5.1442,0.794
112885-42-4,fasn,1,4.4701,0.4292
51803-78-2,fasn,1,4.3824,0.2998
141505-33-1,fasn,1,4.5994,0.5365
183320-51-6,fasn,0,4.6353,0.3981
101477-54-7,fasn,0,4.7525,0.6116
50-02-2,fasn,0,5.5975,1.3371
96829-58-2,fasn,1,3.9929,0.6684
98-96-4,fasn,0,4.2387,0.7031
541-15-1,fasn,1,4.0521,0.8726
65277-42-1,fasn,0,6.1149,0.5966
70-00-8,fasn,0,4.1235,0.4984
39809-25-1,fasn,0,4.1614,0.7348
54-42-2,fasn,0,4.8419,0.9373
124832-27-5,fasn,0,4.3196,0.4415
5536-17-4,fasn,0,4.1301,0.3733
147-94-4,fasn,0,4.2943,0.5089
99011-02-6,fasn,0,4.6587,0.4987
70288-86-7,fasn,0,4.3925,0.5995
59277-89-3,fasn,0,4.0797,0.7627
82410-32-0,fasn,0,4.2756,0.7574
104227-87-4,fasn,0,4.1291,0.7562
50-91-9,fasn,0,5.6625,0.7271
79-57-2,fasn,0,4.2812,0.819
6153-64-6,fasn,0,4.2825,0.8311
518048-05-0,fasn,0,5.3434,1.1462
161735-79-1,fasn,0,4.0643,0.44
13492-01-8,fasn,0,4.0275,0.6088
549-18-8,fasn,0,4.0788,0.461
79794-75-5,fasn,0,4.3211,0.7288
79307-93-0,fasn,0,4.3681,0.6427
100299-08-9,fasn,0,4.4913,0.8359
980-71-2,fasn,0,4.1888,0.4872
122883-93-6,fasn,1,4.587,0.6547
76824-35-6,fasn,0,4.0085,0.5747
154-69-8,fasn,0,4.2592,0.93
2192-20-3,fasn,1,3.9424,0.4535
132-20-7,fasn,1,4.0683,0.6734
25332-39-2,fasn,1,4.4931,0.7441
1104-22-9,fasn,0,4.7579,0.8075
76963-41-2,fasn,0,3.7893,0.3864
521-78-8,fasn,1,4.5833,0.753
14976-57-9,fasn,1,4.7441,0.662
10347-81-6,fasn,0,4.2165,0.663
100643-71-8,fasn,0,4.2638,0.7504
132-18-3,fasn,0,4.0923,0.5306
83881-52-1,fasn,0,3.9869,0.4309
2508-72-7,fasn,0,4.2909,0.5117
66357-59-3,fasn,0,3.7549,0.581
140462-76-6,fasn,1,4.8358,0.8119
3978-86-7,fasn,1,3.9213,0.5009
113-92-8,fasn,0,4.1742,0.458
59-33-6,fasn,0,4.019,0.5967
190786-44-8,fasn,0,4.6339,0.5597
147-24-0,fasn,0,3.8086,0.3908
562-10-7,fasn,0,3.8087,0.4992
144598-75-4,fasn,0,5.2127,0.8336
137-58-6,fasn,0,3.5606,0.3704
85650-52-8,fasn,0,3.8234,0.335
34580-14-8,fasn,0,4.3657,0.5162
132-17-2,fasn,1,4.5234,0.7289
113-59-7,fasn,1,4.5205,0.9244
51481-61-9,fasn,0,3.6052,0.2843
4682-36-4,fasn,0,3.7705,0.43
97240-79-4,fasn,0,5.1354,1.3432
25451-15-4,fasn,1,3.8349,0.4327
41100-52-1,fasn,0,4.3644,0.6387
1508-76-5,fasn,0,4.3242,0.7482
68-41-7,fasn,0,3.7666,0.3331
50357-45-4,fasn,1,4.9836,0.8995
7681-93-8,fasn,0,4.6628,0.6983
29342-05-0,fasn,1,4.9978,0.5325
41621-49-2,fasn,0,4.602,0.3363
61318-91-0,fasn,1,4.8,0.7529
171228-49-2,fasn,1,5.2359,0.3999
536-43-6,fasn,0,3.7558,0.437
53123-88-9,fasn,0,4.7688,1.001
23593-75-1,fasn,1,4.1303,0.4654
64872-77-1,fasn,0,5.1396,1.0599
91161-71-6,fasn,0,4.5018,0.6392
65473-14-5,fasn,0,4.6579,0.8946
78628-80-5,fasn,0,4.422,0.5491
1397-89-3,fasn,0,4.4347,0.9144
57852-57-0,fasn,0,4.4794,0.6828
179463-17-3,fasn,0,6.0708,1.0965
1070-11-7,fasn,0,3.6107,0.4635
101827-46-7,fasn,0,4.8089,0.8345
137234-62-9,fasn,0,5.0896,0.5733
86386-73-4,fasn,1,3.9491,0.3481
99592-39-9,fasn,1,4.2475,0.634
65899-73-2,fasn,0,4.3682,0.5335
24280-93-1,fasn,0,5.895,0.9398
540737-29-9,fasn,0,4.1118,0.375
84625-61-6,fasn,0,6.204,1.101
65-85-0,fasn,1,4.6566,0.9809
24169-02-6,fasn,1,4.9874,0.5651
22916-47-8,fasn,0,5.1391,0.6545
22832-87-7,fasn,0,4.9639,0.4937
17321-77-6,fasn,0,4.1015,0.4367
74011-58-8,fasn,0,4.4888,0.4764
72509-76-3,fasn,0,4.9444,0.892
173334-58-2,fasn,0,5.3445,0.8764
941678-49-5,fasn,1,4.6308,0.8216
127-79-7,fasn,0,3.7256,0.5399
13010-47-4,fasn,0,4.2688,0.4573
54527-84-3,fasn,0,5.0192,0.6703
90357-06-5,fasn,0,5.0466,0.471
136572-09-3,fasn,0,4.5111,0.4158
1177-87-3,fasn,0,4.6847,0.8313
1264-72-8,fasn,1,4.6034,0.4935
54-85-3,fasn,0,4.4787,1.0264
23541-50-6,fasn,0,4.4605,0.6029
943319-70-8,fasn,1,6.2343,0.9875
150399-23-8,fasn,0,5.2717,0.8723
475207-59-1,fasn,0,4.5832,0.5263
1247-42-3,fasn,1,5.0957,0.7156
73963-72-1,fasn,0,5.3046,1.2749
668270-12-0,fasn,0,5.1681,0.6215
154-42-7,fasn,0,4.489,0.6667
129497-78-5,fasn,0,5.0378,0.6802
220127-57-1,fasn,1,5.2277,0.7617
184475-35-2,fasn,0,4.2315,0.5171
66085-59-4,fasn,1,4.1776,0.2957
75330-75-5,fasn,0,5.5518,0.4295
52-01-7,fasn,0,4.8494,0.8881
79902-63-9,fasn,0,5.1747,0.72
78246-49-8,fasn,1,5.2059,0.9083
97682-44-5,fasn,0,4.5178,0.403
65928-58-7,fasn,0,6.0573,0.8724
63-74-1,fasn,0,4.5976,1.2749
73590-58-6,fasn,0,4.8189,0.8412
34552-83-5,fasn,0,4.5801,0.4957
123318-82-1,fasn,1,3.9631,0.5831
129453-61-8,fasn,1,6.0717,0.5672
183133-96-2,fasn,0,3.885,0.7222
302962-49-8,fasn,1,4.6166,0.963
474-25-9,fasn,0,6.2203,1.4307
298-46-4,fasn,0,4.2974,0.6847
877399-52-5,fasn,1,4.7431,0.6101
183319-69-9,fasn,0,4.5974,0.7584
179324-69-7,fasn,0,6.1332,1.5455
130-61-0,fasn,0,4.6525,0.6234
879085-55-9,fasn,0,5.0886,0.6233
68-35-9,fasn,1,3.7943,0.5324
82640-04-8,fasn,1,5.7379,0.931
162635-04-3,fasn,0,4.6077,0.6947
19237-84-4,fasn,1,5.3734,1.6329
50-35-1,fasn,0,4.7444,0.8628
1098-60-8,fasn,0,4.3572,0.7619
873054-44-5,fasn,0,5.1017,0.8078
50-55-5,fasn,0,4.7866,0.668
152459-95-5,fasn,0,4.8574,0.7657
127-07-1,fasn,1,3.7344,0.3409
153559-49-0,fasn,1,5.5278,1.1318
1264-62-6,fasn,0,3.9085,0.4743
85622-93-1,fasn,1,4.3331,0.5514
159351-69-6,fasn,1,4.5625,0.6413
117772-70-0,fasn,0,3.818,0.4543
84371-65-3,fasn,0,5.5011,0.4874
171599-83-0,fasn,0,4.5058,0.3866
595-33-5,fasn,1,5.1232,0.8887
144-83-2,fasn,1,3.6913,0.3004
19774-82-4,fasn,0,5.6269,0.7693
83-43-2,fasn,0,5.3727,0.6803
127-56-0,fasn,0,3.5828,0.3513
83905-01-5,fasn,1,3.836,0.389
119413-54-6,fasn,0,4.8973,0.9725
118292-40-3,fasn,0,5.9591,0.7177
144701-48-4,fasn,0,5.8698,0.8332
163222-33-1,fasn,1,6.5254,1.2851
641571-10-0,fasn,0,4.6909,0.516
220620-09-7,fasn,0,5.5019,1.0762
108341-18-0,fasn,0,4.0916,0.3267
21829-25-4,fasn,0,4.3378,0.9041
1069-66-5,fasn,0,3.6769,0.2515
95635-56-6,fasn,0,4.9445,0.9829
2447-57-6,fasn,0,3.9426,0.494
84057-84-1,fasn,1,3.5267,0.1893
599-79-1,fasn,0,6.0732,1.0
53716-49-7,fasn,0,5.1122,0.9798
50-44-2,fasn,0,4.5528,0.574
50-63-5,fasn,0,4.3209,0.4919
33069-62-4,fasn,0,4.5421,0.6582
3056-17-5,fasn,0,4.36,0.7241
58-61-7,fasn,1,4.7852,0.7765
96946-42-8,fasn,1,5.5626,0.9767
918504-65-1,fasn,0,6.5157,0.8995
388082-77-7,fasn,1,4.5023,1.0866
50-01-1,fasn,0,3.364,0.2906
64-77-7,fasn,1,3.6706,0.3874
915087-33-1,fasn,0,5.0324,0.6313
635702-64-6,fasn,0,4.603,0.9459
61825-94-3,fasn,0,3.8753,0.3069
71125-38-7,fasn,0,5.4198,1.0621
53-86-1,fasn,1,5.2502,0.8217
155141-29-0,fasn,0,6.3501,1.6108
443913-73-3,fasn,0,4.2161,0.4853
147098-20-2,fasn,1,5.31,0.6153
440-17-5,fasn,0,4.3662,0.7952
5451-09-2,fasn,1,4.2174,0.5128
320-67-2,fasn,1,4.3894,0.9698
112809-51-5,fasn,0,4.8772,0.7048
22260-51-1,fasn,0,5.1652,0.6623
141625-93-6,fasn,1,5.1358,0.5292
55981-09-4,fasn,0,5.0494,0.9798
150683-30-0,fasn,0,5.1453,0.7892
231277-92-2,fasn,1,4.5881,0.8867
81103-11-9,fasn,0,4.3242,0.9673
434-13-9,fasn,0,5.761,1.3627
59-67-6,fasn,1,4.4026,1.0584
10238-21-8,fasn,0,5.6573,1.2854
81131-70-6,fasn,1,4.9232,0.834
54965-24-1,fasn,0,4.4051,0.6976
33419-42-0,fasn,0,4.625,0.7738
127-69-5,fasn,0,4.1803,0.8764
25316-40-9,fasn,0,4.6497,0.8487
106685-40-9,fasn,0,5.2975,1.0289
341031-54-7,fasn,1,5.0694,1.0496
84680-54-6,fasn,0,4.8361,0.5089
134523-03-8,fasn,1,5.1581,0.3937
144-82-1,fasn,1,3.9481,0.7194
51022-70-9,fasn,1,4.4333,0.476
444731-52-6,fasn,0,4.6561,0.7107
75695-93-1,fasn,0,3.8737,0.3148
93957-55-2,fasn,0,5.1538,0.3452
122111-03-9,fasn,0,4.0042,0.4615
118072-93-8,fasn,1,4.1809,0.4472
1476-53-5,fasn,0,5.4489,0.9331
55079-83-9,fasn,0,5.0952,1.0271
104987-11-3,fasn,0,4.2827,0.883
302-79-4,fasn,0,5.8016,0.9804
50-78-2,fasn,0,4.4135,0.491
56296-78-7,fasn,0,4.8267,0.5923
1115-70-4,fasn,0,3.448,0.3789
49562-28-9,fasn,0,4.7485,0.5005
1404-93-9,fasn,0,5.6137,0.7458
38194-50-2,fasn,0,5.8556,0.6543
26159-34-2,fasn,1,5.2236,0.7566
122320-73-4,fasn,0,6.5048,1.5645
723-46-6,fasn,0,4.0079,0.6128
302543-62-0,fasn,1,6.6701,1.5956
72-14-0,fasn,1,3.8707,0.3685
77883-43-3,fasn,0,6.0395,1.35
107-35-7,fasn,0,4.3436,0.6941
380843-75-4,fasn,0,4.5513,0.8136
755037-03-7,fasn,0,4.987,0.6483
624-49-7,fasn,0,3.9748,0.7987
95058-81-4,fasn,1,4.207,0.594
6493-05-6,fasn,0,3.924,0.4711
156-57-0,fasn,0,4.43,0.7138
147526-32-7,fasn,0,4.8104,0.3375
553-08-2,fasn,1,4.9725,0.5361
149647-78-9,fasn,0,5.0618,1.1696
30652-11-0,fasn,1,4.1768,0.6305
101152-94-7,fasn,0,3.9301,0.4977
136434-34-9,fasn,0,4.3893,0.5679
367514-88-3,fasn,0,5.7357,0.8372
82248-59-7,fasn,0,4.3635,0.4869
317-34-0,fasn,0,4.3574,0.7647
479-18-5,fasn,0,4.2737,0.4733
53885-35-1,fasn,0,3.9303,0.4507
443-48-1,fasn,0,3.4922,0.3137
3366-95-8,fasn,1,3.7522,0.3521
63-45-6,fasn,0,4.3762,0.54
148-79-8,fasn,0,4.711,1.0063
95233-18-4,fasn,0,5.9834,1.2367
55268-74-1,fasn,0,5.7343,1.1283
54029-12-8,fasn,1,4.7499,0.7003
37091-65-9,fasn,0,5.1936,1.0791
58-14-0,fasn,0,3.9303,0.4215
50-65-7,fasn,0,4.9581,0.6616
71963-77-4,fasn,0,3.8081,0.3937
6119-47-7,fasn,0,4.3044,0.428
54965-21-8,fasn,0,4.2223,0.3971
1263-89-4,fasn,0,5.0802,1.3715
24729-96-2,fasn,0,4.9905,0.8624
57808-65-8,fasn,0,5.5192,0.9771
56180-94-0,fasn,0,5.1415,0.7035
115436-72-1,fasn,0,4.5805,0.8672
105462-24-6,fasn,0,4.5976,0.74
134308-13-7,fasn,0,5.3283,0.9684
130929-57-6,fasn,1,4.7661,0.8923
121268-17-5,fasn,0,4.323,0.5461
162401-32-3,fasn,1,5.4224,1.489
36791-04-5,fasn,0,4.853,0.8816
101-26-8,fasn,0,3.7843,0.3552
129101-54-8,fasn,0,4.1473,0.635
541-22-0,fasn,1,3.9696,0.463
120011-70-3,fasn,0,5.0807,0.8059
849217-68-1,fasn,0,5.2912,0.6609
319460-85-0,fasn,1,5.343,0.9786
198480-56-7,fasn,0,5.3997,0.8528
97-77-8,fasn,0,3.9925,0.4082
376348-65-1,fasn,1,5.2626,0.8058
936563-96-1,fasn,1,5.2722,0.495
30516-87-1,fasn,0,4.0794,0.6393
29094-61-9,fasn,0,4.9448,0.7663
23288-49-5,fasn,0,4.6624,0.5525
94-20-2,fasn,0,3.7186,0.46
637-07-0,fasn,0,3.6731,0.3959
105816-04-4,fasn,0,5.0177,0.9385
89-57-6,fasn,0,5.2967,1.1276
112529-15-4,fasn,0,5.9684,1.4831
882-09-7,fasn,0,4.3891,1.1112
135062-02-1,fasn,0,4.5455,0.6756
111025-46-8,fasn,0,5.5616,1.2359
25812-30-0,fasn,0,4.5804,0.8649
1508-75-4,fasn,0,3.817,0.266
76-90-4,fasn,1,4.3022,0.8998
80-50-2,fasn,0,4.0353,0.4416
375815-87-5,fasn,0,4.4643,0.7624
65-29-2,fasn,0,4.5657,0.4347
50700-72-6,fasn,0,4.9142,0.6221
124937-52-6,fasn,0,4.5379,0.7086
15500-66-0,fasn,0,4.5256,0.589
22254-24-6,fasn,0,4.8121,0.6935
132539-06-1,fasn,0,4.6184,0.3999
67-48-1,fasn,1,4.0522,1.2141
242478-38-2,fasn,0,4.4885,0.6891
125-33-7,fasn,1,4.0734,0.3942
865-21-4,fasn,1,4.0125,0.6244
286930-03-8,fasn,0,4.4205,0.6314
167221-71-8,fasn,0,4.0028,0.5581
5633-20-5,fasn,0,4.7469,0.4175
62-97-5,fasn,0,4.0675,0.5451
10405-02-4,fasn,0,4.781,0.7167
590-63-6,fasn,0,3.791,0.3844
119302-91-9,fasn,0,4.4291,0.9394
53-19-0,fasn,0,4.5795,0.845
73-24-5,fasn,0,4.5226,0.676
60-31-1,fasn,0,3.6687,0.4523
64228-81-5,fasn,0,5.9733,0.8861
320345-99-1,fasn,1,5.1481,0.6149
3717-88-2,fasn,1,4.0152,0.3868
5786-21-0,fasn,1,4.3678,0.6317
61-12-1,fasn,0,4.4309,0.5654
155-41-9,fasn,0,4.4462,0.425
1508-65-2,fasn,0,4.709,0.334
133099-07-7,fasn,0,4.9414,1.0886
1744-22-5,fasn,0,4.0878,0.6614
21679-14-1,fasn,1,3.8809,0.3741
2062-78-4,fasn,0,5.7083,1.1253
138890-62-7,fasn,1,4.9153,0.7778
130693-82-2,fasn,1,5.1411,1.6584
133-67-5,fasn,0,5.1216,0.726
3801-06-7,fasn,0,5.1614,0.9985
554-57-4,fasn,0,4.5742,0.6823
452-35-7,fasn,0,4.7661,0.9543
91-33-8,fasn,0,4.9108,0.5368
135-07-9,fasn,0,5.1658,0.7625
68291-97-4,fasn,1,4.3618,0.737
532-03-6,fasn,0,3.931,0.5579
120-97-8,fasn,0,4.6487,0.6845
170729-80-3,fasn,0,5.0664,0.6268
4291-63-8,fasn,1,4.0687,0.3267
58-32-2,fasn,0,4.8722,0.7273
51-30-9,fasn,0,4.6345,0.6972
224785-90-4,fasn,0,4.6005,0.426
78415-72-2,fasn,0,3.8424,0.5745
58579-51-4,fasn,0,4.2339,0.4893
171596-29-5,fasn,0,4.4754,0.4307
330784-47-9,fasn,0,5.4659,0.8656
6080-58-6,fasn,1,4.2428,0.7705
56-85-9,fasn,1,4.0175,0.5985
70476-82-3,fasn,1,5.1397,0.4833
229975-97-7,fasn,1,4.5663,0.8934
106266-06-2,fasn,0,4.8351,0.5065
859-18-7,fasn,0,4.5336,0.5154
68373-14-8,fasn,0,4.5317,0.7429
69388-84-7,fasn,0,4.6391,0.9823
773-76-2,fasn,0,4.7734,0.9576
42057-22-7,fasn,0,4.7492,1.0405
21462-39-5,fasn,0,4.4165,0.7439
69-52-3,fasn,0,4.6021,0.7639
13614-98-7,fasn,0,4.4757,1.0164
6018-19-5,fasn,1,4.5444,0.3886
100986-85-4,fasn,0,4.8154,0.6126
28657-80-9,fasn,0,4.5324,0.6783
6054-98-4,fasn,0,5.2568,1.2576
19387-91-8,fasn,1,3.5102,0.3598
1405-10-3,fasn,0,4.548,0.4763
7081-44-9,fasn,0,4.6433,0.8065
186826-86-8,fasn,0,4.413,0.4017
96036-03-2,fasn,0,5.0857,1.0962
70458-96-7,fasn,0,4.7238,0.6224
62013-04-1,fasn,1,3.8901,0.4541
98079-52-8,fasn,0,4.8974,0.6804
64-75-5,fasn,1,4.6323,1.0355
80621-81-4,fasn,0,4.2286,0.6996
651-06-9,fasn,1,3.8834,0.5572
114-07-8,fasn,0,3.7894,0.6545
165800-03-3,fasn,1,3.9146,0.4897
61379-65-5,fasn,0,4.9557,1.1142
7177-50-6,fasn,1,4.9921,1.2948
3810-74-0,fasn,0,3.8578,0.6882
1405-89-6,fasn,0,6.0045,0.8554
57-68-1,fasn,0,3.9461,0.2629
738-70-5,fasn,0,4.0839,0.5042
91832-40-5,fasn,0,5.2911,0.9342
56391-57-2,fasn,1,4.1741,0.5576
405165-61-9,fasn,0,4.4392,0.4235
82034-46-6,fasn,1,5.2979,0.5278
53994-73-3,fasn,0,6.229,1.0775
82419-36-1,fasn,0,4.7786,0.6686
2030-63-9,fasn,0,5.1996,0.9464
62893-19-0,fasn,0,6.1431,0.5043
7177-48-2,fasn,0,4.313,0.5293
24356-60-3,fasn,0,4.7994,0.5516
18323-44-9,fasn,0,4.0863,0.48
110871-86-8,fasn,0,4.2618,0.5234
3963-95-9,fasn,0,4.1239,0.8119
121123-17-9,fasn,1,6.1378,1.8337
21736-83-4,fasn,0,3.394,0.2826
536-33-4,fasn,0,3.8868,0.5232
73816-42-9,fasn,0,4.1709,0.8008
34642-77-8,fasn,1,4.6076,0.6581
873857-62-6,fasn,0,6.2022,0.8765
26787-78-0,fasn,1,4.607,0.6589
78439-06-2,fasn,0,5.1169,0.766
112811-59-3,fasn,0,4.7547,0.4459
64-72-2,fasn,0,4.4208,0.851
52-67-5,fasn,0,4.1569,0.726
139110-80-8,fasn,1,4.2882,0.7177
72559-06-9,fasn,0,4.4163,0.8266
15686-71-2,fasn,0,4.9771,1.1447
117467-28-4,fasn,1,5.5286,1.0857
2022-85-7,fasn,0,3.7721,0.6177
7240-38-2,fasn,0,4.6409,0.5935
59-87-0,fasn,0,4.5151,0.7454
389-08-2,fasn,0,4.6127,0.7998
32986-56-4,fasn,0,4.0745,0.3494
224452-66-8,fasn,0,5.0276,0.5873
59703-84-3,fasn,0,4.8207,0.6169
1405-87-4,fasn,0,4.8128,0.6749
364622-82-2,fasn,0,5.0361,0.5696
78110-38-0,fasn,0,4.6484,0.8352
155206-00-1,fasn,0,4.9207,0.6985
745-65-3,fasn,0,5.1416,0.8292
141-90-2,fasn,1,4.4105,0.6998
753498-25-8,fasn,0,5.6373,1.2197
34381-68-5,fasn,0,4.428,0.4347
5874-97-5,fasn,0,4.0612,0.5145
33402-03-8,fasn,0,3.8785,0.5433
23651-95-8,fasn,1,4.2985,0.3371
555-30-6,fasn,0,4.2879,0.3991
63659-19-8,fasn,1,4.6434,0.5846
81403-68-1,fasn,1,5.2784,0.7148
4205-91-8,fasn,0,3.3524,0.3581
61-16-5,fasn,1,3.9294,0.5564
133454-47-4,fasn,0,5.0919,1.2897
66104-23-2,fasn,0,4.0477,0.4141
145108-58-3,fasn,0,4.0266,0.5885
