id,target,in_experimental_data,pred_mean,pred_err
103177-37-3,fasn,0,5.7461,0.8443
99464-64-9,fasn,0,5.1407,0.408
23180-57-6,fasn,0,5.0644,0.5755
50-27-1,fasn,1,5.9846,0.7728
2627-69-2,fasn,1,4.2901,0.5703
58186-27-9,fasn,1,4.5507,0.9277
93793-83-0,fasn,1,3.9728,0.6053
39133-31-8,fasn,0,4.3987,0.4266
34552-84-6,fasn,0,5.0134,0.3949
112885-42-4,fasn,1,4.2891,0.5607
51803-78-2,fasn,1,4.4822,0.7463
141505-33-1,fasn,1,4.5012,0.5194
183320-51-6,fasn,0,4.2709,0.646
101477-54-7,fasn,0,4.7579,0.362
50-02-2,fasn,0,5.8383,0.9368
96829-58-2,fasn,1,3.7222,0.7386
98-96-4,fasn,0,4.2763,0.6014
541-15-1,fasn,1,4.1531,0.7927
65277-42-1,fasn,0,5.9496,0.6131
70-00-8,fasn,0,4.2495,0.4281
39809-25-1,fasn,0,3.9241,0.4757
54-42-2,fasn,0,4.8791,0.3668
124832-27-5,fasn,0,4.1663,0.3414
5536-17-4,fasn,0,4.362,0.3959
147-94-4,fasn,0,4.2362,0.6129
99011-02-6,fasn,0,4.2473,0.7442
70288-86-7,fasn,0,4.0774,1.2778
59277-89-3,fasn,0,3.731,0.4341
82410-32-0,fasn,0,3.9825,0.4947
104227-87-4,fasn,0,3.9827,0.6772
50-91-9,fasn,0,5.4399,0.7438
79-57-2,fasn,0,4.8682,0.8913
6153-64-6,fasn,0,4.8083,0.863
518048-05-0,fasn,0,5.1873,0.6038
161735-79-1,fasn,0,4.1894,0.4418
13492-01-8,fasn,0,4.0187,0.6694
549-18-8,fasn,0,3.9492,0.4536
79794-75-5,fasn,0,4.5236,0.589
79307-93-0,fasn,0,4.3333,0.67
100299-08-9,fasn,0,4.7516,0.476
980-71-2,fasn,0,4.2021,0.4481
122883-93-6,fasn,1,4.663,0.4322
76824-35-6,fasn,0,3.9376,0.534
154-69-8,fasn,0,4.4159,0.4561
2192-20-3,fasn,1,3.9134,0.657
132-20-7,fasn,1,4.0849,0.3903
25332-39-2,fasn,1,4.5635,0.8616
1104-22-9,fasn,0,5.1159,0.7763
76963-41-2,fasn,0,3.8213,0.9387
521-78-8,fasn,1,4.8451,0.5095
14976-57-9,fasn,1,4.8392,0.8017
10347-81-6,fasn,0,4.1692,1.0785
100643-71-8,fasn,0,4.2389,0.6216
132-18-3,fasn,0,3.8906,0.523
83881-52-1,fasn,0,4.041,0.3352
2508-72-7,fasn,0,4.4408,0.4837
66357-59-3,fasn,0,3.7281,0.6303
140462-76-6,fasn,1,4.5833,0.2791
3978-86-7,fasn,1,4.1074,0.5711
113-92-8,fasn,0,4.1512,0.3336
59-33-6,fasn,0,4.0146,0.5171
190786-44-8,fasn,0,4.1689,0.4284
147-24-0,fasn,0,3.6785,0.7809
562-10-7,fasn,0,3.9686,0.3096
144598-75-4,fasn,0,4.9794,0.6651
137-58-6,fasn,0,3.5676,0.4424
85650-52-8,fasn,0,3.9163,0.7719
34580-14-8,fasn,0,4.4699,0.7243
132-17-2,fasn,1,4.4186,0.838
113-59-7,fasn,1,4.7331,0.7806
51481-61-9,fasn,0,3.6146,0.7273
4682-36-4,fasn,0,3.4595,0.6461
97240-79-4,fasn,0,5.0243,1.0946
25451-15-4,fasn,1,3.9988,0.34
41100-52-1,fasn,0,4.4393,0.4235
1508-76-5,fasn,0,4.0484,0.4154
68-41-7,fasn,0,3.5044,0.7187
50357-45-4,fasn,1,4.735,0.4602
7681-93-8,fasn,0,4.4943,0.5013
29342-05-0,fasn,1,4.8366,0.6083
41621-49-2,fasn,0,4.7366,0.5595
61318-91-0,fasn,1,4.5667,0.6626
171228-49-2,fasn,1,5.2124,0.5381
536-43-6,fasn,0,3.6106,0.6926
53123-88-9,fasn,0,5.0445,1.2486
23593-75-1,fasn,1,3.8854,1.252
64872-77-1,fasn,0,5.1819,0.5504
91161-71-6,fasn,0,4.3939,0.3781
65473-14-5,fasn,0,4.6647,0.4244
78628-80-5,fasn,0,4.4417,0.379
1397-89-3,fasn,0,4.8073,1.0185
57852-57-0,fasn,0,5.0548,0.9337
179463-17-3,fasn,0,5.6765,0.6643
1070-11-7,fasn,0,2.7679,1.3876
101827-46-7,fasn,0,4.5877,0.3162
137234-62-9,fasn,0,4.7812,0.5301
86386-73-4,fasn,1,4.1708,0.4967
99592-39-9,fasn,1,4.3609,0.2706
65899-73-2,fasn,0,4.3986,0.257
24280-93-1,fasn,0,6.1978,1.07
540737-29-9,fasn,0,3.8505,0.5995
84625-61-6,fasn,0,6.2607,1.315
65-85-0,fasn,1,5.1626,1.0703
24169-02-6,fasn,1,4.8597,0.3944
22916-47-8,fasn,0,5.1139,0.3682
22832-87-7,fasn,0,4.7276,0.291
17321-77-6,fasn,0,4.511,0.5779
74011-58-8,fasn,0,4.5439,0.519
72509-76-3,fasn,0,5.0423,0.4679
173334-58-2,fasn,0,5.4229,0.7878
941678-49-5,fasn,1,4.2462,0.8569
127-79-7,fasn,0,3.7665,0.4932
13010-47-4,fasn,0,4.3831,0.596
54527-84-3,fasn,0,4.8588,0.354
90357-06-5,fasn,0,4.842,0.6245
136572-09-3,fasn,0,4.6217,0.5427
1177-87-3,fasn,0,4.9741,0.9386
1264-72-8,fasn,1,4.8455,0.6903
54-85-3,fasn,0,4.7788,0.9234
23541-50-6,fasn,0,4.7656,0.8623
943319-70-8,fasn,1,5.8132,0.739
150399-23-8,fasn,0,5.1032,0.4038
475207-59-1,fasn,0,4.5419,0.5441
1247-42-3,fasn,1,5.1214,0.4111
73963-72-1,fasn,0,5.3829,0.5338
