id,target,in_experimental_data,pred_mean,pred_err
103177-37-3,fasn,0,5.7812,1.5657
99464-64-9,fasn,0,5.2584,0.8683
23180-57-6,fasn,0,5.2541,0.7583
50-27-1,fasn,1,5.6421,0.7079
2627-69-2,fasn,1,4.5087,0.7391
58186-27-9,fasn,1,4.3196,0.7583
93793-83-0,fasn,1,3.9473,0.5432
39133-31-8,fasn,0,4.3057,0.4011
34552-84-6,fasn,0,5.1831,0.7098
112885-42-4,fasn,1,4.3612,0.4399
51803-78-2,fasn,1,4.3913,0.4604
141505-33-1,fasn,1,4.6407,0.5307
183320-51-6,fasn,0,4.5834,0.5034
101477-54-7,fasn,0,4.8068,0.5599
50-02-2,fasn,0,5.6963,1.4232
96829-58-2,fasn,1,3.9358,0.7075
98-96-4,fasn,0,4.1894,0.6935
541-15-1,fasn,1,4.0091,0.7475
65277-42-1,fasn,0,6.2692,0.7896
70-00-8,fasn,0,4.0508,0.4571
39809-25-1,fasn,0,4.1469,0.7156
54-42-2,fasn,0,4.8403,0.9075
124832-27-5,fasn,0,4.3045,0.4047
5536-17-4,fasn,0,4.0836,0.445
147-94-4,fasn,0,4.2649,0.3192
99011-02-6,fasn,0,4.6321,0.3841
70288-86-7,fasn,0,4.3044,0.7106
59277-89-3,fasn,0,3.9752,0.7684
82410-32-0,fasn,0,4.2035,0.666
104227-87-4,fasn,0,4.0906,0.8294
50-91-9,fasn,0,5.7043,0.6623
79-57-2,fasn,0,4.3079,0.7405
6153-64-6,fasn,0,4.2966,0.7878
518048-05-0,fasn,0,5.3808,1.2393
161735-79-1,fasn,0,4.0562,0.4945
13492-01-8,fasn,0,4.0221,0.5167
549-18-8,fasn,0,4.0439,0.4519
79794-75-5,fasn,0,4.3115,0.7753
79307-93-0,fasn,0,4.3757,0.7901
100299-08-9,fasn,0,4.5233,0.728
980-71-2,fasn,0,4.1861,0.4464
122883-93-6,fasn,1,4.5765,0.6023
76824-35-6,fasn,0,3.9592,0.5642
154-69-8,fasn,0,4.2862,1.0203
2192-20-3,fasn,1,3.9096,0.4967
132-20-7,fasn,1,4.0898,0.7654
25332-39-2,fasn,1,4.4886,0.6899
1104-22-9,fasn,0,4.7953,0.9402
76963-41-2,fasn,0,3.7353,0.5292
521-78-8,fasn,1,4.6275,0.4657
14976-57-9,fasn,1,4.7151,0.8345
10347-81-6,fasn,0,4.1149,0.6882
100643-71-8,fasn,0,4.2528,0.872
132-18-3,fasn,0,4.0632,0.3677
83881-52-1,fasn,0,3.9749,0.5295
2508-72-7,fasn,0,4.3216,0.55
66357-59-3,fasn,0,3.6987,0.6559
140462-76-6,fasn,1,4.9108,0.8312
3978-86-7,fasn,1,3.8713,0.4667
113-92-8,fasn,0,4.1666,0.3481
59-33-6,fasn,0,4.0224,0.5888
190786-44-8,fasn,0,4.6374,0.5633
147-24-0,fasn,0,3.7266,0.5277
562-10-7,fasn,0,3.8089,0.3545
144598-75-4,fasn,0,5.2199,1.091
137-58-6,fasn,0,3.5186,0.3027
85650-52-8,fasn,0,3.7454,0.4355
34580-14-8,fasn,0,4.3501,0.3348
132-17-2,fasn,1,4.4999,0.7623
113-59-7,fasn,1,4.4664,0.9376
51481-61-9,fasn,0,3.5604,0.3309
4682-36-4,fasn,0,3.7079,0.3312
97240-79-4,fasn,0,5.1965,1.434
25451-15-4,fasn,1,3.8182,0.4514
41100-52-1,fasn,0,4.3547,0.7393
1508-76-5,fasn,0,4.2762,0.8112
68-41-7,fasn,0,3.6634,0.4021
50357-45-4,fasn,1,4.9328,0.7957
7681-93-8,fasn,0,4.6571,0.6532
29342-05-0,fasn,1,5.0603,0.4441
41621-49-2,fasn,0,4.6618,0.3457
61318-91-0,fasn,1,4.7497,0.5631
171228-49-2,fasn,1,5.1936,0.6321
536-43-6,fasn,0,3.6896,0.4042
53123-88-9,fasn,0,4.6642,0.9448
23593-75-1,fasn,1,4.0904,0.399
64872-77-1,fasn,0,5.1787,1.0092
91161-71-6,fasn,0,4.4524,0.6981
65473-14-5,fasn,0,4.6486,0.7052
78628-80-5,fasn,0,4.361,0.6436
1397-89-3,fasn,0,4.4096,1.2223
57852-57-0,fasn,0,4.4725,0.7546
179463-17-3,fasn,0,6.1316,1.0897
1070-11-7,fasn,0,3.5532,0.4379
101827-46-7,fasn,0,4.78,0.7252
