compound_id,target_id,prediction_mean,prediction_err
68-19-9,furin,4.4589,0.7947
70476-82-3,furin,4.2979,0.7469
1405-89-6,furin,4.9333,1.7678
179463-17-3,furin,4.4213,0.9967
83-88-5,furin,4.8949,1.7155
152520-56-4,furin,4.2042,0.7299
1264-72-8,furin,4.3805,0.853
99592-39-9,furin,4.5698,1.1351
79307-93-0,furin,4.8047,1.4748
402957-28-2,furin,5.133,2.1501
22916-47-8,furin,4.6618,1.0686
83915-83-7,furin,4.4073,1.0107
14028-44-5,furin,4.7905,1.3324
439081-18-2,furin,5.1482,2.1313
548-73-2,furin,4.5777,0.8928
849217-68-1,furin,4.3723,1.1696
753498-25-8,furin,4.7891,1.5743
56390-09-1,furin,5.0835,2.1078
5370-01-4,furin,5.2887,2.4839
90357-06-5,furin,4.7155,1.3
107007-99-8,furin,4.8968,1.6459
64872-77-1,furin,4.9931,1.8397
5786-21-0,furin,4.5916,0.9501
101827-46-7,furin,4.3533,0.6791
99614-01-4,furin,4.6811,1.3085
113-59-7,furin,4.0917,0.7581
56296-78-7,furin,4.4317,0.6677
50357-45-4,furin,5.087,1.9168
122883-93-6,furin,4.5165,0.8126
668270-12-0,furin,4.8894,1.6798
34183-22-7,furin,4.6952,1.444
32986-56-4,furin,4.388,0.9746
179324-69-7,furin,4.4805,1.0475
2030-63-9,furin,4.6213,0.9333
155213-67-5,furin,4.7551,1.0186
163222-33-1,furin,4.9157,1.7421
132539-06-1,furin,4.0627,0.8512
32672-69-8,furin,4.6781,1.1189
229975-97-7,furin,4.8224,1.4937
79559-97-0,furin,4.981,1.7488
274693-27-5,furin,4.3604,1.1253
65277-42-1,furin,4.8072,1.6319
65473-14-5,furin,4.577,0.7692
175865-59-5,furin,4.4386,1.1081
148849-67-6,furin,4.711,1.4558
192725-17-0,furin,4.5429,0.7176
63-45-6,furin,4.9965,1.8439
443913-73-3,furin,4.657,0.9365
61-76-7,furin,4.2405,0.735
440-17-5,furin,4.3107,0.6159
184475-35-2,furin,4.9083,1.7469
23256-50-0,furin,4.3238,0.7416
58-27-5,furin,4.8559,1.4754
183320-51-6,furin,4.16,0.773
53716-49-7,furin,4.2476,0.7368
54527-84-3,furin,4.3099,0.6807
298-81-7,furin,4.3299,0.6458
51-30-9,furin,4.6412,1.2602
34381-68-5,furin,4.1359,0.8668
51022-70-9,furin,4.7787,1.5334
13492-01-8,furin,4.3606,0.5368
536-33-4,furin,4.676,1.1342
25332-39-2,furin,4.4741,0.6223
496775-61-2,furin,4.1407,0.8335
100643-71-8,furin,4.4851,1.049
123318-82-1,furin,4.6012,0.9088
36791-04-5,furin,4.2265,1.0291
198480-56-7,furin,4.5936,1.4405
201530-41-8,furin,4.6395,1.1312
111406-87-2,furin,4.5557,0.9821
2627-69-2,furin,4.3192,0.8939
3717-88-2,furin,4.5568,0.8083
133099-07-7,furin,5.0991,2.1269
223673-61-8,furin,4.8135,1.348
50-28-2,furin,4.3267,0.8537
641571-10-0,furin,4.7381,1.5272
21462-39-5,furin,4.7685,1.0017
169590-42-5,furin,4.769,1.5024
53885-35-1,furin,4.2359,0.5129
191732-72-6,furin,4.3946,0.725
144598-75-4,furin,4.5556,0.7484
154-69-8,furin,4.7037,1.3768
103577-45-3,furin,4.2152,0.6473
62893-19-0,furin,4.2134,0.6612
73590-58-6,furin,4.6112,1.0718
72432-03-2,furin,4.3656,0.8073
444731-52-6,furin,5.0774,1.7102
50-63-5,furin,4.2015,0.9219
364782-34-3,furin,4.4654,0.6615
61318-91-0,furin,4.7856,1.4731
30652-11-0,furin,4.2634,0.749
165800-03-3,furin,5.0244,1.6002
321-30-2,furin,4.3822,0.6435
91-33-8,furin,4.3121,0.6124
134308-13-7,furin,4.713,1.0825
152459-95-5,furin,4.8815,1.3092
82586-55-8,furin,4.723,1.3699
475207-59-1,furin,5.0542,1.8035
75706-12-6,furin,4.9507,1.6052
41621-49-2,furin,4.3826,0.762
4205-91-8,furin,4.2476,0.9563
479-18-5,furin,4.7379,0.9791
73963-72-1,furin,4.6297,1.3591
135729-62-3,furin,4.7789,1.048
6018-19-5,furin,4.2869,1.0741
78415-72-2,furin,4.607,1.0064
50-35-1,furin,4.3036,0.801
319460-85-0,furin,4.5256,1.0587
69-52-3,furin,4.6767,0.9636
6493-05-6,furin,4.4012,0.9816
183319-69-9,furin,4.5401,1.0249
219861-08-2,furin,4.8648,1.5855
82640-04-8,furin,4.266,0.8059
2809-21-4,furin,4.4419,0.8931
