compound_id,target_id,prediction_mean,prediction_err
68-19-9,furin,3.8384,3.2273
70476-82-3,furin,4.0704,0.8807
1405-89-6,furin,4.3309,2.0721
179463-17-3,furin,4.1265,1.4468
83-88-5,furin,5.1649,0.9205
152520-56-4,furin,4.1748,0.6315
1264-72-8,furin,3.5722,2.1541
99592-39-9,furin,4.7709,1.3987
79307-93-0,furin,5.0679,1.0072
402957-28-2,furin,5.0215,1.4432
22916-47-8,furin,4.8029,1.0565
83915-83-7,furin,4.005,2.2751
14028-44-5,furin,5.1066,0.9253
439081-18-2,furin,5.3512,1.1942
548-73-2,furin,4.3194,1.0469
849217-68-1,furin,4.4087,1.191
753498-25-8,furin,5.0876,0.7849
56390-09-1,furin,5.4727,1.1227
5370-01-4,furin,5.4378,1.3263
90357-06-5,furin,4.5037,0.848
107007-99-8,furin,5.0932,1.3936
64872-77-1,furin,5.0554,1.1857
5786-21-0,furin,4.7821,1.0568
101827-46-7,furin,4.3455,1.0608
99614-01-4,furin,5.0322,1.4232
113-59-7,furin,4.0171,0.7618
56296-78-7,furin,4.6271,0.7769
50357-45-4,furin,4.8306,2.0094
122883-93-6,furin,4.6402,0.8441
668270-12-0,furin,5.2043,1.3308
34183-22-7,furin,4.5344,1.5621
32986-56-4,furin,4.8201,2.1136
179324-69-7,furin,4.3663,0.5307
2030-63-9,furin,4.6913,0.7938
155213-67-5,furin,4.855,1.859
163222-33-1,furin,5.0512,0.9846
132539-06-1,furin,4.2841,1.3217
32672-69-8,furin,4.7841,0.9382
229975-97-7,furin,4.7873,1.3384
79559-97-0,furin,5.1146,1.238
274693-27-5,furin,4.5458,1.0035
65277-42-1,furin,4.9535,1.3412
65473-14-5,furin,4.8501,0.8138
175865-59-5,furin,4.5331,1.0471
148849-67-6,furin,4.8029,1.4399
192725-17-0,furin,4.1912,1.4862
63-45-6,furin,5.0655,0.7315
443913-73-3,furin,4.9193,1.5288
61-76-7,furin,4.1851,0.6217
440-17-5,furin,4.1122,1.0294
184475-35-2,furin,5.14,1.3331
23256-50-0,furin,4.2223,1.3329
58-27-5,furin,5.0777,0.6078
183320-51-6,furin,4.2083,0.8877
53716-49-7,furin,4.2052,0.7783
54527-84-3,furin,3.9951,0.7499
298-81-7,furin,4.4637,0.8352
51-30-9,furin,4.699,0.8019
34381-68-5,furin,3.6531,0.8092
51022-70-9,furin,4.886,1.0206
13492-01-8,furin,4.3671,0.6102
536-33-4,furin,4.7437,0.8019
25332-39-2,furin,4.6514,0.9065
496775-61-2,furin,4.0904,0.6951
100643-71-8,furin,4.667,0.7762
123318-82-1,furin,4.5857,0.8857
36791-04-5,furin,4.1073,1.4472
198480-56-7,furin,4.9516,0.7984
201530-41-8,furin,4.7339,0.7077
111406-87-2,furin,4.5386,0.6155
2627-69-2,furin,4.4974,1.4508
3717-88-2,furin,4.778,0.5958
133099-07-7,furin,5.2553,1.5599
223673-61-8,furin,4.7206,0.653
50-28-2,furin,4.1748,0.6952
641571-10-0,furin,5.1806,1.1685
21462-39-5,furin,4.7983,1.6286
169590-42-5,furin,4.8789,0.8576
53885-35-1,furin,4.2359,0.6678
191732-72-6,furin,4.2784,0.7267
144598-75-4,furin,5.0847,0.8697
154-69-8,furin,4.8336,1.1925
103577-45-3,furin,4.2795,0.8651
62893-19-0,furin,3.7827,1.059
73590-58-6,furin,4.7241,0.9551
72432-03-2,furin,4.327,1.8247
444731-52-6,furin,5.6549,1.2117
50-63-5,furin,3.7686,0.6768
364782-34-3,furin,4.5291,0.8361
61318-91-0,furin,4.9012,0.9868
30652-11-0,furin,4.5206,1.0579
165800-03-3,furin,5.2084,0.8637
321-30-2,furin,4.8442,1.1919
91-33-8,furin,4.6362,1.4399
134308-13-7,furin,4.6376,0.8887
152459-95-5,furin,5.1819,0.9681
82586-55-8,furin,4.6361,1.6753
475207-59-1,furin,5.1834,1.3174
75706-12-6,furin,5.2235,0.9106
41621-49-2,furin,4.298,0.6862
4205-91-8,furin,4.3623,1.1377
479-18-5,furin,5.0142,0.7863
73963-72-1,furin,4.6777,1.2713
135729-62-3,furin,4.96,1.6747
6018-19-5,furin,4.2918,0.9296
78415-72-2,furin,4.6074,0.4528
50-35-1,furin,3.9839,0.8021
319460-85-0,furin,4.8843,0.9371
69-52-3,furin,4.5467,1.0528
6493-05-6,furin,4.3162,0.769
183319-69-9,furin,4.5203,0.9642
219861-08-2,furin,4.8856,1.2629
82640-04-8,furin,4.5148,0.8351
2809-21-4,furin,4.2433,0.9163
129497-78-5,furin,4.772,1.2829
366-70-1,furin,3.8966,0.8024
50-78-2,furin,4.4494,0.7628
59-67-6,furin,5.0029,0.8418
147403-03-0,furin,5.8039,0.8372
51-48-9,furin,4.2095,4.3443
89-57-6,furin,3.541,1.1499
63675-72-9,furin,4.6661,0.6974
93-14-1,furin,5.1697,1.0952
56180-94-0,furin,4.634,2.4586
25451-15-4,furin,4.885,0.5288
2022-85-7,furin,4.8302,0.6911
554-57-4,furin,4.5962,0.7263
50-44-2,furin,4.8884,0.9312
156-57-0,furin,4.1024,1.3499
50-01-1,furin,3.7216,1.1397
99464-64-9,furin,4.567,0.6929
82419-36-1,furin,4.6698,1.1845
122647-32-9,furin,4.3782,1.1702
149003-01-0,furin,3.8177,1.1309
112811-59-3,furin,4.2269,0.6979
51803-78-2,furin,4.1732,0.8472
29767-20-2,furin,5.5926,1.6682
10347-81-6,furin,5.0203,1.6902
53994-73-3,furin,4.3348,1.2201
49562-28-9,furin,3.9756,0.8992
51-52-5,furin,4.8236,1.0315
315-30-0,furin,5.2373,1.0103
1405-10-3,furin,4.4501,2.1734
58-14-0,furin,4.3007,0.9719
19237-84-4,furin,4.7328,1.0334
23288-49-5,furin,4.7524,2.3117
147-94-4,furin,5.2618,1.0148
65-29-2,furin,3.4538,1.5978
24356-60-3,furin,4.1659,1.4945
186826-86-8,furin,4.448,1.0069
101-26-8,furin,4.9021,1.2067
15687-27-1,furin,4.3452,0.9653
286930-03-8,furin,4.445,1.2925
3424-98-4,furin,4.8641,0.9053
14976-57-9,furin,4.6429,0.8892
160970-54-7,furin,4.6397,0.8953
3543-75-7,furin,4.3733,0.8699
144060-53-7,furin,4.6197,0.7822
95233-18-4,furin,5.1539,0.7503
91374-20-8,furin,4.4062,1.04
58186-27-9,furin,4.4449,1.465
17321-77-6,furin,4.3157,1.0844
117-37-3,furin,4.9285,0.8796
62571-86-2,furin,5.2797,1.5935
41340-25-4,furin,4.424,0.9601
302962-49-8,furin,4.9511,1.8239
63-74-1,furin,4.8411,0.7888
2508-72-7,furin,4.4064,1.154
85371-64-8,furin,4.6264,1.1475
58-56-0,furin,4.9687,0.874
115256-11-6,furin,4.2662,0.6095
188062-50-2,furin,4.9337,0.5193
40828-46-4,furin,4.7298,0.7193
139110-80-8,furin,4.7562,1.4297
375815-87-5,furin,4.1186,0.9881
56211-40-6,furin,4.3936,0.8097
58-96-8,furin,5.1398,1.1906
3366-95-8,furin,4.0649,0.6104
211914-51-1,furin,4.2668,0.9539
150322-43-3,furin,4.9301,1.2494
1744-22-5,furin,5.05,1.1213
23239-51-2,furin,4.856,0.6802
21679-14-1,furin,4.8219,1.2454
105816-04-4,furin,4.931,1.2708
57248-88-1,furin,4.8396,1.2774
39133-31-8,furin,4.5474,0.907
135062-02-1,furin,3.9589,0.8558
13311-84-7,furin,4.6682,1.0037
28657-80-9,furin,4.8339,0.6892
55268-74-1,furin,5.3708,0.9638
16676-29-2,furin,4.4436,0.8503
5633-20-5,furin,4.1628,1.3411
51-21-8,furin,4.4406,0.7258
147526-32-7,furin,4.3283,0.6266
7279-75-6,furin,4.5705,0.7861
96036-03-2,furin,4.1341,0.9296
220620-09-7,furin,4.1284,0.9508
167221-71-8,furin,3.8536,0.6407
100299-08-9,furin,5.1949,1.0356
70288-86-7,furin,4.8449,1.3342
23651-95-8,furin,4.6119,0.7185
81131-70-6,furin,3.8829,0.9552
141-90-2,furin,4.0605,1.1414
405165-61-9,furin,4.6928,0.8947
19387-91-8,furin,3.8885,0.7516
26159-34-2,furin,4.167,0.6215
19171-19-8,furin,4.3532,0.8295
34552-83-5,furin,4.7663,1.0402
103177-37-3,furin,5.2388,0.81
60-56-0,furin,5.4871,1.6032
52-01-7,furin,5.1087,0.8108
67-48-1,furin,4.8272,1.1609
55-06-1,furin,4.2695,3.3228
23964-57-0,furin,4.9346,1.048
19767-45-4,furin,3.9512,0.9724
7681-93-8,furin,4.4075,1.5551
51333-22-3,furin,4.6935,0.6475
78110-38-0,furin,4.6544,0.7445
1156-19-0,furin,4.2108,0.7162
83-43-2,furin,4.3599,0.6908
55-98-1,furin,4.1698,0.5386
127-69-5,furin,4.0724,0.8167
88889-14-9,furin,4.4114,2.1065
138402-11-6,furin,4.8702,1.089
159351-69-6,furin,4.5692,1.8775
57-83-0,furin,5.2635,0.7372
55079-83-9,furin,4.2589,1.3562
5451-09-2,furin,4.5323,1.0709
645-05-6,furin,4.927,1.4421
91832-40-5,furin,4.0603,0.9633
2668-66-8,furin,5.4029,1.0004
153559-49-0,furin,5.1322,0.9757
603-50-9,furin,4.8937,0.8351
69388-84-7,furin,4.2866,0.6212
159811-51-5,furin,4.7333,0.4322
638-94-8,furin,4.597,1.0291
211915-06-9,furin,3.9557,1.3427
1177-87-3,furin,4.5335,0.9467
1115-70-4,furin,4.8274,1.669
144689-63-4,furin,4.3826,1.5524
882-09-7,furin,3.7098,0.9703
139481-59-7,furin,5.2424,1.1563
723-46-6,furin,4.3024,0.6713
57-66-9,furin,4.7224,0.8206
1069-66-5,furin,4.4213,1.0884
15307-79-6,furin,4.19,1.1778
60-32-2,furin,4.2844,1.1544
13647-35-3,furin,4.4575,1.0311
29094-61-9,furin,4.9251,0.9773
98319-26-7,furin,5.1113,1.3066
23593-75-1,furin,4.9881,0.8459
1508-76-5,furin,4.3496,0.9309
6080-58-6,furin,4.5506,0.99
68-35-9,furin,4.2823,0.7817
23674-86-4,furin,4.0757,0.9095
1953-02-2,furin,3.9292,1.2003
356-12-7,furin,4.5041,0.4932
624-49-7,furin,4.4346,1.0803
651-06-9,furin,4.1109,1.0149
127-56-0,furin,4.9864,0.728
144-83-2,furin,4.2601,0.5072
127-79-7,furin,4.1909,0.8481
149647-78-9,furin,3.954,1.2616
144-82-1,furin,4.4986,0.9777
595-33-5,furin,4.9005,0.6672
19356-17-3,furin,4.212,1.1062
67392-87-4,furin,5.2395,1.9892
80474-14-2,furin,4.6298,1.0693
71-58-9,furin,4.1526,0.5953
2447-57-6,furin,4.0034,0.8686
635728-49-3,furin,4.7187,0.8629
101152-94-7,furin,4.9172,0.9242
124937-52-6,furin,4.6501,0.9247
113852-37-2,furin,3.9817,0.9959
51481-61-9,furin,4.3735,1.2387
177036-94-1,furin,4.927,0.3644
80-50-2,furin,3.7762,0.5841
434-13-9,furin,5.0858,1.0932
637-58-1,furin,5.2863,1.3326
107724-20-9,furin,4.9328,1.0269
137862-53-4,furin,4.4491,1.1993
302-79-4,furin,4.1509,1.4926
71963-77-4,furin,5.5482,1.7989
19774-82-4,furin,4.0889,2.1731
145040-37-5,furin,5.2984,1.0237
173334-58-2,furin,4.3773,1.4256
80621-81-4,furin,5.1712,2.2667
119302-91-9,furin,4.6089,2.0184
1070-11-7,furin,3.7566,0.8176
50-55-5,furin,4.5891,1.2986
22260-51-1,furin,4.0873,1.0385
541-22-0,furin,4.0405,1.435
865-21-4,furin,5.1547,1.4641
52-21-1,furin,5.1553,1.2301
83905-01-5,furin,5.4399,2.7162
72559-06-9,furin,4.7882,1.908
1476-53-5,furin,4.4694,1.1345
297-76-7,furin,4.9379,1.6945
5593-20-4,furin,5.2802,1.2879
64-77-7,furin,4.4592,0.9033
