compound_id,target_id,in_experimental_data,pred_mean,pred_err
1004316-88-4,pa_ph1n1,1,3.922,0.8805
100643-71-8,pa_ph1n1,1,4.9148,0.8072
101-26-8,pa_ph1n1,1,4.1285,0.8601
101477-54-7,pa_ph1n1,1,4.6788,1.1808
101827-46-7,pa_ph1n1,1,4.1227,1.4168
103-16-2,pa_ph1n1,1,5.3171,1.2437
103177-37-3,pa_ph1n1,1,4.2234,1.2037
10405-02-4,pa_ph1n1,1,4.7655,1.2905
1041434-82-5,pa_ph1n1,1,4.2038,0.7064
104227-87-4,pa_ph1n1,1,4.4107,0.983
104632-26-0,pa_ph1n1,1,4.2802,0.6202
105462-24-6,pa_ph1n1,1,4.5706,0.8014
105816-04-4,pa_ph1n1,1,5.2277,1.0018
106266-06-2,pa_ph1n1,1,4.9266,0.9441
106308-44-5,pa_ph1n1,1,5.2949,1.5449
106685-40-9,pa_ph1n1,1,4.5695,1.1107
1069-66-5,pa_ph1n1,1,4.5,0.8924
107-35-7,pa_ph1n1,1,4.7446,0.7268
1070-11-7,pa_ph1n1,1,4.0066,1.1944
107133-36-8,pa_ph1n1,1,4.1694,1.4057
107724-20-9,pa_ph1n1,1,4.7526,0.9971
108341-18-0,pa_ph1n1,1,4.4028,1.0647
1104-22-9,pa_ph1n1,1,3.9633,0.9771
111406-87-2,pa_ph1n1,1,4.9508,0.9536
1115-70-4,pa_ph1n1,1,3.3424,1.7337
111974-72-2,pa_ph1n1,1,4.7721,0.9692
112529-15-4,pa_ph1n1,1,5.0723,1.3611
112809-51-5,pa_ph1n1,1,4.4016,1.5226
112885-42-4,pa_ph1n1,1,3.9256,0.8686
113-59-7,pa_ph1n1,1,4.7255,0.8044
113-92-8,pa_ph1n1,1,4.4116,0.9951
113852-37-2,pa_ph1n1,1,4.2831,0.6057
115256-11-6,pa_ph1n1,1,4.3989,1.0649
1156-19-0,pa_ph1n1,1,4.6722,0.7163
117-37-3,pa_ph1n1,1,4.6732,1.018
118072-93-8,pa_ph1n1,1,4.3191,0.868
119413-54-6,pa_ph1n1,1,4.7431,0.921
1195765-45-7,pa_ph1n1,1,3.9082,0.9903
120-97-8,pa_ph1n1,1,3.6973,1.0089
120011-70-3,pa_ph1n1,1,4.9477,0.9947
120202-66-6,pa_ph1n1,1,5.6593,1.2512
120511-73-1,pa_ph1n1,1,4.3408,1.7435
122111-03-9,pa_ph1n1,1,5.3078,1.08
122320-73-4,pa_ph1n1,1,4.4315,1.5127
122647-32-9,pa_ph1n1,1,4.4153,1.1135
122883-93-6,pa_ph1n1,1,5.621,1.4956
1247-42-3,pa_ph1n1,1,5.4433,1.6357
124750-99-8,pa_ph1n1,1,4.3467,0.8804
124937-52-6,pa_ph1n1,1,4.6926,0.9573
125-84-8,pa_ph1n1,1,4.7365,1.2192
1263-89-4,pa_ph1n1,1,4.2751,1.4374
1264-62-6,pa_ph1n1,1,3.7667,1.4842
127-07-1,pa_ph1n1,1,4.0556,0.8309
127-56-0,pa_ph1n1,1,5.1431,1.3234
127-79-7,pa_ph1n1,1,4.3183,0.6107
128794-94-5,pa_ph1n1,1,4.2217,0.8193
129101-54-8,pa_ph1n1,1,5.161,1.3069
129497-78-5,pa_ph1n1,1,3.7407,1.6254
129722-12-9,pa_ph1n1,1,5.0579,0.9638
130-61-0,pa_ph1n1,1,3.9982,1.0163
13010-47-4,pa_ph1n1,1,5.0649,1.0138
132-17-2,pa_ph1n1,1,4.5229,1.2037
132-18-3,pa_ph1n1,1,4.1363,0.8671
132539-06-1,pa_ph1n1,1,4.8237,1.0991
13292-46-1,pa_ph1n1,1,3.5662,1.3
133-67-5,pa_ph1n1,1,5.3072,1.2074
133099-07-7,pa_ph1n1,1,4.3916,1.4416
133454-47-4,pa_ph1n1,1,4.9756,1.0187
134308-13-7,pa_ph1n1,1,4.1346,1.7713
134523-03-8,pa_ph1n1,1,5.2123,1.062
135729-62-3,pa_ph1n1,1,4.6213,1.1342
136-40-3,pa_ph1n1,1,4.8079,1.0175
136572-09-3,pa_ph1n1,1,3.9686,1.159
137-58-6,pa_ph1n1,1,4.8908,1.4322
137071-32-0,pa_ph1n1,1,3.3466,1.5737
138402-11-6,pa_ph1n1,1,4.522,0.9468
138530-94-6,pa_ph1n1,1,4.741,1.3152
138926-19-9,pa_ph1n1,1,5.1156,0.9547
139110-80-8,pa_ph1n1,1,3.803,0.9385
140462-76-6,pa_ph1n1,1,4.7208,0.818
141-90-2,pa_ph1n1,1,4.3014,0.6782
141505-33-1,pa_ph1n1,1,5.2997,1.397
141625-93-6,pa_ph1n1,1,4.5019,1.4594
142340-99-6,pa_ph1n1,1,3.6999,1.4481
144-82-1,pa_ph1n1,1,5.0817,1.0013
144060-53-7,pa_ph1n1,1,4.1379,0.6784
144689-63-4,pa_ph1n1,1,5.0599,1.2057
144701-48-4,pa_ph1n1,1,3.787,2.0186
145040-37-5,pa_ph1n1,1,3.8822,1.2887
145108-58-3,pa_ph1n1,1,4.3585,1.1329
146464-95-1,pa_ph1n1,1,4.1858,0.9249
147-94-4,pa_ph1n1,1,4.8323,0.9974
147127-20-6,pa_ph1n1,1,4.2071,0.8215
147403-03-0,pa_ph1n1,1,5.2775,1.5542
1476-53-5,pa_ph1n1,1,3.9931,1.1084
148-79-8,pa_ph1n1,1,4.7796,0.975
148849-67-6,pa_ph1n1,1,4.8532,1.2623
149647-78-9,pa_ph1n1,1,5.2698,1.1767
150-76-5,pa_ph1n1,1,4.0028,0.6542
150322-43-3,pa_ph1n1,1,4.247,0.9228
150399-23-8,pa_ph1n1,1,4.8442,1.1772
150683-30-0,pa_ph1n1,1,4.161,1.1247
1508-65-2,pa_ph1n1,1,4.8042,1.011
1508-75-4,pa_ph1n1,1,5.0706,1.3131
1508-76-5,pa_ph1n1,1,3.9413,0.9352
152-62-5,pa_ph1n1,1,5.3868,1.6354
152520-56-4,pa_ph1n1,1,5.3946,1.2883
15307-81-0,pa_ph1n1,1,4.5945,0.9731
