compound_id,target_id,in_experimental_data,pred_mean,pred_err
1004316-88-4,pa_ph1n1,1,3.3303,1.088
100643-71-8,pa_ph1n1,1,4.4184,2.1317
101-26-8,pa_ph1n1,1,3.854,0.704
101477-54-7,pa_ph1n1,1,4.3791,1.0951
101827-46-7,pa_ph1n1,1,4.1486,0.7816
103-16-2,pa_ph1n1,1,5.2616,2.9453
103177-37-3,pa_ph1n1,1,4.2365,1.2382
10405-02-4,pa_ph1n1,1,4.4672,1.631
1041434-82-5,pa_ph1n1,1,4.3501,0.5366
104227-87-4,pa_ph1n1,1,4.7186,1.0396
104632-26-0,pa_ph1n1,1,4.0986,0.4926
105462-24-6,pa_ph1n1,1,4.6006,0.7531
105816-04-4,pa_ph1n1,1,5.7992,0.8927
106266-06-2,pa_ph1n1,1,4.7463,1.1309
106308-44-5,pa_ph1n1,1,4.8497,4.6593
106685-40-9,pa_ph1n1,1,4.0588,1.6029
1069-66-5,pa_ph1n1,1,4.6433,1.6026
107-35-7,pa_ph1n1,1,4.6665,1.0931
1070-11-7,pa_ph1n1,1,4.1783,0.3908
107133-36-8,pa_ph1n1,1,4.4102,0.7877
107724-20-9,pa_ph1n1,1,4.5005,0.9754
108341-18-0,pa_ph1n1,1,4.3191,0.9906
1104-22-9,pa_ph1n1,1,3.8991,0.4136
111406-87-2,pa_ph1n1,1,5.0188,1.2303
1115-70-4,pa_ph1n1,1,3.5805,0.9453
111974-72-2,pa_ph1n1,1,4.5269,0.7479
112529-15-4,pa_ph1n1,1,6.3198,2.3614
112809-51-5,pa_ph1n1,1,3.9667,1.9627
112885-42-4,pa_ph1n1,1,4.6519,2.4985
113-59-7,pa_ph1n1,1,4.4387,0.5778
113-92-8,pa_ph1n1,1,4.1194,1.3099
113852-37-2,pa_ph1n1,1,4.2897,1.0082
115256-11-6,pa_ph1n1,1,4.6431,0.8646
1156-19-0,pa_ph1n1,1,4.6228,1.0432
117-37-3,pa_ph1n1,1,4.4808,1.8362
118072-93-8,pa_ph1n1,1,4.301,1.0342
119413-54-6,pa_ph1n1,1,4.6362,0.3476
1195765-45-7,pa_ph1n1,1,4.0105,0.557
120-97-8,pa_ph1n1,1,3.6803,0.7661
120011-70-3,pa_ph1n1,1,5.0401,1.9413
120202-66-6,pa_ph1n1,1,5.8451,1.52
120511-73-1,pa_ph1n1,1,4.4406,2.1386
122111-03-9,pa_ph1n1,1,5.1866,1.1699
122320-73-4,pa_ph1n1,1,4.5392,0.7993
122647-32-9,pa_ph1n1,1,4.3677,1.0793
122883-93-6,pa_ph1n1,1,5.241,1.0005
1247-42-3,pa_ph1n1,1,5.8799,1.1711
124750-99-8,pa_ph1n1,1,4.3067,0.8857
124937-52-6,pa_ph1n1,1,4.5161,1.035
125-84-8,pa_ph1n1,1,4.9594,2.042
1263-89-4,pa_ph1n1,1,4.2665,2.1212
1264-62-6,pa_ph1n1,1,3.6152,0.7166
127-07-1,pa_ph1n1,1,3.9886,0.8996
127-56-0,pa_ph1n1,1,5.4673,1.9597
127-79-7,pa_ph1n1,1,4.1349,0.6766
128794-94-5,pa_ph1n1,1,4.1645,0.8657
129101-54-8,pa_ph1n1,1,5.1909,1.2975
129497-78-5,pa_ph1n1,1,3.4305,1.11
129722-12-9,pa_ph1n1,1,4.9838,1.1421
130-61-0,pa_ph1n1,1,3.9831,0.3448
13010-47-4,pa_ph1n1,1,5.4777,0.6999
132-17-2,pa_ph1n1,1,4.3637,0.8012
132-18-3,pa_ph1n1,1,3.8639,1.3536
132539-06-1,pa_ph1n1,1,4.5977,0.9616
13292-46-1,pa_ph1n1,1,3.5861,0.5264
133-67-5,pa_ph1n1,1,5.4104,2.5147
133099-07-7,pa_ph1n1,1,4.4074,0.7821
133454-47-4,pa_ph1n1,1,4.5613,0.9458
134308-13-7,pa_ph1n1,1,4.0999,0.7762
134523-03-8,pa_ph1n1,1,5.6353,0.5131
135729-62-3,pa_ph1n1,1,4.4865,0.7894
136-40-3,pa_ph1n1,1,4.4401,0.8134
136572-09-3,pa_ph1n1,1,4.0607,0.9106
137-58-6,pa_ph1n1,1,4.8398,3.2277
137071-32-0,pa_ph1n1,1,3.265,0.3456
138402-11-6,pa_ph1n1,1,4.6995,0.5485
138530-94-6,pa_ph1n1,1,4.9776,0.7497
138926-19-9,pa_ph1n1,1,4.8413,0.8727
139110-80-8,pa_ph1n1,1,3.9173,0.9418
140462-76-6,pa_ph1n1,1,4.6303,1.0649
141-90-2,pa_ph1n1,1,4.4575,1.1234
141505-33-1,pa_ph1n1,1,5.6471,1.3039
141625-93-6,pa_ph1n1,1,4.3545,1.1478
142340-99-6,pa_ph1n1,1,3.6413,0.6713
144-82-1,pa_ph1n1,1,5.5573,2.6445
144060-53-7,pa_ph1n1,1,4.2435,1.0757
144689-63-4,pa_ph1n1,1,5.1819,1.052
144701-48-4,pa_ph1n1,1,4.1835,2.0494
145040-37-5,pa_ph1n1,1,3.6589,0.4756
145108-58-3,pa_ph1n1,1,4.301,0.9563
146464-95-1,pa_ph1n1,1,4.3289,0.5826
147-94-4,pa_ph1n1,1,4.8066,1.6787
147127-20-6,pa_ph1n1,1,4.1264,0.6448
147403-03-0,pa_ph1n1,1,5.4784,1.448
1476-53-5,pa_ph1n1,1,4.1301,1.343
148-79-8,pa_ph1n1,1,5.0368,1.4071
148849-67-6,pa_ph1n1,1,4.7992,1.0858
149647-78-9,pa_ph1n1,1,4.9152,2.5899
150-76-5,pa_ph1n1,1,3.7235,0.7537
150322-43-3,pa_ph1n1,1,4.3431,0.808
150399-23-8,pa_ph1n1,1,4.8006,0.6267
150683-30-0,pa_ph1n1,1,4.1281,0.6068
1508-65-2,pa_ph1n1,1,4.8819,1.0938
