compound_id,target_id,prediction_mean,prediction_err
68-19-9,furin,3.8146,3.3717
70476-82-3,furin,3.9835,0.7984
1405-89-6,furin,4.5067,2.157
179463-17-3,furin,4.0201,1.4809
83-88-5,furin,5.1255,0.9419
152520-56-4,furin,4.0922,0.6913
1264-72-8,furin,3.6138,2.1107
99592-39-9,furin,4.747,1.5728
79307-93-0,furin,5.131,1.1963
402957-28-2,furin,5.2431,1.8025
22916-47-8,furin,4.7853,1.2189
83915-83-7,furin,3.9747,2.3994
14028-44-5,furin,5.2022,1.0848
439081-18-2,furin,5.5797,1.4452
548-73-2,furin,4.4762,1.3537
849217-68-1,furin,4.4105,1.2363
753498-25-8,furin,5.0027,0.8538
56390-09-1,furin,5.6,1.2591
5370-01-4,furin,5.7128,1.7451
90357-06-5,furin,4.6559,1.074
107007-99-8,furin,5.163,1.5868
64872-77-1,furin,5.128,1.4336
5786-21-0,furin,4.7179,1.0393
101827-46-7,furin,4.4054,1.1111
99614-01-4,furin,4.8764,1.453
113-59-7,furin,3.8751,0.8185
56296-78-7,furin,4.465,0.8813
50357-45-4,furin,5.0806,2.3958
122883-93-6,furin,4.608,0.9829
668270-12-0,furin,5.2973,1.731
34183-22-7,furin,4.4852,1.666
32986-56-4,furin,4.6312,2.2513
179324-69-7,furin,4.2986,0.5306
2030-63-9,furin,4.7111,0.8634
155213-67-5,furin,4.9296,1.9858
163222-33-1,furin,5.052,1.1067
132539-06-1,furin,4.0808,1.4088
32672-69-8,furin,4.8029,1.0578
229975-97-7,furin,4.8554,1.4067
79559-97-0,furin,5.2741,1.4659
274693-27-5,furin,4.4242,1.1299
65277-42-1,furin,5.0407,1.6143
65473-14-5,furin,4.782,0.8712
175865-59-5,furin,4.4492,1.096
148849-67-6,furin,4.7337,1.6099
192725-17-0,furin,4.2487,1.6614
63-45-6,furin,5.2656,1.0113
443913-73-3,furin,5.01,1.5932
61-76-7,furin,4.1706,0.7032
440-17-5,furin,4.2023,1.1473
184475-35-2,furin,5.1864,1.4436
23256-50-0,furin,3.9717,1.2757
58-27-5,furin,5.0784,0.6887
183320-51-6,furin,3.9803,1.2158
53716-49-7,furin,4.1068,0.7749
54527-84-3,furin,4.1084,1.0647
298-81-7,furin,4.5387,0.844
51-30-9,furin,4.5972,0.7497
34381-68-5,furin,3.8985,0.8647
51022-70-9,furin,4.9212,1.1337
13492-01-8,furin,4.2772,0.7112
536-33-4,furin,4.6561,0.9002
25332-39-2,furin,4.5077,1.0071
496775-61-2,furin,3.8974,0.7183
100643-71-8,furin,4.5484,0.8696
123318-82-1,furin,4.6853,0.9046
36791-04-5,furin,4.2523,1.4873
198480-56-7,furin,4.8944,0.9589
201530-41-8,furin,4.7846,0.7303
111406-87-2,furin,4.5534,0.6747
2627-69-2,furin,4.3622,1.8139
3717-88-2,furin,4.6833,0.638
133099-07-7,furin,5.3982,1.9404
223673-61-8,furin,4.9747,0.8564
50-28-2,furin,4.4358,0.8376
641571-10-0,furin,5.2007,1.2933
21462-39-5,furin,4.691,1.7103
169590-42-5,furin,4.8983,1.0744
53885-35-1,furin,4.1797,0.6858
191732-72-6,furin,4.3376,0.8639
144598-75-4,furin,4.9025,0.9742
154-69-8,furin,4.7193,1.2494
103577-45-3,furin,4.1671,0.9146
62893-19-0,furin,3.9004,1.4261
