compound_id,target_id,prediction_mean,prediction_err
68-19-9,furin,4.3553,0.7458
70476-82-3,furin,4.1853,0.7271
1405-89-6,furin,5.0385,1.6849
179463-17-3,furin,4.4021,0.9109
83-88-5,furin,5.0109,1.7715
152520-56-4,furin,4.0936,0.6022
1264-72-8,furin,4.259,0.7746
99592-39-9,furin,4.5719,1.1223
79307-93-0,furin,4.8843,1.281
402957-28-2,furin,5.2654,2.1261
22916-47-8,furin,4.6944,0.9561
83915-83-7,furin,4.3475,0.9274
14028-44-5,furin,4.8731,1.0917
439081-18-2,furin,5.3104,2.088
548-73-2,furin,4.4971,0.8269
849217-68-1,furin,4.2699,1.226
753498-25-8,furin,4.8407,1.48
56390-09-1,furin,5.202,1.9827
5370-01-4,furin,5.4588,2.4082
90357-06-5,furin,4.7209,1.115
107007-99-8,furin,4.9777,1.7477
64872-77-1,furin,5.0919,1.6668
5786-21-0,furin,4.5793,0.9087
101827-46-7,furin,4.2841,0.6065
99614-01-4,furin,4.7174,1.3795
113-59-7,furin,3.9726,0.7264
56296-78-7,furin,4.5095,0.7438
50357-45-4,furin,5.2215,1.7266
122883-93-6,furin,4.4415,0.7609
668270-12-0,furin,4.9716,1.5245
34183-22-7,furin,4.7143,1.2789
32986-56-4,furin,4.3568,1.0671
179324-69-7,furin,4.4295,0.8979
2030-63-9,furin,4.6027,0.8155
155213-67-5,furin,4.8161,0.8096
163222-33-1,furin,4.992,1.64
132539-06-1,furin,3.9587,0.7956
32672-69-8,furin,4.6874,0.9222
229975-97-7,furin,4.854,1.331
79559-97-0,furin,5.082,1.7134
274693-27-5,furin,4.3747,1.2118
65277-42-1,furin,4.8633,1.6328
65473-14-5,furin,4.6757,0.5703
175865-59-5,furin,4.4223,0.9941
148849-67-6,furin,4.7318,1.2892
192725-17-0,furin,4.4413,0.7052
63-45-6,furin,5.0839,1.7215
443913-73-3,furin,4.7175,0.6917
61-76-7,furin,4.1507,0.6069
440-17-5,furin,4.1688,0.6303
184475-35-2,furin,5.0014,1.8374
23256-50-0,furin,4.3591,0.7427
58-27-5,furin,4.9465,1.2501
183320-51-6,furin,4.1233,0.8708
53716-49-7,furin,4.1571,0.6976
54527-84-3,furin,4.2436,0.5574
298-81-7,furin,4.2756,0.583
51-30-9,furin,4.6435,1.108
34381-68-5,furin,3.9814,0.8319
51022-70-9,furin,4.8021,1.4479
13492-01-8,furin,4.2942,0.5964
536-33-4,furin,4.6927,1.0128
25332-39-2,furin,4.4764,0.5562
496775-61-2,furin,4.04,0.7543
100643-71-8,furin,4.4384,1.0405
123318-82-1,furin,4.5212,0.8136
36791-04-5,furin,4.0495,1.0014
198480-56-7,furin,4.653,1.4521
201530-41-8,furin,4.6233,1.1731
111406-87-2,furin,4.5475,0.8101
2627-69-2,furin,4.2324,0.8847
3717-88-2,furin,4.5586,0.8131
133099-07-7,furin,5.2173,1.9966
223673-61-8,furin,4.8423,1.2558
50-28-2,furin,4.1797,0.7244
641571-10-0,furin,4.79,1.424
21462-39-5,furin,4.8027,1.1133
169590-42-5,furin,4.8208,1.569
53885-35-1,furin,4.1676,0.5859
