compound_id,target_id,in_experimental_data,pred_mean,pred_err
1004316-88-4,pa_ph1n1,1,3.8804,0.9652
100643-71-8,pa_ph1n1,1,4.9068,1.118
101-26-8,pa_ph1n1,1,4.2306,1.111
101477-54-7,pa_ph1n1,1,4.6522,1.1834
101827-46-7,pa_ph1n1,1,4.1901,1.0459
103-16-2,pa_ph1n1,1,5.1274,0.9655
103177-37-3,pa_ph1n1,1,4.2022,0.7447
10405-02-4,pa_ph1n1,1,4.6423,1.0743
1041434-82-5,pa_ph1n1,1,4.4013,0.8121
104227-87-4,pa_ph1n1,1,4.5689,0.9352
104632-26-0,pa_ph1n1,1,4.1429,1.0783
105462-24-6,pa_ph1n1,1,4.6525,0.9545
105816-04-4,pa_ph1n1,1,5.1919,0.967
106266-06-2,pa_ph1n1,1,4.9563,0.8818
106308-44-5,pa_ph1n1,1,5.256,1.1991
106685-40-9,pa_ph1n1,1,4.3881,1.1648
1069-66-5,pa_ph1n1,1,4.5357,0.8427
107-35-7,pa_ph1n1,1,4.9471,1.179
1070-11-7,pa_ph1n1,1,4.2194,0.8783
107133-36-8,pa_ph1n1,1,4.4163,1.4148
107724-20-9,pa_ph1n1,1,4.7384,0.8356
108341-18-0,pa_ph1n1,1,4.4182,1.3213
1104-22-9,pa_ph1n1,1,3.8136,1.0655
111406-87-2,pa_ph1n1,1,4.8773,1.1206
1115-70-4,pa_ph1n1,1,3.4781,1.2203
111974-72-2,pa_ph1n1,1,4.4412,0.8482
112529-15-4,pa_ph1n1,1,5.0315,1.1685
112809-51-5,pa_ph1n1,1,4.5434,0.71
112885-42-4,pa_ph1n1,1,3.9967,0.9051
113-59-7,pa_ph1n1,1,4.6096,1.1962
113-92-8,pa_ph1n1,1,4.3645,1.3706
113852-37-2,pa_ph1n1,1,4.3157,0.8462
115256-11-6,pa_ph1n1,1,4.4473,0.8908
1156-19-0,pa_ph1n1,1,4.7681,0.9686
117-37-3,pa_ph1n1,1,4.6182,0.7523
118072-93-8,pa_ph1n1,1,4.3649,0.9553
119413-54-6,pa_ph1n1,1,4.6865,0.7863
1195765-45-7,pa_ph1n1,1,4.0172,0.9974
120-97-8,pa_ph1n1,1,3.7267,1.3632
120011-70-3,pa_ph1n1,1,5.0005,1.1343
120202-66-6,pa_ph1n1,1,5.3325,1.218
120511-73-1,pa_ph1n1,1,4.5761,0.9868
122111-03-9,pa_ph1n1,1,5.206,0.9937
122320-73-4,pa_ph1n1,1,4.418,0.9572
122647-32-9,pa_ph1n1,1,4.3958,0.883
122883-93-6,pa_ph1n1,1,5.3315,1.2728
1247-42-3,pa_ph1n1,1,5.413,1.3015
124750-99-8,pa_ph1n1,1,4.1949,0.8238
124937-52-6,pa_ph1n1,1,4.548,0.7624
125-84-8,pa_ph1n1,1,4.7772,1.2524
1263-89-4,pa_ph1n1,1,4.5373,0.9785
1264-62-6,pa_ph1n1,1,4.119,0.9105
127-07-1,pa_ph1n1,1,4.0497,0.9086
127-56-0,pa_ph1n1,1,5.153,1.2626
127-79-7,pa_ph1n1,1,4.3453,1.2816
128794-94-5,pa_ph1n1,1,4.1846,0.7917
129101-54-8,pa_ph1n1,1,5.1535,1.1919
129497-78-5,pa_ph1n1,1,4.1678,1.2152
129722-12-9,pa_ph1n1,1,4.8946,0.9597
130-61-0,pa_ph1n1,1,3.6553,1.1359
13010-47-4,pa_ph1n1,1,4.997,0.9943
132-17-2,pa_ph1n1,1,4.3965,1.0109
132-18-3,pa_ph1n1,1,4.1144,0.8865
132539-06-1,pa_ph1n1,1,4.6882,1.4053
13292-46-1,pa_ph1n1,1,3.7684,0.9975
133-67-5,pa_ph1n1,1,5.2416,1.1624
133099-07-7,pa_ph1n1,1,4.4966,1.2174
133454-47-4,pa_ph1n1,1,5.023,1.0896
134308-13-7,pa_ph1n1,1,4.058,1.1804
134523-03-8,pa_ph1n1,1,5.2848,1.1284
135729-62-3,pa_ph1n1,1,4.5693,1.0751
136-40-3,pa_ph1n1,1,4.7203,1.0788
136572-09-3,pa_ph1n1,1,3.9425,1.113
137-58-6,pa_ph1n1,1,4.9891,1.3244
137071-32-0,pa_ph1n1,1,3.6351,1.0681
138402-11-6,pa_ph1n1,1,4.5861,0.9684
138530-94-6,pa_ph1n1,1,4.8448,0.9216
138926-19-9,pa_ph1n1,1,5.0769,1.0176
139110-80-8,pa_ph1n1,1,4.1122,1.2089
140462-76-6,pa_ph1n1,1,4.8177,1.1624
141-90-2,pa_ph1n1,1,4.3013,0.7993
141505-33-1,pa_ph1n1,1,5.3174,1.1836
141625-93-6,pa_ph1n1,1,4.5955,1.0046
142340-99-6,pa_ph1n1,1,3.8342,1.2333
144-82-1,pa_ph1n1,1,4.9432,1.1537
144060-53-7,pa_ph1n1,1,4.1548,1.116
144689-63-4,pa_ph1n1,1,5.0504,0.9018
144701-48-4,pa_ph1n1,1,4.1423,1.0306
145040-37-5,pa_ph1n1,1,3.763,1.0217
145108-58-3,pa_ph1n1,1,4.2874,0.8661
146464-95-1,pa_ph1n1,1,4.3092,1.0081
147-94-4,pa_ph1n1,1,4.8044,1.0526
147127-20-6,pa_ph1n1,1,4.0974,0.7846
147403-03-0,pa_ph1n1,1,5.2696,1.0638
1476-53-5,pa_ph1n1,1,3.9938,0.9741
148-79-8,pa_ph1n1,1,4.6719,0.7795
148849-67-6,pa_ph1n1,1,4.9192,0.7707
149647-78-9,pa_ph1n1,1,5.1529,0.9361
150-76-5,pa_ph1n1,1,3.9605,0.8925
