compound_id,target_id,in_experimental_data,pred_mean,pred_err
1004316-88-4,pa_ph1n1,1,3.9709,1.0173
100643-71-8,pa_ph1n1,1,4.6682,1.9023
101-26-8,pa_ph1n1,1,4.1622,0.7548
101477-54-7,pa_ph1n1,1,4.4184,1.4431
101827-46-7,pa_ph1n1,1,4.1091,0.8972
103-16-2,pa_ph1n1,1,4.9915,1.8169
103177-37-3,pa_ph1n1,1,4.3101,0.7706
10405-02-4,pa_ph1n1,1,4.5511,1.3285
1041434-82-5,pa_ph1n1,1,4.4342,0.7802
104227-87-4,pa_ph1n1,1,4.5461,1.0611
104632-26-0,pa_ph1n1,1,4.2273,0.7292
105462-24-6,pa_ph1n1,1,4.5639,0.9291
105816-04-4,pa_ph1n1,1,5.7059,1.345
106266-06-2,pa_ph1n1,1,4.7935,0.9821
106308-44-5,pa_ph1n1,1,4.998,2.774
106685-40-9,pa_ph1n1,1,4.3058,1.3271
1069-66-5,pa_ph1n1,1,4.489,0.5999
107-35-7,pa_ph1n1,1,4.7257,1.0615
1070-11-7,pa_ph1n1,1,4.2711,0.8975
107133-36-8,pa_ph1n1,1,4.2876,1.3758
107724-20-9,pa_ph1n1,1,4.639,0.833
108341-18-0,pa_ph1n1,1,4.3332,1.3269
1104-22-9,pa_ph1n1,1,3.861,0.8545
111406-87-2,pa_ph1n1,1,4.8665,1.5198
1115-70-4,pa_ph1n1,1,3.7641,0.6761
111974-72-2,pa_ph1n1,1,4.4481,0.9626
112529-15-4,pa_ph1n1,1,5.679,2.1392
112809-51-5,pa_ph1n1,1,4.3859,1.036
112885-42-4,pa_ph1n1,1,4.2363,0.9438
113-59-7,pa_ph1n1,1,4.4725,0.663
113-92-8,pa_ph1n1,1,4.1802,1.456
113852-37-2,pa_ph1n1,1,4.3069,0.6747
115256-11-6,pa_ph1n1,1,4.4861,1.2357
1156-19-0,pa_ph1n1,1,4.6001,0.7292
117-37-3,pa_ph1n1,1,4.6428,1.4655
118072-93-8,pa_ph1n1,1,4.3618,0.4516
119413-54-6,pa_ph1n1,1,4.5241,0.8074
1195765-45-7,pa_ph1n1,1,4.1956,0.7649
120-97-8,pa_ph1n1,1,3.9544,1.266
120011-70-3,pa_ph1n1,1,4.8181,1.4959
120202-66-6,pa_ph1n1,1,5.3254,1.4906
120511-73-1,pa_ph1n1,1,4.3511,1.2873
122111-03-9,pa_ph1n1,1,5.2107,2.0301
122320-73-4,pa_ph1n1,1,4.345,1.2807
122647-32-9,pa_ph1n1,1,4.3822,0.9134
122883-93-6,pa_ph1n1,1,5.1444,1.5673
1247-42-3,pa_ph1n1,1,5.6997,1.2479
124750-99-8,pa_ph1n1,1,4.3129,0.871
124937-52-6,pa_ph1n1,1,4.4598,0.7775
125-84-8,pa_ph1n1,1,4.9485,1.3681
1263-89-4,pa_ph1n1,1,4.4907,1.1735
1264-62-6,pa_ph1n1,1,4.0841,0.7983
127-07-1,pa_ph1n1,1,4.2133,0.5026
127-56-0,pa_ph1n1,1,5.2354,1.998
127-79-7,pa_ph1n1,1,4.3087,0.8129
128794-94-5,pa_ph1n1,1,4.2579,0.7651
129101-54-8,pa_ph1n1,1,5.1336,1.563
129497-78-5,pa_ph1n1,1,4.094,1.1706
129722-12-9,pa_ph1n1,1,4.8574,1.7319
130-61-0,pa_ph1n1,1,3.9784,0.5645
13010-47-4,pa_ph1n1,1,4.9151,1.324
132-17-2,pa_ph1n1,1,4.3988,0.808
132-18-3,pa_ph1n1,1,4.0727,1.1353
132539-06-1,pa_ph1n1,1,4.4473,1.563
13292-46-1,pa_ph1n1,1,3.9448,0.8227
133-67-5,pa_ph1n1,1,5.1987,1.9072
133099-07-7,pa_ph1n1,1,4.2584,1.3719
133454-47-4,pa_ph1n1,1,4.6469,1.1432
134308-13-7,pa_ph1n1,1,4.089,0.6147
134523-03-8,pa_ph1n1,1,5.4194,1.6588
135729-62-3,pa_ph1n1,1,4.5795,0.8199
136-40-3,pa_ph1n1,1,4.4914,0.9718
136572-09-3,pa_ph1n1,1,4.0591,0.858
137-58-6,pa_ph1n1,1,4.9067,2.1252
137071-32-0,pa_ph1n1,1,3.7934,0.887
138402-11-6,pa_ph1n1,1,4.6482,0.7613
138530-94-6,pa_ph1n1,1,4.6483,1.1499
138926-19-9,pa_ph1n1,1,4.9113,1.5084
139110-80-8,pa_ph1n1,1,4.1018,1.1297
140462-76-6,pa_ph1n1,1,4.5235,1.0873
141-90-2,pa_ph1n1,1,4.3588,0.8765
141505-33-1,pa_ph1n1,1,5.24,1.4118
141625-93-6,pa_ph1n1,1,4.5336,1.1239
142340-99-6,pa_ph1n1,1,3.9237,0.4583
144-82-1,pa_ph1n1,1,5.1486,2.2347
