compound_id,target_id,prediction_mean,prediction_err
68-19-9,furin,4.3585,4.5988
70476-82-3,furin,4.3687,1.4762
1405-89-6,furin,4.0836,5.0227
179463-17-3,furin,4.2103,3.5854
83-88-5,furin,4.5698,1.0152
152520-56-4,furin,4.6759,1.3631
1264-72-8,furin,3.8267,5.0338
99592-39-9,furin,4.7135,1.8304
79307-93-0,furin,4.7985,1.7797
402957-28-2,furin,4.5308,1.3269
22916-47-8,furin,4.6236,1.8806
83915-83-7,furin,4.2799,1.9074
14028-44-5,furin,4.8445,1.8025
439081-18-2,furin,4.6716,1.2927
548-73-2,furin,4.6662,1.469
849217-68-1,furin,4.7458,0.942
753498-25-8,furin,4.6827,1.0166
56390-09-1,furin,4.7449,1.7028
5370-01-4,furin,4.5504,1.2836
90357-06-5,furin,4.5829,0.9299
107007-99-8,furin,4.758,1.5982
64872-77-1,furin,4.5807,2.0745
5786-21-0,furin,4.8655,2.1772
101827-46-7,furin,4.7542,2.0609
99614-01-4,furin,4.7827,1.2949
113-59-7,furin,4.7188,2.1372
56296-78-7,furin,4.593,1.7588
50357-45-4,furin,4.295,2.0208
122883-93-6,furin,4.8014,1.8265
668270-12-0,furin,4.8284,1.0903
34183-22-7,furin,4.3913,2.0453
32986-56-4,furin,4.3996,2.3022
179324-69-7,furin,4.4743,1.0171
2030-63-9,furin,4.818,2.061
155213-67-5,furin,4.5451,2.1675
163222-33-1,furin,4.7131,1.2065
132539-06-1,furin,4.8738,2.192
32672-69-8,furin,4.7557,2.0904
229975-97-7,furin,4.5666,1.7909
79559-97-0,furin,4.7104,1.8107
274693-27-5,furin,4.6147,0.8129
65277-42-1,furin,4.7598,1.7026
65473-14-5,furin,4.7004,2.0176
175865-59-5,furin,4.4362,1.3086
148849-67-6,furin,4.6246,1.8572
192725-17-0,furin,4.532,2.1444
63-45-6,furin,4.56,1.0099
443913-73-3,furin,4.7139,1.8656
61-76-7,furin,4.5249,1.2418
440-17-5,furin,4.7952,2.5616
184475-35-2,furin,4.667,1.3645
23256-50-0,furin,4.4308,1.2659
58-27-5,furin,4.7011,1.1367
183320-51-6,furin,4.5796,0.9085
53716-49-7,furin,4.7167,0.7539
54527-84-3,furin,4.5515,1.1014
298-81-7,furin,4.7543,0.8643
51-30-9,furin,4.4869,1.1179
34381-68-5,furin,4.3661,1.6012
51022-70-9,furin,4.5295,1.1081
13492-01-8,furin,4.607,1.3956
536-33-4,furin,4.543,1.1518
25332-39-2,furin,4.7151,1.6636
496775-61-2,furin,4.7437,0.5366
100643-71-8,furin,4.829,1.8628
123318-82-1,furin,4.6586,1.2234
