id,target,in_experimental_data,pred_mean,pred_err
103177-37-3,furin,1,4.9206,0.775
99464-64-9,furin,1,4.5103,0.8861
23180-57-6,furin,0,4.7204,2.4455
50-27-1,furin,0,4.844,1.719
2627-69-2,furin,1,4.7651,1.8063
58186-27-9,furin,1,4.2978,1.8538
93793-83-0,furin,0,4.3507,1.251
39133-31-8,furin,1,4.6181,0.8297
34552-84-6,furin,0,4.6851,1.1725
112885-42-4,furin,0,4.5264,1.8066
51803-78-2,furin,1,4.3616,1.2509
141505-33-1,furin,0,4.3823,0.9058
183320-51-6,furin,1,4.5444,0.9053
101477-54-7,furin,0,4.9697,1.3466
50-02-2,furin,0,4.7288,1.6213
96829-58-2,furin,0,4.0691,4.1372
98-96-4,furin,0,4.653,1.3099
541-15-1,furin,0,4.5352,1.1472
65277-42-1,furin,1,4.9489,0.8484
70-00-8,furin,0,4.7089,1.5078
39809-25-1,furin,0,4.7489,1.2749
54-42-2,furin,0,4.5209,1.1738
124832-27-5,furin,0,4.4871,0.8574
5536-17-4,furin,0,4.9129,2.0607
147-94-4,furin,1,4.8128,1.8745
99011-02-6,furin,0,4.8656,1.0981
70288-86-7,furin,1,4.9422,2.4441
59277-89-3,furin,0,4.5925,0.8742
82410-32-0,furin,0,4.7636,1.4418
104227-87-4,furin,0,4.602,1.4695
50-91-9,furin,0,4.7226,1.3891
79-57-2,furin,0,4.706,1.6601
6153-64-6,furin,0,4.628,1.5379
518048-05-0,furin,0,4.849,1.3103
161735-79-1,furin,0,4.366,1.1945
13492-01-8,furin,1,4.5926,0.7782
549-18-8,furin,0,4.7153,1.4858
79794-75-5,furin,0,4.8993,1.3987
79307-93-0,furin,1,4.9405,1.349
100299-08-9,furin,1,4.675,1.4587
980-71-2,furin,0,4.4536,1.2253
122883-93-6,furin,1,4.9189,1.3883
76824-35-6,furin,0,4.2034,1.8394
154-69-8,furin,1,4.6489,1.0748
2192-20-3,furin,0,4.5315,1.3267
132-20-7,furin,0,4.4164,1.1279
25332-39-2,furin,1,4.8326,1.2777
1104-22-9,furin,0,4.9522,1.5456
76963-41-2,furin,0,4.3063,1.1201
521-78-8,furin,0,4.5098,1.1779
14976-57-9,furin,1,4.5404,1.3178
10347-81-6,furin,1,4.5229,2.4599
100643-71-8,furin,1,4.8171,1.5777
132-18-3,furin,0,4.7167,1.4481
83881-52-1,furin,0,4.517,1.2625
2508-72-7,furin,1,4.5947,1.5116
66357-59-3,furin,0,4.2619,1.3334
140462-76-6,furin,0,4.6245,1.3536
3978-86-7,furin,0,4.6224,0.9608
113-92-8,furin,0,4.4442,1.1614
59-33-6,furin,0,4.4675,0.8164
190786-44-8,furin,0,4.7262,1.0315
147-24-0,furin,0,4.6346,1.1626
562-10-7,furin,0,4.6137,0.8747
144598-75-4,furin,1,4.956,1.8549
137-58-6,furin,0,4.5796,1.2423
85650-52-8,furin,0,4.8834,1.627
34580-14-8,furin,0,4.638,1.1131
132-17-2,furin,0,4.5995,1.6414
113-59-7,furin,1,4.8254,1.1493
51481-61-9,furin,1,4.1201,1.7402
4682-36-4,furin,0,4.6295,1.6335
97240-79-4,furin,0,4.8358,2.5777
25451-15-4,furin,1,4.5117,0.9812
41100-52-1,furin,0,4.8816,2.0732
1508-76-5,furin,1,4.6588,1.8308
68-41-7,furin,0,4.8341,1.8752
50357-45-4,furin,1,4.1784,2.4962
7681-93-8,furin,1,4.6323,2.1805
29342-05-0,furin,0,4.6303,1.2328
41621-49-2,furin,1,4.5933,1.2465
61318-91-0,furin,1,4.6231,1.6105
171228-49-2,furin,0,5.1294,1.0022
536-43-6,furin,0,4.4284,1.4821
53123-88-9,furin,0,4.6152,2.979
23593-75-1,furin,1,4.7834,1.1398
64872-77-1,furin,1,4.487,2.0055
91161-71-6,furin,0,4.5861,1.5235
65473-14-5,furin,1,4.8065,1.1702
78628-80-5,furin,0,4.6033,1.6367
1397-89-3,furin,0,4.7758,4.9307
57852-57-0,furin,0,4.8534,1.4155
179463-17-3,furin,1,4.0003,2.8267
1070-11-7,furin,1,4.4665,1.5936
101827-46-7,furin,1,4.9383,1.5194
137234-62-9,furin,0,4.7614,1.0784
86386-73-4,furin,0,4.7218,1.1739
99592-39-9,furin,1,4.7998,1.5092
65899-73-2,furin,0,4.8896,1.0371
24280-93-1,furin,0,4.3583,1.1185
540737-29-9,furin,0,4.7825,1.703
84625-61-6,furin,0,5.2176,1.1516
65-85-0,furin,0,4.619,1.4424
24169-02-6,furin,0,4.5752,1.4099
22916-47-8,furin,1,4.8824,1.448
22832-87-7,furin,0,4.6142,1.6669
17321-77-6,furin,1,4.7591,1.4088
74011-58-8,furin,0,4.6736,1.6079
72509-76-3,furin,0,4.5234,1.2309
173334-58-2,furin,1,3.7313,5.5721
941678-49-5,furin,0,4.8466,1.5189
127-79-7,furin,1,4.4738,0.8526
13010-47-4,furin,0,4.3519,1.3113
54527-84-3,furin,1,4.411,1.4613
90357-06-5,furin,1,4.3968,1.2437
136572-09-3,furin,0,4.8569,1.4961
1177-87-3,furin,1,4.5898,1.4634
1264-72-8,furin,1,3.5714,3.994
54-85-3,furin,0,4.2493,2.0324
23541-50-6,furin,0,4.8658,1.521
943319-70-8,furin,0,4.9134,1.454
150399-23-8,furin,0,4.3212,1.4897
475207-59-1,furin,1,4.908,2.6222
1247-42-3,furin,0,4.6945,1.7705
73963-72-1,furin,1,4.5974,1.7252
