id,target,in_experimental_data,pred_mean,pred_err
103177-37-3,furin,1,4.9055,1.0396
99464-64-9,furin,1,4.734,1.3558
23180-57-6,furin,0,4.6919,1.3257
50-27-1,furin,0,4.6765,1.0305
2627-69-2,furin,1,4.6271,2.5391
58186-27-9,furin,1,4.3832,1.6651
93793-83-0,furin,0,4.5263,1.4209
39133-31-8,furin,1,4.7354,1.972
34552-84-6,furin,0,4.5521,1.4428
112885-42-4,furin,0,4.5888,1.6311
51803-78-2,furin,1,4.5388,0.8544
141505-33-1,furin,0,4.5473,1.0764
183320-51-6,furin,1,4.613,1.2519
101477-54-7,furin,0,4.7528,1.8771
50-02-2,furin,0,4.6748,1.3486
96829-58-2,furin,0,4.2669,1.8586
98-96-4,furin,0,4.5267,2.1162
541-15-1,furin,0,4.3306,1.2173
65277-42-1,furin,1,4.7225,1.5659
70-00-8,furin,0,4.5607,0.7323
39809-25-1,furin,0,4.6387,1.6756
54-42-2,furin,0,4.5253,0.7907
124832-27-5,furin,0,4.4947,1.1762
5536-17-4,furin,0,4.7015,2.624
147-94-4,furin,1,4.6939,2.8222
99011-02-6,furin,0,4.7423,2.4142
70288-86-7,furin,1,4.4077,1.2372
59277-89-3,furin,0,4.6391,0.9316
82410-32-0,furin,0,4.6781,2.3588
104227-87-4,furin,0,4.6051,1.0532
50-91-9,furin,0,4.5558,0.7589
79-57-2,furin,0,4.6526,1.4287
6153-64-6,furin,0,4.5781,1.6253
518048-05-0,furin,0,4.8504,2.0277
161735-79-1,furin,0,4.4759,1.1233
13492-01-8,furin,1,4.7197,0.6713
549-18-8,furin,0,4.6255,1.385
79794-75-5,furin,0,4.7997,1.5431
79307-93-0,furin,1,4.8057,1.5204
100299-08-9,furin,1,4.5632,1.1698
980-71-2,furin,0,4.686,1.6742
122883-93-6,furin,1,4.8675,1.946
76824-35-6,furin,0,4.3599,1.3525
154-69-8,furin,1,4.5463,1.1316
2192-20-3,furin,0,4.7481,1.6687
132-20-7,furin,0,4.6004,0.8502
25332-39-2,furin,1,4.7998,1.4318
1104-22-9,furin,0,4.8179,1.8473
76963-41-2,furin,0,4.3191,1.2973
521-78-8,furin,0,4.6776,1.1136
14976-57-9,furin,1,4.6715,1.4001
10347-81-6,furin,1,4.6358,2.1748
100643-71-8,furin,1,4.6592,1.3756
132-18-3,furin,0,4.5577,1.5002
83881-52-1,furin,0,4.7327,1.7551
2508-72-7,furin,1,4.5715,2.4473
66357-59-3,furin,0,4.356,1.0071
140462-76-6,furin,0,4.6465,1.433
3978-86-7,furin,0,4.7727,1.7505
113-92-8,furin,0,4.68,1.5282
59-33-6,furin,0,4.6779,1.538
190786-44-8,furin,0,4.7043,1.2752
147-24-0,furin,0,4.6111,1.4574
562-10-7,furin,0,4.6901,1.278
144598-75-4,furin,1,4.7321,1.1793
137-58-6,furin,0,4.592,2.11
85650-52-8,furin,0,4.7017,1.4886
34580-14-8,furin,0,4.7141,1.0919
132-17-2,furin,0,4.6112,1.1506
113-59-7,furin,1,4.7342,1.7911
51481-61-9,furin,1,4.1992,1.4655
4682-36-4,furin,0,4.7591,1.4601
97240-79-4,furin,0,4.806,4.0893
25451-15-4,furin,1,4.5601,0.8585
41100-52-1,furin,0,5.0108,3.0754
1508-76-5,furin,1,4.5735,1.6345
68-41-7,furin,0,4.4418,2.0432
50357-45-4,furin,1,4.5872,1.8911
7681-93-8,furin,1,4.4347,1.8195
29342-05-0,furin,0,4.6891,1.8665
41621-49-2,furin,1,4.5337,0.8821
61318-91-0,furin,1,4.6203,1.8636
171228-49-2,furin,0,4.7792,1.5844
536-43-6,furin,0,4.5292,1.1658
53123-88-9,furin,0,4.5757,1.8457
23593-75-1,furin,1,4.8203,1.0443
64872-77-1,furin,1,4.5997,1.9513
91161-71-6,furin,0,4.6578,1.5539
65473-14-5,furin,1,4.7563,1.8091
78628-80-5,furin,0,4.6943,1.7048
1397-89-3,furin,0,4.5597,1.4338
57852-57-0,furin,0,4.6866,1.9754
179463-17-3,furin,1,4.2418,1.5026
1070-11-7,furin,1,4.444,1.5872
101827-46-7,furin,1,4.7328,1.7522
137234-62-9,furin,0,4.6064,0.8996
86386-73-4,furin,0,4.5908,0.9958
99592-39-9,furin,1,4.6706,1.6044
65899-73-2,furin,0,4.8093,1.9563
24280-93-1,furin,0,4.5387,1.0568
540737-29-9,furin,0,4.606,2.2501
84625-61-6,furin,0,4.7575,0.9077
65-85-0,furin,0,4.785,3.3538
24169-02-6,furin,0,4.6413,1.7981
22916-47-8,furin,1,4.8383,2.1188
22832-87-7,furin,0,4.6341,1.8458
17321-77-6,furin,1,4.6295,1.4372
74011-58-8,furin,0,4.4884,1.4042
72509-76-3,furin,0,4.5051,0.7642
173334-58-2,furin,1,4.2974,1.6269
941678-49-5,furin,0,4.583,0.6302
127-79-7,furin,1,4.3997,1.1105
13010-47-4,furin,0,4.4675,1.9313
54527-84-3,furin,1,4.56,1.7223
90357-06-5,furin,1,4.6505,1.764
136572-09-3,furin,0,4.6802,1.8253
1177-87-3,furin,1,4.6937,1.6424
1264-72-8,furin,1,4.1363,1.4621
54-85-3,furin,0,4.2332,1.8189
23541-50-6,furin,0,4.6751,2.1179
943319-70-8,furin,0,4.7491,1.8264
150399-23-8,furin,0,4.6246,1.4473
475207-59-1,furin,1,4.7765,1.4461
1247-42-3,furin,0,4.603,0.8522
73963-72-1,furin,1,4.5911,0.925
668270-12-0,furin,1,4.7628,1.3649
154-42-7,furin,0,4.347,1.7437
129497-78-5,furin,1,4.5847,1.2042
220127-57-1,furin,0,4.8361,1.5194
184475-35-2,furin,1,4.696,1.3581
66085-59-4,furin,0,4.5805,1.6232
75330-75-5,furin,0,4.6552,1.5522
52-01-7,furin,1,4.7944,1.7217
79902-63-9,furin,0,4.6572,1.5371
78246-49-8,furin,0,4.613,2.3345
97682-44-5,furin,0,4.6994,1.6231
65928-58-7,furin,0,4.6109,0.8116
63-74-1,furin,1,4.4477,1.6201
73590-58-6,furin,1,4.6039,0.7927
34552-83-5,furin,1,4.8159,1.7667
123318-82-1,furin,1,4.6416,1.2696
129453-61-8,furin,0,4.4882,1.6342
183133-96-2,furin,0,4.5526,1.5212
302962-49-8,furin,1,4.8339,1.3472
474-25-9,furin,0,4.8074,1.5335
298-46-4,furin,0,4.6973,1.9312
877399-52-5,furin,0,4.7173,1.2644
183319-69-9,furin,1,4.5917,1.2782
179324-69-7,furin,1,4.6252,1.0263
130-61-0,furin,0,4.7289,1.4627
879085-55-9,furin,0,4.7229,1.3852
68-35-9,furin,1,4.4485,0.9184
82640-04-8,furin,1,4.7244,1.6851
162635-04-3,furin,0,4.4969,1.1181
19237-84-4,furin,1,4.7983,1.4159
50-35-1,furin,1,4.5825,1.1394
1098-60-8,furin,0,4.7352,1.6058
873054-44-5,furin,0,4.7288,1.1884
50-55-5,furin,1,4.7273,1.6401
152459-95-5,furin,1,4.8403,1.2191
127-07-1,furin,0,4.1306,1.4243
153559-49-0,furin,1,4.7014,1.594
1264-62-6,furin,0,4.4646,0.9024
85622-93-1,furin,0,4.6324,1.2075
159351-69-6,furin,1,4.5544,1.5124
117772-70-0,furin,0,4.7624,4.387
84371-65-3,furin,0,4.8314,2.114
171599-83-0,furin,0,4.5515,2.2975
595-33-5,furin,1,4.6639,1.3327
144-83-2,furin,1,4.3927,1.1284
19774-82-4,furin,1,4.5726,1.1098
83-43-2,furin,1,4.6713,1.2517
127-56-0,furin,1,4.3747,0.9586
83905-01-5,furin,1,5.0601,5.1822
119413-54-6,furin,0,4.7652,1.3576
118292-40-3,furin,0,4.6294,1.2287
144701-48-4,furin,0,4.83,1.7851
163222-33-1,furin,1,4.8048,1.98
641571-10-0,furin,1,4.8068,1.4177
220620-09-7,furin,1,4.4921,1.4328
108341-18-0,furin,0,4.4266,1.3992
21829-25-4,furin,0,4.5749,1.189
1069-66-5,furin,1,4.4107,2.0164
95635-56-6,furin,0,4.6883,1.4175
2447-57-6,furin,1,4.5845,0.6751
84057-84-1,furin,0,4.4706,1.5464
599-79-1,furin,0,4.8158,1.5161
53716-49-7,furin,1,4.733,2.1516
50-44-2,furin,1,4.5806,2.1233
50-63-5,furin,1,4.5795,2.241
33069-62-4,furin,0,4.5398,1.2366
3056-17-5,furin,0,4.5587,0.9203
58-61-7,furin,0,4.7015,2.624
96946-42-8,furin,0,4.4681,1.3461
918504-65-1,furin,0,4.7976,1.5812
388082-77-7,furin,0,4.5621,2.232
50-01-1,furin,1,4.1274,1.4482
64-77-7,furin,1,4.4875,0.8364
915087-33-1,furin,0,4.6261,1.7601
635702-64-6,furin,0,5.0174,2.1402
61825-94-3,furin,0,4.5896,0.8844
71125-38-7,furin,0,4.5378,1.4016
53-86-1,furin,0,4.6286,1.1787
155141-29-0,furin,0,4.7916,1.2702
443913-73-3,furin,1,4.7526,1.2357
147098-20-2,furin,0,4.4079,1.8644
440-17-5,furin,1,4.739,1.4555
5451-09-2,furin,1,4.3584,0.8749
320-67-2,furin,0,4.657,2.6069
112809-51-5,furin,0,4.6046,1.009
22260-51-1,furin,1,4.7111,1.7309
141625-93-6,furin,0,4.4157,1.2606
55981-09-4,furin,0,4.4976,0.4227
150683-30-0,furin,0,4.7682,1.3943
231277-92-2,furin,0,4.8038,1.3733
81103-11-9,furin,0,4.8073,2.4871
434-13-9,furin,1,4.908,2.0915
59-67-6,furin,1,4.7729,3.0258
10238-21-8,furin,0,4.7764,1.3602
81131-70-6,furin,1,4.4159,1.5477
54965-24-1,furin,0,4.6222,1.8796
33419-42-0,furin,0,4.7601,2.05
127-69-5,furin,1,4.4518,0.895
25316-40-9,furin,0,4.6473,1.9246
106685-40-9,furin,0,4.8922,2.0366
341031-54-7,furin,0,4.6513,1.6481
84680-54-6,furin,0,4.6556,1.4397
134523-03-8,furin,0,4.5309,1.8105
144-82-1,furin,1,4.3931,1.2439
51022-70-9,furin,1,4.6271,2.2087
444731-52-6,furin,1,5.0829,2.3814
75695-93-1,furin,0,4.5548,1.2704
93957-55-2,furin,0,4.6394,1.1886
122111-03-9,furin,0,4.5968,1.1566
118072-93-8,furin,0,4.5316,0.6493
1476-53-5,furin,1,4.4838,1.5327
55079-83-9,furin,1,4.5972,1.6898
104987-11-3,furin,0,4.6147,2.1306
302-79-4,furin,1,4.5499,1.7431
50-78-2,furin,1,4.3807,1.4973
56296-78-7,furin,1,4.5781,1.1568
1115-70-4,furin,1,4.1276,1.1769
49562-28-9,furin,1,4.5902,1.2104
