id,target,in_experimental_data,pred_mean,pred_err
103177-37-3,furin,1,4.7848,1.4588
99464-64-9,furin,1,4.5103,0.7286
23180-57-6,furin,0,4.7275,1.2653
50-27-1,furin,0,4.4213,1.1422
2627-69-2,furin,1,4.6589,1.465
58186-27-9,furin,1,4.6531,1.0957
93793-83-0,furin,0,4.9237,1.6876
39133-31-8,furin,1,4.8719,1.5958
34552-84-6,furin,0,4.3672,0.5946
112885-42-4,furin,0,4.5877,1.2024
51803-78-2,furin,1,4.5474,0.8798
141505-33-1,furin,0,4.4806,0.95
183320-51-6,furin,1,4.631,1.2644
101477-54-7,furin,0,4.7779,1.1184
50-02-2,furin,0,4.5503,1.2327
96829-58-2,furin,0,4.5702,1.5687
98-96-4,furin,0,4.6128,1.3703
541-15-1,furin,0,4.3996,0.7014
65277-42-1,furin,1,4.4599,1.1097
70-00-8,furin,0,4.8618,1.6396
39809-25-1,furin,0,4.6538,1.1037
54-42-2,furin,0,4.633,0.7548
124832-27-5,furin,0,4.8823,1.3019
5536-17-4,furin,0,4.5427,0.8604
147-94-4,furin,1,4.621,0.9433
99011-02-6,furin,0,4.6169,1.0401
70288-86-7,furin,1,4.3638,1.2371
59277-89-3,furin,0,4.8408,1.8654
82410-32-0,furin,0,4.6692,1.4743
104227-87-4,furin,0,4.633,0.9802
50-91-9,furin,0,4.6159,1.8075
79-57-2,furin,0,4.2908,0.4788
6153-64-6,furin,0,4.277,0.4903
518048-05-0,furin,0,4.6561,1.1406
161735-79-1,furin,0,4.6604,0.9063
13492-01-8,furin,1,4.5655,1.5903
549-18-8,furin,0,4.5945,1.0107
79794-75-5,furin,0,4.3785,0.4397
79307-93-0,furin,1,4.6647,1.146
100299-08-9,furin,1,4.7865,2.2219
980-71-2,furin,0,4.5058,0.8209
122883-93-6,furin,1,4.6487,0.7209
76824-35-6,furin,0,4.6851,1.3008
154-69-8,furin,1,4.841,1.8046
2192-20-3,furin,0,4.6504,2.0505
132-20-7,furin,0,4.8116,1.186
25332-39-2,furin,1,4.6067,0.6036
1104-22-9,furin,0,4.6337,1.0973
76963-41-2,furin,0,4.7042,1.1284
521-78-8,furin,0,4.7393,1.1716
14976-57-9,furin,1,4.6572,1.0509
10347-81-6,furin,1,4.3199,0.8923
100643-71-8,furin,1,4.6304,0.8252
132-18-3,furin,0,4.7584,0.9498
83881-52-1,furin,0,4.8907,1.3639
