id,target,in_experimental_data,pred_mean,pred_err
103177-37-3,furin,1,5.1417,0.4548
99464-64-9,furin,1,4.6246,0.3483
23180-57-6,furin,0,4.5663,0.7868
50-27-1,furin,0,4.6217,1.1604
2627-69-2,furin,1,4.6807,0.7834
58186-27-9,furin,1,4.2691,0.4372
93793-83-0,furin,0,4.8664,0.8867
39133-31-8,furin,1,5.1366,0.8807
34552-84-6,furin,0,4.3979,1.2582
112885-42-4,furin,0,4.557,0.5314
51803-78-2,furin,1,4.7696,1.7937
141505-33-1,furin,0,4.6619,1.2106
183320-51-6,furin,1,4.2933,0.4141
101477-54-7,furin,0,4.7786,2.3569
50-02-2,furin,0,4.7459,1.744
96829-58-2,furin,0,4.6898,0.6776
98-96-4,furin,0,4.7874,4.1647
541-15-1,furin,0,4.3326,1.0133
65277-42-1,furin,1,4.2018,0.4721
70-00-8,furin,0,4.4801,0.734
39809-25-1,furin,0,4.5449,0.4974
54-42-2,furin,0,5.0748,1.1767
124832-27-5,furin,0,4.8667,1.4024
5536-17-4,furin,0,5.1298,1.9729
147-94-4,furin,1,5.8187,3.569
99011-02-6,furin,0,4.9078,1.1497
70288-86-7,furin,1,4.3566,0.028
59277-89-3,furin,0,4.3619,0.7799
82410-32-0,furin,0,4.6575,1.0525
104227-87-4,furin,0,4.6145,1.66
50-91-9,furin,0,4.6689,0.9502
79-57-2,furin,0,4.5909,1.3384
6153-64-6,furin,0,4.5637,1.2522
518048-05-0,furin,0,4.5152,1.3315
161735-79-1,furin,0,4.8721,1.6351
13492-01-8,furin,1,4.7956,1.95
549-18-8,furin,0,4.576,1.0691
79794-75-5,furin,0,4.7455,1.6707
79307-93-0,furin,1,4.4085,1.6085
100299-08-9,furin,1,4.6055,1.2761
980-71-2,furin,0,4.6524,1.1845
122883-93-6,furin,1,4.8295,1.0554
76824-35-6,furin,0,4.5798,0.908
154-69-8,furin,1,4.3061,0.8772
2192-20-3,furin,0,4.5976,1.21
132-20-7,furin,0,4.6125,1.146
25332-39-2,furin,1,4.9026,1.264
1104-22-9,furin,0,4.5469,1.1862
76963-41-2,furin,0,4.3742,1.0258
521-78-8,furin,0,4.5969,1.3359
14976-57-9,furin,1,4.6263,0.4557
10347-81-6,furin,1,4.8019,1.9514
100643-71-8,furin,1,4.3459,1.0995
132-18-3,furin,0,4.7544,0.8951
83881-52-1,furin,0,4.6529,1.5113
2508-72-7,furin,1,3.5661,1.4861
66357-59-3,furin,0,4.7888,0.7043
140462-76-6,furin,0,4.695,1.1875
3978-86-7,furin,0,4.894,1.7063
113-92-8,furin,0,4.7483,1.2949
59-33-6,furin,0,4.8119,0.8712
190786-44-8,furin,0,5.0319,1.7394
147-24-0,furin,0,4.7276,1.4846
562-10-7,furin,0,4.6367,1.169
144598-75-4,furin,1,4.3936,1.2419
137-58-6,furin,0,4.9424,1.2711
85650-52-8,furin,0,4.3464,0.665
34580-14-8,furin,0,4.7324,0.9441
132-17-2,furin,0,4.7986,1.2675
113-59-7,furin,1,4.5187,0.5076
51481-61-9,furin,1,3.4373,2.4182
4682-36-4,furin,0,4.9683,1.6135
97240-79-4,furin,0,4.384,1.4796
25451-15-4,furin,1,5.088,1.7507
41100-52-1,furin,0,4.8055,0.9985
1508-76-5,furin,1,4.5097,0.1435
68-41-7,furin,0,4.9332,2.8572
50357-45-4,furin,1,5.1981,2.0237
7681-93-8,furin,1,4.444,1.722
29342-05-0,furin,0,4.798,0.7849
41621-49-2,furin,1,4.8388,0.7282
61318-91-0,furin,1,4.3951,0.676
171228-49-2,furin,0,4.3103,1.1312
536-43-6,furin,0,4.5592,1.26
53123-88-9,furin,0,4.1664,1.0087
23593-75-1,furin,1,4.7215,1.1446
64872-77-1,furin,1,4.4372,1.0346
91161-71-6,furin,0,4.4371,0.5484
65473-14-5,furin,1,4.6764,0.8837
78628-80-5,furin,0,4.4008,0.574
1397-89-3,furin,0,4.1937,0.8776
57852-57-0,furin,0,4.9043,1.8006
179463-17-3,furin,1,4.2197,1.7388
1070-11-7,furin,1,4.673,1.2708
101827-46-7,furin,1,4.3681,0.9058
