id,target,in_experimental_data,pred_mean,pred_err
103177-37-3,furin,1,4.8848,0.997
99464-64-9,furin,1,4.483,0.9725
23180-57-6,furin,0,4.9507,2.041
50-27-1,furin,0,4.7825,2.0938
2627-69-2,furin,1,4.7175,1.7392
58186-27-9,furin,1,4.4291,1.8423
93793-83-0,furin,0,4.5425,1.7958
39133-31-8,furin,1,4.6404,1.231
34552-84-6,furin,0,4.5389,1.1165
112885-42-4,furin,0,4.4735,1.5983
51803-78-2,furin,1,4.4427,1.2575
141505-33-1,furin,0,4.3906,0.9198
183320-51-6,furin,1,4.5252,1.5255
101477-54-7,furin,0,4.9525,1.4916
50-02-2,furin,0,4.4474,1.4273
96829-58-2,furin,0,4.2607,2.5118
98-96-4,furin,0,4.6833,1.2903
541-15-1,furin,0,4.4043,1.1079
65277-42-1,furin,1,4.8086,1.2863
70-00-8,furin,0,4.8056,1.742
39809-25-1,furin,0,4.6719,1.116
54-42-2,furin,0,4.5773,1.0887
124832-27-5,furin,0,4.5468,1.2275
5536-17-4,furin,0,4.7771,1.5433
147-94-4,furin,1,4.7549,1.5426
99011-02-6,furin,0,4.8024,0.9455
70288-86-7,furin,1,5.0578,2.9786
59277-89-3,furin,0,4.6598,1.2821
82410-32-0,furin,0,4.6742,1.1719
104227-87-4,furin,0,4.5223,1.1416
50-91-9,furin,0,4.674,1.4366
79-57-2,furin,0,4.4745,1.1499
6153-64-6,furin,0,4.403,1.3139
518048-05-0,furin,0,4.675,1.2156
161735-79-1,furin,0,4.565,1.273
13492-01-8,furin,1,4.7607,1.815
549-18-8,furin,0,4.8005,1.4302
79794-75-5,furin,0,4.7517,1.0583
79307-93-0,furin,1,4.9184,1.9536
100299-08-9,furin,1,4.7022,1.2545
980-71-2,furin,0,4.4663,1.3142
122883-93-6,furin,1,4.9555,1.3996
76824-35-6,furin,0,4.3165,1.321
154-69-8,furin,1,4.7172,1.6288
2192-20-3,furin,0,4.6275,1.3196
132-20-7,furin,0,4.5818,1.1137
25332-39-2,furin,1,4.8036,1.0105
1104-22-9,furin,0,4.8724,1.0696
76963-41-2,furin,0,4.3501,1.5064
521-78-8,furin,0,4.6395,1.1634
14976-57-9,furin,1,4.5772,1.0344
10347-81-6,furin,1,4.5543,1.4243
100643-71-8,furin,1,4.8505,1.5303
132-18-3,furin,0,4.7977,1.2977
83881-52-1,furin,0,4.7462,1.3877
2508-72-7,furin,1,4.6375,1.4067
66357-59-3,furin,0,4.3641,1.8027
140462-76-6,furin,0,4.7234,1.3412
3978-86-7,furin,0,4.7158,1.0632
113-92-8,furin,0,4.4688,1.1917
59-33-6,furin,0,4.534,0.6086
190786-44-8,furin,0,4.8609,1.2907
147-24-0,furin,0,4.661,1.3731
562-10-7,furin,0,4.613,1.0254
144598-75-4,furin,1,4.981,1.7612
137-58-6,furin,0,4.754,1.6529
85650-52-8,furin,0,4.8246,1.238
34580-14-8,furin,0,4.6186,0.8242
132-17-2,furin,0,4.5563,1.2388
113-59-7,furin,1,4.6837,1.6375
51481-61-9,furin,1,4.3078,1.835
4682-36-4,furin,0,4.6552,1.2175
97240-79-4,furin,0,4.8587,2.5782
25451-15-4,furin,1,4.6379,1.3505
41100-52-1,furin,0,4.8552,2.2363
1508-76-5,furin,1,4.7171,1.5412
68-41-7,furin,0,4.8271,2.0497
50357-45-4,furin,1,4.3206,2.7132
7681-93-8,furin,1,4.2518,1.5849
29342-05-0,furin,0,4.6204,1.5604
41621-49-2,furin,1,4.5637,1.5128
61318-91-0,furin,1,4.5769,1.459
171228-49-2,furin,0,4.984,1.7294
536-43-6,furin,0,4.5351,1.5358
53123-88-9,furin,0,4.2228,1.9043
23593-75-1,furin,1,4.6458,1.5804
64872-77-1,furin,1,4.5531,1.4495
91161-71-6,furin,0,4.5734,1.7218
65473-14-5,furin,1,4.8039,1.4474
78628-80-5,furin,0,4.6087,1.8394
1397-89-3,furin,0,4.3891,2.7566
57852-57-0,furin,0,4.6859,1.5595
179463-17-3,furin,1,4.2189,3.371
1070-11-7,furin,1,4.2429,1.1809
101827-46-7,furin,1,4.8931,1.8202
137234-62-9,furin,0,4.6712,1.1828
86386-73-4,furin,0,4.6853,1.0537
99592-39-9,furin,1,4.8448,1.3633
65899-73-2,furin,0,4.8189,0.7947
24280-93-1,furin,0,4.1959,1.813
540737-29-9,furin,0,4.7246,1.5898
84625-61-6,furin,0,5.0033,1.4672
65-85-0,furin,0,4.8028,1.4736
24169-02-6,furin,0,4.5287,0.9317
22916-47-8,furin,1,4.774,0.9045
22832-87-7,furin,0,4.6027,1.255
17321-77-6,furin,1,4.8126,1.2731
74011-58-8,furin,0,4.6257,1.2083
72509-76-3,furin,0,4.5184,1.3141
173334-58-2,furin,1,3.8193,4.4902
941678-49-5,furin,0,4.9074,1.7712
127-79-7,furin,1,4.4565,1.0179
13010-47-4,furin,0,4.4503,1.6077
54527-84-3,furin,1,4.5627,1.7053
90357-06-5,furin,1,4.4594,2.0309
136572-09-3,furin,0,4.5553,1.4449
1177-87-3,furin,1,4.2632,1.4122
1264-72-8,furin,1,3.6369,3.6518
54-85-3,furin,0,4.5014,1.9219
23541-50-6,furin,0,4.6091,0.8846
943319-70-8,furin,0,4.831,1.2613
150399-23-8,furin,0,4.3178,1.0556
475207-59-1,furin,1,4.9222,1.9095
1247-42-3,furin,0,4.6129,1.3843
73963-72-1,furin,1,4.7888,1.6867
668270-12-0,furin,1,4.6779,0.9915
154-42-7,furin,0,4.5698,1.5244
129497-78-5,furin,1,4.3354,1.4827
220127-57-1,furin,0,4.7554,1.1639
184475-35-2,furin,1,4.8959,1.3946
66085-59-4,furin,0,4.3877,2.2703
75330-75-5,furin,0,4.4681,1.5923
52-01-7,furin,1,4.8403,1.8902
79902-63-9,furin,0,4.4055,1.7042
78246-49-8,furin,0,4.7848,1.9924
97682-44-5,furin,0,4.6339,1.2599
65928-58-7,furin,0,4.6235,1.8188
63-74-1,furin,1,4.4425,1.6014
73590-58-6,furin,1,4.7941,1.0922
34552-83-5,furin,1,4.9305,1.3439
123318-82-1,furin,1,4.6829,1.4704
129453-61-8,furin,0,4.5835,2.6434
183133-96-2,furin,0,4.587,1.1133
302962-49-8,furin,1,4.7169,1.3291
474-25-9,furin,0,4.6389,1.8238
298-46-4,furin,0,4.778,1.045
877399-52-5,furin,0,4.7311,1.4143
183319-69-9,furin,1,4.5976,1.2956
179324-69-7,furin,1,4.1304,2.389
130-61-0,furin,0,4.8415,1.8254
879085-55-9,furin,0,4.6743,0.7363
68-35-9,furin,1,4.491,1.5223
82640-04-8,furin,1,4.778,1.7399
162635-04-3,furin,0,4.1905,1.9917
19237-84-4,furin,1,4.5813,1.6419
50-35-1,furin,1,4.4869,0.7326
1098-60-8,furin,0,4.853,1.9235
873054-44-5,furin,0,4.8141,1.0944
50-55-5,furin,1,4.808,1.2097
152459-95-5,furin,1,4.8491,0.8691
127-07-1,furin,0,4.4372,2.0044
153559-49-0,furin,1,4.6448,1.1938
1264-62-6,furin,0,4.5255,1.6017
85622-93-1,furin,0,4.867,1.7328
159351-69-6,furin,1,4.2985,2.0041
117772-70-0,furin,0,4.5769,1.9636
