id,target,in_experimental_data,pred_mean,pred_err
103177-37-3,furin,1,4.9776,1.6614
99464-64-9,furin,1,4.645,0.9931
23180-57-6,furin,0,4.804,2.2592
50-27-1,furin,0,4.5838,1.6459
2627-69-2,furin,1,4.6504,1.1288
58186-27-9,furin,1,4.4107,1.1703
93793-83-0,furin,0,4.724,1.2501
39133-31-8,furin,1,4.7808,1.6095
34552-84-6,furin,0,4.4322,0.968
112885-42-4,furin,0,4.5252,1.8765
51803-78-2,furin,1,4.5987,1.4527
141505-33-1,furin,0,4.6094,0.9904
183320-51-6,furin,1,4.5166,0.9283
101477-54-7,furin,0,4.7319,2.7732
50-02-2,furin,0,4.7418,1.9226
96829-58-2,furin,0,4.4636,2.1774
98-96-4,furin,0,4.6613,4.2942
541-15-1,furin,0,4.2821,1.5143
65277-42-1,furin,1,4.5222,1.7015
70-00-8,furin,0,4.6113,0.8091
39809-25-1,furin,0,4.6513,1.2232
54-42-2,furin,0,4.6227,1.1019
124832-27-5,furin,0,4.8628,3.5433
5536-17-4,furin,0,4.7738,1.9643
147-94-4,furin,1,5.0047,4.5138
99011-02-6,furin,0,4.6459,1.5483
70288-86-7,furin,1,4.4298,0.5427
59277-89-3,furin,0,4.6602,1.2181
82410-32-0,furin,0,4.7092,1.5139
104227-87-4,furin,0,4.5318,1.2985
50-91-9,furin,0,4.5872,0.7413
79-57-2,furin,0,4.6601,1.5018
6153-64-6,furin,0,4.6372,1.536
518048-05-0,furin,0,4.82,2.8549
161735-79-1,furin,0,4.6248,0.9966
13492-01-8,furin,1,4.8323,1.0058
549-18-8,furin,0,4.5999,1.3588
79794-75-5,furin,0,4.7062,1.4159
79307-93-0,furin,1,4.6562,1.36
100299-08-9,furin,1,4.5902,1.1366
980-71-2,furin,0,4.6528,1.3787
122883-93-6,furin,1,4.742,1.3371
76824-35-6,furin,0,4.4565,0.9357
154-69-8,furin,1,4.4082,0.5937
2192-20-3,furin,0,4.6123,1.1699
132-20-7,furin,0,4.6553,1.2116
25332-39-2,furin,1,4.738,0.951
1104-22-9,furin,0,4.6691,1.0787
76963-41-2,furin,0,4.3505,1.2823
521-78-8,furin,0,4.7413,1.966
14976-57-9,furin,1,4.5891,0.6415
10347-81-6,furin,1,4.5617,2.2657
100643-71-8,furin,1,4.4891,1.4671
132-18-3,furin,0,4.5872,1.1663
83881-52-1,furin,0,4.7962,2.9819
2508-72-7,furin,1,4.2463,2.4249
66357-59-3,furin,0,4.4978,0.7037
140462-76-6,furin,0,4.5204,1.4818
3978-86-7,furin,0,4.798,2.0968
113-92-8,furin,0,4.7099,1.3012
59-33-6,furin,0,4.7792,1.0135
190786-44-8,furin,0,4.9007,1.8002
147-24-0,furin,0,4.51,1.7621
562-10-7,furin,0,4.7479,1.7235
144598-75-4,furin,1,4.5515,1.7115
137-58-6,furin,0,4.7116,2.3067
85650-52-8,furin,0,4.5075,0.8747
34580-14-8,furin,0,4.6651,1.2685
132-17-2,furin,0,4.5451,1.2534
113-59-7,furin,1,4.6366,1.403
51481-61-9,furin,1,4.0617,2.3883
4682-36-4,furin,0,4.9249,2.4968
97240-79-4,furin,0,4.6648,1.7643
25451-15-4,furin,1,4.7525,2.4277
41100-52-1,furin,0,4.6915,2.4818
1508-76-5,furin,1,4.4999,0.5378
68-41-7,furin,0,4.5591,4.4219
50357-45-4,furin,1,4.8174,2.71
7681-93-8,furin,1,4.4249,1.2714
29342-05-0,furin,0,4.616,0.7878
41621-49-2,furin,1,4.6347,0.6964
61318-91-0,furin,1,4.566,2.167
171228-49-2,furin,0,4.6647,2.5483
536-43-6,furin,0,4.5355,1.1645
53123-88-9,furin,0,4.4299,0.9969
23593-75-1,furin,1,4.7093,1.6971
64872-77-1,furin,1,4.6075,2.0079
91161-71-6,furin,0,4.5743,1.2788
65473-14-5,furin,1,4.6341,1.8232
78628-80-5,furin,0,4.5806,1.4909
1397-89-3,furin,0,4.3921,1.1689
57852-57-0,furin,0,4.7455,2.5355
179463-17-3,furin,1,4.2431,1.5077
1070-11-7,furin,1,4.5094,1.1504
101827-46-7,furin,1,4.551,1.05
137234-62-9,furin,0,4.6595,1.8735
86386-73-4,furin,0,4.5476,1.4835
99592-39-9,furin,1,4.7342,1.728
65899-73-2,furin,0,4.8082,2.2981
24280-93-1,furin,0,4.5152,0.76
540737-29-9,furin,0,4.9285,2.9745
84625-61-6,furin,0,4.571,0.95
65-85-0,furin,0,4.8684,4.6399
24169-02-6,furin,0,4.6666,1.624
22916-47-8,furin,1,4.9524,3.0224
22832-87-7,furin,0,4.648,2.0825
17321-77-6,furin,1,4.5513,1.5968
74011-58-8,furin,0,4.4239,1.2502
72509-76-3,furin,0,4.4457,1.2108
173334-58-2,furin,1,4.2902,1.8955
941678-49-5,furin,0,4.6262,1.8699
127-79-7,furin,1,4.2611,0.759
13010-47-4,furin,0,4.4197,1.4139
54527-84-3,furin,1,4.6067,2.1097
90357-06-5,furin,1,4.6742,3.3293
136572-09-3,furin,0,4.3947,1.3507
1177-87-3,furin,1,4.611,1.7751
1264-72-8,furin,1,4.0962,1.5689
54-85-3,furin,0,4.4494,4.5566
23541-50-6,furin,0,4.7917,2.5028
943319-70-8,furin,0,4.6088,1.7943
150399-23-8,furin,0,4.632,1.6266
475207-59-1,furin,1,4.8446,2.5826
1247-42-3,furin,0,4.5408,1.0907
73963-72-1,furin,1,4.8226,2.3169
668270-12-0,furin,1,4.4817,1.0911
154-42-7,furin,0,4.516,2.6918
129497-78-5,furin,1,4.345,2.0285
220127-57-1,furin,0,4.6702,1.0864
184475-35-2,furin,1,4.763,4.811
66085-59-4,furin,0,4.6154,1.8873
75330-75-5,furin,0,4.5384,1.0777
52-01-7,furin,1,4.8922,2.8171
79902-63-9,furin,0,4.4992,0.7405
78246-49-8,furin,0,4.4444,1.1736
97682-44-5,furin,0,4.4049,1.0317
65928-58-7,furin,0,4.4636,1.0363
63-74-1,furin,1,4.3867,1.1772
73590-58-6,furin,1,4.6263,1.0556
34552-83-5,furin,1,4.7509,0.863
123318-82-1,furin,1,4.6426,1.1993
129453-61-8,furin,0,4.5702,1.6518
183133-96-2,furin,0,4.679,2.579
302962-49-8,furin,1,4.5244,0.7659
474-25-9,furin,0,4.6675,1.3308
298-46-4,furin,0,4.7015,3.2024
877399-52-5,furin,0,4.6295,1.831
183319-69-9,furin,1,4.5319,1.0406
179324-69-7,furin,1,4.5289,0.813
130-61-0,furin,0,4.6501,0.9356
879085-55-9,furin,0,4.7076,1.3036
68-35-9,furin,1,4.2593,0.5321
82640-04-8,furin,1,4.6565,0.7548
162635-04-3,furin,0,4.4237,1.2147
19237-84-4,furin,1,4.5671,0.9204
