id,target,in_experimental_data,pred_mean,pred_err
103177-37-3,furin,1,4.6689,1.5428
99464-64-9,furin,1,4.5515,0.9461
23180-57-6,furin,0,4.7299,1.2642
50-27-1,furin,0,4.511,1.1175
2627-69-2,furin,1,4.6518,1.312
58186-27-9,furin,1,4.6717,1.4539
93793-83-0,furin,0,4.7625,2.2144
39133-31-8,furin,1,4.7173,1.8527
34552-84-6,furin,0,4.4762,0.5614
112885-42-4,furin,0,4.666,1.2758
51803-78-2,furin,1,4.5902,1.0541
141505-33-1,furin,0,4.5604,0.8514
183320-51-6,furin,1,4.694,1.4573
101477-54-7,furin,0,4.7653,1.4132
50-02-2,furin,0,4.4837,1.8571
96829-58-2,furin,0,4.5796,1.5136
98-96-4,furin,0,4.6391,1.4645
541-15-1,furin,0,4.4307,0.7967
65277-42-1,furin,1,4.4815,1.3
70-00-8,furin,0,4.8049,1.5375
39809-25-1,furin,0,4.6896,1.078
54-42-2,furin,0,4.6535,0.8667
124832-27-5,furin,0,4.8234,1.2973
5536-17-4,furin,0,4.552,0.851
147-94-4,furin,1,4.6416,1.0202
99011-02-6,furin,0,4.6385,0.8817
70288-86-7,furin,1,4.4717,1.1598
59277-89-3,furin,0,4.7978,1.738
82410-32-0,furin,0,4.6941,1.2752
104227-87-4,furin,0,4.5722,1.2893
50-91-9,furin,0,4.6128,1.5496
79-57-2,furin,0,4.323,0.6403
6153-64-6,furin,0,4.2876,0.6338
518048-05-0,furin,0,4.689,1.1727
161735-79-1,furin,0,4.6878,0.9972
13492-01-8,furin,1,4.491,1.5974
549-18-8,furin,0,4.6455,0.9326
79794-75-5,furin,0,4.4835,0.5396
79307-93-0,furin,1,4.7867,1.7234
100299-08-9,furin,1,4.7463,2.1699
980-71-2,furin,0,4.5484,0.8695
122883-93-6,furin,1,4.6767,0.8517
76824-35-6,furin,0,4.6572,1.1651
154-69-8,furin,1,4.6968,1.6068
2192-20-3,furin,0,4.6985,1.7137
132-20-7,furin,0,4.7536,1.0581
25332-39-2,furin,1,4.6728,0.7621
1104-22-9,furin,0,4.6753,0.8903
76963-41-2,furin,0,4.7009,1.2775
521-78-8,furin,0,4.7255,1.006
14976-57-9,furin,1,4.6771,0.9633
10347-81-6,furin,1,4.5088,0.8313
100643-71-8,furin,1,4.7104,0.9818
132-18-3,furin,0,4.7347,0.8771
83881-52-1,furin,0,4.7964,1.2714
2508-72-7,furin,1,4.6464,1.4867
66357-59-3,furin,0,4.7321,1.1665
140462-76-6,furin,0,4.7442,0.9881
3978-86-7,furin,0,4.7874,0.9157
113-92-8,furin,0,4.5496,0.9292
59-33-6,furin,0,4.6287,1.1651
190786-44-8,furin,0,4.7941,1.5726
147-24-0,furin,0,4.6642,1.3341
562-10-7,furin,0,4.6409,1.1466
144598-75-4,furin,1,4.7728,1.2156
137-58-6,furin,0,4.9116,1.526
85650-52-8,furin,0,4.6956,0.8795
34580-14-8,furin,0,4.6276,0.7727
132-17-2,furin,0,4.5997,0.8886
113-59-7,furin,1,4.487,1.3058
51481-61-9,furin,1,4.6736,1.552
4682-36-4,furin,0,4.722,0.9361
97240-79-4,furin,0,4.6726,1.9623
25451-15-4,furin,1,4.7898,1.6669
41100-52-1,furin,0,4.6608,0.749
1508-76-5,furin,1,4.6824,0.9288
68-41-7,furin,0,4.6524,1.7858
50357-45-4,furin,1,4.6162,1.6685
7681-93-8,furin,1,4.1575,1.6897
29342-05-0,furin,0,4.6136,1.426
41621-49-2,furin,1,4.5755,1.3824
61318-91-0,furin,1,4.6334,0.738
171228-49-2,furin,0,4.5582,1.7111
536-43-6,furin,0,4.6544,1.5275
53123-88-9,furin,0,4.264,1.9623
23593-75-1,furin,1,4.4535,1.0854
64872-77-1,furin,1,4.6389,0.956
91161-71-6,furin,0,4.5968,1.0575
65473-14-5,furin,1,4.6535,1.3959
78628-80-5,furin,0,4.6288,1.1607
1397-89-3,furin,0,4.2913,1.7078
57852-57-0,furin,0,4.4693,2.3314
179463-17-3,furin,1,4.543,2.4504
1070-11-7,furin,1,4.2602,2.2082
101827-46-7,furin,1,4.6881,1.662
137234-62-9,furin,0,4.6144,1.422
86386-73-4,furin,0,4.659,1.2574
99592-39-9,furin,1,4.7304,1.1862
65899-73-2,furin,0,4.6218,0.7541
24280-93-1,furin,0,4.3385,1.8325
540737-29-9,furin,0,4.752,1.2607
84625-61-6,furin,0,4.5508,1.4149
65-85-0,furin,0,4.8135,1.86
24169-02-6,furin,0,4.4802,0.8305
22916-47-8,furin,1,4.571,0.7427
22832-87-7,furin,0,4.6125,0.9016
17321-77-6,furin,1,4.7202,1.0254
74011-58-8,furin,0,4.6062,0.9176
72509-76-3,furin,0,4.4834,1.1798
173334-58-2,furin,1,4.278,1.72
941678-49-5,furin,0,4.7622,1.5235
127-79-7,furin,1,4.5502,0.9593
13010-47-4,furin,0,4.7075,1.1098
54527-84-3,furin,1,4.7694,1.3128
90357-06-5,furin,1,4.6928,1.7457
136572-09-3,furin,0,4.1894,1.4894
1177-87-3,furin,1,4.3939,1.9283
1264-72-8,furin,1,4.2627,2.4766
54-85-3,furin,0,4.741,1.9133
23541-50-6,furin,0,4.3294,0.8629
943319-70-8,furin,0,4.5655,1.3039
150399-23-8,furin,0,4.502,1.1136
475207-59-1,furin,1,4.8001,1.3008
1247-42-3,furin,0,4.5717,0.6717
73963-72-1,furin,1,4.8062,1.2278
668270-12-0,furin,1,4.5203,1.5074
154-42-7,furin,0,4.5758,1.4656
129497-78-5,furin,1,3.9557,1.8248
220127-57-1,furin,0,4.5045,0.9597
184475-35-2,furin,1,4.8816,1.6
66085-59-4,furin,0,4.6858,2.0284
75330-75-5,furin,0,4.4108,1.4917
52-01-7,furin,1,4.6089,1.1381
79902-63-9,furin,0,4.2909,1.4155
78246-49-8,furin,0,4.6913,1.3962
97682-44-5,furin,0,4.1864,1.4924
65928-58-7,furin,0,4.5222,1.0126
63-74-1,furin,1,4.5137,1.7196
73590-58-6,furin,1,4.7048,1.2304
34552-83-5,furin,1,4.758,1.591
123318-82-1,furin,1,4.605,1.504
129453-61-8,furin,0,4.5829,2.1159
183133-96-2,furin,0,4.3598,1.831
302962-49-8,furin,1,4.5347,1.3125
474-25-9,furin,0,4.3291,0.6255
298-46-4,furin,0,4.6582,1.0081
877399-52-5,furin,0,4.6049,1.3832
183319-69-9,furin,1,4.737,1.062
179324-69-7,furin,1,4.1033,2.1241
130-61-0,furin,0,4.6401,1.0896
879085-55-9,furin,0,4.5431,1.1047
68-35-9,furin,1,4.5735,1.3933
82640-04-8,furin,1,4.3522,1.6916
162635-04-3,furin,0,4.33,1.6806
19237-84-4,furin,1,4.3018,1.8521
50-35-1,furin,1,4.6361,0.7509
1098-60-8,furin,0,4.5983,1.1633
873054-44-5,furin,0,4.552,0.865
50-55-5,furin,1,4.4888,1.0971
152459-95-5,furin,1,4.4969,0.8676
127-07-1,furin,0,4.7926,1.4962
153559-49-0,furin,1,4.5029,0.9423
1264-62-6,furin,0,4.5656,2.0471
85622-93-1,furin,0,4.8897,2.1841
159351-69-6,furin,1,4.4549,1.2774
117772-70-0,furin,0,4.5558,1.3221
84371-65-3,furin,0,4.532,1.6348
171599-83-0,furin,0,4.6429,0.9462
595-33-5,furin,1,4.2525,1.2047
144-83-2,furin,1,4.6149,1.2538
19774-82-4,furin,1,4.5267,0.9141
83-43-2,furin,1,4.5323,0.9236
127-56-0,furin,1,4.5525,1.4713
83905-01-5,furin,1,4.6818,1.2
119413-54-6,furin,0,4.5026,1.33
118292-40-3,furin,0,4.5542,1.0813
144701-48-4,furin,0,4.5857,1.3685
163222-33-1,furin,1,4.5868,1.5258
641571-10-0,furin,1,4.8261,1.0733
220620-09-7,furin,1,4.4922,1.3541
108341-18-0,furin,0,4.6608,1.3786
21829-25-4,furin,0,4.3408,2.4849
1069-66-5,furin,1,4.8193,1.7548
95635-56-6,furin,0,4.7902,1.1918
2447-57-6,furin,1,4.5501,0.8727
84057-84-1,furin,0,4.81,1.5481
599-79-1,furin,0,4.241,0.7913
53716-49-7,furin,1,4.672,0.9576
50-44-2,furin,1,4.4425,1.29
50-63-5,furin,1,4.5156,1.3646
33069-62-4,furin,0,4.042,2.9328
3056-17-5,furin,0,4.6501,1.8506
58-61-7,furin,0,4.61,1.1207
96946-42-8,furin,0,4.3624,2.3276
918504-65-1,furin,0,4.6533,1.3697
388082-77-7,furin,0,4.8905,1.6547
50-01-1,furin,1,4.6827,1.9256
64-77-7,furin,1,4.4064,2.1353
915087-33-1,furin,0,4.7122,2.1767
635702-64-6,furin,0,4.8807,1.3972
61825-94-3,furin,0,4.5258,1.4888
71125-38-7,furin,0,4.4387,0.4759
53-86-1,furin,0,4.6181,0.988
155141-29-0,furin,0,4.5668,1.5597
443913-73-3,furin,1,4.8584,1.6355
147098-20-2,furin,0,4.6541,0.9581
440-17-5,furin,1,4.4727,1.7693
5451-09-2,furin,1,4.4391,1.1671
320-67-2,furin,0,4.6058,1.2203
112809-51-5,furin,0,4.4804,0.8995
22260-51-1,furin,1,4.425,1.15
141625-93-6,furin,0,4.605,1.1726
55981-09-4,furin,0,4.2044,1.6186
150683-30-0,furin,0,4.6697,1.7796
231277-92-2,furin,0,4.8396,1.3101
