id,target,in_experimental_data,pred_mean,pred_err
103177-37-3,furin,1,5.159,0.3664
99464-64-9,furin,1,4.6209,0.455
23180-57-6,furin,0,4.5032,0.8612
50-27-1,furin,0,4.5771,1.6627
2627-69-2,furin,1,4.6199,1.1697
58186-27-9,furin,1,4.3443,1.0779
93793-83-0,furin,0,5.2157,0.556
39133-31-8,furin,1,5.2077,1.0194
34552-84-6,furin,0,4.3901,1.1368
112885-42-4,furin,0,4.4513,0.7521
51803-78-2,furin,1,4.8292,2.1454
141505-33-1,furin,0,4.5653,1.9146
183320-51-6,furin,1,4.314,0.6453
101477-54-7,furin,0,4.8489,2.4808
50-02-2,furin,0,4.655,1.231
96829-58-2,furin,0,5.0752,1.795
98-96-4,furin,0,4.7674,5.9525
541-15-1,furin,0,4.3692,1.3976
65277-42-1,furin,1,4.2099,0.3608
70-00-8,furin,0,4.3187,1.4163
39809-25-1,furin,0,4.4964,0.8826
54-42-2,furin,0,5.0008,1.1432
124832-27-5,furin,0,4.7705,2.5565
5536-17-4,furin,0,5.0072,2.3267
147-94-4,furin,1,5.8065,5.4101
99011-02-6,furin,0,4.937,1.6477
70288-86-7,furin,1,4.366,0.2183
59277-89-3,furin,0,4.4265,1.1143
82410-32-0,furin,0,4.593,0.9984
104227-87-4,furin,0,4.7127,2.0088
50-91-9,furin,0,4.6651,0.8113
79-57-2,furin,0,4.7735,1.1753
6153-64-6,furin,0,4.761,1.1964
518048-05-0,furin,0,4.514,1.1687
161735-79-1,furin,0,4.7208,1.5424
13492-01-8,furin,1,4.8384,2.2085
549-18-8,furin,0,4.4981,1.5461
79794-75-5,furin,0,4.6314,0.9969
79307-93-0,furin,1,4.5516,1.6885
100299-08-9,furin,1,4.6081,1.8792
980-71-2,furin,0,4.5923,0.9112
122883-93-6,furin,1,4.709,0.7334
76824-35-6,furin,0,4.569,1.167
154-69-8,furin,1,4.3015,1.3934
2192-20-3,furin,0,4.5994,1.9279
132-20-7,furin,0,4.7377,1.0248
25332-39-2,furin,1,4.9409,1.4885
1104-22-9,furin,0,4.5735,1.1642
76963-41-2,furin,0,4.3302,1.8125
521-78-8,furin,0,4.6204,1.9137
14976-57-9,furin,1,4.6028,0.2732
10347-81-6,furin,1,4.8614,2.7093
100643-71-8,furin,1,4.3407,1.6194
132-18-3,furin,0,4.6475,1.5566
83881-52-1,furin,0,5.3257,2.1202
2508-72-7,furin,1,3.5774,2.4305
66357-59-3,furin,0,4.5537,1.1285
140462-76-6,furin,0,4.4887,0.9385
3978-86-7,furin,0,4.8899,1.5056
113-92-8,furin,0,4.7914,1.3608
59-33-6,furin,0,4.6796,1.8144
190786-44-8,furin,0,5.0816,2.1414
147-24-0,furin,0,4.494,1.282
562-10-7,furin,0,4.6767,1.5974
144598-75-4,furin,1,4.4311,2.2901
137-58-6,furin,0,5.0139,2.178
85650-52-8,furin,0,4.3269,1.2326
34580-14-8,furin,0,4.741,0.7048
132-17-2,furin,0,4.7701,0.947
113-59-7,furin,1,4.5909,0.6547
51481-61-9,furin,1,3.4421,3.7292
4682-36-4,furin,0,4.8425,1.6984
97240-79-4,furin,0,4.2144,1.7647
25451-15-4,furin,1,5.1958,1.8589
