id,target,in_experimental_data,pred_mean,pred_err
103177-37-3,furin,1,4.9448,1.281
99464-64-9,furin,1,4.3874,1.6201
23180-57-6,furin,0,5.1226,2.3035
50-27-1,furin,0,4.6759,2.3615
2627-69-2,furin,1,4.8176,1.9523
58186-27-9,furin,1,4.366,1.4989
93793-83-0,furin,0,4.6952,2.3899
39133-31-8,furin,1,4.7226,1.8016
34552-84-6,furin,0,4.4342,1.2852
112885-42-4,furin,0,4.4589,2.2842
51803-78-2,furin,1,4.4499,1.0458
141505-33-1,furin,0,4.3641,1.0875
183320-51-6,furin,1,4.4777,1.8152
101477-54-7,furin,0,5.0,1.4728
50-02-2,furin,0,4.5644,1.1951
96829-58-2,furin,0,4.2718,2.1513
98-96-4,furin,0,4.7358,1.7923
541-15-1,furin,0,4.4391,1.0068
65277-42-1,furin,1,4.769,1.3858
70-00-8,furin,0,4.9113,1.7903
39809-25-1,furin,0,4.6935,1.1058
54-42-2,furin,0,4.6081,1.3397
124832-27-5,furin,0,4.6878,1.7604
5536-17-4,furin,0,4.8764,1.6675
147-94-4,furin,1,4.8217,1.6299
99011-02-6,furin,0,4.7696,1.1471
70288-86-7,furin,1,5.1196,3.1661
59277-89-3,furin,0,4.6822,1.4919
82410-32-0,furin,0,4.6477,1.1631
104227-87-4,furin,0,4.5087,2.1975
50-91-9,furin,0,4.6316,1.3774
79-57-2,furin,0,4.5158,1.3476
6153-64-6,furin,0,4.4668,1.4635
518048-05-0,furin,0,4.643,2.0463
161735-79-1,furin,0,4.6232,1.3192
13492-01-8,furin,1,4.9752,2.7568
549-18-8,furin,0,4.796,1.7192
79794-75-5,furin,0,4.5761,1.1954
79307-93-0,furin,1,4.8556,1.7997
100299-08-9,furin,1,4.7022,1.7383
980-71-2,furin,0,4.3878,1.3009
122883-93-6,furin,1,4.9954,1.7595
76824-35-6,furin,0,4.3591,1.1052
154-69-8,furin,1,4.747,1.9962
2192-20-3,furin,0,4.5914,1.5109
132-20-7,furin,0,4.6508,1.2753
25332-39-2,furin,1,4.6887,1.3579
1104-22-9,furin,0,4.7858,1.2966
76963-41-2,furin,0,4.3672,1.4113
521-78-8,furin,0,4.6489,1.9057
14976-57-9,furin,1,4.5137,1.1881
10347-81-6,furin,1,4.332,1.4658
100643-71-8,furin,1,4.7376,1.4705
132-18-3,furin,0,4.7577,1.3361
83881-52-1,furin,0,4.8901,1.4995
2508-72-7,furin,1,4.57,1.6378
66357-59-3,furin,0,4.4021,1.5822
140462-76-6,furin,0,4.7156,1.3825
3978-86-7,furin,0,4.7026,1.4553
113-92-8,furin,0,4.4293,1.3408
59-33-6,furin,0,4.5793,1.0384
190786-44-8,furin,0,4.9884,1.749
147-24-0,furin,0,4.6809,1.348
562-10-7,furin,0,4.6362,1.7021
144598-75-4,furin,1,5.0389,1.6213
137-58-6,furin,0,4.8855,1.9257
85650-52-8,furin,0,4.6909,1.0659
