id,target,in_experimental_data,pred_mean,pred_err
103177-37-3,furin,1,5.1708,0.2804
99464-64-9,furin,1,4.7321,0.9911
23180-57-6,furin,0,4.978,1.974
50-27-1,furin,0,4.6393,1.8807
2627-69-2,furin,1,4.6678,0.9908
58186-27-9,furin,1,4.2674,1.2981
93793-83-0,furin,0,4.9784,1.3695
39133-31-8,furin,1,5.0462,1.5606
34552-84-6,furin,0,4.3259,1.0622
112885-42-4,furin,0,4.6187,1.9465
51803-78-2,furin,1,4.7629,1.9163
141505-33-1,furin,0,4.5482,1.0179
183320-51-6,furin,1,4.288,0.693
101477-54-7,furin,0,4.8638,2.5283
50-02-2,furin,0,4.957,2.4649
96829-58-2,furin,0,4.3502,1.2058
98-96-4,furin,0,4.7809,3.1493
541-15-1,furin,0,4.2184,1.3713
65277-42-1,furin,1,4.2979,0.4735
70-00-8,furin,0,4.8532,1.2918
39809-25-1,furin,0,4.5631,1.1716
54-42-2,furin,0,4.698,1.1125
124832-27-5,furin,0,4.9769,3.2055
5536-17-4,furin,0,5.1109,2.9019
147-94-4,furin,1,5.7715,4.9438
99011-02-6,furin,0,4.7305,1.1307
70288-86-7,furin,1,4.3133,0.6426
59277-89-3,furin,0,4.6475,1.277
82410-32-0,furin,0,4.7692,1.126
104227-87-4,furin,0,4.4496,1.331
50-91-9,furin,0,4.5496,0.9145
79-57-2,furin,0,4.9278,1.1684
6153-64-6,furin,0,4.8747,1.5217
518048-05-0,furin,0,4.9284,3.1326
161735-79-1,furin,0,4.7713,1.3893
13492-01-8,furin,1,4.9939,2.077
549-18-8,furin,0,4.667,0.9259
79794-75-5,furin,0,4.8218,1.3563
79307-93-0,furin,1,4.8011,1.8614
100299-08-9,furin,1,4.58,1.4234
980-71-2,furin,0,4.5236,1.1418
122883-93-6,furin,1,4.8282,1.6269
76824-35-6,furin,0,4.4983,1.0463
154-69-8,furin,1,4.1768,0.3263
2192-20-3,furin,0,4.5522,0.8448
132-20-7,furin,0,4.8355,1.1259
25332-39-2,furin,1,4.9527,1.0741
1104-22-9,furin,0,4.7037,1.5767
76963-41-2,furin,0,4.1973,1.4266
521-78-8,furin,0,4.7904,2.5798
14976-57-9,furin,1,4.6235,0.31
10347-81-6,furin,1,4.6661,3.4059
100643-71-8,furin,1,4.3592,1.435
132-18-3,furin,0,4.5866,1.2007
83881-52-1,furin,0,5.0359,2.0639
2508-72-7,furin,1,3.7134,3.1579
66357-59-3,furin,0,4.4365,0.9491
140462-76-6,furin,0,4.5676,1.206
3978-86-7,furin,0,5.0237,1.18
113-92-8,furin,0,4.607,1.3397
59-33-6,furin,0,4.8061,1.6786
190786-44-8,furin,0,4.7749,1.725
147-24-0,furin,0,4.3757,1.7706
562-10-7,furin,0,4.8512,1.9703
144598-75-4,furin,1,4.3804,1.4749
137-58-6,furin,0,5.1131,2.0939
85650-52-8,furin,0,4.4408,1.1146
34580-14-8,furin,0,4.6569,0.9872
132-17-2,furin,0,4.565,1.3606
113-59-7,furin,1,4.6252,1.5768
51481-61-9,furin,1,3.4098,2.6804
4682-36-4,furin,0,4.959,2.386
97240-79-4,furin,0,4.8136,2.062
25451-15-4,furin,1,4.9848,3.109
41100-52-1,furin,0,4.9017,2.2778
1508-76-5,furin,1,4.4622,0.4699
68-41-7,furin,0,4.6699,4.1201
50357-45-4,furin,1,5.0495,2.4442
7681-93-8,furin,1,4.4363,1.5717
29342-05-0,furin,0,4.747,1.0721
41621-49-2,furin,1,4.7302,1.0308
61318-91-0,furin,1,4.4123,1.119
171228-49-2,furin,0,4.6874,2.0074
536-43-6,furin,0,4.4128,2.0297
53123-88-9,furin,0,4.1388,1.2877
23593-75-1,furin,1,4.7557,1.7425
64872-77-1,furin,1,4.4522,1.1971
91161-71-6,furin,0,4.3673,1.2561
65473-14-5,furin,1,4.4967,1.4842
78628-80-5,furin,0,4.4073,1.0025
1397-89-3,furin,0,4.3577,1.479
57852-57-0,furin,0,4.7102,1.5183
179463-17-3,furin,1,4.0176,1.052
1070-11-7,furin,1,4.4825,1.08
101827-46-7,furin,1,4.4495,0.9133
137234-62-9,furin,0,4.6656,1.2925
86386-73-4,furin,0,4.5381,1.1869
99592-39-9,furin,1,4.8208,1.4762
65899-73-2,furin,0,5.0209,2.9723
24280-93-1,furin,0,4.527,1.1149
540737-29-9,furin,0,5.2354,2.7899
84625-61-6,furin,0,4.5253,0.6438
65-85-0,furin,0,4.9116,3.5615
24169-02-6,furin,0,4.6399,1.0275
22916-47-8,furin,1,5.3261,3.5836
22832-87-7,furin,0,4.5458,1.6988
17321-77-6,furin,1,4.5238,2.7689
74011-58-8,furin,0,4.1083,1.3904
72509-76-3,furin,0,4.2925,0.9045
173334-58-2,furin,1,4.0014,1.1492
941678-49-5,furin,0,4.6076,1.5524
127-79-7,furin,1,3.9896,0.218
13010-47-4,furin,0,4.1808,2.1709
54527-84-3,furin,1,4.5267,2.2172
90357-06-5,furin,1,4.5863,2.5729
136572-09-3,furin,0,4.1897,0.8913
1177-87-3,furin,1,4.7662,2.4164
1264-72-8,furin,1,3.5937,0.4078
54-85-3,furin,0,4.2354,3.7677
23541-50-6,furin,0,5.062,1.8713
943319-70-8,furin,0,4.4668,1.1621
150399-23-8,furin,0,4.8403,1.5816
475207-59-1,furin,1,4.9812,3.1787
1247-42-3,furin,0,4.4741,1.1292
73963-72-1,furin,1,5.2195,3.1578
668270-12-0,furin,1,4.3589,0.7641
154-42-7,furin,0,4.571,2.5952
129497-78-5,furin,1,3.9563,2.3976
220127-57-1,furin,0,4.911,1.2228
184475-35-2,furin,1,4.704,5.2925
66085-59-4,furin,0,4.6032,1.5571
75330-75-5,furin,0,4.3167,1.2533
52-01-7,furin,1,5.2941,3.4079
79902-63-9,furin,0,4.3054,1.2961
78246-49-8,furin,0,4.1819,1.3002
97682-44-5,furin,0,4.2273,0.8866
65928-58-7,furin,0,4.2829,1.0846
63-74-1,furin,1,4.1903,0.6257
73590-58-6,furin,1,4.6686,1.2956
34552-83-5,furin,1,4.9243,0.1047
123318-82-1,furin,1,4.5965,1.5076
129453-61-8,furin,0,4.2787,1.3065
183133-96-2,furin,0,5.0085,2.6056
302962-49-8,furin,1,4.3594,0.8901
474-25-9,furin,0,4.8287,1.4591
298-46-4,furin,0,4.8606,2.2527
877399-52-5,furin,0,4.5682,1.0627
183319-69-9,furin,1,4.4058,0.6865
179324-69-7,furin,1,4.4436,0.6355
130-61-0,furin,0,4.6339,1.0783
879085-55-9,furin,0,5.0243,1.3019
68-35-9,furin,1,3.9896,0.3918
82640-04-8,furin,1,4.6624,0.6421
162635-04-3,furin,0,4.3226,0.9446
19237-84-4,furin,1,4.5834,0.965
50-35-1,furin,1,4.6006,1.0088
1098-60-8,furin,0,4.8131,1.3866
873054-44-5,furin,0,4.6121,1.6258
50-55-5,furin,1,4.3582,1.6928
152459-95-5,furin,1,4.9251,1.5999
127-07-1,furin,0,3.9438,1.2922
153559-49-0,furin,1,4.5257,1.1352
1264-62-6,furin,0,4.5404,1.9497
85622-93-1,furin,0,4.5908,1.4988
159351-69-6,furin,1,4.6312,0.7229
117772-70-0,furin,0,5.429,3.1693
84371-65-3,furin,0,4.3248,1.7937
171599-83-0,furin,0,5.0144,2.4112
595-33-5,furin,1,4.1381,1.5373
144-83-2,furin,1,4.1233,1.1481
19774-82-4,furin,1,4.6798,0.3149
83-43-2,furin,1,4.8162,1.8037
127-56-0,furin,1,4.386,2.3032
83905-01-5,furin,1,6.5815,6.5532
119413-54-6,furin,0,4.2605,0.618
118292-40-3,furin,0,4.5542,0.8704
144701-48-4,furin,0,4.6407,0.6596
163222-33-1,furin,1,5.4915,3.1672
641571-10-0,furin,1,4.9815,2.4062
220620-09-7,furin,1,4.4043,1.1574
108341-18-0,furin,0,4.58,1.7746
21829-25-4,furin,0,4.5941,1.9593
1069-66-5,furin,1,4.4486,2.305
95635-56-6,furin,0,4.731,2.0853
2447-57-6,furin,1,4.5718,0.2256
84057-84-1,furin,0,4.6415,1.4923
599-79-1,furin,0,4.8575,1.3236
53716-49-7,furin,1,4.4637,3.1304
50-44-2,furin,1,5.1779,1.7177
50-63-5,furin,1,3.9387,5.7232
33069-62-4,furin,0,4.3378,1.8752
3056-17-5,furin,0,4.5832,0.6802
58-61-7,furin,0,4.8025,1.5948
96946-42-8,furin,0,4.2214,1.5446
918504-65-1,furin,0,4.6159,1.2851
388082-77-7,furin,0,5.4382,2.9886
50-01-1,furin,1,3.7772,0.5168
64-77-7,furin,1,4.6906,1.6773
915087-33-1,furin,0,4.741,2.4828
635702-64-6,furin,0,6.1411,2.8184
61825-94-3,furin,0,4.7915,1.9564
71125-38-7,furin,0,4.4211,1.5255
53-86-1,furin,0,4.7166,1.4062
155141-29-0,furin,0,5.0793,1.909
443913-73-3,furin,1,4.8727,3.7219
147098-20-2,furin,0,4.481,2.0671
440-17-5,furin,1,4.623,0.7429
5451-09-2,furin,1,4.1991,0.5261
320-67-2,furin,0,4.8467,2.2513
112809-51-5,furin,0,4.3699,0.7615
22260-51-1,furin,1,4.4528,1.3749
141625-93-6,furin,0,4.5395,1.2156
55981-09-4,furin,0,4.3237,0.8248
150683-30-0,furin,0,4.61,1.3483
231277-92-2,furin,0,5.3902,2.6014
81103-11-9,furin,0,5.8908,4.0106
434-13-9,furin,1,5.1501,2.3281
59-67-6,furin,1,5.727,3.7293
10238-21-8,furin,0,4.4488,0.6913
81131-70-6,furin,1,4.0222,1.769
54965-24-1,furin,0,4.4564,1.576
33419-42-0,furin,0,5.0639,1.5534
127-69-5,furin,1,4.3185,1.1672
25316-40-9,furin,0,4.7882,1.7582
106685-40-9,furin,0,4.7534,1.1117
341031-54-7,furin,0,4.3988,1.8141
84680-54-6,furin,0,5.0798,1.4801
134523-03-8,furin,0,4.4165,1.3934
144-82-1,furin,1,3.9453,0.6168
51022-70-9,furin,1,5.6185,2.1385
444731-52-6,furin,1,6.71,2.7275
75695-93-1,furin,0,4.7313,1.8614
93957-55-2,furin,0,4.3466,0.7264
122111-03-9,furin,0,4.7502,1.4434
118072-93-8,furin,0,4.368,1.1919
1476-53-5,furin,1,4.4949,0.6254
55079-83-9,furin,1,4.3612,1.077
104987-11-3,furin,0,4.6828,2.1661
302-79-4,furin,1,4.3949,1.0544
50-78-2,furin,1,4.2833,1.9582
56296-78-7,furin,1,4.728,1.3669
1115-70-4,furin,1,3.8554,1.7354
49562-28-9,furin,1,4.017,3.0895
1404-93-9,furin,0,4.1996,1.5277
38194-50-2,furin,0,4.3658,2.526
26159-34-2,furin,1,4.786,1.2303
122320-73-4,furin,0,4.4872,1.0387
723-46-6,furin,1,4.1825,1.3791
302543-62-0,furin,0,4.7149,1.3651
72-14-0,furin,0,4.4997,1.6857
77883-43-3,furin,0,4.357,0.8012
107-35-7,furin,0,4.403,1.8677
380843-75-4,furin,0,4.4671,0.4526
755037-03-7,furin,0,4.724,2.5747
624-49-7,furin,1,3.9495,2.71
95058-81-4,furin,0,4.7399,1.5625
6493-05-6,furin,1,4.6423,1.886
156-57-0,furin,1,4.0616,6.1403
147526-32-7,furin,1,4.3942,4.395
553-08-2,furin,0,4.3345,1.7098
149647-78-9,furin,1,4.1171,0.1858
30652-11-0,furin,1,4.7859,1.3479
101152-94-7,furin,1,4.6762,2.2229
136434-34-9,furin,0,5.1923,1.3971
367514-88-3,furin,0,4.6966,1.4429
82248-59-7,furin,0,4.6815,1.132
317-34-0,furin,0,5.2583,2.1358
479-18-5,furin,1,4.3603,0.8582
53885-35-1,furin,1,4.7444,1.3043
443-48-1,furin,0,4.5524,1.6251
3366-95-8,furin,1,4.4035,0.9577
63-45-6,furin,1,4.3391,1.6409
148-79-8,furin,0,4.9413,2.4807
95233-18-4,furin,1,4.8889,3.2427
55268-74-1,furin,1,5.2181,1.3191
54029-12-8,furin,0,4.6129,1.7589
37091-65-9,furin,0,4.5426,1.4732
58-14-0,furin,1,4.5435,0.5034
50-65-7,furin,0,4.4174,0.8866
71963-77-4,furin,1,6.1939,7.7512
6119-47-7,furin,0,4.8695,1.0193
54965-21-8,furin,0,4.7284,1.1879
1263-89-4,furin,0,4.3221,2.2366
24729-96-2,furin,0,5.1375,2.8556
57808-65-8,furin,0,4.2187,1.1335
56180-94-0,furin,1,3.9675,1.8988
115436-72-1,furin,0,4.3518,1.1065
105462-24-6,furin,0,4.6084,1.1424
134308-13-7,furin,1,4.5899,0.731
130929-57-6,furin,0,4.4385,1.4835
121268-17-5,furin,0,4.1255,1.1121
162401-32-3,furin,0,4.4703,1.0069
36791-04-5,furin,1,4.8819,0.9977
101-26-8,furin,1,5.4285,5.6393
129101-54-8,furin,0,4.9921,1.0823
541-22-0,furin,1,3.9145,3.1954
120011-70-3,furin,0,4.6373,0.7868
849217-68-1,furin,1,4.6901,2.3831
319460-85-0,furin,1,4.7673,1.0674
198480-56-7,furin,1,4.4014,1.1557
97-77-8,furin,0,4.5244,1.7925
376348-65-1,furin,0,4.3798,0.9465
936563-96-1,furin,0,4.6761,1.2628
30516-87-1,furin,0,4.5183,0.8426
29094-61-9,furin,1,4.7856,2.0617
23288-49-5,furin,1,4.9412,2.1346
94-20-2,furin,0,4.6784,2.4171
637-07-0,furin,0,4.9438,2.5191
105816-04-4,furin,1,4.1936,0.7725
89-57-6,furin,1,3.9916,4.693
112529-15-4,furin,0,4.7411,1.0873
882-09-7,furin,1,4.2238,1.9057
135062-02-1,furin,1,4.4989,1.7262
111025-46-8,furin,0,4.4395,1.0908
25812-30-0,furin,0,4.3525,1.1095
1508-75-4,furin,0,4.7214,1.4015
76-90-4,furin,0,4.6112,2.228
80-50-2,furin,1,4.1963,1.9664
375815-87-5,furin,1,4.3425,1.7252
65-29-2,furin,1,3.8173,2.9259
50700-72-6,furin,0,4.196,1.4424
124937-52-6,furin,1,4.7909,1.9719
15500-66-0,furin,0,4.3096,2.2505
22254-24-6,furin,0,4.2934,1.2904
132539-06-1,furin,1,4.1926,0.9567
67-48-1,furin,1,4.3284,1.7211
242478-38-2,furin,0,4.8057,1.6804
125-33-7,furin,0,4.4412,0.8208
865-21-4,furin,1,4.2487,0.6935
286930-03-8,furin,1,4.5449,1.8772
167221-71-8,furin,1,4.4068,3.7429
5633-20-5,furin,1,4.3931,0.4942
62-97-5,furin,0,4.7473,1.439
10405-02-4,furin,0,4.3723,2.1792
590-63-6,furin,0,4.1907,1.6179
119302-91-9,furin,1,4.1712,1.1753
53-19-0,furin,0,4.5741,1.4443
73-24-5,furin,0,4.968,2.579
60-31-1,furin,0,4.2413,2.9342
64228-81-5,furin,0,4.4518,1.6565
320345-99-1,furin,0,4.3125,0.828
3717-88-2,furin,1,4.9491,0.296
5786-21-0,furin,1,4.8051,1.7128
61-12-1,furin,0,4.8213,1.1132
155-41-9,furin,0,4.6346,1.9097
1508-65-2,furin,0,4.6019,0.6517
133099-07-7,furin,1,6.6938,8.8319
1744-22-5,furin,1,4.5773,1.661
21679-14-1,furin,1,4.9107,1.8232
2062-78-4,furin,0,5.0303,1.7838
138890-62-7,furin,0,4.6276,1.6125
130693-82-2,furin,0,4.3914,1.4299
133-67-5,furin,0,4.4808,1.0805
3801-06-7,furin,0,4.4372,1.1914
554-57-4,furin,1,4.5123,1.1337
452-35-7,furin,0,4.2529,1.861
91-33-8,furin,1,4.4895,0.9737
135-07-9,furin,0,4.4987,1.1075
68291-97-4,furin,0,4.5227,1.3918
532-03-6,furin,0,4.6791,1.2051
120-97-8,furin,0,4.4632,1.2347
170729-80-3,furin,0,5.5352,2.303
4291-63-8,furin,0,4.6938,1.5838
58-32-2,furin,0,4.411,0.9729
51-30-9,furin,1,4.4683,1.1982
224785-90-4,furin,0,4.6522,0.4408
78415-72-2,furin,1,3.8022,3.0362
58579-51-4,furin,0,4.5701,1.9233
171596-29-5,furin,0,4.6528,2.1552
330784-47-9,furin,0,4.4432,0.6165
6080-58-6,furin,1,3.7847,2.8979
56-85-9,furin,0,4.527,2.0933
70476-82-3,furin,1,4.3734,0.7409
229975-97-7,furin,1,4.3818,2.3635
106266-06-2,furin,0,4.6014,1.2239
859-18-7,furin,0,5.6349,2.4872
68373-14-8,furin,0,4.1281,1.0215
69388-84-7,furin,1,4.3745,2.508
773-76-2,furin,0,4.8587,3.443
42057-22-7,furin,0,4.8184,1.5742
21462-39-5,furin,1,5.5557,2.0623
69-52-3,furin,1,5.0471,1.2376
13614-98-7,furin,0,4.8405,1.7885
6018-19-5,furin,1,4.3398,1.9608
100986-85-4,furin,0,4.1783,2.6166
28657-80-9,furin,1,4.5111,2.0611
6054-98-4,furin,0,4.8326,1.9108
19387-91-8,furin,1,3.9191,2.7533
1405-10-3,furin,1,4.1219,2.9939
7081-44-9,furin,0,4.7151,2.4333
186826-86-8,furin,1,4.0225,2.4308
96036-03-2,furin,1,4.8652,2.0792
70458-96-7,furin,0,4.0934,1.9837
62013-04-1,furin,0,4.8465,2.4869
98079-52-8,furin,0,4.3585,1.4878
64-75-5,furin,0,4.8375,1.4343
80621-81-4,furin,1,4.261,0.6712
651-06-9,furin,1,4.0318,2.0243
114-07-8,furin,0,5.5947,2.7125
165800-03-3,furin,1,5.0542,4.0897
61379-65-5,furin,0,4.2872,0.9924
7177-50-6,furin,0,4.3269,0.4357
3810-74-0,furin,0,4.137,1.192
1405-89-6,furin,1,4.0389,1.5033
57-68-1,furin,0,4.1324,0.6615
738-70-5,furin,0,4.4343,1.102
91832-40-5,furin,1,4.486,1.3131
56391-57-2,furin,0,3.9778,2.0913
405165-61-9,furin,1,4.3564,1.2267
82034-46-6,furin,0,4.347,1.935
53994-73-3,furin,1,4.1159,2.3716
82419-36-1,furin,1,3.7353,3.3629
2030-63-9,furin,1,4.5369,1.2865
62893-19-0,furin,1,3.8893,1.4256
7177-48-2,furin,0,4.6772,1.7443
24356-60-3,furin,1,4.7785,1.601
18323-44-9,furin,0,5.5276,2.0552
110871-86-8,furin,0,4.4958,1.0525
3963-95-9,furin,0,4.8112,1.4998
121123-17-9,furin,0,4.3186,1.4067
21736-83-4,furin,0,5.22,1.2587
536-33-4,furin,1,5.8495,8.9545
73816-42-9,furin,0,4.8947,2.3176
34642-77-8,furin,0,4.4962,1.4254
873857-62-6,furin,0,4.0289,1.7558
26787-78-0,furin,0,4.4915,0.704
78439-06-2,furin,0,4.6005,1.1171
112811-59-3,furin,1,3.982,2.6407
64-72-2,furin,0,4.8051,1.9286
52-67-5,furin,0,4.2438,2.6448
139110-80-8,furin,1,4.3853,1.5111
72559-06-9,furin,1,4.4426,0.9743
15686-71-2,furin,0,4.5152,0.7974
117467-28-4,furin,0,4.4093,1.338
2022-85-7,furin,1,4.1961,1.3759
7240-38-2,furin,0,4.6172,1.3358
59-87-0,furin,0,4.4129,2.2834
389-08-2,furin,0,4.2059,1.5753
32986-56-4,furin,1,4.9802,1.9577
224452-66-8,furin,0,4.424,1.4573
59703-84-3,furin,0,4.4842,1.498
1405-87-4,furin,0,4.0805,1.6358
364622-82-2,furin,0,4.6467,2.2395
78110-38-0,furin,1,4.9287,2.7714
155206-00-1,furin,0,4.463,2.0537
745-65-3,furin,0,4.3632,0.8029
141-90-2,furin,1,4.3021,3.5011
753498-25-8,furin,1,4.7873,1.4823
34381-68-5,furin,1,4.232,3.2289
5874-97-5,furin,0,5.0708,1.4615
33402-03-8,furin,0,4.8163,1.3001
23651-95-8,furin,1,4.4891,2.1697
555-30-6,furin,0,4.4463,1.0884
63659-19-8,furin,0,4.5204,2.1885
81403-68-1,furin,0,4.5706,1.2354
4205-91-8,furin,1,4.8232,1.5823
61-16-5,furin,0,4.6002,1.5071
133454-47-4,furin,0,4.9507,2.4635
66104-23-2,furin,0,4.8572,1.717
145108-58-3,furin,0,4.3282,1.3724
148849-67-6,furin,1,4.5682,0.7649
113775-47-6,furin,0,4.3702,1.6484
