id,target,in_experimental_data,pred_mean,pred_err
103177-37-3,furin,1,4.6762,1.8259
99464-64-9,furin,1,4.4188,1.5973
23180-57-6,furin,0,4.798,1.7678
50-27-1,furin,0,4.4256,1.3774
2627-69-2,furin,1,4.7111,2.0624
58186-27-9,furin,1,4.5576,1.6229
93793-83-0,furin,0,4.9408,2.0383
39133-31-8,furin,1,4.8364,1.7548
34552-84-6,furin,0,4.3736,1.1108
112885-42-4,furin,0,4.6805,1.4348
51803-78-2,furin,1,4.5751,1.4983
141505-33-1,furin,0,4.5556,0.9952
183320-51-6,furin,1,4.655,1.533
101477-54-7,furin,0,4.8384,1.6651
50-02-2,furin,0,4.654,1.4888
96829-58-2,furin,0,4.6102,1.3824
98-96-4,furin,0,4.7116,2.5019
541-15-1,furin,0,4.4892,0.7945
65277-42-1,furin,1,4.4298,1.3615
70-00-8,furin,0,4.8629,1.9066
39809-25-1,furin,0,4.6686,1.1824
54-42-2,furin,0,4.6347,1.1978
124832-27-5,furin,0,4.9546,1.8804
5536-17-4,furin,0,4.6227,1.4102
147-94-4,furin,1,4.6678,1.3143
99011-02-6,furin,0,4.5839,1.1405
70288-86-7,furin,1,4.399,1.3882
59277-89-3,furin,0,4.7279,1.9882
82410-32-0,furin,0,4.5758,1.4931
104227-87-4,furin,0,4.5566,2.2463
50-91-9,furin,0,4.5053,1.7077
79-57-2,furin,0,4.3548,0.2917
6153-64-6,furin,0,4.3437,0.3583
518048-05-0,furin,0,4.6801,1.358
161735-79-1,furin,0,4.7253,1.443
13492-01-8,furin,1,4.7462,3.8345
549-18-8,furin,0,4.6293,1.5304
79794-75-5,furin,0,4.3079,0.9575
79307-93-0,furin,1,4.773,2.2585
100299-08-9,furin,1,4.6895,1.992
980-71-2,furin,0,4.494,0.9543
122883-93-6,furin,1,4.6787,1.2817
76824-35-6,furin,0,4.6667,1.196
154-69-8,furin,1,4.7453,1.685
2192-20-3,furin,0,4.6837,1.6739
132-20-7,furin,0,4.8104,1.3071
25332-39-2,furin,1,4.5319,1.4545
1104-22-9,furin,0,4.6319,1.3594
76963-41-2,furin,0,4.6774,1.5059
521-78-8,furin,0,4.6844,2.6715
14976-57-9,furin,1,4.6713,1.2068
10347-81-6,furin,1,4.3042,1.2806
100643-71-8,furin,1,4.6171,1.0333
132-18-3,furin,0,4.6811,1.3286
83881-52-1,furin,0,4.9378,1.531
2508-72-7,furin,1,4.6171,1.349
66357-59-3,furin,0,4.7293,1.5297
140462-76-6,furin,0,4.7308,1.3486
3978-86-7,furin,0,4.7273,1.3167
113-92-8,furin,0,4.5487,1.0281
59-33-6,furin,0,4.701,1.4221
190786-44-8,furin,0,4.8925,1.9387
147-24-0,furin,0,4.6789,1.4858
562-10-7,furin,0,4.6253,2.4674
144598-75-4,furin,1,4.8617,2.0993
137-58-6,furin,0,5.0005,1.8946
85650-52-8,furin,0,4.5773,0.8707
34580-14-8,furin,0,4.5282,1.0749
132-17-2,furin,0,4.6754,1.7492
113-59-7,furin,1,4.4545,1.4287
51481-61-9,furin,1,4.5921,2.5995
4682-36-4,furin,0,4.7186,2.4019
97240-79-4,furin,0,4.663,1.901
25451-15-4,furin,1,4.7865,2.0334
41100-52-1,furin,0,4.4646,0.7827
