id,target,in_experimental_data,pred_mean,pred_err
103177-37-3,furin,1,5.0877,1.7532
99464-64-9,furin,1,4.6512,0.8426
23180-57-6,furin,0,4.4815,1.1719
50-27-1,furin,0,4.7553,1.7762
2627-69-2,furin,1,4.7466,1.5179
58186-27-9,furin,1,4.3364,0.988
93793-83-0,furin,0,4.9318,0.8118
39133-31-8,furin,1,5.0932,1.047
34552-84-6,furin,0,4.2091,1.2416
112885-42-4,furin,0,4.5427,1.4253
51803-78-2,furin,1,4.8207,2.1515
141505-33-1,furin,0,4.5664,0.6665
183320-51-6,furin,1,4.1914,1.5993
101477-54-7,furin,0,4.8296,2.4438
50-02-2,furin,0,4.7272,1.3966
96829-58-2,furin,0,4.5022,1.4649
98-96-4,furin,0,4.7289,5.5029
541-15-1,furin,0,4.4569,1.941
65277-42-1,furin,1,4.197,0.5743
70-00-8,furin,0,4.8277,1.913
39809-25-1,furin,0,4.4885,1.188
54-42-2,furin,0,4.8521,1.7644
124832-27-5,furin,0,4.7214,3.7052
5536-17-4,furin,0,4.9492,3.2268
147-94-4,furin,1,5.8197,5.6191
99011-02-6,furin,0,4.8055,0.9217
70288-86-7,furin,1,4.3551,0.0217
59277-89-3,furin,0,4.5657,1.7046
82410-32-0,furin,0,4.738,1.023
104227-87-4,furin,0,4.4469,2.7572
50-91-9,furin,0,4.5682,0.9651
79-57-2,furin,0,4.558,1.6335
6153-64-6,furin,0,4.5998,2.0631
518048-05-0,furin,0,4.586,1.6421
161735-79-1,furin,0,5.0708,1.286
13492-01-8,furin,1,4.5152,2.7948
549-18-8,furin,0,4.8396,1.8133
79794-75-5,furin,0,4.8189,1.7124
79307-93-0,furin,1,4.9733,2.6806
100299-08-9,furin,1,4.5783,1.6678
980-71-2,furin,0,4.3508,0.6599
122883-93-6,furin,1,4.6597,0.7744
76824-35-6,furin,0,4.7587,1.4992
154-69-8,furin,1,4.2759,0.9945
2192-20-3,furin,0,4.502,1.7723
132-20-7,furin,0,4.8544,1.7208
25332-39-2,furin,1,5.0013,1.4416
1104-22-9,furin,0,4.492,1.4978
76963-41-2,furin,0,4.3295,1.9833
521-78-8,furin,0,4.4699,1.787
14976-57-9,furin,1,4.6411,0.6852
10347-81-6,furin,1,4.7392,3.4965
100643-71-8,furin,1,4.4823,2.1714
132-18-3,furin,0,4.914,1.514
83881-52-1,furin,0,4.9532,2.2437
2508-72-7,furin,1,3.6057,2.8727
66357-59-3,furin,0,4.6963,1.1403
140462-76-6,furin,0,4.7221,1.2643
3978-86-7,furin,0,4.7904,1.1416
113-92-8,furin,0,4.4706,0.8945
59-33-6,furin,0,4.7267,1.6906
190786-44-8,furin,0,4.6538,2.5697
147-24-0,furin,0,4.5692,1.2797
562-10-7,furin,0,4.6289,1.8829
144598-75-4,furin,1,4.3439,1.2473
137-58-6,furin,0,5.2183,1.909
85650-52-8,furin,0,4.4214,1.2448
34580-14-8,furin,0,4.6798,1.805
132-17-2,furin,0,4.6486,1.4679
113-59-7,furin,1,4.6011,0.9525
51481-61-9,furin,1,3.4613,4.1201
4682-36-4,furin,0,4.6583,1.7937
97240-79-4,furin,0,4.4971,1.1405
25451-15-4,furin,1,5.0095,3.4307
41100-52-1,furin,0,4.8691,1.2529
1508-76-5,furin,1,4.5516,0.7074
68-41-7,furin,0,4.9494,4.6047
50357-45-4,furin,1,5.1557,2.1895
7681-93-8,furin,1,4.6316,1.893
29342-05-0,furin,0,4.8012,0.9472
41621-49-2,furin,1,4.739,0.3657
61318-91-0,furin,1,4.3798,0.8928
171228-49-2,furin,0,4.4025,1.5935
536-43-6,furin,0,4.4019,1.9651
53123-88-9,furin,0,4.2112,0.7854
23593-75-1,furin,1,4.6572,1.4836
64872-77-1,furin,1,4.5024,2.1805
91161-71-6,furin,0,4.2129,1.0133
65473-14-5,furin,1,4.4942,1.2898
78628-80-5,furin,0,4.2133,0.9609
1397-89-3,furin,0,4.17,0.7848
57852-57-0,furin,0,4.5005,1.1906
179463-17-3,furin,1,4.2571,2.9679
1070-11-7,furin,1,4.6183,1.9841
101827-46-7,furin,1,4.4347,0.9984
137234-62-9,furin,0,4.9577,1.7629
86386-73-4,furin,0,4.8013,1.894
99592-39-9,furin,1,4.8688,1.2916
65899-73-2,furin,0,4.5948,1.9114
24280-93-1,furin,0,4.5717,2.2525
540737-29-9,furin,0,4.9866,1.7305
84625-61-6,furin,0,4.2076,1.0207
65-85-0,furin,0,4.7162,4.1706
24169-02-6,furin,0,4.6314,1.3463
22916-47-8,furin,1,5.283,4.4329
22832-87-7,furin,0,4.6124,1.4049
17321-77-6,furin,1,4.3907,2.5595
74011-58-8,furin,0,4.2174,2.1099
72509-76-3,furin,0,4.1655,1.5364
173334-58-2,furin,1,4.0351,1.5392
941678-49-5,furin,0,4.5417,2.0569
127-79-7,furin,1,4.0418,0.7735
13010-47-4,furin,0,4.3956,2.0332
54527-84-3,furin,1,4.5122,2.6874
90357-06-5,furin,1,4.5192,2.0502
136572-09-3,furin,0,4.0574,0.4982
1177-87-3,furin,1,4.6287,2.0379
1264-72-8,furin,1,3.7135,2.1654
54-85-3,furin,0,4.3206,5.2319
23541-50-6,furin,0,5.0875,1.7396
943319-70-8,furin,0,4.0684,2.2574
150399-23-8,furin,0,5.0568,2.2797
475207-59-1,furin,1,4.8167,3.2255
1247-42-3,furin,0,4.4174,1.2266
73963-72-1,furin,1,5.3891,3.0025
668270-12-0,furin,1,4.2016,1.096
154-42-7,furin,0,4.9197,4.4517
129497-78-5,furin,1,3.9887,2.9967
220127-57-1,furin,0,4.899,2.6368
184475-35-2,furin,1,4.6546,5.2114
66085-59-4,furin,0,4.3805,1.4205
75330-75-5,furin,0,4.3345,1.4087
52-01-7,furin,1,5.1541,4.5846
79902-63-9,furin,0,4.274,0.883
78246-49-8,furin,0,4.0315,0.9023
97682-44-5,furin,0,4.0573,0.5289
65928-58-7,furin,0,4.3499,1.0821
63-74-1,furin,1,4.2126,0.9923
73590-58-6,furin,1,4.8001,2.1629
34552-83-5,furin,1,4.9348,0.0016
123318-82-1,furin,1,4.5626,1.7155
129453-61-8,furin,0,4.4697,2.242
183133-96-2,furin,0,4.4689,0.8739
302962-49-8,furin,1,4.1321,1.2261
474-25-9,furin,0,4.6312,1.4109
298-46-4,furin,0,4.5841,2.2794
877399-52-5,furin,0,4.2866,2.0626
183319-69-9,furin,1,4.4471,1.4795
179324-69-7,furin,1,4.4747,0.9902
130-61-0,furin,0,4.4309,1.8216
879085-55-9,furin,0,5.1553,2.6882
68-35-9,furin,1,3.99,0.679
82640-04-8,furin,1,4.5748,0.4932
162635-04-3,furin,0,4.3803,0.9073
19237-84-4,furin,1,4.3522,1.4035
50-35-1,furin,1,4.633,0.8897
1098-60-8,furin,0,4.5484,1.6826
873054-44-5,furin,0,4.2842,1.4613
50-55-5,furin,1,4.1818,1.7687
152459-95-5,furin,1,4.8899,2.3218
127-07-1,furin,0,4.4419,1.3992
153559-49-0,furin,1,4.2427,1.3521
1264-62-6,furin,0,4.7398,1.1274
85622-93-1,furin,0,4.3544,1.7821
159351-69-6,furin,1,4.6465,0.7765
117772-70-0,furin,0,5.3861,2.3122
84371-65-3,furin,0,4.1247,2.1913
171599-83-0,furin,0,5.0304,2.4107
595-33-5,furin,1,4.1555,1.7855
144-83-2,furin,1,4.2322,2.0873
19774-82-4,furin,1,4.7099,0.6262
83-43-2,furin,1,4.6748,2.4015
127-56-0,furin,1,4.3727,2.1467
83905-01-5,furin,1,6.6791,6.0919
119413-54-6,furin,0,4.0821,1.0828
118292-40-3,furin,0,4.6509,1.2247
144701-48-4,furin,0,4.4319,0.9356
