id,target,in_experimental_data,pred_mean,pred_err
103177-37-3,furin,1,4.6487,1.4863
99464-64-9,furin,1,4.5705,0.93
23180-57-6,furin,0,4.6735,1.4024
50-27-1,furin,0,4.5446,1.0253
2627-69-2,furin,1,4.6279,1.3996
58186-27-9,furin,1,4.6249,1.2983
93793-83-0,furin,0,4.7302,1.5306
39133-31-8,furin,1,4.6946,1.36
34552-84-6,furin,0,4.5027,0.6471
112885-42-4,furin,0,4.6115,1.1716
51803-78-2,furin,1,4.581,1.1763
141505-33-1,furin,0,4.5882,0.7736
183320-51-6,furin,1,4.6169,1.4211
101477-54-7,furin,0,4.7031,1.3315
50-02-2,furin,0,4.5422,1.1557
96829-58-2,furin,0,4.634,0.9774
98-96-4,furin,0,4.6053,1.4726
541-15-1,furin,0,4.5034,1.0294
65277-42-1,furin,1,4.5173,1.1399
70-00-8,furin,0,4.7133,1.5086
39809-25-1,furin,0,4.6334,1.197
54-42-2,furin,0,4.6207,1.0359
124832-27-5,furin,0,4.7356,1.4309
5536-17-4,furin,0,4.5736,1.0865
147-94-4,furin,1,4.6158,1.1832
99011-02-6,furin,0,4.618,1.0699
70288-86-7,furin,1,4.4945,1.1283
59277-89-3,furin,0,4.6871,1.5192
82410-32-0,furin,0,4.6242,1.2521
104227-87-4,furin,0,4.6091,1.1244
50-91-9,furin,0,4.5852,1.3477
79-57-2,furin,0,4.4408,0.5541
6153-64-6,furin,0,4.4291,0.5437
518048-05-0,furin,0,4.6187,1.1368
161735-79-1,furin,0,4.6567,1.1611
13492-01-8,furin,1,4.5692,1.627
549-18-8,furin,0,4.635,0.9678
79794-75-5,furin,0,4.4991,0.6539
79307-93-0,furin,1,4.6748,1.5717
100299-08-9,furin,1,4.6708,1.5483
980-71-2,furin,0,4.5722,1.0175
122883-93-6,furin,1,4.6387,1.041
76824-35-6,furin,0,4.6527,1.1823
154-69-8,furin,1,4.6753,1.4782
2192-20-3,furin,0,4.672,1.1639
132-20-7,furin,0,4.7038,1.2761
25332-39-2,furin,1,4.6224,0.8255
1104-22-9,furin,0,4.6329,0.9892
76963-41-2,furin,0,4.6513,1.2619
521-78-8,furin,0,4.6742,1.2627
14976-57-9,furin,1,4.6454,1.015
10347-81-6,furin,1,4.4986,0.7502
100643-71-8,furin,1,4.6393,1.1072
132-18-3,furin,0,4.6823,1.1011
83881-52-1,furin,0,4.7508,1.3883
2508-72-7,furin,1,4.6129,1.2319
66357-59-3,furin,0,4.6705,1.2759
140462-76-6,furin,0,4.6671,1.1728
3978-86-7,furin,0,4.6872,1.1824
113-92-8,furin,0,4.5852,0.9453
59-33-6,furin,0,4.6478,1.1436
190786-44-8,furin,0,4.7386,1.499
147-24-0,furin,0,4.6316,1.3587
562-10-7,furin,0,4.6292,1.3196
144598-75-4,furin,1,4.703,1.5225
137-58-6,furin,0,4.776,1.5778
85650-52-8,furin,0,4.6281,0.9158
34580-14-8,furin,0,4.5651,0.8724
132-17-2,furin,0,4.569,1.1701
113-59-7,furin,1,4.5472,1.1185
51481-61-9,furin,1,4.653,1.474
4682-36-4,furin,0,4.6757,1.2189
97240-79-4,furin,0,4.6298,1.5706
